3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
2,.667,3,75.000,0,,126,0,0,,3,.750,1.0,100.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210230ATL.html,Home,109,6:27,0,,CHO,Dennis Smith Jr.,Théo Maledon,14:30,Bryce McGowens,2:38,Mark Williams,1:26,Kai Jones,1:26,,,,,33:30,Kelly Oubre Jr.,32:30,Gordon Hayward,31:18,Mason Plumlee,26:25,P.J. Washington,21:53,Jalen McDaniels,20:21,Nick Richards,20:09,James Bouknight,17:40,JT Thor,16:14,126,0,8,2.0,25.0,6.0,75.0,0.0,0.0,AJ Griffin,17,2,2022-2023,2.0,0,0.0,ATL,109,Dejounte Murray,Tyrese Martin,1:40,Trent Forrest,1:40,Vit Krejci,1:40,,,,,,,38:48,John Collins,38:29,Trae Young,33:17,De'Andre Hunter,31:13,Onyeka Okongwu,23:23,Clint Capela,22:57,Justin Holiday,17:13,Aaron Holiday,13:42,Jalen Johnson,9:31
2,.667,3,50.000,0,,136,0,0,,4,.667,2.0,66.7,3.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202210280DET.html,Away,112,5:43,0,,DET,Cade Cunningham,Hamidou Diallo,14:34,Kevin Knox,3:03,Rodney McGruder,3:03,,,,,,,33:09,Bojan Bogdanović,30:23,Saddiq Bey,29:53,Isaiah Stewart,29:24,Jaden Ivey,23:23,Jalen Duren,23:16,Killian Hayes,18:36,Cory Joseph,16:05,Isaiah Livers,15:11,112,2,10,4.0,40.0,6.0,60.0,0.0,0.0,AJ Griffin,24,0,2022-2023,0.0,0,0.0,ATL,136,Dejounte Murray,Frank Kaminsky,3:03,Tyrese Martin,2:54,Trent Forrest,1:40,Vit Krejci,1:40,,,,,32:23,Trae Young,30:07,Aaron Holiday,27:52,Justin Holiday,25:49,John Collins,25:11,Clint Capela,23:26,Onyeka Okongwu,21:31,Jalen Johnson,21:09,De'Andre Hunter,17:32
0,,0,0.000,0,,115,0,0,0.0,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210290MIL.html,Away,123,5:05,2,100.0,MIL,Jrue Holiday,Serge Ibaka,10:39,MarJon Beauchamp,6:48,,,,,,,,,36:40,Brook Lopez,34:00,Giannis Antetokounmpo,32:37,Jevon Carter,25:46,Bobby Portis,24:14,Grayson Allen,20:06,Wesley Matthews,17:33,George Hill,16:37,Jordan Nwora,15:00,123,0,0,0.0,,0.0,,0.0,,AJ Griffin,8,0,2022-2023,0.0,0,2.0,ATL,115,Trae Young,,,,,,,,,,,,,36:26,Dejounte Murray,34:16,De'Andre Hunter,31:25,John Collins,31:25,Clint Capela,28:47,Aaron Holiday,24:03,Onyeka Okongwu,19:13,Jalen Johnson,16:35,Justin Holiday,12:45
0,.000,2,66.667,1,,109,0,2,100.0,1,.333,1.0,100.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210310TOR.html,Away,139,14:28,0,0.0,TOR,Gary Trent Jr.,Dalano Banton,5:22,Justin Champagnie,5:22,Jeff Dowtin,5:22,Juancho Hernangómez,5:12,Ron Harper Jr.,3:09,,,36:49,Pascal Siakam,35:09,Scottie Barnes,33:23,OG Anunoby,31:36,Christian Koloko,21:27,Chris Boucher,20:54,Precious Achiuwa,17:45,Malachi Flynn,9:23,Khem Birch,9:07,139,1,2,2.0,100.0,0.0,0.0,0.0,0.0,AJ Griffin,30,0,2022-2023,0.0,0,2.0,ATL,109,Trae Young,Vit Krejci,6:20,Frank Kaminsky,6:20,Tyrese Martin,6:20,Trent Forrest,6:20,,,,,32:27,Dejounte Murray,30:31,John Collins,29:37,Clint Capela,25:25,Justin Holiday,23:44,De'Andre Hunter,22:20,Onyeka Okongwu,16:15,Jalen Johnson,10:40,Aaron Holiday,9:13
1,.500,2,100.000,2,,112,0,0,,1,.500,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202211020NYK.html,Away,99,9:16,0,,NYK,RJ Barrett,Cam Reddish,14:59,Quentin Grimes,4:38,,,,,,,,,33:01,Jalen Brunson,31:00,Julius Randle,29:33,Immanuel Quickley,29:20,Isaiah Hartenstein,24:56,Evan Fournier,18:40,Obi Toppin,18:27,Mitchell Robinson,18:26,Derrick Rose,17:00,99,0,3,0.0,0.0,3.0,100.0,0.0,0.0,AJ Griffin,13,0,2022-2023,0.0,0,0.0,ATL,112,Dejounte Murray,Frank Kaminsky,1:07,Vit Krejci,1:07,Tyrese Martin,1:07,,,,,,,38:06,De'Andre Hunter,35:09,John Collins,30:54,Trae Young,27:52,Clint Capela,25:11,Aaron Holiday,24:27,Onyeka Okongwu,19:21,Justin Holiday,14:30,Jalen Johnson,11:53
2,.333,6,40.000,1,1.00,98,0,3,75.0,10,.667,8.0,88.9,9.0,15,2,1.000,2,13.333,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202211070ATL.html,Home,117,31:23,1,25.0,MIL,Jrue Holiday,Serge Ibaka,11:32,MarJon Beauchamp,10:33,Sandro Mamukelashvili,6:09,Thanasis Antetokounmpo,3:51,,,,,28:49,Brook Lopez,27:50,Grayson Allen,27:44,Giannis Antetokounmpo,26:47,Jevon Carter,26:27,Bobby Portis,23:02,Jordan Nwora,17:04,George Hill,16:46,Wesley Matthews,13:26,98,2,24,16.0,66.7,6.0,25.0,2.0,8.3,AJ Griffin,19,3,2022-2023,3.0,1,4.0,ATL,117,Dejounte Murray,Frank Kaminsky,3:51,Vit Krejci,2:32,Jarrett Culver,2:32,Tyrese Martin,2:32,,,,,32:03,Aaron Holiday,24:44,De'Andre Hunter,23:55,John Collins,23:31,Justin Holiday,23:00,Clint Capela,22:09,Onyeka Okongwu,22:00,Jalen Johnson,21:57,Trent Forrest,3:51
1,.250,4,80.000,0,,125,0,2,66.7,1,.200,0.0,0.0,1.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202211090ATL.html,Home,119,10:29,1,33.3,UTA,Jordan Clarkson,Collin Sexton,13:09,,,,,,,,,,,34:51,Lauri Markkanen,31:21,Malik Beasley,29:21,Mike Conley,28:43,Jarred Vanderbilt,28:15,Kelly Olynyk,20:35,Talen Horton-Tucker,19:17,Rudy Gay,18:08,Walker Kessler,16:20,125,1,3,0.0,0.0,3.0,100.0,0.0,0.0,AJ Griffin,6,0,2022-2023,0.0,0,3.0,ATL,119,Dejounte Murray,,,,,,,,,,,,,37:49,Trae Young,35:45,De'Andre Hunter,32:34,John Collins,28:16,Clint Capela,26:11,Onyeka Okongwu,19:59,Jalen Johnson,19:30,Justin Holiday,19:06,Aaron Holiday,10:21
1,.500,2,66.667,1,1.00,95,0,2,100.0,1,.333,0.0,0.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202211100ATL.html,Home,104,14:19,0,0.0,PHI,Tobias Harris,Matisse Thybulle,8:21,Furkan Korkmaz,7:57,Montrezl Harrell,3:26,,,,,,,33:32,Tyrese Maxey,33:16,Joel Embiid,31:45,De'Anthony Melton,28:27,P.J. Tucker,24:03,Georges Niang,23:20,Danuel House Jr.,19:02,Shake Milton,17:39,Paul Reed,9:12,95,2,3,0.0,0.0,3.0,100.0,0.0,0.0,AJ Griffin,9,1,2022-2023,1.0,1,2.0,ATL,104,Dejounte Murray,,,,,,,,,,,,,34:42,Trae Young,33:04,De'Andre Hunter,31:56,Clint Capela,26:22,John Collins,25:44,Aaron Holiday,23:40,Justin Holiday,22:39,Onyeka Okongwu,21:15,Jalen Johnson,6:19
2,1.000,2,28.571,0,0.00,109,0,1,100.0,3,.429,1.0,20.0,5.0,7,1,1.000,1,14.286,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202211120PHI.html,Away,121,12:00,0,0.0,PHI,Joel Embiid,Furkan Korkmaz,3:57,,,,,,,,,,,40:01,Tobias Harris,38:32,Tyrese Maxey,35:55,P.J. Tucker,31:07,Matisse Thybulle,29:52,Shake Milton,20:31,Danuel House Jr.,17:49,Georges Niang,14:17,Paul Reed,7:59,121,0,9,2.0,22.2,6.0,66.7,1.0,11.1,AJ Griffin,12,0,2022-2023,0.0,1,1.0,ATL,109,Dejounte Murray,,,,,,,,,,,,,38:19,Trae Young,37:45,John Collins,33:29,Clint Capela,33:07,De'Andre Hunter,26:38,Aaron Holiday,18:55,Justin Holiday,15:28,Frank Kaminsky,13:17,Jalen Johnson,11:02
1,.500,2,33.333,1,0.50,121,0,1,50.0,3,.500,2.0,50.0,4.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202211140MIL.html,Away,106,17:06,1,50.0,MIL,MarJon Beauchamp,Grayson Allen,9:37,Sandro Mamukelashvili,1:35,Thanasis Antetokounmpo,1:35,,,,,,,34:11,Jevon Carter,33:25,Brook Lopez,33:06,Giannis Antetokounmpo,30:55,George Hill,25:53,Bobby Portis,22:59,Jordan Nwora,21:19,Serge Ibaka,13:18,Wesley Matthews,12:07,106,1,7,4.0,57.1,3.0,42.9,0.0,0.0,AJ Griffin,15,0,2022-2023,0.0,2,2.0,ATL,121,Dejounte Murray,Vit Krejci,0:52,Tyrese Martin,0:52,,,,,,,,,36:01,De'Andre Hunter,35:11,Trae Young,33:46,John Collins,33:28,Clint Capela,30:00,Aaron Holiday,20:12,Onyeka Okongwu,17:08,Jalen Johnson,14:32,Jarrett Culver,0:52
