3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,25.000,1,,108,0,0,,2,.500,2.0,66.7,3.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201710180BOS.html,Home,100,11:26,0,,MIL,Khris Middleton,Rashad Vaughn,3:24,,,,,,,,,,,43:26,Malcolm Brogdon,41:26,Giannis Antetokounmpo,36:56,Tony Snell,29:29,Matthew Dellavedova,26:29,John Henson,17:13,Greg Monroe,16:49,Thon Maker,13:45,Mirza Teletović,11:03,108,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Abdel Nader,8,0,2017-2018,0.0,0,0.0,BOS,100,Kyrie Irving,,,,,,,,,,,,,38:56,Jayson Tatum,36:32,Al Horford,33:27,Marcus Smart,32:20,Jaylen Brown,28:09,Terry Rozier,26:48,Aron Baynes,15:58,Semi Ojeleye,11:39,Daniel Theis,4:45
0,.000,1,50.000,0,,102,0,2,100.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710200PHI.html,Away,92,6:58,0,0.0,PHI,Ben Simmons,Amir Johnson,11:23,Justin Anderson,3:04,,,,,,,,,36:54,JJ Redick,35:53,Jerryd Bayless,30:27,Joel Embiid,28:02,Robert Covington,27:07,Dario Šarić,23:41,Markelle Fultz,16:53,Timothé Luwawu-Cabarrot,14:17,T.J. McConnell,12:19,92,1,0,0.0,,0.0,,0.0,,Abdel Nader,10,0,2017-2018,0.0,0,2.0,BOS,102,Jaylen Brown,Guerschon Yabusele,3:17,,,,,,,,,,,36:56,Al Horford,36:25,Kyrie Irving,35:48,Jayson Tatum,32:45,Terry Rozier,30:28,Shane Larkin,19:26,Aron Baynes,13:40,Jabari Bird,13:38,Daniel Theis,10:39
0,,0,,0,,89,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710240BOS.html,Home,110,4:20,0,,NYK,Courtney Lee,Lance Thomas,10:03,Ron Baker,9:48,Kyle O'Quinn,6:18,Damyean Dotson,4:44,,,,,35:06,Kristaps Porziņģis,31:41,Enes Freedom,29:46,Tim Hardaway Jr.,27:56,Ramon Sessions,25:39,Jarrett Jack,17:37,Doug McDermott,16:42,Michael Beasley,13:30,Willy Hernangómez,11:10,89,0,0,0.0,,0.0,,0.0,,Abdel Nader,21,0,2017-2018,0.0,0,0.0,BOS,110,Jaylen Brown,Jabari Bird,2:41,Guerschon Yabusele,2:03,,,,,,,,,32:07,Jayson Tatum,31:08,Terry Rozier,30:51,Kyrie Irving,29:32,Al Horford,29:03,Aron Baynes,22:16,Daniel Theis,20:44,Shane Larkin,19:38,Semi Ojeleye,15:37
0,.000,1,33.333,1,1.00,94,0,0,0.0,1,.333,1.0,50.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710300BOS.html,Home,108,4:59,1,100.0,SAS,Danny Green,Dāvis Bertāns,7:52,Derrick White,5:04,,,,,,,,,30:46,Brandon Paul,29:40,Dejounte Murray,29:24,LaMarcus Aldridge,26:00,Pau Gasol,24:49,Kyle Anderson,23:50,Bryn Forbes,23:47,Rudy Gay,21:08,Patty Mills,17:40,94,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Abdel Nader,14,0,2017-2018,0.0,1,1.0,BOS,108,Jayson Tatum,Shane Larkin,6:10,Guerschon Yabusele,2:48,,,,,,,,,35:18,Kyrie Irving,30:20,Jaylen Brown,30:09,Marcus Smart,29:58,Al Horford,29:51,Semi Ojeleye,21:54,Terry Rozier,18:06,Aron Baynes,16:29,Daniel Theis,13:58
1,.500,2,33.333,1,0.33,86,1,1,50.0,3,.500,2.0,50.0,4.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201711010BOS.html,Home,113,13:04,1,50.0,SAC,De'Aaron Fox,Skal Labissière,16:04,Vince Carter,9:09,Malachi Richardson,8:15,Frank Mason III,6:59,,,,,28:05,Buddy Hield,26:45,George Hill,23:09,Zach Randolph,22:47,Kosta Koufos,20:34,Garrett Temple,20:24,Justin Jackson,19:27,Bogdan Bogdanović,19:11,Willie Cauley-Stein,19:11,86,0,7,4.0,57.1,3.0,42.9,0.0,0.0,Abdel Nader,27,2,2017-2018,3.0,3,2.0,BOS,113,Kyrie Irving,Shane Larkin,8:15,Guerschon Yabusele,6:59,,,,,,,,,27:00,Jayson Tatum,26:25,Marcus Smart,25:36,Al Horford,25:33,Jaylen Brown,24:41,Aron Baynes,22:43,Semi Ojeleye,22:27,Terry Rozier,18:59,Daniel Theis,18:18
0,,0,0.000,0,,104,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201711050ORL.html,Away,88,2:05,0,,ORL,Evan Fournier,Marreese Speights,3:01,Wes Iwundu,3:01,Arron Afflalo,3:01,,,,,,,35:43,Aaron Gordon,34:16,Nikola Vučević,32:26,Terrence Ross,29:14,Jonathan Isaac,28:43,Shelvin Mack,23:47,Jonathon Simmons,21:12,Mario Hezonja,13:03,Bismack Biyombo,12:33,88,0,0,0.0,,0.0,,0.0,,Abdel Nader,16,0,2017-2018,0.0,0,0.0,BOS,104,Al Horford,Shane Larkin,9:59,Daniel Theis,3:01,Guerschon Yabusele,2:05,,,,,,,28:52,Marcus Smart,28:43,Jaylen Brown,27:58,Kyrie Irving,27:40,Jayson Tatum,27:19,Terry Rozier,26:50,Marcus Morris,23:00,Semi Ojeleye,16:46,Aron Baynes,15:41
0,,0,,0,,110,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201711060ATL.html,Away,107,5:14,0,0.0,ATL,Dewayne Dedmon,Tyler Cavanaugh,0:12,,,,,,,,,,,35:38,Dennis Schröder,35:34,Taurean Prince,27:55,Malcolm Delaney,27:52,Kent Bazemore,26:05,Marco Belinelli,26:03,Luke Babbitt,24:31,Isaiah Taylor,20:23,John Collins,15:47,107,1,0,0.0,,0.0,,0.0,,Abdel Nader,3,0,2017-2018,0.0,0,1.0,BOS,110,Kyrie Irving,Shane Larkin,6:31,,,,,,,,,,,36:57,Al Horford,33:13,Jayson Tatum,32:27,Jaylen Brown,30:35,Marcus Smart,28:49,Terry Rozier,21:30,Semi Ojeleye,16:09,Aron Baynes,14:37,Daniel Theis,13:59
0,,0,,0,,87,0,3,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201711100BOS.html,Home,90,8:27,0,0.0,CHO,Kemba Walker,Michael Carter-Williams,11:05,,,,,,,,,,,37:22,Jeremy Lamb,30:06,Dwight Howard,27:29,Michael Kidd-Gilchrist,27:24,Marvin Williams,24:15,Frank Kaminsky,24:14,Cody Zeller,20:02,Dwayne Bacon,19:58,Malik Monk,18:05,87,1,0,0.0,,0.0,,0.0,,Abdel Nader,3,0,2017-2018,0.0,0,3.0,BOS,90,Jaylen Brown,Guerschon Yabusele,7:30,Kyrie Irving,1:50,,,,,,,,,35:34,Marcus Smart,34:14,Jayson Tatum,30:44,Terry Rozier,28:36,Aron Baynes,25:58,Marcus Morris,23:24,Shane Larkin,17:20,Daniel Theis,17:19,Semi Ojeleye,9:04
0,.000,1,100.000,0,0.00,110,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201711200DAL.html,Away,102,3:46,0,,DAL,Wesley Matthews,Salah Mejri,6:31,Nerlens Noel,0:00,,,,,,,,,43:14,Harrison Barnes,40:42,Yogi Ferrell,37:21,Dirk Nowitzki,32:25,J.J. Barea,26:52,Dennis Smith Jr.,26:32,Dwight Powell,23:23,Maxi Kleber,15:08,Devin Harris,12:53,102,1,0,0.0,,0.0,,0.0,,Abdel Nader,8,0,2017-2018,0.0,1,0.0,BOS,110,Kyrie Irving,Daniel Theis,6:19,Shane Larkin,2:41,,,,,,,,,38:46,Al Horford,38:42,Jayson Tatum,37:49,Jaylen Brown,37:06,Marcus Smart,34:53,Marcus Morris,26:11,Terry Rozier,13:41,Aron Baynes,13:24,Semi Ojeleye,11:42
1,1.000,1,100.000,0,,103,1,0,,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201711240BOS.html,Home,118,3:09,0,,ORL,Bismack Biyombo,Shelvin Mack,15:18,D.J. Augustin,12:51,Mario Hezonja,12:00,,,,,,,27:26,Aaron Gordon,25:42,Jonathon Simmons,23:41,Elfrid Payton,23:09,Marreese Speights,21:35,Nikola Vučević,20:34,Arron Afflalo,19:36,Terrence Ross,19:20,Evan Fournier,18:48,103,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Abdel Nader,15,0,2017-2018,1.0,0,0.0,BOS,118,Terry Rozier,Guerschon Yabusele,7:09,,,,,,,,,,,30:03,Jaylen Brown,27:34,Semi Ojeleye,26:53,Al Horford,26:02,Marcus Morris,25:58,Kyrie Irving,24:52,Marcus Smart,24:28,Aron Baynes,21:58,Jayson Tatum,21:54
