3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,3,37.500,1,,105,1,2,66.7,4,.500,4.0,80.0,5.0,8,3,1.000,3,37.500,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201704020TOR.html,Away,113,24:13,1,33.3,TOR,Cory Joseph,Fred VanVleet,12:00,Pascal Siakam,3:15,,,,,,,,,31:44,DeMar DeRozan,31:05,Serge Ibaka,28:03,Jonas Valančiūnas,27:35,Delon Wright,26:38,DeMarre Carroll,22:45,Jakob Poeltl,19:57,Norman Powell,19:48,Patrick Patterson,17:10,113,1,11,8.0,72.7,0.0,0.0,3.0,27.3,Alex Poythress,8,0,2016-2017,1.0,0,3.0,PHI,105,Timothé Luwawu-Cabarrot,,,,,,,,,,,,,35:48,T.J. McConnell,35:20,Nik Stauskas,30:38,Justin Anderson,23:48,Dario Šarić,23:47,Richaun Holmes,22:52,Gerald Henderson,18:26,Shawn Long,18:25,Tiago Splitter,6:43
1,.500,2,20.000,3,,141,0,2,28.6,4,.400,3.0,37.5,8.0,10,1,.333,3,30.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201704040PHI.html,Home,118,27:54,5,71.4,BRK,Spencer Dinwiddie,Quincy Acy,12:56,Justin Hamilton,12:00,Sean Kilpatrick,11:53,Andrew Nicholson,9:19,,,,,24:56,K.J. McDaniels,23:12,Jeremy Lin,23:04,Brook Lopez,23:04,Archie Goodwin,22:26,Rondae Hollis-Jefferson,21:03,Caris LeVert,19:26,Randy Foye,19:03,Trevor Booker,17:38,141,4,10,6.0,60.0,3.0,30.0,1.0,10.0,Alex Poythress,23,1,2016-2017,1.0,0,7.0,PHI,118,Timothé Luwawu-Cabarrot,,,,,,,,,,,,,37:46,T.J. McConnell,33:59,Justin Anderson,30:27,Nik Stauskas,24:11,Richaun Holmes,24:04,Dario Šarić,19:09,Gerald Henderson,17:37,Shawn Long,17:23,Tiago Splitter,7:30
0,.000,3,50.000,0,,102,0,4,100.0,1,.167,1.0,33.3,3.0,6,2,1.000,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201704060PHI.html,Home,90,25:51,0,0.0,CHI,Jimmy Butler,Michael Carter-Williams,10:09,Isaiah Canaan,1:51,Cristiano Felício,1:51,Cameron Payne,1:51,,,,,37:09,Robin Lopez,31:39,Jerian Grant,30:39,Nikola Mirotić,25:23,Paul Zipser,24:06,Anthony Morrow,21:10,Bobby Portis,20:46,Denzel Valentine,18:56,Joffrey Lauvergne,14:30,102,2,4,2.0,50.0,0.0,0.0,2.0,50.0,Alex Poythress,12,0,2016-2017,0.0,0,4.0,PHI,90,Timothé Luwawu-Cabarrot,,,,,,,,,,,,,34:19,Justin Anderson,33:22,T.J. McConnell,33:16,Richaun Holmes,30:47,Nik Stauskas,24:39,Dario Šarić,22:09,Gerald Henderson,18:24,Shawn Long,12:18,Tiago Splitter,4:55
0,.000,1,12.500,0,0.00,90,0,6,75.0,2,.250,2.0,28.6,7.0,8,2,1.000,2,25.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201704080PHI.html,Home,82,23:54,2,25.0,MIL,Giannis Antetokounmpo,Spencer Hawes,9:45,,,,,,,,,,,40:17,Khris Middleton,33:19,Matthew Dellavedova,32:53,Tony Snell,32:34,Mirza Teletović,22:24,Greg Monroe,22:02,Jason Terry,18:00,Thon Maker,16:13,Gary Payton II,12:33,90,3,6,4.0,66.7,0.0,0.0,2.0,33.3,Alex Poythress,8,0,2016-2017,0.0,2,8.0,PHI,82,Richaun Holmes,,,,,,,,,,,,,36:17,T.J. McConnell,34:17,Timothé Luwawu-Cabarrot,34:05,Justin Anderson,28:40,Nik Stauskas,28:01,Dario Šarić,24:06,Gerald Henderson,18:57,Tiago Splitter,11:43,,
5,.714,7,87.500,0,0.00,120,0,1,100.0,5,.625,0.0,0.0,1.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201704100PHI.html,Home,111,23:24,0,0.0,IND,Paul George,Lavoy Allen,8:13,Rakeem Christmas,0:00,,,,,,,,,36:29,Thaddeus Young,33:27,Jeff Teague,33:16,Myles Turner,28:21,Monta Ellis,26:26,C.J. Miles,21:14,Lance Stephenson,20:57,Kevin Séraphin,19:20,Aaron Brooks,12:17,120,1,15,0.0,0.0,15.0,100.0,0.0,0.0,Alex Poythress,9,1,2016-2017,1.0,1,1.0,PHI,111,Timothé Luwawu-Cabarrot,,,,,,,,,,,,,36:43,T.J. McConnell,36:36,Richaun Holmes,33:55,Nik Stauskas,26:28,Dario Šarić,24:36,Gerald Henderson,22:44,Justin Anderson,21:29,Tiago Splitter,8:13,Shawn Long,5:52
0,.000,3,21.429,1,,113,1,3,50.0,9,.643,9.0,81.8,11.0,14,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201704120NYK.html,Away,114,31:34,3,50.0,NYK,Ron Baker,Mindaugas Kuzminskas,18:07,Kyle O'Quinn,13:05,,,,,,,,,29:21,Marshall Plumlee,26:27,Chasson Randle,25:51,Maurice Ndour,24:49,Carmelo Anthony,23:07,Sasha Vujačić,20:37,Justin Holiday,20:29,Courtney Lee,19:59,Willy Hernangómez,18:08,114,3,18,18.0,100.0,0.0,0.0,0.0,0.0,Alex Poythress,1,1,2016-2017,2.0,0,6.0,PHI,113,Justin Anderson,,,,,,,,,,,,,34:35,Richaun Holmes,33:21,Gerald Henderson,29:51,Nik Stauskas,29:44,Timothé Luwawu-Cabarrot,23:33,Tiago Splitter,21:37,T.J. McConnell,18:45,Shawn Long,17:00,,
0,,0,,0,,114,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201710200IND.html,Home,96,3:51,0,0.0,POR,Al-Farouq Aminu,Zach Collins,7:02,Shabazz Napier,2:24,Jake Layman,2:24,,,,,,,34:34,Damian Lillard,32:59,CJ McCollum,32:17,Evan Turner,31:46,Jusuf Nurkić,25:37,Pat Connaughton,22:05,Maurice Harkless,20:05,Ed Davis,19:59,Caleb Swanigan,8:48,114,0,0,0.0,,0.0,,0.0,,Alex Poythress,18,0,2017-2018,0.0,0,1.0,IND,96,Victor Oladipo,Damien Wilkins,8:33,Joe Young,3:51,Ike Anigbogu,2:24,,,,,,,32:33,Darren Collison,31:25,Thaddeus Young,29:06,Domantas Sabonis,28:57,Bojan Bogdanović,24:12,Cory Joseph,19:54,Lance Stephenson,19:41,T.J. Leaf,19:26,Al Jefferson,16:07
0,,0,,0,,130,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710240MIN.html,Away,107,1:26,0,,MIN,Shabazz Muhammad,Aaron Brooks,4:39,Cole Aldrich,4:39,Marcus Georges-Hunt,4:39,,,,,,,31:02,Andrew Wiggins,30:49,Karl-Anthony Towns,30:43,Jamal Crawford,29:30,Nemanja Bjelica,25:55,Jeff Teague,25:43,Taj Gibson,22:05,Tyus Jones,17:38,Gorgui Dieng,12:38,107,0,0,0.0,,0.0,,0.0,,Alex Poythress,23,0,2017-2018,0.0,0,0.0,IND,130,Darren Collison,Joe Young,2:12,Ike Anigbogu,2:12,Damien Wilkins,2:12,,,,,,,33:39,Thaddeus Young,31:17,Bojan Bogdanović,31:00,Cory Joseph,28:55,Victor Oladipo,28:23,Domantas Sabonis,25:22,T.J. Leaf,19:17,Al Jefferson,17:52,Lance Stephenson,16:13
0,,0,,0,,96,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201710250OKC.html,Away,114,2:22,0,,OKC,Russell Westbrook,Álex Abrines,13:26,Terrance Ferguson,1:32,,,,,,,,,35:09,Carmelo Anthony,32:59,Steven Adams,30:51,Josh Huestis,25:40,Jerami Grant,25:17,Andre Roberson,20:40,Paul George,19:06,Raymond Felton,18:50,Patrick Patterson,16:30,114,0,0,0.0,,0.0,,0.0,,Alex Poythress,18,0,2017-2018,0.0,0,0.0,IND,96,Darren Collison,Joe Young,2:22,Ike Anigbogu,2:22,Damien Wilkins,2:22,,,,,,,37:49,Victor Oladipo,35:50,Thaddeus Young,33:29,Bojan Bogdanović,28:51,Cory Joseph,21:11,T.J. Leaf,19:22,Domantas Sabonis,18:44,Al Jefferson,18:11,Lance Stephenson,17:05
2,1.000,2,100.000,0,0.00,83,0,1,100.0,2,1.000,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710310IND.html,Home,101,2:06,0,0.0,SAC,Bogdan Bogdanović,Justin Jackson,17:25,Frank Mason III,4:55,Georgios Papagiannis,4:55,,,,,,,28:06,De'Aaron Fox,27:46,George Hill,27:04,Skal Labissière,24:59,Zach Randolph,23:01,Willie Cauley-Stein,22:38,Kosta Koufos,20:27,Malachi Richardson,19:26,Buddy Hield,19:18,83,0,6,0.0,0.0,6.0,100.0,0.0,0.0,Alex Poythress,18,0,2017-2018,0.0,1,1.0,IND,101,Victor Oladipo,Joe Young,9:54,Ike Anigbogu,4:55,Damien Wilkins,4:55,,,,,,,28:07,Thaddeus Young,27:24,Bojan Bogdanović,27:11,Domantas Sabonis,25:07,Darren Collison,24:49,Lance Stephenson,24:18,Cory Joseph,22:40,T.J. Leaf,20:36,Al Jefferson,17:58
