3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,101,0,3,100.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201810190MIL.html,Away,118,4:14,0,0.0,MIL,Giannis Antetokounmpo,Christian Wood,5:48,Matthew Dellavedova,4:14,Sterling Brown,3:44,Pat Connaughton,3:44,,,,,31:59,Khris Middleton,30:34,Malcolm Brogdon,27:26,Eric Bledsoe,26:02,Ersan İlyasova,23:43,John Henson,22:26,Brook Lopez,22:16,Donte DiVincenzo,20:14,Tony Snell,17:50,118,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Alize Johnson,17,0,2018-2019,0.0,0,3.0,IND,101,Victor Oladipo,Kyle O'Quinn,4:14,Aaron Holiday,4:14,Edmond Sumner,4:14,,,,,,,31:41,Myles Turner,27:23,Bojan Bogdanović,27:19,Thaddeus Young,26:56,Darren Collison,26:48,Tyreke Evans,22:38,Domantas Sabonis,22:10,Doug McDermott,20:21,Cory Joseph,17:48
0,,0,,0,,112,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201810200IND.html,Home,132,3:16,0,0.0,BRK,Joe Harris,Kenneth Faried,6:48,Džanan Musa,6:33,Theo Pinson,6:33,,,,,,,31:31,D'Angelo Russell,30:41,Caris LeVert,27:37,Spencer Dinwiddie,26:26,Allen Crabbe,25:20,Jared Dudley,22:35,Jarrett Allen,21:34,Ed Davis,19:26,Rodions Kurucs,14:56,112,1,0,0.0,,0.0,,0.0,,Alize Johnson,20,0,2018-2019,0.0,0,1.0,IND,132,Victor Oladipo,Edmond Sumner,3:49,Aaron Holiday,3:16,Ike Anigbogu,2:51,,,,,,,32:54,Bojan Bogdanović,27:27,Myles Turner,26:33,Doug McDermott,25:53,Thaddeus Young,25:31,Cory Joseph,25:10,Darren Collison,22:53,Tyreke Evans,21:51,Kyle O'Quinn,18:36
0,,0,,0,,119,0,0,,0,,0.0,,0.0,0,0,.000,2,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201810270CLE.html,Away,107,1:28,0,,CLE,Cedi Osman,David Nwaba,14:28,J.R. Smith,6:12,Ante Žižić,3:28,,,,,,,31:49,Rodney Hood,29:16,George Hill,28:34,Sam Dekker,24:05,Larry Nance Jr.,22:41,Collin Sexton,22:34,Tristan Thompson,21:51,Jordan Clarkson,19:34,Kyle Korver,15:28,107,1,0,0.0,,0.0,,0.0,,Alize Johnson,12,0,2018-2019,0.0,0,0.0,IND,119,Victor Oladipo,Edmond Sumner,5:04,Aaron Holiday,1:47,,,,,,,,,36:41,Thaddeus Young,32:59,Bojan Bogdanović,31:33,Darren Collison,29:52,Cory Joseph,28:30,Myles Turner,27:34,Domantas Sabonis,21:27,Doug McDermott,17:49,T.J. Leaf,5:16
0,,0,0.000,0,,112,1,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201812070ORL.html,Away,90,3:23,0,,ORL,Aaron Gordon,Khem Birch,4:08,Wes Iwundu,4:08,Isaiah Briscoe,4:08,Jarell Martin,4:08,,,,,33:55,Evan Fournier,29:03,Terrence Ross,26:00,Jerian Grant,25:40,Nikola Vučević,25:38,D.J. Augustin,22:20,Jonathon Simmons,22:02,Jonathan Isaac,20:36,Mo Bamba,18:14,90,0,0,0.0,,0.0,,0.0,,Alize Johnson,22,0,2018-2019,1.0,0,0.0,IND,112,Thaddeus Young,Doug McDermott,13:42,Edmond Sumner,3:23,,,,,,,,,30:56,Bojan Bogdanović,29:14,Kyle O'Quinn,27:25,Darren Collison,26:19,Cory Joseph,24:51,Tyreke Evans,22:50,Aaron Holiday,21:41,Myles Turner,20:35,T.J. Leaf,15:41
0,,0,0.000,0,,108,0,2,66.7,0,.000,0.0,0.0,2.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201901090BOS.html,Away,135,6:10,1,33.3,BOS,Jaylen Brown,Semi Ojeleye,14:00,Robert Williams,12:00,Brad Wanamaker,6:10,Guerschon Yabusele,6:10,,,,,28:44,Jayson Tatum,25:15,Kyrie Irving,23:59,Marcus Morris,23:25,Marcus Smart,22:15,Gordon Hayward,22:03,Terry Rozier,19:59,Al Horford,18:14,Daniel Theis,17:46,135,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Alize Johnson,27,0,2018-2019,0.0,0,3.0,IND,108,Domantas Sabonis,Doug McDermott,16:35,Aaron Holiday,6:10,Edmond Sumner,4:22,,,,,,,27:11,Victor Oladipo,26:22,Thaddeus Young,26:22,Bojan Bogdanović,24:10,Tyreke Evans,22:17,Darren Collison,21:47,Kyle O'Quinn,20:49,Cory Joseph,20:03,T.J. Leaf,17:42
0,,0,0.000,0,,121,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201901110NYK.html,Away,106,2:06,0,,NYK,Mario Hezonja,Lance Thomas,15:16,,,,,,,,,,,30:09,Tim Hardaway Jr.,28:58,Emmanuel Mudiay,28:01,Kevin Knox,27:36,Damyean Dotson,27:35,Trey Burke,25:49,Luke Kornet,20:58,Noah Vonleh,19:21,Allonzo Trier,16:17,106,0,0,0.0,,0.0,,0.0,,Alize Johnson,15,0,2018-2019,0.0,0,0.0,IND,121,Domantas Sabonis,Kyle O'Quinn,14:01,Aaron Holiday,2:06,Edmond Sumner,2:06,,,,,,,31:53,Thaddeus Young,30:18,Victor Oladipo,28:02,Darren Collison,26:51,Bojan Bogdanović,25:50,Cory Joseph,21:14,Tyreke Evans,19:35,Doug McDermott,18:59,T.J. Leaf,16:59
1,1.000,1,50.000,0,,97,0,0,,1,.500,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201901150IND.html,Home,131,3:36,0,,PHO,T.J. Warren,Quincy Acy,8:55,Troy Daniels,4:49,Dragan Bender,4:49,,,,,,,30:43,Mikal Bridges,29:58,Deandre Ayton,28:48,Devin Booker,26:33,Kelly Oubre Jr.,24:12,De'Anthony Melton,22:03,Elie Okobo,20:38,Josh Jackson,19:20,Richaun Holmes,19:12,97,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Alize Johnson,34,0,2018-2019,0.0,0,0.0,IND,131,Victor Oladipo,T.J. Leaf,11:15,Aaron Holiday,4:49,Kyle O'Quinn,4:49,,,,,,,29:53,Bojan Bogdanović,29:17,Thaddeus Young,28:13,Myles Turner,27:53,Darren Collison,27:18,Cory Joseph,20:33,Domantas Sabonis,19:46,Doug McDermott,18:07,Tyreke Evans,14:31
0,,0,,0,,120,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201901170IND.html,Home,96,1:09,0,,PHI,Jimmy Butler,Furkan Korkmaz,1:09,,,,,,,,,,,34:43,Joel Embiid,34:36,Ben Simmons,33:21,JJ Redick,33:20,Wilson Chandler,32:07,Mike Muscala,22:23,T.J. McConnell,21:03,Landry Shamet,14:39,Jonah Bolden,12:39,120,0,0,0.0,,0.0,,0.0,,Alize Johnson,24,0,2018-2019,0.0,0,0.0,IND,96,Bojan Bogdanović,T.J. Leaf,5:57,Aaron Holiday,1:09,,,,,,,,,35:05,Victor Oladipo,33:37,Myles Turner,32:06,Thaddeus Young,31:54,Darren Collison,29:35,Domantas Sabonis,21:38,Cory Joseph,21:23,Tyreke Evans,14:51,Doug McDermott,11:36
0,,0,,0,,99,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201901190IND.html,Home,111,1:30,0,,DAL,Harrison Barnes,Dirk Nowitzki,9:46,Ryan Broekhoff,9:27,Daryl Macon,2:59,Salah Mejri,2:53,,,,,32:26,DeAndre Jordan,31:00,Wesley Matthews,29:10,Luka Dončić,24:29,Dorian Finney-Smith,23:51,Maxi Kleber,23:29,Jalen Brunson,21:50,Devin Harris,14:33,Dwight Powell,14:07,99,0,0,0.0,,0.0,,0.0,,Alize Johnson,12,0,2018-2019,0.0,0,0.0,IND,111,Bojan Bogdanović,Kyle O'Quinn,2:41,Aaron Holiday,1:30,T.J. Leaf,1:30,,,,,,,33:01,Victor Oladipo,32:10,Thaddeus Young,28:05,Domantas Sabonis,27:06,Tyreke Evans,25:14,Myles Turner,24:53,Darren Collison,23:42,Cory Joseph,22:48,Doug McDermott,15:50
0,,0,0.000,0,,95,0,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201901200IND.html,Home,120,2:14,0,0.0,CHO,Kemba Walker,Miles Bridges,14:31,Dwayne Bacon,2:14,Devonte' Graham,2:14,,,,,,,36:48,Nicolas Batum,32:14,Marvin Williams,30:58,Jeremy Lamb,29:50,Bismack Biyombo,24:01,Michael Kidd-Gilchrist,18:26,Willy Hernangómez,17:36,Malik Monk,15:47,Tony Parker,15:21,95,0,0,0.0,,0.0,,0.0,,Alize Johnson,25,0,2018-2019,0.0,0,1.0,IND,120,Victor Oladipo,T.J. Leaf,8:20,Aaron Holiday,2:14,Kyle O'Quinn,2:14,,,,,,,31:53,Darren Collison,30:19,Myles Turner,30:15,Thaddeus Young,27:56,Bojan Bogdanović,27:39,Domantas Sabonis,23:04,Cory Joseph,23:04,Tyreke Evans,15:27,Doug McDermott,15:21
