3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,1,0.33,81,0,1,100.0,2,.667,2.0,66.7,3.0,3,1,.500,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201310310CHI.html,Away,82,10:40,0,0.0,CHI,Jimmy Butler,,,,,,,,,,,,,41:27,Luol Deng,39:49,Joakim Noah,35:58,Derrick Rose,33:43,Carlos Boozer,32:41,Taj Gibson,20:45,Kirk Hinrich,16:30,Mike Dunleavy,14:44,Nazr Mohammed,4:23,82,4,5,4.0,80.0,0.0,0.0,1.0,20.0,Amar'e Stoudemire,1,1,2013-2014,1.0,3,1.0,NYK,81,Carmelo Anthony,,,,,,,,,,,,,42:01,Raymond Felton,36:45,Tyson Chandler,36:04,Tim Hardaway Jr.,26:50,Iman Shumpert,25:18,Andrea Bargnani,24:38,Metta World Peace,22:47,Pablo Prigioni,11:15,Kenyon Martin,3:42
0,,0,0.000,1,0.20,102,0,2,66.7,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311050NYK.html,Home,97,11:13,1,33.3,CHA,Gerald Henderson,Cody Zeller,18:00,,,,,,,,,,,35:40,Kemba Walker,35:20,Michael Kidd-Gilchrist,25:59,Ramon Sessions,22:29,Anthony Tolliver,22:11,Jeff Adrien,21:51,Josh McRoberts,21:31,Bismack Biyombo,18:35,Jeff Taylor,18:24,102,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Amar'e Stoudemire,5,0,2013-2014,0.0,5,3.0,NYK,97,Carmelo Anthony,Beno Udrih,3:36,,,,,,,,,,,44:37,Raymond Felton,37:18,Iman Shumpert,32:40,Metta World Peace,32:29,Andrea Bargnani,23:02,Pablo Prigioni,18:30,Kenyon Martin,18:17,Tim Hardaway Jr.,11:43,Tyson Chandler,6:35
0,,0,0.000,1,1.00,101,0,2,100.0,2,1.000,2.0,100.0,2.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311080CHA.html,Away,91,8:28,0,0.0,CHA,Kemba Walker,Jeff Adrien,2:45,,,,,,,,,,,38:07,Gerald Henderson,35:46,Michael Kidd-Gilchrist,34:15,Josh McRoberts,33:01,Bismack Biyombo,26:06,Cody Zeller,23:08,Jeff Taylor,17:12,Ramon Sessions,14:54,Anthony Tolliver,14:46,91,1,5,4.0,80.0,0.0,0.0,1.0,20.0,Amar'e Stoudemire,10,1,2013-2014,1.0,1,2.0,NYK,101,Carmelo Anthony,Cole Aldrich,1:29,Toure' Murry,1:29,,,,,,,,,39:15,Iman Shumpert,38:44,Raymond Felton,37:47,Andrea Bargnani,34:48,Metta World Peace,28:37,Pablo Prigioni,21:31,Tim Hardaway Jr.,13:50,Kenyon Martin,10:06,Beno Udrih,3:56
0,,0,0.000,0,,120,0,1,50.0,1,.200,1.0,20.0,5.0,5,0,.000,2,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311100NYK.html,Home,89,13:26,1,50.0,SAS,Marco Belinelli,Tiago Splitter,12:12,Nando De Colo,8:33,Cory Joseph,6:59,Aron Baynes,6:59,,,,,25:47,Tony Parker,25:30,Boris Diaw,25:00,Tim Duncan,23:47,Kawhi Leonard,23:19,Manu Ginóbili,22:57,Danny Green,22:52,Patty Mills,22:30,Jeff Ayres,13:35,120,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Amar'e Stoudemire,31,0,2013-2014,0.0,0,2.0,NYK,89,Carmelo Anthony,Cole Aldrich,8:33,Toure' Murry,4:16,,,,,,,,,34:43,Metta World Peace,31:46,Andrea Bargnani,26:01,Raymond Felton,24:50,Iman Shumpert,22:04,J.R. Smith,20:33,Beno Udrih,19:43,Tim Hardaway Jr.,18:55,Pablo Prigioni,15:10
0,,0,0.000,0,,109,0,1,100.0,0,.000,0.0,0.0,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311140NYK.html,Home,106,5:03,0,0.0,HOU,James Harden,Greg Smith,0:40,Aaron Brooks,0:02,,,,,,,,,41:40,Chandler Parsons,36:37,Dwight Howard,34:02,Terrence Jones,33:44,Jeremy Lin,30:23,Patrick Beverley,26:43,Omri Casspi,16:51,Francisco García,16:25,Ronnie Brewer,2:53,109,0,0,0.0,,0.0,,0.0,,Amar'e Stoudemire,3,0,2013-2014,0.0,0,1.0,NYK,106,Carmelo Anthony,,,,,,,,,,,,,43:49,Raymond Felton,40:37,J.R. Smith,38:50,Andrea Bargnani,32:58,Iman Shumpert,30:19,Metta World Peace,17:13,Tim Hardaway Jr.,13:49,Kenyon Martin,9:59,Pablo Prigioni,7:23
0,,0,0.000,1,,110,0,2,100.0,2,.400,2.0,40.0,5.0,5,1,.500,2,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311160NYK.html,Home,90,14:00,0,0.0,ATL,Kyle Korver,Cartier Martin,15:41,,,,,,,,,,,33:02,Paul Millsap,29:52,Al Horford,29:30,DeMarre Carroll,29:26,Jeff Teague,25:18,Shelvin Mack,24:23,Gustavo Ayón,19:51,Mike Scott,16:47,John Jenkins,16:10,110,2,5,4.0,80.0,0.0,0.0,1.0,20.0,Amar'e Stoudemire,20,0,2013-2014,0.0,0,2.0,NYK,90,J.R. Smith,Cole Aldrich,3:22,,,,,,,,,,,36:28,Carmelo Anthony,33:44,Iman Shumpert,33:32,Raymond Felton,33:23,Andrea Bargnani,28:25,Tim Hardaway Jr.,21:45,Kenyon Martin,17:21,Pablo Prigioni,14:37,Toure' Murry,3:23
0,,0,0.000,1,,86,0,2,40.0,3,.429,3.0,42.9,7.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311190DET.html,Away,92,15:07,3,60.0,DET,Josh Smith,,,,,,,,,,,,,41:27,Greg Monroe,36:24,Andre Drummond,35:47,Rodney Stuckey,31:01,Kentavious Caldwell-Pope,29:29,Brandon Jennings,26:34,Kyle Singler,23:13,Peyton Siva,11:22,Gigi Datome,4:43,92,1,6,6.0,100.0,0.0,0.0,0.0,0.0,Amar'e Stoudemire,6,0,2013-2014,0.0,0,5.0,NYK,86,Andrea Bargnani,,,,,,,,,,,,,37:58,Carmelo Anthony,37:15,J.R. Smith,34:12,Iman Shumpert,34:10,Kenyon Martin,28:58,Pablo Prigioni,23:00,Beno Udrih,18:28,Tim Hardaway Jr.,10:52,,
0,,0,0.000,1,,89,0,2,50.0,5,1.000,5.0,100.0,5.0,5,2,.500,4,80.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311230WAS.html,Away,98,21:37,2,50.0,WAS,Bradley Beal,,,,,,,,,,,,,40:17,Martell Webster,40:03,John Wall,39:30,Marcin Gortat,36:35,Nenê,34:45,Jan Veselý,23:16,Garrett Temple,15:45,Eric Maynor,9:49,,,98,2,12,10.0,83.3,0.0,0.0,2.0,16.7,Amar'e Stoudemire,9,1,2013-2014,1.0,0,4.0,NYK,89,Carmelo Anthony,Toure' Murry,1:24,,,,,,,,,,,40:48,Andrea Bargnani,33:22,J.R. Smith,30:23,Iman Shumpert,27:01,Beno Udrih,25:01,Kenyon Martin,24:53,Pablo Prigioni,19:00,Metta World Peace,10:01,Tim Hardaway Jr.,6:30
0,,0,0.000,2,1.00,91,1,2,33.3,5,.417,5.0,41.7,12.0,12,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311250POR.html,Away,102,24:51,4,66.7,POR,Nicolas Batum,Will Barton,7:16,,,,,,,,,,,38:40,Wesley Matthews,37:31,LaMarcus Aldridge,36:36,Damian Lillard,36:09,Robin Lopez,34:59,Dorell Wright,13:16,Joel Freeland,12:36,Earl Watson,11:51,Thomas Robinson,11:06,102,2,10,10.0,100.0,0.0,0.0,0.0,0.0,Amar'e Stoudemire,11,0,2013-2014,1.0,2,6.0,NYK,91,Andrea Bargnani,,,,,,,,,,,,,43:29,Carmelo Anthony,42:46,Beno Udrih,31:00,J.R. Smith,24:36,Kenyon Martin,24:23,Iman Shumpert,23:16,Pablo Prigioni,17:00,Metta World Peace,8:39,,
0,,0,0.000,0,0.00,80,0,2,100.0,2,.400,2.0,40.0,5.0,5,0,.000,1,20.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311270LAC.html,Away,93,20:20,0,0.0,LAC,Blake Griffin,Ryan Hollins,7:56,,,,,,,,,,,35:44,Jared Dudley,35:11,DeAndre Jordan,35:09,Chris Paul,26:15,Jamal Crawford,25:09,JJ Redick,23:30,Darren Collison,22:13,Antawn Jamison,16:05,Reggie Bullock,12:48,93,4,4,4.0,100.0,0.0,0.0,0.0,0.0,Amar'e Stoudemire,13,1,2013-2014,1.0,2,2.0,NYK,80,Carmelo Anthony,Beno Udrih,3:29,,,,,,,,,,,40:32,Andrea Bargnani,38:46,Raymond Felton,35:25,J.R. Smith,26:18,Iman Shumpert,24:32,Kenyon Martin,23:42,Metta World Peace,9:49,Pablo Prigioni,9:06,Tim Hardaway Jr.,8:01
