3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,100.000,1,1.00,127,0,3,75.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310290MIL.html,Home,110,6:37,1,25.0,ATL,Trae Young,Bruno Fernando,4:41,Trent Forrest,4:41,Kobe Bufkin,3:14,Mouhamed Gueye,3:12,,,,,32:02,Saddiq Bey,30:59,Dejounte Murray,29:44,Bogdan Bogdanović,26:19,Jalen Johnson,25:42,De'Andre Hunter,24:16,Clint Capela,23:02,Onyeka Okongwu,22:38,AJ Griffin,9:30,127,2,0,0.0,,0.0,,0.0,,Andre Jackson Jr.,17,1,2023-2024,1.0,1,4.0,MIL,110,Malik Beasley,Thanasis Antetokounmpo,7:33,A.J. Green,5:37,Robin Lopez,5:37,TyTy Washington Jr.,3:14,,,,,31:38,Giannis Antetokounmpo,29:28,Damian Lillard,29:02,Jae Crowder,25:57,Pat Connaughton,23:19,Bobby Portis,21:01,Brook Lopez,20:25,MarJon Beauchamp,16:08,Cameron Payne,14:24
0,,0,0.000,3,,111,0,1,100.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311010TOR.html,Away,130,6:21,0,0.0,TOR,Pascal Siakam,Chris Boucher,13:28,Garrett Temple,2:41,,,,,,,,,32:54,Jakob Poeltl,29:08,Dennis Schröder,28:36,Scottie Barnes,28:35,OG Anunoby,24:57,Gary Trent Jr.,23:25,Gradey Dick,21:15,Malachi Flynn,19:24,Otto Porter Jr.,15:37,130,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Andre Jackson Jr.,19,1,2023-2024,1.0,0,1.0,MIL,111,Damian Lillard,MarJon Beauchamp,15:59,Chris Livingston,5:31,A.J. Green,5:31,Thanasis Antetokounmpo,3:49,,,,,30:36,Giannis Antetokounmpo,27:41,Malik Beasley,25:15,Jae Crowder,25:04,Pat Connaughton,22:38,Cameron Payne,19:06,Bobby Portis,18:42,Khris Middleton,17:08,Brook Lopez,16:39
0,,0,,0,,118,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311080MIL.html,Home,120,3:38,0,,DET,Cade Cunningham,,,,,,,,,,,,,38:54,Isaiah Stewart,36:56,Ausar Thompson,36:48,Killian Hayes,29:13,Marcus Sasser,28:29,Jalen Duren,28:27,Marvin Bagley III,19:33,Jared Rhoden,12:43,Stanley Umude,8:55,118,3,0,0.0,,0.0,,0.0,,Andre Jackson Jr.,2,1,2023-2024,1.0,0,0.0,MIL,120,Jae Crowder,,,,,,,,,,,,,37:12,Damian Lillard,33:46,MarJon Beauchamp,26:35,Brook Lopez,26:19,Malik Beasley,24:55,Cameron Payne,23:51,Bobby Portis,22:56,Giannis Antetokounmpo,21:52,Pat Connaughton,18:55
0,,0,,0,,124,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311090IND.html,Away,126,5:13,0,,IND,Tyrese Haliburton,Daniel Theis,8:26,,,,,,,,,,,38:07,Bruce Brown,37:42,Myles Turner,37:16,Bennedict Mathurin,36:18,Buddy Hield,22:23,Andrew Nembhard,19:38,Aaron Nesmith,16:29,Obi Toppin,12:55,Isaiah Jackson,10:43,126,2,0,0.0,,0.0,,0.0,,Andre Jackson Jr.,2,0,2023-2024,0.0,0,0.0,MIL,124,Giannis Antetokounmpo,,,,,,,,,,,,,36:29,Cameron Payne,30:04,Jae Crowder,29:09,Malik Beasley,28:46,Brook Lopez,28:35,Pat Connaughton,24:38,Bobby Portis,24:12,Khris Middleton,19:52,MarJon Beauchamp,13:01
0,.000,1,33.333,0,0.00,97,0,2,66.7,2,.667,2.0,100.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311110ORL.html,Away,112,13:58,1,33.3,ORL,Jalen Suggs,,,,,,,,,,,,,38:23,Paolo Banchero,38:16,Franz Wagner,37:56,Anthony Black,28:09,Joe Ingles,23:29,Moritz Wagner,21:18,Goga Bitadze,21:07,Jonathan Isaac,17:19,Cole Anthony,14:03,112,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Andre Jackson Jr.,15,0,2023-2024,0.0,2,3.0,MIL,97,Giannis Antetokounmpo,Thanasis Antetokounmpo,9:41,A.J. Green,9:29,Chris Livingston,3:53,,,,,,,36:39,Bobby Portis,27:37,Cameron Payne,25:34,Brook Lopez,21:14,Malik Beasley,20:13,MarJon Beauchamp,19:40,Khris Middleton,19:30,Jae Crowder,16:55,Pat Connaughton,15:37
1,.333,3,75.000,0,,109,0,1,33.3,2,.500,1.0,100.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311130MIL.html,Home,118,12:41,2,66.7,CHI,Zach LaVine,,,,,,,,,,,,,39:13,DeMar DeRozan,36:58,Nikola Vučević,36:21,Patrick Williams,27:15,Coby White,26:21,Ayo Dosunmu,25:30,Torrey Craig,22:29,Jevon Carter,14:13,Andre Drummond,11:39,109,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Andre Jackson Jr.,9,0,2023-2024,0.0,0,3.0,MIL,118,Giannis Antetokounmpo,,,,,,,,,,,,,34:42,Damian Lillard,32:00,Brook Lopez,28:58,Pat Connaughton,28:44,Bobby Portis,25:28,Malik Beasley,20:59,MarJon Beauchamp,19:45,Khris Middleton,19:21,Cameron Payne,17:22
0,,0,0.000,1,0.50,128,0,0,0.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311150TOR.html,Away,112,16:30,2,100.0,TOR,Scottie Barnes,Otto Porter Jr.,10:38,Garrett Temple,3:31,Markquis Nowell,3:31,Thaddeus Young,3:31,,,,,31:23,Pascal Siakam,28:36,Jakob Poeltl,27:10,Malachi Flynn,26:52,Gradey Dick,26:23,Dennis Schröder,22:32,Chris Boucher,20:16,Jalen McDaniels,18:18,Precious Achiuwa,17:19,112,2,0,0.0,,0.0,,0.0,,Andre Jackson Jr.,16,0,2023-2024,0.0,2,2.0,MIL,128,Brook Lopez,A.J. Green,7:15,Robin Lopez,2:22,TyTy Washington Jr.,2:22,Lindell Wigginton,2:22,,,,,33:06,Malik Beasley,31:04,Damian Lillard,30:43,Bobby Portis,30:43,Pat Connaughton,22:28,Khris Middleton,20:19,Cameron Payne,16:04,Thanasis Antetokounmpo,15:01,MarJon Beauchamp,9:41
2,1.000,2,100.000,2,2.00,130,0,1,100.0,2,1.000,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311170CHO.html,Away,99,7:33,0,0.0,CHO,LaMelo Ball,Nick Richards,6:42,JT Thor,5:30,Théo Maledon,3:36,,,,,,,34:59,Miles Bridges,33:29,Mark Williams,31:46,Gordon Hayward,28:45,Brandon Miller,27:28,P.J. Washington,26:23,Ish Smith,22:31,Bryce McGowens,9:47,Nick Smith Jr.,9:04,99,1,6,0.0,0.0,6.0,100.0,0.0,0.0,Andre Jackson Jr.,31,0,2023-2024,0.0,1,1.0,MIL,130,Brook Lopez,Thanasis Antetokounmpo,2:40,Marques Bolden,2:40,,,,,,,,,32:49,Pat Connaughton,30:58,Damian Lillard,30:40,Malik Beasley,29:44,Bobby Portis,29:41,Giannis Antetokounmpo,28:10,Khris Middleton,21:51,Cameron Payne,20:34,A.J. Green,2:40
0,,0,0.000,2,,125,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311180MIL.html,Home,132,12:01,0,,DAL,Grant Williams,Seth Curry,9:07,,,,,,,,,,,37:47,Luka Dončić,35:19,Kyrie Irving,33:42,Tim Hardaway Jr.,26:19,Dereck Lively II,23:54,Dwight Powell,23:36,Josh Green,19:44,Derrick Jones Jr.,19:14,Dante Exum,11:17,125,1,0,0.0,,0.0,,0.0,,Andre Jackson Jr.,7,0,2023-2024,0.0,0,0.0,MIL,132,Giannis Antetokounmpo,,,,,,,,,,,,,37:51,Damian Lillard,37:49,Pat Connaughton,34:36,Malik Beasley,33:51,Brook Lopez,33:38,Bobby Portis,21:53,Cameron Payne,17:12,A.J. Green,11:09,,
0,,0,,0,,142,0,0,0.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311200WAS.html,Away,129,1:19,1,100.0,WAS,Jordan Poole,Johnny Davis,6:05,Eugene Omoruyi,1:15,Jared Butler,1:15,Anthony Gill,1:15,Ryan Rollins,1:15,,,32:42,Deni Avdija,31:27,Kyle Kuzma,30:58,Daniel Gafford,28:38,Tyus Jones,26:18,Bilal Coulibaly,25:16,Corey Kispert,21:02,Danilo Gallinari,18:07,Landry Shamet,14:27,129,0,0,0.0,,0.0,,0.0,,Andre Jackson Jr.,13,0,2023-2024,0.0,0,1.0,MIL,142,Giannis Antetokounmpo,Thanasis Antetokounmpo,1:19,Robin Lopez,1:19,,,,,,,,,33:54,Malik Beasley,33:16,Damian Lillard,32:58,Brook Lopez,32:08,Pat Connaughton,26:22,Bobby Portis,23:20,Khris Middleton,23:05,Cameron Payne,16:29,A.J. Green,14:31
