3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,.500,2,100.000,0,,114,0,0,,1,.500,0.0,,0.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201510300SAC.html,Away,132,4:04,0,,SAC,Rudy Gay,James Anderson,4:30,Seth Curry,3:49,Eric Moreland,3:44,,,,,,,31:21,Willie Cauley-Stein,30:11,DeMarcus Cousins,28:23,Ben McLemore,24:59,Darren Collison,23:50,Rajon Rondo,23:47,Marco Belinelli,22:12,Omri Casspi,21:59,Kosta Koufos,21:15,132,0,5,0.0,0.0,3.0,60.0,2.0,40.0,Anthony Brown,18,0,2015-2016,0.0,0,0.0,LAL,114,Jordan Clarkson,Julius Randle,16:13,Tarik Black,6:34,Robert Sacre,4:04,,,,,,,28:32,Ryan Kelly,27:43,Lou Williams,26:08,D'Angelo Russell,23:02,Kobe Bryant,22:12,Nick Young,21:44,Roy Hibbert,21:16,Brandon Bass,20:10,Marcelo Huertas,18:18
0,,0,,0,,88,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201511100MIA.html,Away,101,2:54,0,,MIA,Chris Bosh,Udonis Haslem,2:27,,,,,,,,,,,32:41,Justise Winslow,31:58,Luol Deng,29:37,Goran Dragić,29:30,Tyler Johnson,28:48,Hassan Whiteside,27:07,Dwyane Wade,24:44,Josh McRoberts,18:23,Josh Richardson,14:45,101,0,0,0.0,,0.0,,0.0,,Anthony Brown,13,1,2015-2016,1.0,0,0.0,LAL,88,Jordan Clarkson,Tarik Black,13:31,Brandon Bass,10:29,Ryan Kelly,2:27,,,,,,,30:59,Lou Williams,26:04,Julius Randle,25:33,Nick Young,25:31,Roy Hibbert,24:00,Metta World Peace,22:29,D'Angelo Russell,21:05,Larry Nance Jr.,20:00,Marcelo Huertas,14:58
0,,0,,0,,101,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201511160PHO.html,Away,120,2:04,0,,PHO,Brandon Knight,Devin Booker,2:04,,,,,,,,,,,40:47,Eric Bledsoe,28:17,Mirza Teletović,26:58,Alex Len,25:24,Archie Goodwin,24:52,T.J. Warren,24:17,P.J. Tucker,23:43,Tyson Chandler,22:36,Jon Leuer,21:02,120,0,0,0.0,,0.0,,0.0,,Anthony Brown,19,0,2015-2016,0.0,0,0.0,LAL,101,Jordan Clarkson,Marcelo Huertas,13:47,Tarik Black,2:04,,,,,,,,,33:09,Roy Hibbert,30:33,D'Angelo Russell,27:27,Nick Young,25:16,Julius Randle,25:09,Larry Nance Jr.,22:51,Lou Williams,21:37,Metta World Peace,20:40,Brandon Bass,15:23
0,,0,0.000,0,,87,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512110SAS.html,Away,109,5:29,0,,SAS,LaMarcus Aldridge,David West,17:44,Rasual Butler,10:21,Boban Marjanović,5:29,Manu Ginóbili,5:25,,,,,27:00,Boris Diaw,25:28,Kawhi Leonard,24:59,Ray McCallum,23:28,Patty Mills,21:44,Kyle Anderson,20:57,Tim Duncan,20:19,Jonathon Simmons,18:56,Danny Green,18:10,109,1,0,0.0,,0.0,,0.0,,Anthony Brown,22,0,2015-2016,0.0,0,0.0,LAL,87,D'Angelo Russell,Ryan Kelly,9:00,Brandon Bass,5:29,,,,,,,,,36:18,Lou Williams,33:48,Roy Hibbert,30:08,Kobe Bryant,28:59,Julius Randle,20:26,Marcelo Huertas,20:25,Nick Young,19:01,Larry Nance Jr.,18:34,Robert Sacre,12:23
0,.000,1,50.000,0,,97,0,0,,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512120HOU.html,Away,126,2:45,0,,HOU,Dwight Howard,Donatas Motiejūnas,14:42,K.J. McDaniels,2:45,,,,,,,,,33:15,James Harden,31:39,Trevor Ariza,28:08,Ty Lawson,25:49,Clint Capela,24:29,Terrence Jones,23:26,Patrick Beverley,22:11,Corey Brewer,17:07,Marcus Thornton,16:29,126,0,0,0.0,,0.0,,0.0,,Anthony Brown,29,0,2015-2016,0.0,0,0.0,LAL,97,D'Angelo Russell,,,,,,,,,,,,,37:07,Kobe Bryant,31:09,Lou Williams,28:32,Nick Young,27:21,Roy Hibbert,25:13,Larry Nance Jr.,25:03,Julius Randle,22:57,Robert Sacre,22:47,Marcelo Huertas,17:06
0,.000,3,33.333,1,0.50,78,0,0,0.0,2,.222,2.0,33.3,6.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512190OKC.html,Away,118,27:23,1,100.0,OKC,Kevin Durant,Nick Collison,15:43,Cameron Payne,9:30,Kyle Singler,6:44,Steve Novak,6:00,,,,,29:42,Russell Westbrook,27:43,Serge Ibaka,26:17,Steven Adams,24:35,Enes Freedom,23:25,Anthony Morrow,18:49,Andre Roberson,17:41,Dion Waiters,17:05,D.J. Augustin,16:46,118,4,4,4.0,100.0,0.0,0.0,0.0,0.0,Anthony Brown,40,2,2015-2016,2.0,2,1.0,LAL,78,Jordan Clarkson,Brandon Bass,10:24,,,,,,,,,,,29:49,D'Angelo Russell,27:20,Lou Williams,26:51,Julius Randle,25:54,Roy Hibbert,22:34,Larry Nance Jr.,22:06,Nick Young,20:37,Robert Sacre,15:02,Marcelo Huertas,12:00
0,.000,5,83.333,3,3.00,120,0,3,100.0,1,.167,1.0,100.0,1.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512230LAL.html,Home,85,20:04,0,0.0,OKC,Russell Westbrook,D.J. Augustin,10:10,Cameron Payne,8:34,Steve Novak,5:46,Kyle Singler,5:46,,,,,29:33,Kevin Durant,27:40,Andre Roberson,26:29,Serge Ibaka,26:09,Steven Adams,24:36,Enes Freedom,21:40,Anthony Morrow,19:24,Nick Collison,17:49,Dion Waiters,16:24,120,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Anthony Brown,35,1,2015-2016,1.0,1,3.0,LAL,85,Jordan Clarkson,Marcelo Huertas,12:00,,,,,,,,,,,30:39,D'Angelo Russell,28:14,Kobe Bryant,27:56,Robert Sacre,26:30,Lou Williams,25:07,Roy Hibbert,21:30,Larry Nance Jr.,19:43,Brandon Bass,16:17,Ryan Kelly,12:00
0,.000,1,25.000,1,1.00,96,0,3,75.0,0,.000,0.0,0.0,3.0,4,2,1.000,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512270MEM.html,Away,112,7:18,1,25.0,MEM,Mario Chalmers,Vince Carter,13:40,Russ Smith,6:51,Jarell Martin,5:49,,,,,,,28:51,JaMychal Green,27:22,Jeff Green,24:31,Mike Conley,24:18,Courtney Lee,24:00,Marc Gasol,23:17,Matt Barnes,21:44,Zach Randolph,20:29,Tony Allen,19:08,112,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Anthony Brown,16,1,2015-2016,1.0,1,4.0,LAL,96,Lou Williams,Marcelo Huertas,7:18,Ryan Kelly,6:51,Robert Sacre,6:51,,,,,,,30:14,Jordan Clarkson,26:40,Roy Hibbert,25:48,Larry Nance Jr.,24:38,D'Angelo Russell,24:30,Kobe Bryant,24:00,Julius Randle,23:22,Nick Young,17:09,Brandon Bass,15:21
1,1.000,1,33.333,0,,84,0,5,100.0,2,.667,1.0,50.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201601010LAL.html,Home,93,21:49,0,0.0,PHI,Jerami Grant,Richaun Holmes,8:05,,,,,,,,,,,30:58,Isaiah Canaan,30:58,Nik Stauskas,28:57,Nerlens Noel,27:38,Ish Smith,25:27,Jahlil Okafor,23:15,T.J. McConnell,22:33,Robert Covington,22:29,JaKarr Sampson,19:40,84,0,5,2.0,40.0,3.0,60.0,0.0,0.0,Anthony Brown,9,1,2015-2016,1.0,0,5.0,LAL,93,Lou Williams,,,,,,,,,,,,,36:53,Jordan Clarkson,33:21,Nick Young,26:24,D'Angelo Russell,25:46,Brandon Bass,24:56,Larry Nance Jr.,24:27,Julius Randle,23:33,Roy Hibbert,22:51,,
1,.333,3,42.857,2,0.67,77,1,3,100.0,2,.286,1.0,25.0,4.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201601030LAL.html,Home,97,30:04,0,0.0,PHO,Brandon Knight,Archie Goodwin,4:24,Sonny Weems,3:50,,,,,,,,,44:10,P.J. Tucker,32:19,Ronnie Price,27:05,Alex Len,26:59,Mirza Teletović,23:12,Devin Booker,22:07,T.J. Warren,21:04,Tyson Chandler,20:07,Jon Leuer,14:43,77,0,5,2.0,40.0,3.0,60.0,0.0,0.0,Anthony Brown,20,1,2015-2016,2.0,3,3.0,LAL,97,Jordan Clarkson,,,,,,,,,,,,,34:17,Lou Williams,33:53,Larry Nance Jr.,32:03,Roy Hibbert,28:48,D'Angelo Russell,21:43,Brandon Bass,19:12,Nick Young,17:56,Julius Randle,15:57,Marcelo Huertas,6:07
