3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,1.000,1,100.000,0,,115,0,0,,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202012290WAS.html,Home,107,3:25,0,,CHI,Zach LaVine,Chandler Hutchison,6:25,,,,,,,,,,,38:17,Coby White,36:57,Wendell Carter Jr.,34:11,Otto Porter Jr.,29:21,Garrett Temple,28:36,Patrick Williams,20:21,Tomáš Satoranský,20:06,Lauri Markkanen,19:15,Daniel Gafford,6:31,115,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Anthony Gill,8,0,2020-2021,0.0,0,0.0,WAS,107,Russell Westbrook,Troy Brown Jr.,10:25,Garrison Mathews,0:25,,,,,,,,,37:44,Bradley Beal,36:32,Thomas Bryant,33:32,Deni Avdija,26:19,Dāvis Bertāns,26:17,Ish Smith,21:15,Isaac Bonga,15:49,Raul Neto,14:44,Robin Lopez,13:33
0,,0,,0,,130,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101010MIN.html,Away,109,4:44,0,,MIN,Anthony Edwards,Juancho Hernangómez,14:20,Jarred Vanderbilt,12:00,Jaden McDaniels,9:05,,,,,,,26:21,Malik Beasley,26:18,D'Angelo Russell,25:54,Ricky Rubio,25:15,Naz Reid,24:18,Jordan McLaughlin,24:18,Jarrett Culver,20:39,Ed Davis,16:26,Jake Layman,15:06,109,0,0,0.0,,0.0,,0.0,,Anthony Gill,21,1,2020-2021,1.0,0,0.0,WAS,130,Bradley Beal,Troy Brown Jr.,13:51,Garrison Mathews,9:05,Anžejs Pasečņiks,6:19,Isaac Bonga,4:44,,,,,27:58,Deni Avdija,27:14,Raul Neto,22:20,Jerome Robinson,22:07,Thomas Bryant,22:01,Ish Smith,20:56,Robin Lopez,19:40,Dāvis Bertāns,19:32,Rui Hachimura,19:29
0,,0,,0,,136,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101060PHI.html,Away,141,2:25,0,0.0,PHI,Tobias Harris,Terrance Ferguson,0:18,,,,,,,,,,,40:38,Joel Embiid,36:36,Seth Curry,36:18,Ben Simmons,35:43,Danny Green,30:18,Shake Milton,19:59,Matisse Thybulle,17:47,Dwight Howard,11:24,Tyrese Maxey,10:59,141,1,0,0.0,,0.0,,0.0,,Anthony Gill,5,0,2020-2021,0.0,0,1.0,WAS,136,Russell Westbrook,Jerome Robinson,5:06,,,,,,,,,,,38:57,Bradley Beal,38:15,Thomas Bryant,33:55,Dāvis Bertāns,32:58,Rui Hachimura,24:09,Ish Smith,23:05,Deni Avdija,15:31,Robin Lopez,14:05,Raul Neto,11:34
0,.000,1,50.000,0,,107,0,2,100.0,1,.500,1.0,100.0,1.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101110WAS.html,Home,128,3:17,0,0.0,PHO,Chris Paul,Damian Jones,11:36,E'Twaun Moore,3:17,Abdel Nader,3:17,Ty-Shon Alexander,3:17,,,,,36:12,Devin Booker,32:46,Jae Crowder,30:27,Deandre Ayton,24:54,Mikal Bridges,24:40,Dario Šarić,20:19,Cameron Johnson,18:03,Jevon Carter,17:17,Langston Galloway,13:55,107,1,4,2.0,50.0,0.0,0.0,2.0,50.0,Anthony Gill,21,0,2020-2021,0.0,0,2.0,WAS,128,Bradley Beal,Isaac Bonga,12:27,Cassius Winston,2:10,,,,,,,,,35:03,Rui Hachimura,28:22,Robin Lopez,25:58,Raul Neto,24:36,Dāvis Bertāns,24:29,Moritz Wagner,22:02,Ish Smith,21:14,Garrison Mathews,20:34,Deni Avdija,19:48
0,.000,1,100.000,0,,101,0,2,100.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101240SAS.html,Away,121,10:04,0,0.0,SAS,Dejounte Murray,Tre Jones,2:55,Keita Bates-Diop,2:55,Trey Lyles,2:55,Luka Šamanić,2:28,,,,,30:42,Lonnie Walker IV,29:32,Keldon Johnson,28:24,DeMar DeRozan,27:21,LaMarcus Aldridge,24:05,Devin Vassell,24:03,Rudy Gay,22:26,Jakob Poeltl,21:27,Patty Mills,20:47,121,0,0,0.0,,0.0,,0.0,,Anthony Gill,20,0,2020-2021,0.0,0,2.0,WAS,101,Jerome Robinson,,,,,,,,,,,,,35:19,Garrison Mathews,34:35,Isaac Bonga,32:33,Bradley Beal,32:28,Russell Westbrook,25:17,Robin Lopez,24:25,Cassius Winston,21:44,Alex Len,20:40,Jordan Bell,2:55
0,.000,3,75.000,2,1.00,88,0,6,75.0,1,.250,1.0,100.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101260HOU.html,Away,107,22:15,2,25.0,HOU,Victor Oladipo,Ben McLemore,2:22,,,,,,,,,,,36:59,P.J. Tucker,34:10,DeMarcus Cousins,33:01,Eric Gordon,28:54,Jae'Sean Tate,28:16,John Wall,24:03,David Nwaba,23:10,Sterling Brown,15:34,Danuel House Jr.,13:31,107,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Anthony Gill,19,1,2020-2021,1.0,2,8.0,WAS,88,Bradley Beal,Cassius Winston,1:13,,,,,,,,,,,35:27,Robin Lopez,29:50,Jerome Robinson,29:45,Russell Westbrook,28:26,Isaac Bonga,25:38,Garrison Mathews,23:08,Raul Neto,22:27,Jordan Bell,15:31,Alex Len,6:20
0,.000,1,50.000,1,1.00,106,0,3,100.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101270NOP.html,Away,124,11:35,0,0.0,NOP,Brandon Ingram,,,,,,,,,,,,,36:03,Eric Bledsoe,35:59,Steven Adams,32:48,Zion Williamson,32:45,Nickeil Alexander-Walker,29:58,Josh Hart,29:28,Lonzo Ball,15:35,Jaxson Hayes,14:38,JJ Redick,12:46,124,0,0,0.0,,0.0,,0.0,,Anthony Gill,18,1,2020-2021,1.0,1,3.0,WAS,106,Bradley Beal,,,,,,,,,,,,,40:05,Jordan Bell,31:20,Isaac Bonga,28:23,Garrison Mathews,28:03,Robin Lopez,22:32,Jerome Robinson,22:25,Raul Neto,20:28,Alex Len,19:29,Cassius Winston,15:40
0,,0,,0,,116,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101290WAS.html,Home,100,1:49,0,0.0,ATL,Trae Young,Onyeka Okongwu,11:20,Tony Snell,6:07,Brandon Goodwin,1:01,Bruno Fernando,0:57,,,,,33:41,Cam Reddish,32:08,John Collins,30:28,Kevin Huerter,29:59,Clint Capela,29:49,Solomon Hill,19:32,Danilo Gallinari,18:18,Rajon Rondo,14:35,De'Andre Hunter,12:05,116,0,0,0.0,,0.0,,0.0,,Anthony Gill,16,0,2020-2021,0.0,0,1.0,WAS,100,Bradley Beal,Isaac Bonga,15:36,Moritz Wagner,10:28,Cassius Winston,1:49,,,,,,,31:47,Russell Westbrook,27:06,Dāvis Bertāns,25:04,Jerome Robinson,24:11,Rui Hachimura,24:05,Garrison Mathews,20:45,Robin Lopez,20:10,Raul Neto,19:52,Alex Len,17:18
0,,0,,0,,97,1,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202102070CHO.html,Away,119,3:07,0,0.0,CHO,Malik Monk,Cody Martin,8:28,Nick Richards,6:30,,,,,,,,,31:41,Miles Bridges,30:46,LaMelo Ball,30:30,Terry Rozier,30:23,Gordon Hayward,30:15,P.J. Washington,28:07,Cody Zeller,19:58,Caleb Martin,12:43,Bismack Biyombo,10:39,119,0,0,0.0,,0.0,,0.0,,Anthony Gill,22,0,2020-2021,1.0,0,1.0,WAS,97,Bradley Beal,Deni Avdija,15:25,Isaac Bonga,8:28,Garrison Mathews,7:57,Alex Len,7:56,,,,,28:18,Russell Westbrook,27:40,Ish Smith,27:28,Robin Lopez,22:58,Rui Hachimura,22:55,Dāvis Bertāns,18:36,Moritz Wagner,17:06,Raul Neto,16:15,Troy Brown Jr.,15:51
0,,0,,0,,137,1,0,0.0,0,,0.0,,0.0,0,1,.500,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202102100WAS.html,Home,115,2:27,1,100.0,TOR,Pascal Siakam,Matt Thomas,2:27,Paul Watson,2:27,,,,,,,,,34:28,Fred VanVleet,34:28,Kyle Lowry,32:47,Norman Powell,31:42,Chris Boucher,24:30,DeAndre' Bembry,23:50,Aron Baynes,21:03,Terence Davis,18:46,Stanley Johnson,13:32,137,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Anthony Gill,22,0,2020-2021,1.0,0,1.0,WAS,115,Bradley Beal,Troy Brown Jr.,2:27,Garrison Mathews,2:27,Jerome Robinson,2:27,,,,,,,37:29,Russell Westbrook,34:03,Rui Hachimura,32:17,Dāvis Bertāns,28:17,Raul Neto,27:17,Deni Avdija,26:40,Alex Len,21:10,Robin Lopez,18:34,Ish Smith,4:25
