3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,3,3.00,95,0,4,80.0,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201310300NOP.html,Home,90,15:25,1,20.0,IND,Lance Stephenson,,,,,,,,,,,,,41:20,Paul George,39:26,George Hill,35:43,David West,33:21,Ian Mahinmi,24:14,Roy Hibbert,21:37,Luis Scola,16:35,C.J. Watson,15:08,Orlando Johnson,12:36,95,3,2,2.0,100.0,0.0,0.0,0.0,0.0,Arinze Onuaku,5,0,2013-2014,0.0,1,5.0,NOP,90,Anthony Davis,Lance Thomas,7:09,,,,,,,,,,,37:44,Jrue Holiday,36:08,Eric Gordon,33:29,Al-Farouq Aminu,23:13,Tyreke Evans,22:40,Jason Smith,20:27,Greg Stiemsma,14:58,Brian Roberts,14:43,Anthony Morrow,14:04
0,,0,0.000,0,,90,0,1,50.0,0,.000,0.0,0.0,1.0,1,1,.500,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311010ORL.html,Away,110,9:52,1,50.0,ORL,Arron Afflalo,Ronnie Price,3:52,,,,,,,,,,,35:21,Victor Oladipo,31:20,Andrew Nicholson,29:57,Maurice Harkless,27:26,Nikola Vučević,27:26,Jameer Nelson,23:45,E'Twaun Moore,22:16,Kyle O'Quinn,22:13,Jason Maxiell,16:24,110,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Arinze Onuaku,20,0,2013-2014,0.0,0,2.0,NOP,90,Anthony Davis,Austin Rivers,12:38,Jeff Withey,4:47,,,,,,,,,38:20,Jrue Holiday,34:11,Eric Gordon,28:19,Jason Smith,26:13,Anthony Morrow,18:16,Tyreke Evans,17:23,Al-Farouq Aminu,17:22,Greg Stiemsma,16:48,Brian Roberts,15:51
0,,0,,0,,85,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311080NOP.html,Home,96,0:09,0,,LAL,Jodie Meeks,,,,,,,,,,,,,41:35,Steve Blake,36:29,Nick Young,28:27,Pau Gasol,27:30,Chris Kaman,23:31,Jordan Farmar,22:39,Jordan Hill,22:17,Wesley Johnson,21:09,Xavier Henry,16:23,85,0,0,0.0,,0.0,,0.0,,Arinze Onuaku,11,0,2013-2014,0.0,0,0.0,NOP,96,Jrue Holiday,Lance Thomas,10:22,Jeff Withey,0:09,Austin Rivers,0:08,,,,,,,39:25,Anthony Davis,37:10,Eric Gordon,31:09,Jason Smith,29:23,Tyreke Evans,26:46,Al-Farouq Aminu,18:30,Greg Stiemsma,18:28,Anthony Morrow,16:44,Brian Roberts,11:37
0,,0,0.000,0,,79,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201402280CLE.html,Home,99,0:50,0,,UTA,Gordon Hayward,Brandon Rush,6:55,Rudy Gobert,3:49,John Lucas III,2:45,,,,,,,35:45,Richard Jefferson,33:11,Derrick Favors,32:28,Marvin Williams,26:12,Alec Burks,24:52,Trey Burke,23:04,Enes Freedom,19:17,Diante Garrett,17:28,Jeremy Evans,14:14,79,0,0,0.0,,0.0,,0.0,,Arinze Onuaku,20,0,2013-2014,0.0,0,0.0,CLE,99,Kyrie Irving,,,,,,,,,,,,,38:32,Spencer Hawes,37:07,Tristan Thompson,32:35,Luol Deng,30:00,Jarrett Jack,27:32,Matthew Dellavedova,26:07,Tyler Zeller,23:00,Alonzo Gee,20:28,Sergey Karasev,3:49
0,,0,,0,,122,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201403040CLE.html,Home,101,3:54,0,0.0,SAS,Tim Duncan,Jeff Ayres,10:21,Matt Bonner,9:50,Aron Baynes,6:26,Cory Joseph,6:26,,,,,26:15,Kawhi Leonard,26:02,Boris Diaw,24:53,Patty Mills,23:40,Danny Green,23:17,Tony Parker,21:59,Tiago Splitter,20:57,Manu Ginóbili,20:48,Marco Belinelli,19:06,122,0,0,0.0,,0.0,,0.0,,Arinze Onuaku,21,0,2013-2014,0.0,0,1.0,CLE,101,Kyrie Irving,Alonzo Gee,7:26,Sergey Karasev,3:13,,,,,,,,,38:59,Luol Deng,35:02,Spencer Hawes,33:20,Tristan Thompson,29:48,Dion Waiters,23:18,Jarrett Jack,20:45,Matthew Dellavedova,15:48,Tyler Zeller,15:17,Anthony Bennett,13:10
0,,0,0.000,1,1.00,111,1,4,80.0,3,1.000,3.0,100.0,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201504070SAC.html,Away,116,15:38,1,20.0,SAC,Rudy Gay,Sim Bhullar,0:16,,,,,,,,,,,38:01,Ray McCallum,36:16,Omri Casspi,35:16,Derrick Williams,31:27,Jason Thompson,30:46,Andre Miller,21:12,Reggie Evans,16:58,Ben McLemore,16:57,Nik Stauskas,12:51,116,2,6,6.0,100.0,0.0,0.0,0.0,0.0,Arinze Onuaku,5,0,2014-2015,1.0,1,5.0,MIN,111,Kevin Martin,,,,,,,,,,,,,43:49,Zach LaVine,40:32,Andrew Wiggins,39:12,Chase Budinger,33:48,Justin Hamilton,25:26,Robbie Hummel,16:45,Adreian Payne,13:11,Lorenzo Brown,11:39,,
0,,0,0.000,0,,91,0,2,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201504080POR.html,Away,116,10:08,0,0.0,POR,Arron Afflalo,Allen Crabbe,7:26,Joel Freeland,6:50,Alonzo Gee,5:22,Tim Frazier,5:22,,,,,29:08,Damian Lillard,28:59,Nicolas Batum,28:59,LaMarcus Aldridge,28:46,CJ McCollum,25:05,Robin Lopez,24:54,Meyers Leonard,19:14,Chris Kaman,16:16,Steve Blake,13:39,116,0,0,0.0,,0.0,,0.0,,Arinze Onuaku,25,0,2014-2015,0.0,0,2.0,MIN,91,Andrew Wiggins,,,,,,,,,,,,,41:03,Zach LaVine,38:05,Kevin Martin,33:36,Chase Budinger,30:19,Adreian Payne,27:31,Justin Hamilton,27:00,Lorenzo Brown,18:18,Robbie Hummel,14:00,,
0,,0,,0,,98,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201504100LAL.html,Away,106,0:08,0,,LAL,Wesley Johnson,,,,,,,,,,,,,41:39,Jordan Clarkson,39:45,Jabari Brown,37:49,Ryan Kelly,37:36,Tarik Black,27:48,Dwight Buycks,24:47,Ed Davis,17:42,Robert Sacre,12:54,,,106,0,0,0.0,,0.0,,0.0,,Arinze Onuaku,8,0,2014-2015,0.0,0,0.0,MIN,98,Andrew Wiggins,,,,,,,,,,,,,42:05,Chase Budinger,32:21,Zach LaVine,32:00,Lorenzo Brown,30:22,Adreian Payne,29:08,Kevin Martin,26:00,Justin Hamilton,24:18,Robbie Hummel,23:38,,
0,,0,,1,,101,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201504110GSW.html,Away,110,0:08,0,,GSW,Klay Thompson,Marreese Speights,5:30,,,,,,,,,,,37:53,Draymond Green,37:02,Stephen Curry,35:26,Andre Iguodala,30:26,Harrison Barnes,29:16,Andrew Bogut,24:26,Shaun Livingston,16:12,Justin Holiday,12:05,Festus Ezeli,11:44,110,0,0,0.0,,0.0,,0.0,,Arinze Onuaku,9,0,2014-2015,0.0,0,0.0,MIN,101,Zach LaVine,,,,,,,,,,,,,44:45,Andrew Wiggins,43:56,Chase Budinger,35:41,Kevin Martin,31:46,Justin Hamilton,30:43,Adreian Payne,29:28,Lorenzo Brown,23:33,,,,
0,,0,0.000,0,0.00,100,2,7,87.5,4,1.000,4.0,100.0,4.0,4,1,.500,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201504130MIN.html,Home,88,16:10,1,12.5,NOP,Anthony Davis,Toney Douglas,15:40,,,,,,,,,,,35:48,Tyreke Evans,31:21,Eric Gordon,29:27,Ömer Aşık,24:26,Quincy Pondexter,24:10,Dante Cunningham,23:50,Norris Cole,19:32,Ryan Anderson,18:13,Alexis Ajinça,17:33,100,3,9,8.0,88.9,0.0,0.0,1.0,11.1,Arinze Onuaku,12,0,2014-2015,2.0,1,8.0,MIN,88,Zach LaVine,,,,,,,,,,,,,45:03,Andrew Wiggins,44:19,Robbie Hummel,32:58,Chase Budinger,30:03,Justin Hamilton,27:14,Lorenzo Brown,24:35,Adreian Payne,19:38,,,,
