3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,2,100.000,0,,109,0,1,100.0,0,.000,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104090LAC.html,Away,126,2:58,0,0.0,LAC,Terance Mann,DeMarcus Cousins,5:42,Malik Fitts,2:58,Daniel Oturu,2:58,,,,,,,35:36,Kawhi Leonard,32:40,Reggie Jackson,30:04,Nicolas Batum,27:19,Marcus Morris,26:16,Luke Kennard,25:27,Ivica Zubac,23:23,Patrick Patterson,18:16,Amir Coffey,9:21,126,0,0,0.0,,0.0,,0.0,,Armoni Brooks,17,0,2020-2021,0.0,0,1.0,HOU,109,Kelly Olynyk,DaQuan Jeffries,2:58,Anthony Lamb,2:58,,,,,,,,,32:23,Jae'Sean Tate,31:20,Christian Wood,30:37,Kevin Porter Jr.,30:37,Avery Bradley,25:59,Sterling Brown,25:25,KJ Martin,20:56,D.J. Augustin,19:03,D.J. Wilson,14:46
4,.800,5,83.333,0,0.00,120,0,1,100.0,5,.833,1.0,100.0,1.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104120PHO.html,Away,126,14:10,0,0.0,PHO,Devin Booker,Torrey Craig,11:16,,,,,,,,,,,34:09,Mikal Bridges,32:35,Deandre Ayton,29:51,Chris Paul,26:36,Jae Crowder,25:00,Cameron Johnson,23:00,Cameron Payne,21:24,Jevon Carter,18:18,Dario Šarić,17:51,126,0,14,2.0,14.3,12.0,85.7,0.0,0.0,Armoni Brooks,6,0,2020-2021,0.0,1,1.0,HOU,120,Kevin Porter Jr.,,,,,,,,,,,,,40:04,John Wall,35:54,Christian Wood,34:28,Kelly Olynyk,29:49,KJ Martin,24:14,Avery Bradley,22:48,Jae'Sean Tate,21:32,D.J. Wilson,13:32,D.J. Augustin,3:29
2,.500,4,80.000,0,,132,0,1,100.0,2,.400,0.0,0.0,1.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104140HOU.html,Home,124,14:11,0,0.0,IND,Justin Holiday,Oshae Brissett,9:41,,,,,,,,,,,37:56,Domantas Sabonis,36:51,Malcolm Brogdon,33:59,Jeremy Lamb,30:12,Caris LeVert,29:59,T.J. McConnell,21:21,Edmond Sumner,15:13,Aaron Holiday,13:39,Goga Bitadze,11:09,132,0,6,0.0,0.0,6.0,100.0,0.0,0.0,Armoni Brooks,8,1,2020-2021,1.0,0,1.0,HOU,124,Kevin Porter Jr.,,,,,,,,,,,,,40:53,Kelly Olynyk,38:14,Christian Wood,36:40,John Wall,35:57,Jae'Sean Tate,35:05,Avery Bradley,19:43,KJ Martin,13:55,D.J. Wilson,5:22,,
0,.000,4,66.667,3,1.50,128,0,6,100.0,2,.333,2.0,100.0,2.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104160HOU.html,Home,99,20:55,0,0.0,DEN,Michael Porter Jr.,Zeke Nnaji,7:47,Vlatko Čančar,4:16,Bol Bol,4:16,Markus Howard,3:39,Shaquille Harrison,3:11,,,31:08,Will Barton,29:38,Nikola Jokić,27:05,Facundo Campazzo,25:49,PJ Dozier,23:55,JaMychal Green,21:59,Aaron Gordon,21:45,Monte Morris,18:53,Paul Millsap,16:39,128,3,4,4.0,100.0,0.0,0.0,0.0,0.0,Armoni Brooks,29,0,2020-2021,0.0,2,6.0,HOU,99,Jae'Sean Tate,Anthony Lamb,4:16,,,,,,,,,,,31:52,Kevin Porter Jr.,31:39,John Wall,28:09,Kelly Olynyk,27:05,Christian Wood,24:21,KJ Martin,22:56,Avery Bradley,21:47,D.J. Wilson,16:51,DaQuan Jeffries,10:09
5,.833,6,85.714,1,1.00,114,0,1,50.0,5,.714,0.0,0.0,1.0,7,1,.333,3,42.857,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202104180ORL.html,Away,110,26:00,1,50.0,ORL,Cole Anthony,Chasson Randle,14:02,,,,,,,,,,,33:58,Chuma Okeke,32:55,Dwayne Bacon,32:37,Wendell Carter Jr.,31:35,Gary Harris,26:28,R.J. Hampton,21:32,Mo Bamba,16:25,Devin Cannady,15:23,Robert Franks,15:05,110,2,16,0.0,0.0,15.0,93.8,1.0,6.2,Armoni Brooks,4,2,2020-2021,2.0,1,2.0,HOU,114,Christian Wood,,,,,,,,,,,,,39:44,Kelly Olynyk,38:58,Avery Bradley,33:46,Jae'Sean Tate,32:34,Kevin Porter Jr.,31:43,KJ Martin,21:45,D.J. Wilson,15:30,,,,
2,.182,11,91.667,0,,91,0,4,100.0,3,.250,1.0,100.0,1.0,12,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104190MIA.html,Away,113,25:50,0,0.0,MIA,Kendrick Nunn,Gabe Vincent,3:10,,,,,,,,,,,38:34,Trevor Ariza,29:43,Precious Achiuwa,28:58,Duncan Robinson,28:35,Andre Iguodala,28:23,Goran Dragić,28:09,KZ Okpala,22:26,Dewayne Dedmon,19:02,Max Strus,13:00,113,0,8,2.0,25.0,6.0,75.0,0.0,0.0,Armoni Brooks,22,1,2020-2021,1.0,0,4.0,HOU,91,Kelly Olynyk,Anthony Lamb,4:20,,,,,,,,,,,32:13,Christian Wood,31:50,Kevin Porter Jr.,30:51,John Wall,30:05,Jae'Sean Tate,28:44,Avery Bradley,21:58,KJ Martin,18:49,D.J. Wilson,11:00,DaQuan Jeffries,4:20
2,.222,9,81.818,4,2.00,112,1,7,70.0,2,.182,0.0,0.0,2.0,11,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104210HOU.html,Home,89,34:44,3,30.0,UTA,Joe Ingles,Matt Thomas,6:59,Trent Forrest,6:59,Jarrell Brantley,4:45,Elijah Hughes,4:45,Ersan İlyasova,4:18,Juwan Morgan,3:36,29:23,Jordan Clarkson,28:16,Royce O'Neale,26:10,Rudy Gobert,25:50,Mike Conley,25:07,Bojan Bogdanović,23:11,Georges Niang,20:55,Miye Oni,15:30,Derrick Favors,14:16,112,3,6,0.0,0.0,6.0,100.0,0.0,0.0,Armoni Brooks,23,0,2020-2021,1.0,2,10.0,HOU,89,Jae'Sean Tate,,,,,,,,,,,,,34:32,Christian Wood,30:08,John Wall,29:36,KJ Martin,29:13,Kelly Olynyk,23:55,DaQuan Jeffries,20:15,Avery Bradley,19:40,D.J. Wilson,12:44,Anthony Lamb,5:13
3,.375,8,100.000,0,,109,0,3,75.0,3,.375,0.0,,0.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104230HOU.html,Home,104,30:07,1,25.0,LAC,Terance Mann,,,,,,,,,,,,,37:01,Paul George,33:55,Nicolas Batum,33:02,Reggie Jackson,31:51,Amir Coffey,25:28,Ivica Zubac,23:40,Patrick Patterson,20:55,Luke Kennard,18:39,DeMarcus Cousins,15:29,109,1,9,0.0,0.0,9.0,100.0,0.0,0.0,Armoni Brooks,5,0,2020-2021,0.0,0,4.0,HOU,104,John Wall,,,,,,,,,,,,,39:28,Christian Wood,37:00,Jae'Sean Tate,35:59,Kelly Olynyk,34:11,KJ Martin,23:11,Danuel House Jr.,20:58,DaQuan Jeffries,13:22,D.J. Wilson,5:44,,
3,.273,11,91.667,5,1.00,116,0,7,100.0,4,.333,1.0,100.0,1.0,12,1,.500,2,16.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104240DEN.html,Away,129,42:46,0,0.0,DEN,Michael Porter Jr.,Vlatko Čančar,3:51,Zeke Nnaji,3:51,Bol Bol,3:32,Markus Howard,3:32,,,,,35:45,Facundo Campazzo,33:32,Austin Rivers,29:04,Nikola Jokić,29:01,PJ Dozier,27:48,JaMychal Green,20:59,Aaron Gordon,19:38,JaVale McGee,15:08,Shaquille Harrison,14:19,129,4,12,2.0,16.7,9.0,75.0,1.0,8.3,Armoni Brooks,13,0,2020-2021,0.0,5,7.0,HOU,116,KJ Martin,,,,,,,,,,,,,41:56,D.J. Wilson,39:53,Kelly Olynyk,34:30,Anthony Lamb,30:34,DaQuan Jeffries,29:04,Jae'Sean Tate,21:17,,,,,,
0,.000,1,50.000,0,0.00,114,0,0,,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104270HOU.html,Home,107,11:10,0,,MIN,Anthony Edwards,Naz Reid,16:31,,,,,,,,,,,33:04,Karl-Anthony Towns,31:29,D'Angelo Russell,29:15,Juancho Hernangómez,28:29,Jaden McDaniels,25:45,Jarred Vanderbilt,22:15,Jordan McLaughlin,18:58,Ricky Rubio,17:21,Josh Okogie,16:53,114,1,0,0.0,,0.0,,0.0,,Armoni Brooks,7,0,2020-2021,0.0,1,0.0,HOU,107,Jae'Sean Tate,,,,,,,,,,,,,40:04,Christian Wood,37:54,Kevin Porter Jr.,35:01,Kelly Olynyk,32:46,Avery Bradley,26:45,KJ Martin,21:19,Danuel House Jr.,20:45,D.J. Wilson,14:16,,
