3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,1,0.50,88,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311050BRK.html,Away,104,9:46,0,,BRK,Joe Johnson,Kevin Garnett,13:36,Alan Anderson,12:00,Mirza Teletović,12:00,Jason Terry,10:31,,,,,25:29,Brook Lopez,25:00,Deron Williams,24:24,Shaun Livingston,23:36,Paul Pierce,22:56,Andray Blatche,22:24,Mason Plumlee,17:25,Andrei Kirilenko,16:53,Reggie Evans,13:46,104,2,0,0.0,,0.0,,0.0,,Brandon Rush,16,0,2013-2014,0.0,2,0.0,UTA,88,Enes Freedom,Jamaal Tinsley,10:39,,,,,,,,,,,35:01,John Lucas III,34:15,Gordon Hayward,31:27,Alec Burks,27:42,Derrick Favors,24:29,Richard Jefferson,23:18,Mike Harris,15:45,Rudy Gobert,15:38,Ian Clark,12:00
0,.000,1,50.000,2,2.00,112,0,1,100.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311290UTA.html,Home,101,12:31,0,0.0,PHO,Goran Dragić,Dionte Christmas,1:59,,,,,,,,,,,38:57,P.J. Tucker,36:41,Miles Plumlee,32:45,Gerald Green,29:01,Markieff Morris,28:28,Eric Bledsoe,28:15,Channing Frye,22:25,Marcus Morris,17:18,Archie Goodwin,4:11,112,0,0,0.0,,0.0,,0.0,,Brandon Rush,11,0,2013-2014,0.0,1,1.0,UTA,101,Gordon Hayward,Andris Biedriņš,4:09,Diante Garrett,1:30,,,,,,,,,34:24,Marvin Williams,27:40,Jeremy Evans,26:16,Trey Burke,25:25,Derrick Favors,25:10,Alec Burks,24:06,Richard Jefferson,23:29,Enes Freedom,18:41,John Lucas III,16:39
0,,0,0.000,0,0.00,95,0,0,0.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312040UTA.html,Home,86,10:20,1,100.0,IND,Paul George,,,,,,,,,,,,,40:49,Roy Hibbert,34:09,Lance Stephenson,33:23,David West,32:14,George Hill,29:54,Orlando Johnson,21:07,C.J. Watson,18:47,Luis Scola,16:27,Ian Mahinmi,13:10,95,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Brandon Rush,9,0,2013-2014,0.0,1,1.0,UTA,86,Enes Freedom,Andris Biedriņš,4:13,,,,,,,,,,,39:54,Trey Burke,38:49,Gordon Hayward,37:40,Derrick Favors,37:28,Alec Burks,26:56,Richard Jefferson,21:04,Diante Garrett,9:11,Mike Harris,7:33,Rudy Gobert,6:52
0,.000,1,16.667,2,1.00,98,0,2,100.0,2,.333,2.0,40.0,5.0,6,1,1.000,1,16.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312060POR.html,Away,130,23:01,0,0.0,POR,LaMarcus Aldridge,Meyers Leonard,12:00,Allen Crabbe,10:56,Dorell Wright,10:19,Earl Watson,8:55,,,,,29:07,Nicolas Batum,28:16,Wesley Matthews,28:03,Damian Lillard,25:24,Robin Lopez,22:39,Mo Williams,20:07,Thomas Robinson,18:53,Joel Freeland,13:21,Will Barton,12:00,130,1,5,4.0,80.0,0.0,0.0,1.0,20.0,Brandon Rush,32,1,2013-2014,1.0,2,2.0,UTA,98,Alec Burks,Rudy Gobert,12:46,John Lucas III,12:00,Andris Biedriņš,7:06,,,,,,,28:07,Diante Garrett,25:20,Gordon Hayward,22:56,Derrick Favors,21:21,Enes Freedom,20:23,Jeremy Evans,18:25,Trey Burke,16:21,Richard Jefferson,16:15,Mike Harris,15:59
3,.750,4,100.000,2,,122,2,2,100.0,3,.750,0.0,,0.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312110SAC.html,Away,101,19:30,0,0.0,SAC,Isaiah Thomas,Ray McCallum,2:30,,,,,,,,,,,36:22,Jason Thompson,34:19,Marcus Thornton,34:05,Ben McLemore,33:29,Derrick Williams,32:13,DeMarcus Cousins,23:06,Travis Outlaw,23:04,Jimmer Fredette,11:38,Hamady N'Diaye,9:14,101,0,9,0.0,0.0,9.0,100.0,0.0,0.0,Brandon Rush,21,0,2013-2014,2.0,0,2.0,UTA,122,Gordon Hayward,Rudy Gobert,6:08,John Lucas III,4:17,,,,,,,,,30:17,Marvin Williams,27:34,Alec Burks,25:00,Derrick Favors,24:37,Diante Garrett,22:16,Trey Burke,21:27,Richard Jefferson,21:13,Jeremy Evans,20:26,Enes Freedom,17:15
0,,0,0.000,1,1.00,103,1,1,50.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312130DEN.html,Away,93,9:57,1,50.0,DEN,Wilson Chandler,Randy Foye,14:36,,,,,,,,,,,32:47,Andre Miller,27:53,Nate Robinson,26:47,Ty Lawson,26:44,Timofey Mozgov,24:56,Jordan Hamilton,24:46,Darrell Arthur,22:33,J.J. Hickson,21:07,Kenneth Faried,17:51,93,3,0,0.0,,0.0,,0.0,,Brandon Rush,10,0,2013-2014,1.0,1,2.0,UTA,103,Gordon Hayward,,,,,,,,,,,,,38:03,Trey Burke,36:43,Derrick Favors,36:29,Richard Jefferson,26:41,Marvin Williams,26:27,Alec Burks,22:27,Jeremy Evans,21:33,Enes Freedom,11:31,Diante Garrett,10:09
1,.500,2,66.667,0,,100,0,0,,1,.333,0.0,0.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312140UTA.html,Home,84,4:18,0,,SAS,Kawhi Leonard,Matt Bonner,15:12,Jeff Ayres,11:54,Nando De Colo,2:26,Cory Joseph,1:02,,,,,30:45,Tony Parker,29:51,Tim Duncan,28:40,Marco Belinelli,24:16,Boris Diaw,23:20,Manu Ginóbili,21:29,Danny Green,17:12,Patty Mills,17:07,Aron Baynes,16:46,100,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Brandon Rush,16,0,2013-2014,0.0,0,0.0,UTA,84,Gordon Hayward,Diante Garrett,6:14,Mike Harris,1:02,,,,,,,,,40:01,Trey Burke,32:08,Derrick Favors,31:00,Marvin Williams,27:10,Alec Burks,26:29,Richard Jefferson,24:10,Jeremy Evans,20:50,Enes Freedom,15:58,John Lucas III,10:40
0,,0,0.000,0,,94,0,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312160MIA.html,Away,117,20:37,0,0.0,MIA,LeBron James,Joel Anthony,2:22,Udonis Haslem,2:22,Roger Mason,2:22,James Jones,2:22,,,,,33:49,Dwyane Wade,30:40,Chris Bosh,30:13,Norris Cole,27:18,Rashard Lewis,27:17,Mario Chalmers,24:52,Ray Allen,23:47,Shane Battier,17:11,Chris Andersen,15:25,117,0,0,0.0,,0.0,,0.0,,Brandon Rush,23,0,2013-2014,0.0,0,1.0,UTA,94,Alec Burks,Mike Harris,2:22,Andris Biedriņš,2:22,John Lucas III,2:22,,,,,,,34:03,Trey Burke,30:57,Derrick Favors,28:28,Marvin Williams,27:50,Gordon Hayward,27:23,Jeremy Evans,17:48,Enes Freedom,17:10,Diante Garrett,17:03,Richard Jefferson,11:35
0,,0,0.000,1,1.00,86,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312180ORL.html,Away,82,10:44,0,,ORL,Victor Oladipo,Ronnie Price,5:55,,,,,,,,,,,36:13,Tobias Harris,34:14,Nikola Vučević,33:32,Jameer Nelson,33:12,Glen Davis,29:14,E'Twaun Moore,21:39,Andrew Nicholson,17:09,Kyle O'Quinn,16:02,Maurice Harkless,12:50,82,0,0,0.0,,0.0,,0.0,,Brandon Rush,4,0,2013-2014,0.0,1,0.0,UTA,86,Trey Burke,,,,,,,,,,,,,40:28,Gordon Hayward,37:16,Derrick Favors,36:31,Alec Burks,33:31,Marvin Williams,28:46,Enes Freedom,16:23,Richard Jefferson,14:32,Jeremy Evans,14:17,Diante Garrett,7:32
0,.000,1,25.000,1,0.50,85,1,2,66.7,0,.000,0.0,0.0,3.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312200ATL.html,Away,118,16:06,1,33.3,ATL,Paul Millsap,Shelvin Mack,15:10,Pero Antić,10:54,Dennis Schröder,8:04,,,,,,,26:50,DeMarre Carroll,26:17,Jeff Teague,24:46,Lou Williams,23:59,Kyle Korver,23:32,Al Horford,22:38,Mike Scott,21:10,Elton Brand,19:30,John Jenkins,17:10,118,0,0,0.0,,0.0,,0.0,,Brandon Rush,33,0,2013-2014,1.0,2,3.0,UTA,85,Gordon Hayward,Diante Garrett,13:50,Mike Harris,7:24,,,,,,,,,29:05,Alec Burks,28:17,Enes Freedom,27:25,Jeremy Evans,22:41,Derrick Favors,20:35,Trey Burke,20:27,John Lucas III,18:45,Marvin Williams,17:55,Richard Jefferson,17:30
