3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,0.00,113,0,1,50.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201702230GSW.html,Away,123,2:52,1,50.0,GSW,Kevin Durant,David West,10:54,Ian Clark,9:01,James Michael McAdoo,8:05,Briante Weber,2:52,,,,,33:56,Stephen Curry,32:11,Klay Thompson,31:14,Andre Iguodala,30:07,Draymond Green,22:33,Zaza Pachulia,18:08,Shaun Livingston,17:23,Patrick McCaw,11:50,JaVale McGee,11:47,123,0,0,0.0,,0.0,,0.0,,Brice Johnson,10,0,2016-2017,0.0,1,2.0,LAC,113,Austin Rivers,Wesley Johnson,5:38,,,,,,,,,,,36:48,Blake Griffin,34:50,Jamal Crawford,34:09,DeAndre Jordan,31:04,JJ Redick,29:45,Raymond Felton,23:49,Luc Mbah a Moute,14:08,Marreese Speights,13:47,Brandon Bass,13:10
0,,0,0.000,1,,114,1,1,100.0,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201703160DEN.html,Away,129,3:41,0,0.0,DEN,Gary Harris,,,,,,,,,,,,,41:09,Will Barton,35:36,Jameer Nelson,33:55,Nikola Jokić,30:25,Mason Plumlee,30:21,Juancho Hernangómez,25:49,Jamal Murray,24:47,Kenneth Faried,17:58,,,129,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Brice Johnson,15,1,2016-2017,2.0,0,1.0,LAC,114,Austin Rivers,Raymond Felton,15:03,Wesley Johnson,13:56,,,,,,,,,33:10,Chris Paul,30:07,JJ Redick,26:07,Jamal Crawford,25:07,Brandon Bass,24:17,Luc Mbah a Moute,20:02,Alan Anderson,17:05,Paul Pierce,16:22,Marreese Speights,15:03
0,,0,0.000,0,,96,0,0,,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201704100LAC.html,Home,125,2:40,0,,HOU,Trevor Ariza,,,,,,,,,,,,,36:10,Montrezl Harrell,34:24,Bobby Brown,32:06,James Harden,24:22,Troy Williams,24:18,Eric Gordon,23:55,Isaiah Taylor,23:38,Chinanu Onuaku,21:19,Ryan Anderson,19:48,96,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Brice Johnson,29,1,2016-2017,1.0,0,0.0,LAC,125,Jamal Crawford,Brandon Bass,12:28,Paul Pierce,6:42,,,,,,,,,30:24,Chris Paul,28:56,JJ Redick,28:04,Blake Griffin,26:58,DeAndre Jordan,23:59,Luc Mbah a Moute,23:41,Raymond Felton,23:21,Marreese Speights,17:04,Wesley Johnson,15:42
0,,0,0.000,1,1.00,88,0,4,100.0,2,1.000,2.0,100.0,2.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710210LAC.html,Home,130,6:10,0,0.0,PHO,Devin Booker,Troy Daniels,9:52,Tyler Ulis,7:49,Derrick Jones Jr.,6:10,Alec Peters,3:48,,,,,31:47,Josh Jackson,28:59,Alex Len,24:29,Mike James,24:24,Tyson Chandler,23:39,Eric Bledsoe,23:36,T.J. Warren,21:10,Dragan Bender,18:45,Marquese Chriss,15:32,88,3,6,4.0,66.7,0.0,0.0,2.0,33.3,Brice Johnson,42,0,2017-2018,0.0,1,4.0,LAC,130,Austin Rivers,Miloš Teodosić,10:31,Montrezl Harrell,7:29,Sindarius Thornwell,6:38,,,,,,,32:55,Danilo Gallinari,29:54,DeAndre Jordan,27:41,Blake Griffin,27:31,Patrick Beverley,26:11,Lou Williams,24:13,Wesley Johnson,14:13,Sam Dekker,13:44,Willie Reed,12:50
0,,0,0.000,0,,141,0,2,100.0,2,.667,2.0,66.7,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201710300LAC.html,Home,113,6:31,0,0.0,GSW,Draymond Green,David West,11:54,Jordan Bell,11:50,Omri Casspi,6:31,Nick Young,6:31,,,,,31:03,Stephen Curry,29:54,Klay Thompson,29:48,Kevin Durant,29:19,Andre Iguodala,22:56,Patrick McCaw,18:06,JaVale McGee,15:08,Shaun Livingston,14:01,Zaza Pachulia,12:59,141,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Brice Johnson,28,0,2017-2018,0.0,0,2.0,LAC,113,Danilo Gallinari,Jawun Evans,6:31,Sam Dekker,6:31,Montrezl Harrell,6:31,,,,,,,34:18,Blake Griffin,29:31,Austin Rivers,27:16,DeAndre Jordan,26:49,Patrick Beverley,25:56,Lou Williams,25:39,Sindarius Thornwell,17:06,Wesley Johnson,16:35,Willie Reed,10:46
0,,0,0.000,0,0.00,98,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201711010LAC.html,Home,119,5:06,0,,DAL,Harrison Barnes,Nerlens Noel,16:54,Salah Mejri,9:49,Jeff Withey,4:41,,,,,,,30:43,Dennis Smith Jr.,27:58,Wesley Matthews,27:26,Yogi Ferrell,25:13,Dirk Nowitzki,21:17,Maxi Kleber,20:34,Devin Harris,19:16,J.J. Barea,18:52,Dwight Powell,17:17,98,3,0,0.0,,0.0,,0.0,,Brice Johnson,21,1,2017-2018,1.0,1,0.0,LAC,119,Blake Griffin,Willie Reed,10:40,Sam Dekker,9:49,Jawun Evans,7:37,,,,,,,28:14,Danilo Gallinari,25:54,Wesley Johnson,25:47,Austin Rivers,25:01,DeAndre Jordan,24:22,Patrick Beverley,23:28,Sindarius Thornwell,23:03,Lou Williams,18:01,Montrezl Harrell,12:58
0,,0,0.000,0,,107,0,1,50.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201711070SAS.html,Away,120,2:02,1,50.0,SAS,LaMarcus Aldridge,Brandon Paul,11:55,Dāvis Bertāns,2:02,Darrun Hilliard,2:02,,,,,,,32:43,Kyle Anderson,31:40,Patty Mills,29:27,Danny Green,28:14,Pau Gasol,28:05,Rudy Gay,23:43,Manu Ginóbili,19:09,Dejounte Murray,18:33,Bryn Forbes,12:27,120,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Brice Johnson,13,0,2017-2018,0.0,0,2.0,LAC,107,Austin Rivers,Sam Dekker,7:03,Jawun Evans,6:02,,,,,,,,,36:04,Blake Griffin,34:27,Wesley Johnson,33:08,Patrick Beverley,29:33,DeAndre Jordan,28:36,Lou Williams,26:57,Sindarius Thornwell,16:44,Willie Reed,11:41,Montrezl Harrell,7:43
0,,0,,0,,103,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201711110NOP.html,Away,111,0:08,0,,NOP,Anthony Davis,,,,,,,,,,,,,39:23,DeMarcus Cousins,37:10,Jrue Holiday,35:05,E'Twaun Moore,32:41,Jameer Nelson,28:26,Dante Cunningham,21:27,Cheick Diallo,19:19,Ian Clark,17:39,Darius Miller,8:50,111,0,0,0.0,,0.0,,0.0,,Brice Johnson,8,0,2017-2018,0.0,0,0.0,LAC,103,Blake Griffin,,,,,,,,,,,,,38:17,DeAndre Jordan,37:06,Lou Williams,36:12,Austin Rivers,34:21,Sindarius Thornwell,31:52,Jawun Evans,23:10,Wesley Johnson,18:25,Willie Reed,10:54,Montrezl Harrell,9:35
0,,0,,0,,126,1,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201711300LAC.html,Home,107,3:14,0,,UTA,Donovan Mitchell,Tony Bradley,1:23,Nate Wolters,1:23,,,,,,,,,36:24,Alec Burks,29:27,Derrick Favors,27:50,Ricky Rubio,27:23,Joe Ingles,26:58,Jonas Jerebko,25:02,Thabo Sefolosha,22:58,Royce O'Neale,21:02,Ekpe Udoh,20:10,126,0,0,0.0,,0.0,,0.0,,Brice Johnson,19,0,2017-2018,1.0,0,0.0,LAC,107,Lou Williams,Sindarius Thornwell,11:20,Jamil Wilson,4:50,,,,,,,,,36:56,Austin Rivers,35:31,Wesley Johnson,32:41,DeAndre Jordan,30:59,Montrezl Harrell,20:32,Sam Dekker,20:14,C.J. Williams,18:16,Willie Reed,13:47,Jawun Evans,11:40
0,.000,1,100.000,0,0.00,82,0,1,100.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201712020DAL.html,Away,108,5:08,0,0.0,DAL,Harrison Barnes,Salah Mejri,15:15,Antonius Cleveland,7:53,Jeff Withey,6:02,,,,,,,29:20,Dirk Nowitzki,24:49,J.J. Barea,24:00,Wesley Matthews,23:51,Dennis Smith Jr.,23:46,Maxi Kleber,23:01,Yogi Ferrell,20:53,Devin Harris,20:44,Dwight Powell,20:27,108,0,0,0.0,,0.0,,0.0,,Brice Johnson,26,3,2017-2018,3.0,1,1.0,LAC,82,Lou Williams,Sam Dekker,13:10,Willie Reed,6:12,,,,,,,,,32:57,DeAndre Jordan,30:38,Austin Rivers,29:28,Wesley Johnson,27:38,Montrezl Harrell,24:43,C.J. Williams,22:07,Jawun Evans,18:00,Sindarius Thornwell,15:30,Jamil Wilson,14:28
0,,0,0.000,0,0.00,91,0,2,100.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201712150WAS.html,Away,100,5:53,0,0.0,WAS,Bradley Beal,Jason Smith,4:30,Tim Frazier,3:18,Otto Porter Jr.,3:04,Chris McCullough,1:07,,,,,36:59,Kelly Oubre Jr.,34:08,John Wall,29:37,Marcin Gortat,27:17,Mike Scott,23:44,Markieff Morris,21:10,Tomáš Satoranský,19:30,Jodie Meeks,18:31,Ian Mahinmi,17:05,100,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Brice Johnson,9,1,2017-2018,1.0,1,2.0,LAC,91,Jawun Evans,Willie Reed,2:13,,,,,,,,,,,40:24,DeAndre Jordan,33:47,Lou Williams,32:52,C.J. Williams,26:20,Jamil Wilson,22:31,Sam Dekker,21:04,Wesley Johnson,19:59,Sindarius Thornwell,19:22,Montrezl Harrell,15:35
