3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,.500,2,66.667,2,,86,0,0,,1,.333,0.0,0.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201412030LAC.html,Home,114,5:44,0,,ORL,Elfrid Payton,Luke Ridnour,12:51,Willie Green,12:28,Kyle O'Quinn,6:37,,,,,,,29:45,Channing Frye,25:58,Dewayne Dedmon,25:10,Victor Oladipo,25:08,Tobias Harris,24:45,Evan Fournier,22:20,Ben Gordon,19:02,Maurice Harkless,18:56,Andrew Nicholson,17:00,86,0,3,0.0,0.0,3.0,100.0,0.0,0.0,C.J. Wilcox,28,0,2014-2015,0.0,0,0.0,LAC,114,Matt Barnes,Hedo Türkoğlu,6:15,Jared Cunningham,5:44,Ekpe Udoh,4:37,,,,,,,38:58,Blake Griffin,28:54,Chris Paul,28:54,JJ Redick,28:12,DeAndre Jordan,26:49,Jamal Crawford,22:03,Spencer Hawes,16:34,Jordan Farmar,14:25,Glen Davis,12:51
1,1.000,1,100.000,0,,100,0,0,,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201412060LAC.html,Home,120,3:04,0,,NOP,Anthony Davis,Gal Mekel,10:47,Alexis Ajinça,9:10,Jeff Withey,3:04,,,,,,,32:34,Jrue Holiday,27:38,Ömer Aşık,25:38,Ryan Anderson,25:34,Tyreke Evans,24:53,Austin Rivers,23:52,Dante Cunningham,20:45,Luke Babbitt,18:11,John Salmons,17:54,100,0,3,0.0,0.0,3.0,100.0,0.0,0.0,C.J. Wilcox,20,0,2014-2015,0.0,0,0.0,LAC,120,JJ Redick,Hedo Türkoğlu,6:06,Ekpe Udoh,3:04,,,,,,,,,36:07,DeAndre Jordan,35:22,Matt Barnes,34:00,Blake Griffin,30:25,Chris Paul,29:54,Jamal Crawford,25:25,Spencer Hawes,18:30,Jared Cunningham,9:24,Glen Davis,8:39
1,1.000,1,100.000,0,,96,0,1,100.0,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201412120WAS.html,Away,104,2:09,0,0.0,WAS,Bradley Beal,Otto Porter Jr.,8:15,Garrett Temple,2:22,DeJuan Blair,0:51,,,,,,,38:54,John Wall,37:48,Paul Pierce,29:14,Kris Humphries,26:54,Rasual Butler,25:10,Nenê,22:54,Marcin Gortat,22:13,Kevin Séraphin,15:21,Andre Miller,10:04,104,0,3,0.0,0.0,3.0,100.0,0.0,0.0,C.J. Wilcox,8,0,2014-2015,0.0,0,1.0,LAC,96,Blake Griffin,Spencer Hawes,5:58,Ekpe Udoh,2:09,Jared Cunningham,2:09,,,,,,,36:40,Chris Paul,35:04,JJ Redick,31:14,Matt Barnes,27:46,Jamal Crawford,26:41,DeAndre Jordan,24:44,Hedo Türkoğlu,17:51,Jordan Farmar,14:10,Glen Davis,13:25
0,.000,1,25.000,0,,89,0,0,,1,.250,1.0,33.3,3.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201501070LAC.html,Home,114,6:01,0,,LAL,Wayne Ellington,Ryan Kelly,12:00,Robert Sacre,10:21,,,,,,,,,39:46,Nick Young,30:08,Kobe Bryant,27:47,Jeremy Lin,26:06,Ed Davis,23:24,Jordan Hill,23:11,Jordan Clarkson,20:13,Carlos Boozer,15:04,Tarik Black,12:00,89,0,2,2.0,100.0,0.0,0.0,0.0,0.0,C.J. Wilcox,25,0,2014-2015,0.0,0,0.0,LAC,114,Chris Paul,Spencer Hawes,13:21,Ekpe Udoh,6:01,,,,,,,,,31:12,Blake Griffin,30:51,DeAndre Jordan,30:17,Matt Barnes,30:00,JJ Redick,26:49,Jamal Crawford,17:38,Jordan Farmar,16:48,Reggie Bullock,15:32,Glen Davis,15:30
0,.000,1,25.000,0,0.00,84,0,0,,2,.500,2.0,66.7,3.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201501220LAC.html,Home,123,10:02,0,,BRK,Jarrett Jack,Sergey Karasev,14:29,Bojan Bogdanović,13:25,Mirza Teletović,7:30,,,,,,,27:12,Markel Brown,26:01,Joe Johnson,25:44,Mason Plumlee,25:22,Brook Lopez,24:23,Jerome Jordan,21:10,Darius Morris,20:48,Cory Jefferson,17:35,Alan Anderson,16:21,84,1,4,4.0,100.0,0.0,0.0,0.0,0.0,C.J. Wilcox,39,0,2014-2015,0.0,1,0.0,LAC,123,DeAndre Jordan,Hedo Türkoğlu,15:29,Dahntay Jones,8:54,Ekpe Udoh,8:54,,,,,,,25:36,Blake Griffin,24:53,Chris Paul,24:01,Austin Rivers,23:59,Matt Barnes,23:37,Glen Davis,21:01,JJ Redick,19:44,Jamal Crawford,18:14,Spencer Hawes,15:36
0,,0,0.000,0,,120,0,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201501250PHO.html,Away,100,1:55,0,0.0,PHO,Goran Dragić,Reggie Bullock,2:31,Zoran Dragić,2:31,Archie Goodwin,2:31,T.J. Warren,2:31,,,,,37:36,Eric Bledsoe,32:21,P.J. Tucker,30:07,Alex Len,24:54,Isaiah Thomas,24:31,Gerald Green,20:10,Markieff Morris,20:09,Marcus Morris,20:08,Miles Plumlee,20:00,100,0,0,0.0,,0.0,,0.0,,C.J. Wilcox,20,1,2014-2015,1.0,0,1.0,LAC,120,Chris Paul,Glen Davis,7:47,Ekpe Udoh,1:55,Dahntay Jones,1:55,,,,,,,36:28,Blake Griffin,36:12,DeAndre Jordan,32:07,JJ Redick,30:41,Matt Barnes,26:27,Jamal Crawford,23:42,Spencer Hawes,15:43,Austin Rivers,14:32,Hedo Türkoğlu,10:36
0,,0,0.000,0,,105,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201501310SAS.html,Away,85,2:28,0,,SAS,Kawhi Leonard,Cory Joseph,9:19,Matt Bonner,8:13,Reggie Williams,4:59,Jeff Ayres,4:40,,,,,34:20,Tony Parker,30:14,Danny Green,29:47,Boris Diaw,27:08,Tim Duncan,26:20,Manu Ginóbili,22:14,Tiago Splitter,17:02,Patty Mills,13:07,Aron Baynes,12:37,85,0,0,0.0,,0.0,,0.0,,C.J. Wilcox,20,0,2014-2015,0.0,0,0.0,LAC,105,Blake Griffin,Glen Davis,3:37,Dahntay Jones,2:28,Ekpe Udoh,2:28,,,,,,,34:40,DeAndre Jordan,30:57,Chris Paul,30:40,Matt Barnes,29:45,JJ Redick,27:47,Spencer Hawes,24:10,Jamal Crawford,20:34,Austin Rivers,18:29,Hedo Türkoğlu,11:57
1,.200,5,83.333,1,,94,0,1,100.0,2,.333,1.0,100.0,1.0,6,1,1.000,1,16.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201502050CLE.html,Away,105,16:48,0,0.0,CLE,Kyrie Irving,Shawn Marion,12:00,Brendan Haywood,5:23,James Jones,5:23,,,,,,,31:58,J.R. Smith,28:56,Kevin Love,28:40,Timofey Mozgov,28:23,LeBron James,27:47,Matthew Dellavedova,20:20,Tristan Thompson,20:12,Iman Shumpert,18:07,Mike Miller,12:51,105,1,6,2.0,33.3,3.0,50.0,1.0,16.7,C.J. Wilcox,11,1,2014-2015,1.0,0,1.0,LAC,94,Jamal Crawford,Ekpe Udoh,6:24,Hedo Türkoğlu,1:46,,,,,,,,,30:01,Chris Paul,27:28,DeAndre Jordan,27:28,Blake Griffin,26:34,Matt Barnes,23:49,Austin Rivers,22:05,Dahntay Jones,20:35,Glen Davis,19:20,Spencer Hawes,17:42
0,,0,,0,,107,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201502060TOR.html,Away,123,3:08,0,,TOR,Kyle Lowry,Landry Fields,1:47,Tyler Hansbrough,1:47,Greg Stiemsma,1:47,,,,,,,38:06,DeMar DeRozan,31:50,Lou Williams,28:22,Patrick Patterson,27:30,Amir Johnson,26:23,Greivis Vásquez,23:21,Terrence Ross,20:34,Jonas Valančiūnas,19:37,James Johnson,18:56,123,0,0,0.0,,0.0,,0.0,,C.J. Wilcox,16,0,2014-2015,0.0,0,0.0,LAC,107,Chris Paul,,,,,,,,,,,,,39:46,Blake Griffin,35:43,DeAndre Jordan,35:38,Jamal Crawford,35:06,Austin Rivers,33:14,Matt Barnes,29:18,Spencer Hawes,16:19,Dahntay Jones,7:16,Glen Davis,4:31
1,1.000,1,25.000,1,0.50,108,0,0,,4,1.000,3.0,100.0,3.0,4,1,1.000,1,25.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201502080OKC.html,Away,131,9:20,0,,OKC,Russell Westbrook,Perry Jones,9:21,Jeremy Lamb,8:31,Ish Smith,6:00,,,,,,,31:30,Serge Ibaka,29:51,Kevin Durant,29:00,Dion Waiters,24:13,Reggie Jackson,23:32,Mitch McGary,23:29,Andre Roberson,23:10,Nick Collison,19:03,Steven Adams,12:20,131,1,10,6.0,60.0,3.0,30.0,1.0,10.0,C.J. Wilcox,23,0,2014-2015,0.0,2,0.0,LAC,108,Chris Paul,Glen Davis,5:34,,,,,,,,,,,35:39,Spencer Hawes,35:26,DeAndre Jordan,35:04,Jamal Crawford,33:42,Matt Barnes,31:34,Austin Rivers,25:38,Hedo Türkoğlu,11:21,Ekpe Udoh,9:20,Dahntay Jones,7:22
