3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,1.000,1,14.286,3,1.50,124,0,3,75.0,3,.429,2.0,33.3,6.0,7,1,1.000,1,14.286,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710180PHO.html,Away,76,17:30,1,25.0,PHO,Josh Jackson,Mike James,10:36,Alec Peters,10:36,Derrick Jones Jr.,10:36,,,,,,,32:01,Eric Bledsoe,29:26,T.J. Warren,27:53,Devin Booker,27:04,Tyson Chandler,22:57,Troy Daniels,21:17,Dragan Bender,20:49,Tyler Ulis,14:40,Marquese Chriss,12:05,76,2,8,4.0,50.0,3.0,37.5,1.0,12.5,Caleb Swanigan,48,1,2017-2018,1.0,2,4.0,POR,124,Pat Connaughton,Meyers Leonard,10:36,,,,,,,,,,,32:04,Damian Lillard,29:39,Al-Farouq Aminu,27:42,Maurice Harkless,25:33,Evan Turner,25:20,Jusuf Nurkić,23:01,Shabazz Napier,22:42,Ed Davis,13:53,Jake Layman,12:00
0,,0,0.000,0,0.00,114,0,0,,0,.000,0.0,0.0,4.0,4,2,1.000,2,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710200IND.html,Away,96,8:48,0,,IND,Victor Oladipo,Damien Wilkins,8:33,Joe Young,3:51,Alex Poythress,3:51,Ike Anigbogu,2:24,,,,,32:33,Darren Collison,31:25,Thaddeus Young,29:06,Domantas Sabonis,28:57,Bojan Bogdanović,24:12,Cory Joseph,19:54,Lance Stephenson,19:41,T.J. Leaf,19:26,Al Jefferson,16:07,96,2,2,0.0,0.0,0.0,0.0,2.0,100.0,Caleb Swanigan,18,0,2017-2018,0.0,1,0.0,POR,114,Al-Farouq Aminu,Shabazz Napier,2:24,Jake Layman,2:24,,,,,,,,,34:34,Damian Lillard,32:59,CJ McCollum,32:17,Evan Turner,31:46,Jusuf Nurkić,25:37,Pat Connaughton,22:05,Maurice Harkless,20:05,Ed Davis,19:59,Zach Collins,7:02
0,.000,1,20.000,3,1.50,93,1,3,37.5,2,.400,2.0,50.0,4.0,5,1,1.000,1,20.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710240POR.html,Home,103,15:54,5,62.5,NOP,DeMarcus Cousins,Anthony Davis,5:01,,,,,,,,,,,38:57,Jrue Holiday,35:00,Jameer Nelson,30:34,Dante Cunningham,27:54,E'Twaun Moore,27:50,Ian Clark,26:51,Darius Miller,20:04,Tony Allen,14:58,Cheick Diallo,12:51,93,3,5,4.0,80.0,0.0,0.0,1.0,20.0,Caleb Swanigan,10,0,2017-2018,1.0,2,8.0,POR,103,CJ McCollum,Shabazz Napier,3:30,,,,,,,,,,,36:09,Damian Lillard,35:19,Evan Turner,29:32,Al-Farouq Aminu,25:30,Maurice Harkless,23:06,Pat Connaughton,23:00,Ed Davis,21:28,Jusuf Nurkić,20:07,Meyers Leonard,6:25
0,,0,,0,0.00,104,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201710260POR.html,Home,103,4:40,0,0.0,LAC,Blake Griffin,Sam Dekker,3:49,,,,,,,,,,,40:22,Danilo Gallinari,38:24,DeAndre Jordan,38:18,Austin Rivers,34:32,Patrick Beverley,34:15,Lou Williams,18:32,Wesley Johnson,14:45,Sindarius Thornwell,8:32,Willie Reed,8:32,104,1,0,0.0,,0.0,,0.0,,Caleb Swanigan,1,0,2017-2018,0.0,1,1.0,POR,103,CJ McCollum,,,,,,,,,,,,,38:51,Damian Lillard,38:20,Maurice Harkless,35:42,Al-Farouq Aminu,32:50,Jusuf Nurkić,27:10,Ed Davis,21:49,Evan Turner,21:47,Pat Connaughton,10:35,Shabazz Napier,8:16
0,.000,1,25.000,0,,99,0,2,66.7,0,.000,0.0,0.0,3.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201710300POR.html,Home,85,7:29,1,33.3,TOR,DeMar DeRozan,Fred VanVleet,9:22,Bruno Caboclo,0:34,Alfonzo McKinnie,0:34,,,,,,,36:46,Kyle Lowry,34:29,Lucas Nogueira,30:21,Pascal Siakam,26:14,Norman Powell,22:16,Delon Wright,22:03,OG Anunoby,21:46,C.J. Miles,17:56,Jakob Poeltl,17:39,99,0,0,0.0,,0.0,,0.0,,Caleb Swanigan,14,0,2017-2018,0.0,0,3.0,POR,85,Damian Lillard,,,,,,,,,,,,,40:36,Al-Farouq Aminu,34:38,CJ McCollum,31:49,Evan Turner,28:07,Jusuf Nurkić,26:22,Maurice Harkless,25:46,Ed Davis,21:38,Pat Connaughton,20:06,Shabazz Napier,3:29
0,,0,0.000,0,,110,0,2,50.0,2,.500,2.0,50.0,4.0,4,1,.500,2,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201711020POR.html,Home,113,13:47,2,50.0,LAL,Kentavious Caldwell-Pope,Josh Hart,13:36,,,,,,,,,,,34:24,Brandon Ingram,32:17,Brook Lopez,29:14,Kyle Kuzma,28:34,Lonzo Ball,28:07,Jordan Clarkson,21:56,Larry Nance Jr.,19:26,Julius Randle,18:46,Corey Brewer,13:40,110,2,5,4.0,80.0,0.0,0.0,1.0,20.0,Caleb Swanigan,3,2,2017-2018,2.0,0,4.0,POR,113,Damian Lillard,,,,,,,,,,,,,38:43,CJ McCollum,38:08,Maurice Harkless,29:19,Jusuf Nurkić,28:53,Evan Turner,26:23,Pat Connaughton,19:48,Ed Davis,19:07,Noah Vonleh,15:06,Zach Collins,10:47
0,.000,1,25.000,1,1.00,99,0,4,100.0,2,.500,2.0,66.7,3.0,4,1,.500,2,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201711050POR.html,Home,103,14:02,0,0.0,OKC,Paul George,,,,,,,,,,,,,39:45,Russell Westbrook,35:39,Steven Adams,31:19,Jerami Grant,28:05,Andre Roberson,25:33,Raymond Felton,23:44,Carmelo Anthony,23:14,Patrick Patterson,18:07,Álex Abrines,14:36,99,3,5,4.0,80.0,0.0,0.0,1.0,20.0,Caleb Swanigan,4,0,2017-2018,0.0,1,4.0,POR,103,Damian Lillard,,,,,,,,,,,,,37:04,CJ McCollum,35:40,Jusuf Nurkić,32:53,Evan Turner,30:41,Maurice Harkless,30:18,Noah Vonleh,23:48,Pat Connaughton,20:47,Ed Davis,14:48,,
0,,0,0.000,0,,101,0,2,66.7,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201711100POR.html,Home,97,5:36,1,33.3,BRK,Rondae Hollis-Jefferson,Jacob Wiley,4:59,,,,,,,,,,,38:38,DeMarre Carroll,30:19,Allen Crabbe,30:13,D'Angelo Russell,28:25,Spencer Dinwiddie,24:50,Quincy Acy,24:40,Joe Harris,21:03,Caris LeVert,18:48,Timofey Mozgov,18:05,101,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Caleb Swanigan,4,0,2017-2018,0.0,0,3.0,POR,97,Damian Lillard,,,,,,,,,,,,,35:52,CJ McCollum,34:14,Evan Turner,32:35,Maurice Harkless,31:52,Jusuf Nurkić,25:00,Ed Davis,22:53,Shabazz Napier,19:33,Pat Connaughton,16:52,Noah Vonleh,15:33
0,.000,1,20.000,1,0.50,82,2,4,80.0,2,.400,2.0,50.0,4.0,5,2,1.000,2,40.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201711130POR.html,Home,99,20:29,1,20.0,DEN,Jamal Murray,Mason Plumlee,5:32,Trey Lyles,4:13,,,,,,,,,39:01,Nikola Jokić,34:56,Will Barton,34:29,Paul Millsap,33:58,Wilson Chandler,33:25,Emmanuel Mudiay,21:12,Kenneth Faried,16:55,Richard Jefferson,10:21,Malik Beasley,6:00,82,6,6,4.0,66.7,0.0,0.0,2.0,33.3,Caleb Swanigan,17,0,2017-2018,2.0,2,5.0,POR,99,Damian Lillard,Zach Collins,2:33,Jake Layman,2:33,,,,,,,,,33:49,CJ McCollum,31:19,Jusuf Nurkić,30:10,Noah Vonleh,26:25,Evan Turner,24:59,Maurice Harkless,20:28,Pat Connaughton,17:48,Ed Davis,14:49,Shabazz Napier,14:38
0,,0,,0,0.00,94,0,0,,0,,0.0,,0.0,0,0,.000,2,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201711150POR.html,Home,99,5:34,0,,ORL,Evan Fournier,Mario Hezonja,7:27,,,,,,,,,,,35:54,Aaron Gordon,31:33,Nikola Vučević,31:07,Elfrid Payton,30:45,Terrence Ross,27:22,Jonathon Simmons,26:29,Bismack Biyombo,16:53,Marreese Speights,16:27,Shelvin Mack,16:03,94,0,0,0.0,,0.0,,0.0,,Caleb Swanigan,5,0,2017-2018,0.0,1,0.0,POR,99,CJ McCollum,,,,,,,,,,,,,38:11,Damian Lillard,37:22,Jusuf Nurkić,31:51,Maurice Harkless,27:37,Shabazz Napier,26:35,Evan Turner,23:24,Noah Vonleh,21:18,Ed Davis,16:05,Pat Connaughton,12:03
