3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,2,50.000,0,0.00,86,0,1,100.0,0,.000,0.0,0.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310250ORL.html,Away,116,9:39,0,0.0,ORL,Paolo Banchero,Jonathan Isaac,14:09,Goga Bitadze,4:48,Anthony Black,4:48,Caleb Houstan,4:48,Jett Howard,4:48,Chuma Okeke,4:48,27:54,Franz Wagner,27:03,Wendell Carter Jr.,26:55,Markelle Fultz,24:31,Cole Anthony,24:05,Jalen Suggs,20:51,Joe Ingles,18:14,Gary Harris,16:57,Moritz Wagner,15:21,116,0,0,0.0,,0.0,,0.0,,Cam Whitmore,30,0,2023-2024,0.0,1,1.0,HOU,86,Fred VanVleet,Jock Landale,8:37,Jermaine Samuels,6:27,Jeenathan Williams,4:48,Aaron Holiday,4:48,,,,,33:32,Jalen Green,29:49,Alperen Sengun,28:28,Jabari Smith Jr.,26:10,Dillon Brooks,26:08,Amen Thompson,21:20,Jae'Sean Tate,15:08,Jeff Green,13:52,Reggie Bullock,11:14
0,,0,,0,0.00,89,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311040HOU.html,Home,107,1:22,0,0.0,SAC,Keegan Murray,Sasha Vezenkov,10:46,Alex Len,2:37,Jordan Ford,1:22,Kessler Edwards,1:22,Keon Ellis,1:22,,,33:06,Harrison Barnes,31:57,Domantas Sabonis,30:42,Davion Mitchell,26:27,Chris Duarte,25:58,Malik Monk,25:42,Colby Jones,18:07,Kevin Huerter,15:50,JaVale McGee,14:40,89,0,0,0.0,,0.0,,0.0,,Cam Whitmore,18,0,2023-2024,0.0,1,1.0,HOU,107,Dillon Brooks,Jermaine Samuels,1:22,Nate Hinton,1:22,,,,,,,,,38:21,Fred VanVleet,36:04,Jalen Green,35:31,Jabari Smith Jr.,34:30,Alperen Sengun,34:16,Jae'Sean Tate,20:44,Aaron Holiday,19:00,Jock Landale,12:01,Jeff Green,5:25
0,.000,1,20.000,1,,97,0,1,100.0,3,.600,3.0,75.0,4.0,5,1,.500,2,40.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311060HOU.html,Home,122,12:00,0,0.0,SAC,Domantas Sabonis,Kessler Edwards,12:22,Sasha Vezenkov,11:37,JaVale McGee,10:07,Jordan Ford,8:29,Alex Len,7:34,,,30:19,Keegan Murray,27:56,Davion Mitchell,27:24,Kevin Huerter,25:13,Harrison Barnes,21:56,Chris Duarte,15:06,Malik Monk,14:39,Keon Ellis,14:26,Colby Jones,12:52,97,1,7,6.0,85.7,0.0,0.0,1.0,14.3,Cam Whitmore,25,1,2023-2024,1.0,0,1.0,HOU,122,Dillon Brooks,Reggie Bullock,12:00,Nate Hinton,6:30,Boban Marjanović,6:30,Jeff Green,5:23,,,,,27:34,Fred VanVleet,27:23,Alperen Sengun,25:37,Jalen Green,25:36,Jabari Smith Jr.,21:50,Aaron Holiday,21:09,Jae'Sean Tate,20:35,Jock Landale,15:53,Jermaine Samuels,12:00
1,.500,2,50.000,0,,124,0,2,100.0,3,.750,2.0,100.0,2.0,4,1,.500,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311290DEN.html,Away,134,5:47,0,0.0,DEN,Michael Porter Jr.,DeAndre Jordan,5:49,Braxton Key,3:08,Collin Gillespie,3:08,Jalen Pickett,3:08,Hunter Tyson,3:08,,,33:49,Nikola Jokić,33:21,Kentavious Caldwell-Pope,31:35,Justin Holiday,26:35,Reggie Jackson,23:45,Jamal Murray,22:22,Christian Braun,18:35,Zeke Nnaji,18:20,Julian Strawther,13:17,134,1,8,4.0,50.0,3.0,37.5,1.0,12.5,Cam Whitmore,10,0,2023-2024,0.0,0,2.0,HOU,124,Aaron Holiday,Jeenathan Williams,5:47,Jermaine Samuels,5:47,Nate Hinton,5:30,,,,,,,35:04,Jalen Green,34:14,Jabari Smith Jr.,32:06,Alperen Sengun,28:10,Dillon Brooks,23:24,Jeff Green,22:01,Tari Eason,16:42,Jock Landale,13:36,Reggie Bullock,11:52
0,,0,0.000,1,,97,0,2,66.7,1,.500,1.0,50.0,2.0,2,3,.500,6,300.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312020LAL.html,Away,107,3:05,1,33.3,LAL,Anthony Davis,Jaxson Hayes,6:06,Jalen Hood-Schifino,3:05,Maxwell Lewis,2:54,,,,,,,36:39,LeBron James,35:22,Taurean Prince,29:17,Max Christie,28:57,D'Angelo Russell,26:22,Cam Reddish,24:25,Austin Reaves,22:09,Jarred Vanderbilt,13:41,Christian Wood,11:03,107,0,5,2.0,40.0,0.0,0.0,3.0,60.0,Cam Whitmore,10,0,2023-2024,0.0,0,3.0,HOU,97,Fred VanVleet,Nate Hinton,3:05,Jock Landale,3:05,Jermaine Samuels,3:05,,,,,,,39:34,Alperen Sengun,33:44,Dillon Brooks,33:09,Jalen Green,32:12,Jabari Smith Jr.,29:47,Tari Eason,19:47,Jae'Sean Tate,14:10,Aaron Holiday,14:04,Jeff Green,11:11
1,.167,6,50.000,0,,96,0,2,50.0,6,.500,5.0,83.3,6.0,12,1,.500,2,16.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202312220HOU.html,Home,122,14:14,2,50.0,DAL,Olivier-Maxence Prosper,Greg Brown III,12:08,Markieff Morris,11:33,Dwight Powell,7:43,,,,,,,29:48,Tim Hardaway Jr.,25:51,Grant Williams,25:43,Jaden Hardy,24:18,A.J. Lawson,23:20,Derrick Jones Jr.,22:24,Richaun Holmes,22:21,Seth Curry,17:38,Dexter Dennis,17:13,96,2,14,10.0,71.4,3.0,21.4,1.0,7.1,Cam Whitmore,26,2,2023-2024,2.0,0,4.0,HOU,122,Jabari Smith Jr.,Nate Hinton,9:51,Jermaine Samuels,8:55,Jeff Green,7:44,,,,,,,30:36,Jalen Green,26:53,Fred VanVleet,25:41,Alperen Sengun,24:41,Amen Thompson,21:38,Dillon Brooks,21:35,Jae'Sean Tate,17:30,Jock Landale,15:35,Aaron Holiday,15:07
3,.750,4,57.143,0,0.00,129,1,1,100.0,4,.571,1.0,33.3,3.0,7,1,.500,2,28.571,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312270HOU.html,Home,113,17:50,0,0.0,PHO,Kevin Durant,Josh Okogie,9:50,Bol Bol,1:36,Yuta Watanabe,1:36,,,,,,,41:05,Eric Gordon,39:24,Devin Booker,35:47,Grayson Allen,33:04,Udoka Azubuike,18:56,Chimezie Metu,16:13,Nassir Little,16:12,Jusuf Nurkić,14:04,Saben Lee,12:13,129,2,12,2.0,16.7,9.0,75.0,1.0,8.3,Cam Whitmore,16,0,2023-2024,1.0,1,1.0,HOU,113,Fred VanVleet,Jeff Green,7:26,Reggie Bullock,6:35,,,,,,,,,29:08,Alperen Sengun,28:34,Jalen Green,25:38,Tari Eason,25:26,Aaron Holiday,24:09,Jae'Sean Tate,23:57,Jabari Smith Jr.,22:12,Amen Thompson,17:05,Jock Landale,12:00
1,1.000,1,20.000,0,,113,0,3,75.0,4,.800,3.0,75.0,4.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202401010HOU.html,Home,136,7:33,1,25.0,DET,Cade Cunningham,Isaiah Livers,13:08,Marvin Bagley III,9:13,Marcus Sasser,6:51,,,,,,,30:02,Bojan Bogdanović,26:40,Jaden Ivey,25:56,Ausar Thompson,24:26,Kevin Knox,23:25,Alec Burks,22:42,Jalen Duren,22:20,Killian Hayes,18:50,James Wiseman,16:27,113,0,9,6.0,66.7,3.0,33.3,0.0,0.0,Cam Whitmore,23,0,2023-2024,0.0,0,4.0,HOU,136,Amen Thompson,Jeff Green,8:32,Jock Landale,6:58,Boban Marjanović,6:05,,,,,,,28:26,Alperen Sengun,27:28,Jalen Green,27:28,Jabari Smith Jr.,26:57,Jae'Sean Tate,26:13,Fred VanVleet,25:57,Tari Eason,23:36,Reggie Bullock,14:08,Aaron Holiday,10:39
3,.600,5,71.429,1,1.00,101,0,2,100.0,4,.571,1.0,50.0,2.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202401030HOU.html,Home,112,16:34,0,0.0,BRK,Mikal Bridges,Jalen Wilson,5:11,Armoni Brooks,2:31,,,,,,,,,36:20,Cameron Johnson,32:08,Royce O'Neale,29:57,Spencer Dinwiddie,28:06,Nic Claxton,27:42,Trendon Watford,20:23,Day'Ron Sharpe,20:09,Dorian Finney-Smith,20:04,Cam Thomas,17:29,101,3,11,2.0,18.2,9.0,81.8,0.0,0.0,Cam Whitmore,11,2,2023-2024,2.0,1,2.0,HOU,112,Fred VanVleet,,,,,,,,,,,,,35:42,Alperen Sengun,33:37,Jabari Smith Jr.,32:48,Jae'Sean Tate,31:26,Jalen Green,31:20,Amen Thompson,19:52,Jeff Green,17:02,Aaron Holiday,14:01,Reggie Bullock,7:38
1,.250,4,40.000,0,0.00,122,0,2,100.0,4,.400,3.0,50.0,6.0,10,2,1.000,2,20.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202401050HOU.html,Home,95,14:53,0,0.0,MIN,Rudy Gobert,Troy Brown Jr.,3:28,Luka Garza,3:28,Shake Milton,3:28,Josh Minott,2:38,Wendell Moore Jr.,2:38,,,32:58,Anthony Edwards,32:33,Karl-Anthony Towns,31:20,Jaden McDaniels,29:47,Mike Conley,25:00,Naz Reid,24:46,Kyle Anderson,17:35,Nickeil Alexander-Walker,17:32,Jordan McLaughlin,12:49,122,1,11,6.0,54.5,3.0,27.3,2.0,18.2,Cam Whitmore,27,2,2023-2024,2.0,4,2.0,HOU,95,Alperen Sengun,Jock Landale,5:23,Boban Marjanović,4:05,,,,,,,,,33:20,Jabari Smith Jr.,32:25,Fred VanVleet,30:58,Jalen Green,30:42,Jae'Sean Tate,20:51,Jeff Green,20:50,Amen Thompson,19:37,Aaron Holiday,18:57,Reggie Bullock,7:59
