3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,0.00,104,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201410290NYK.html,Away,80,3:31,0,,NYK,Carmelo Anthony,Cole Aldrich,16:59,Jason Smith,13:47,Cleanthony Early,6:43,Travis Wear,5:52,,,,,28:48,Shane Larkin,25:35,Amar'e Stoudemire,23:55,J.R. Smith,21:36,Quincy Acy,21:28,Iman Shumpert,20:14,Samuel Dalembert,19:51,Tim Hardaway Jr.,17:53,Pablo Prigioni,17:19,80,0,0,0.0,,0.0,,0.0,,Cameron Bairstow,24,0,2014-2015,0.0,1,0.0,CHI,104,Mike Dunleavy,Nikola Mirotić,15:17,E'Twaun Moore,3:00,,,,,,,,,31:01,Pau Gasol,29:10,Taj Gibson,28:11,Doug McDermott,24:18,Kirk Hinrich,23:42,Aaron Brooks,23:39,Derrick Rose,21:21,Joakim Noah,19:51,Tony Snell,16:59
0,,0,,0,,88,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411200SAC.html,Away,103,5:30,0,,SAC,Darren Collison,Ryan Hollins,0:37,Ray McCallum,0:25,Nik Stauskas,0:25,,,,,,,40:29,Rudy Gay,35:06,DeMarcus Cousins,34:22,Ben McLemore,29:57,Jason Thompson,29:24,Derrick Williams,22:15,Carl Landry,16:58,Omri Casspi,16:40,Ramon Sessions,13:21,103,0,0,0.0,,0.0,,0.0,,Cameron Bairstow,15,0,2014-2015,0.0,0,0.0,CHI,88,Joakim Noah,Nazr Mohammed,1:13,E'Twaun Moore,1:13,,,,,,,,,37:24,Jimmy Butler,36:38,Mike Dunleavy,34:40,Taj Gibson,33:42,Kirk Hinrich,28:58,Aaron Brooks,24:36,Nikola Mirotić,18:11,Doug McDermott,12:02,Tony Snell,5:53
0,,0,,0,,87,0,0,0.0,0,,0.0,,0.0,0,1,.500,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411210POR.html,Away,105,2:00,1,100.0,POR,LaMarcus Aldridge,Meyers Leonard,12:00,Dorell Wright,12:00,Joel Freeland,7:53,Thomas Robinson,7:51,,,,,28:07,Wesley Matthews,27:07,Damian Lillard,26:07,Robin Lopez,23:26,Allen Crabbe,21:53,Steve Blake,21:08,Nicolas Batum,20:50,Chris Kaman,16:43,Will Barton,14:55,105,1,1,0.0,0.0,0.0,0.0,1.0,100.0,Cameron Bairstow,18,0,2014-2015,0.0,0,1.0,CHI,87,Nikola Mirotić,Mike Dunleavy,17:00,,,,,,,,,,,35:07,Tony Snell,31:00,Jimmy Butler,26:32,E'Twaun Moore,24:13,Aaron Brooks,24:11,Joakim Noah,21:36,Doug McDermott,21:04,Nazr Mohammed,20:12,Taj Gibson,17:06
0,,0,0.000,1,0.50,109,1,0,0.0,1,.250,1.0,25.0,4.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411250DEN.html,Away,114,18:46,2,100.0,DEN,Ty Lawson,Alonzo Gee,12:00,Gary Harris,5:49,,,,,,,,,35:20,Arron Afflalo,32:10,Danilo Gallinari,28:44,Wilson Chandler,28:36,Timofey Mozgov,27:57,Kenneth Faried,23:31,J.J. Hickson,19:06,Darrell Arthur,13:41,Nate Robinson,13:06,114,4,2,2.0,100.0,0.0,0.0,0.0,0.0,Cameron Bairstow,5,0,2014-2015,1.0,2,2.0,CHI,109,Jimmy Butler,Tony Snell,0:15,,,,,,,,,,,40:03,Mike Dunleavy,36:44,Pau Gasol,36:12,Kirk Hinrich,31:24,Aaron Brooks,23:25,Nikola Mirotić,20:49,Nazr Mohammed,11:48,Doug McDermott,10:42,Derrick Rose,9:52
0,,0,0.000,0,,80,0,0,0.0,0,.000,0.0,0.0,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201412100CHI.html,Home,105,9:07,2,100.0,BRK,Deron Williams,Markel Brown,4:44,Jorge Gutiérrez,4:44,,,,,,,,,32:13,Sergey Karasev,31:15,Jarrett Jack,30:04,Jerome Jordan,28:34,Mason Plumlee,28:03,Kevin Garnett,25:53,Alan Anderson,24:23,Bojan Bogdanović,16:37,Cory Jefferson,13:30,80,1,0,0.0,,0.0,,0.0,,Cameron Bairstow,25,1,2014-2015,1.0,0,2.0,CHI,105,Pau Gasol,E'Twaun Moore,3:14,Tony Snell,3:14,,,,,,,,,34:48,Jimmy Butler,34:31,Taj Gibson,31:28,Kirk Hinrich,30:33,Mike Dunleavy,29:56,Derrick Rose,23:50,Nikola Mirotić,20:37,Aaron Brooks,15:28,Nazr Mohammed,3:14
0,,0,,0,,93,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201412140MIA.html,Away,75,0:35,0,,MIA,Norris Cole,Udonis Haslem,3:53,,,,,,,,,,,39:48,Luol Deng,33:29,Justin Hamilton,33:18,Mario Chalmers,28:48,Shawne Williams,28:08,Dwyane Wade,27:37,Danny Granger,19:38,Chris Andersen,18:12,James Ennis III,7:09,75,0,0,0.0,,0.0,,0.0,,Cameron Bairstow,18,0,2014-2015,0.0,0,0.0,CHI,93,Taj Gibson,Nazr Mohammed,1:03,E'Twaun Moore,0:25,,,,,,,,,38:18,Pau Gasol,36:25,Jimmy Butler,36:20,Kirk Hinrich,30:49,Mike Dunleavy,29:56,Derrick Rose,27:10,Nikola Mirotić,20:14,Aaron Brooks,16:36,Tony Snell,2:09
0,,0,,0,,93,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201412250CHI.html,Home,113,0:50,0,0.0,LAL,Wayne Ellington,Jordan Clarkson,10:44,,,,,,,,,,,34:44,Wesley Johnson,33:40,Ed Davis,32:45,Jordan Hill,31:16,Ronnie Price,29:14,Jeremy Lin,18:46,Carlos Boozer,17:19,Nick Young,16:52,Robert Sacre,14:40,93,0,0,0.0,,0.0,,0.0,,Cameron Bairstow,20,0,2014-2015,0.0,0,1.0,CHI,113,Jimmy Butler,Tony Snell,5:49,,,,,,,,,,,42:11,Pau Gasol,33:07,Derrick Rose,31:47,Aaron Brooks,28:10,Joakim Noah,27:23,Mike Dunleavy,21:44,Taj Gibson,19:47,Nikola Mirotić,14:53,E'Twaun Moore,14:19
0,,0,0.000,0,,97,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201501070CHI.html,Home,77,3:22,0,,UTA,Rudy Gobert,Jeremy Evans,2:51,Elliot Williams,1:45,Steve Novak,1:45,,,,,,,36:25,Gordon Hayward,33:31,Trey Burke,33:26,Derrick Favors,32:12,Joe Ingles,26:43,Dante Exum,23:45,Trevor Booker,22:47,Elijah Millsap,21:21,Ian Clark,3:29,97,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Cameron Bairstow,20,1,2014-2015,1.0,0,0.0,CHI,77,Jimmy Butler,E'Twaun Moore,3:22,Nazr Mohammed,2:37,,,,,,,,,33:41,Taj Gibson,30:17,Derrick Rose,30:12,Joakim Noah,27:08,Pau Gasol,26:18,Kirk Hinrich,24:27,Aaron Brooks,23:37,Nikola Mirotić,22:47,Tony Snell,12:12
0,,0,,0,,86,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201501090WAS.html,Away,102,0:24,0,,WAS,Marcin Gortat,Otto Porter Jr.,7:24,Garrett Temple,0:24,,,,,,,,,38:27,Bradley Beal,38:25,John Wall,34:52,Paul Pierce,29:08,Nenê,28:34,Rasual Butler,21:04,Kris Humphries,19:26,Andre Miller,12:44,Kevin Séraphin,9:33,102,0,0,0.0,,0.0,,0.0,,Cameron Bairstow,16,0,2014-2015,0.0,0,0.0,CHI,86,Jimmy Butler,E'Twaun Moore,13:24,,,,,,,,,,,36:15,Pau Gasol,32:06,Derrick Rose,30:58,Joakim Noah,26:46,Aaron Brooks,23:21,Taj Gibson,23:01,Kirk Hinrich,20:59,Tony Snell,18:30,Nikola Mirotić,14:16
0,,0,0.000,0,,94,0,0,,0,.000,0.0,0.0,1.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201501190CLE.html,Away,108,2:35,0,,CLE,Kyrie Irving,Joe Harris,2:00,James Jones,2:00,Mike Miller,2:00,,,,,,,40:34,LeBron James,36:16,J.R. Smith,34:05,Timofey Mozgov,33:22,Kevin Love,29:50,Tristan Thompson,27:06,Shawn Marion,17:49,Matthew Dellavedova,12:58,Brendan Haywood,2:00,108,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Cameron Bairstow,14,0,2014-2015,0.0,0,0.0,CHI,94,Jimmy Butler,Nazr Mohammed,2:35,,,,,,,,,,,39:31,Taj Gibson,38:19,Pau Gasol,37:05,Derrick Rose,29:56,Kirk Hinrich,26:35,Tony Snell,22:47,Aaron Brooks,18:37,Nikola Mirotić,15:26,E'Twaun Moore,6:34
