3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,3,3.00,102,0,2,100.0,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112230DAL.html,Home,95,9:10,0,0.0,MIL,Jrue Holiday,Semi Ojeleye,9:36,,,,,,,,,,,34:19,Khris Middleton,31:32,Pat Connaughton,30:11,DeMarcus Cousins,27:51,Jordan Nwora,27:44,George Hill,25:54,Grayson Allen,18:29,Wesley Matthews,18:28,Rodney Hood,15:56,102,0,0,0.0,,0.0,,0.0,,Carlik Jones,7,0,2021-2022,0.0,1,2.0,DAL,95,Jalen Brunson,George King,4:18,,,,,,,,,,,38:48,Dorian Finney-Smith,38:45,Frank Ntilikina,37:41,Sterling Brown,36:32,Theo Pinson,21:56,Dwight Powell,21:29,Marquese Chriss,12:57,Brandon Knight,9:35,Moses Brown,8:49
0,.000,1,100.000,1,1.00,132,0,0,,0,.000,0.0,,0.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112270POR.html,Away,117,4:38,0,,POR,Damian Lillard,Brandon Williams,6:46,Jarron Cumberland,6:29,,,,,,,,,36:19,Nassir Little,33:55,Larry Nance Jr.,32:23,Norman Powell,30:26,Anfernee Simons,26:59,CJ Elleby,25:40,Tony Snell,16:36,Cameron McGriff,12:35,Greg Brown III,11:52,117,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Carlik Jones,15,0,2021-2022,0.0,1,0.0,DAL,132,Dorian Finney-Smith,Charlie Brown Jr.,5:52,Theo Pinson,5:51,Sterling Brown,5:26,George King,3:42,Boban Marjanović,2:40,,,33:42,Kristaps Porziņģis,32:29,Jalen Brunson,28:36,Josh Green,26:27,Brandon Knight,24:22,Dwight Powell,23:52,Frank Ntilikina,23:09,Moses Brown,9:53,Marquese Chriss,9:20
0,,0,0.000,1,1.00,112,0,0,0.0,0,.000,0.0,0.0,4.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112310SAC.html,Away,96,5:26,1,100.0,SAC,Tyrese Haliburton,Jahmi'us Ramsey,1:55,Robert Woodard II,1:55,,,,,,,,,32:44,De'Aaron Fox,31:24,Harrison Barnes,29:35,Richaun Holmes,28:59,Buddy Hield,25:48,Marvin Bagley III,24:43,Davion Mitchell,24:32,Chimezie Metu,19:24,Damian Jones,19:01,96,0,0,0.0,,0.0,,0.0,,Carlik Jones,16,1,2021-2022,1.0,1,1.0,DAL,112,Dorian Finney-Smith,Charlie Brown Jr.,1:55,George King,1:55,Moses Brown,0:57,,,,,,,37:45,Jalen Brunson,34:34,Kristaps Porziņģis,32:44,Reggie Bullock,30:30,Josh Green,26:26,Sterling Brown,21:00,Dwight Powell,20:10,Marquese Chriss,18:29,Theo Pinson,8:09
0,,0,0.000,0,,124,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202201010HOU.html,Away,111,1:50,0,,HOU,KJ Martin,Usman Garuba,12:34,Daishen Nix,11:38,Christian Wood,8:14,,,,,,,31:07,Jalen Green,27:57,Daniel Theis,27:12,Josh Christopher,23:18,David Nwaba,23:06,Armoni Brooks,22:18,Jae'Sean Tate,21:51,Kevin Porter Jr.,15:46,Trevelin Queen,14:59,111,0,0,0.0,,0.0,,0.0,,Carlik Jones,13,0,2021-2022,0.0,0,0.0,DEN,124,Facundo Campazzo,Vlatko Čančar,14:46,Petr Cornelie,2:53,,,,,,,,,34:19,Austin Rivers,32:59,Will Barton,29:02,Nikola Jokić,25:09,Rayjon Tucker,22:00,JaMychal Green,20:48,Aaron Gordon,20:45,Bol Bol,20:09,Davon Reed,15:20
0,,0,0.000,0,,89,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201030DAL.html,Away,103,2:12,0,,DAL,Luka Dončić,Sterling Brown,10:08,Frank Ntilikina,1:36,Theo Pinson,1:36,,,,,,,33:55,Jalen Brunson,33:47,Maxi Kleber,30:37,Reggie Bullock,28:54,Dwight Powell,26:38,Tim Hardaway Jr.,21:57,Dorian Finney-Smith,18:16,Josh Green,16:42,Marquese Chriss,15:54,103,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Carlik Jones,14,0,2021-2022,0.0,0,0.0,DEN,89,Nikola Jokić,Bol Bol,6:13,Rayjon Tucker,3:46,Petr Cornelie,2:12,,,,,,,34:44,Aaron Gordon,33:02,Facundo Campazzo,32:38,Will Barton,32:24,Davon Reed,26:21,Bones Hyland,25:18,Austin Rivers,18:33,JaMychal Green,11:27,Vlatko Čančar,11:10
0,,0,0.000,0,,126,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202301190DET.html,Away,108,1:06,0,,DET,Bojan Bogdanović,,,,,,,,,,,,,34:53,Jaden Ivey,33:10,Killian Hayes,31:18,Isaiah Stewart,29:47,Saddiq Bey,28:26,Isaiah Livers,22:08,Hamidou Diallo,21:23,Alec Burks,20:42,Jalen Duren,18:13,108,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Carlik Jones,18,0,2022-2023,0.0,0,0.0,CHI,126,DeMar DeRozan,Dalen Terry,1:06,Tony Bradley,1:06,Malcolm Hill,1:06,Marko Simonovic,1:06,,,,,37:43,Zach LaVine,35:29,Nikola Vučević,35:12,Patrick Williams,30:46,Ayo Dosunmu,25:15,Alex Caruso,22:25,Coby White,17:14,Derrick Jones Jr.,16:32,Goran Dragić,13:54
0,.000,1,25.000,2,2.00,112,0,2,66.7,0,.000,0.0,0.0,3.0,4,1,.250,4,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202302160CHI.html,Home,100,21:44,1,33.3,MIL,Brook Lopez,Giannis Antetokounmpo,9:20,Thanasis Antetokounmpo,3:31,,,,,,,,,33:12,Jevon Carter,32:02,Jrue Holiday,28:11,Grayson Allen,27:49,A.J. Green,23:06,MarJon Beauchamp,22:09,Joe Ingles,21:24,Wesley Matthews,19:49,Sandro Mamukelashvili,19:27,112,1,1,0.0,0.0,0.0,0.0,1.0,100.0,Carlik Jones,12,0,2022-2023,0.0,1,3.0,CHI,100,Coby White,Marko Simonovic,1:48,,,,,,,,,,,37:00,Ayo Dosunmu,35:34,Zach LaVine,31:56,Nikola Vučević,31:21,Patrick Williams,30:02,Dalen Terry,27:03,Andre Drummond,13:08,Malcolm Hill,6:53,Tony Bradley,3:31
0,,0,,0,,121,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202303290CHI.html,Home,110,1:18,0,,LAL,Anthony Davis,Wenyen Gabriel,10:13,Davon Reed,1:18,Lonnie Walker IV,1:18,,,,,,,38:38,D'Angelo Russell,35:47,LeBron James,31:16,Austin Reaves,28:52,Jarred Vanderbilt,24:44,Dennis Schröder,20:57,Troy Brown Jr.,20:19,Rui Hachimura,16:12,Malik Beasley,10:25,121,0,0,0.0,,0.0,,0.0,,Carlik Jones,11,0,2022-2023,0.0,0,0.0,CHI,110,DeMar DeRozan,Javonte Green,2:29,Dalen Terry,1:18,,,,,,,,,38:31,Nikola Vučević,36:27,Zach LaVine,35:33,Coby White,25:39,Patrick Beverley,24:45,Patrick Williams,24:10,Ayo Dosunmu,18:55,Alex Caruso,18:52,Derrick Jones Jr.,12:03
0,,0,0.000,0,,121,0,0,,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202303310CHO.html,Away,91,3:58,0,,CHO,Mark Williams,Xavier Sneed,7:49,Kobi Simmons,3:58,,,,,,,,,35:27,Svi Mykhailiuk,33:54,Théo Maledon,33:18,James Bouknight,31:09,JT Thor,28:25,Bryce McGowens,23:49,Kai Jones,18:07,Nick Richards,12:33,P.J. Washington,11:31,91,1,0,0.0,,0.0,,0.0,,Carlik Jones,30,0,2022-2023,0.0,0,0.0,CHI,121,DeMar DeRozan,Dalen Terry,4:20,Marko Simonovic,3:58,Terry Taylor,2:57,,,,,,,32:52,Nikola Vučević,30:06,Zach LaVine,28:31,Coby White,26:19,Patrick Williams,24:26,Patrick Beverley,24:10,Ayo Dosunmu,23:50,Alex Caruso,20:37,Andre Drummond,13:56
0,,0,,0,,92,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202304050MIL.html,Away,105,0:39,0,,MIL,Bobby Portis,Meyers Leonard,6:31,Thanasis Antetokounmpo,0:39,MarJon Beauchamp,0:39,,,,,,,36:57,Brook Lopez,36:33,Jrue Holiday,36:17,Jevon Carter,32:26,Wesley Matthews,30:21,Joe Ingles,24:18,Jae Crowder,16:42,A.J. Green,10:13,Khris Middleton,8:24,105,0,0,0.0,,0.0,,0.0,,Carlik Jones,13,0,2022-2023,0.0,0,0.0,CHI,92,Zach LaVine,Dalen Terry,0:39,Marko Simonovic,0:39,,,,,,,,,36:43,DeMar DeRozan,36:21,Nikola Vučević,33:56,Patrick Williams,28:50,Patrick Beverley,28:03,Coby White,24:47,Derrick Jones Jr.,19:02,Ayo Dosunmu,16:56,Andre Drummond,13:25
