3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,100.000,1,,107,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101110WAS.html,Home,128,2:10,0,,PHO,Chris Paul,Damian Jones,11:36,E'Twaun Moore,3:17,Abdel Nader,3:17,Ty-Shon Alexander,3:17,,,,,36:12,Devin Booker,32:46,Jae Crowder,30:27,Deandre Ayton,24:54,Mikal Bridges,24:40,Dario Šarić,20:19,Cameron Johnson,18:03,Jevon Carter,17:17,Langston Galloway,13:55,107,1,0,0.0,,0.0,,0.0,,Cassius Winston,21,0,2020-2021,0.0,0,0.0,WAS,128,Bradley Beal,Isaac Bonga,12:27,Anthony Gill,3:17,,,,,,,,,35:03,Rui Hachimura,28:22,Robin Lopez,25:58,Raul Neto,24:36,Dāvis Bertāns,24:29,Moritz Wagner,22:02,Ish Smith,21:14,Garrison Mathews,20:34,Deni Avdija,19:48
2,.400,5,71.429,2,2.00,101,1,4,100.0,3,.429,1.0,50.0,2.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101240SAS.html,Away,121,21:44,0,0.0,SAS,Dejounte Murray,Tre Jones,2:55,Keita Bates-Diop,2:55,Trey Lyles,2:55,Luka Šamanić,2:28,,,,,30:42,Lonnie Walker IV,29:32,Keldon Johnson,28:24,DeMar DeRozan,27:21,LaMarcus Aldridge,24:05,Devin Vassell,24:03,Rudy Gay,22:26,Jakob Poeltl,21:27,Patty Mills,20:47,121,2,8,2.0,25.0,6.0,75.0,0.0,0.0,Cassius Winston,20,0,2020-2021,1.0,1,4.0,WAS,101,Jerome Robinson,,,,,,,,,,,,,35:19,Garrison Mathews,34:35,Isaac Bonga,32:33,Bradley Beal,32:28,Russell Westbrook,25:17,Robin Lopez,24:25,Alex Len,20:40,Anthony Gill,10:04,Jordan Bell,2:55
0,,0,,0,,88,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101260HOU.html,Away,107,1:13,0,,HOU,Victor Oladipo,Ben McLemore,2:22,,,,,,,,,,,36:59,P.J. Tucker,34:10,DeMarcus Cousins,33:01,Eric Gordon,28:54,Jae'Sean Tate,28:16,John Wall,24:03,David Nwaba,23:10,Sterling Brown,15:34,Danuel House Jr.,13:31,107,0,0,0.0,,0.0,,0.0,,Cassius Winston,19,0,2020-2021,0.0,0,0.0,WAS,88,Bradley Beal,Alex Len,6:20,,,,,,,,,,,35:27,Robin Lopez,29:50,Jerome Robinson,29:45,Russell Westbrook,28:26,Isaac Bonga,25:38,Garrison Mathews,23:08,Raul Neto,22:27,Anthony Gill,22:15,Jordan Bell,15:31
1,1.000,1,50.000,3,,106,0,0,,1,.500,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101270NOP.html,Away,124,15:40,0,,NOP,Brandon Ingram,,,,,,,,,,,,,36:03,Eric Bledsoe,35:59,Steven Adams,32:48,Zion Williamson,32:45,Nickeil Alexander-Walker,29:58,Josh Hart,29:28,Lonzo Ball,15:35,Jaxson Hayes,14:38,JJ Redick,12:46,124,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Cassius Winston,18,0,2020-2021,0.0,0,0.0,WAS,106,Bradley Beal,,,,,,,,,,,,,40:05,Jordan Bell,31:20,Isaac Bonga,28:23,Garrison Mathews,28:03,Robin Lopez,22:32,Jerome Robinson,22:25,Raul Neto,20:28,Alex Len,19:29,Anthony Gill,11:35
0,,0,,0,,116,0,0,,0,,0.0,,0.0,0,2,1.000,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101290WAS.html,Home,100,1:49,0,,ATL,Trae Young,Onyeka Okongwu,11:20,Tony Snell,6:07,Brandon Goodwin,1:01,Bruno Fernando,0:57,,,,,33:41,Cam Reddish,32:08,John Collins,30:28,Kevin Huerter,29:59,Clint Capela,29:49,Solomon Hill,19:32,Danilo Gallinari,18:18,Rajon Rondo,14:35,De'Andre Hunter,12:05,116,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Cassius Winston,16,0,2020-2021,0.0,0,0.0,WAS,100,Bradley Beal,Isaac Bonga,15:36,Moritz Wagner,10:28,Anthony Gill,1:49,,,,,,,31:47,Russell Westbrook,27:06,Dāvis Bertāns,25:04,Jerome Robinson,24:11,Rui Hachimura,24:05,Garrison Mathews,20:45,Robin Lopez,20:10,Raul Neto,19:52,Alex Len,17:18
0,,0,,0,,132,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202102020WAS.html,Home,121,1:12,0,,POR,Gary Trent Jr.,CJ Elleby,0:43,,,,,,,,,,,39:39,Damian Lillard,39:21,Robert Covington,36:57,Enes Freedom,35:34,Rodney Hood,35:06,Carmelo Anthony,26:16,Anfernee Simons,13:39,Harry Giles,11:33,Keljin Blevins,1:12,132,0,0,0.0,,0.0,,0.0,,Cassius Winston,11,0,2020-2021,0.0,0,0.0,WAS,121,Bradley Beal,Alex Len,7:55,Isaac Bonga,1:12,,,,,,,,,37:55,Rui Hachimura,34:00,Russell Westbrook,32:51,Dāvis Bertāns,30:04,Ish Smith,27:24,Deni Avdija,23:04,Moritz Wagner,16:30,Garrison Mathews,15:21,Robin Lopez,12:32
1,1.000,1,100.000,1,,127,0,1,100.0,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202103120WAS.html,Home,101,6:19,0,0.0,PHI,Danny Green,Tony Bradley,9:11,Tyrese Maxey,6:19,Terrance Ferguson,3:31,Vincent Poirier,3:31,,,,,31:28,Seth Curry,29:57,Shake Milton,26:24,Furkan Korkmaz,24:32,Tobias Harris,23:28,Matisse Thybulle,21:38,Mike Scott,21:12,Joel Embiid,20:24,Dwight Howard,18:25,127,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Cassius Winston,26,0,2020-2021,0.0,0,1.0,WAS,101,Russell Westbrook,Dāvis Bertāns,10:19,Alex Len,6:19,Isaac Bonga,6:19,,,,,,,32:45,Bradley Beal,28:52,Deni Avdija,28:16,Robin Lopez,26:18,Raul Neto,21:45,Garrison Mathews,21:30,Rui Hachimura,21:04,Moritz Wagner,15:23,Troy Brown Jr.,14:51
0,.000,1,100.000,1,,133,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202103150WAS.html,Home,122,1:10,0,,MIL,Giannis Antetokounmpo,,,,,,,,,,,,,35:43,Khris Middleton,34:12,Donte DiVincenzo,33:06,Brook Lopez,32:34,Jrue Holiday,32:13,Pat Connaughton,29:37,Bobby Portis,15:42,Bryn Forbes,13:27,D.J. Augustin,13:25,133,0,0,0.0,,0.0,,0.0,,Cassius Winston,11,0,2020-2021,0.0,0,0.0,WAS,122,Bradley Beal,,,,,,,,,,,,,41:45,Russell Westbrook,38:35,Rui Hachimura,36:45,Deni Avdija,31:19,Dāvis Bertāns,23:34,Garrison Mathews,20:24,Raul Neto,19:52,Alex Len,17:49,Robin Lopez,8:46
1,1.000,1,50.000,2,,113,0,2,100.0,1,.500,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202103230NYK.html,Away,131,5:03,0,0.0,NYK,RJ Barrett,Obi Toppin,8:20,Jared Harper,1:53,Kevin Knox,1:53,,,,,,,39:08,Julius Randle,37:47,Reggie Bullock,30:50,Mitchell Robinson,30:42,Alec Burks,29:09,Elfrid Payton,20:49,Nerlens Noel,17:18,Immanuel Quickley,12:03,Frank Ntilikina,10:08,131,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Cassius Winston,18,0,2020-2021,0.0,0,2.0,WAS,113,Rui Hachimura,Alex Len,11:32,Robin Lopez,7:07,Anthony Gill,4:53,,,,,,,34:10,Bradley Beal,32:22,Russell Westbrook,28:44,Moritz Wagner,23:28,Deni Avdija,21:47,Garrison Mathews,21:04,Raul Neto,18:36,Isaac Bonga,15:46,Troy Brown Jr.,15:28
0,,0,0.000,0,,92,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202103270WAS.html,Home,106,0:52,0,,DET,Saddiq Bey,Tyler Cook,16:01,Sekou Doumbouya,5:21,Deividas Sirvydis,1:27,,,,,,,31:45,Cory Joseph,29:19,Mason Plumlee,26:32,Wayne Ellington,26:12,Saben Lee,24:28,Josh Jackson,22:06,Isaiah Stewart,21:28,Jerami Grant,19:18,Frank Jackson,16:03,92,1,0,0.0,,0.0,,0.0,,Cassius Winston,14,0,2020-2021,0.0,0,0.0,WAS,106,Rui Hachimura,Daniel Gafford,13:32,Isaac Bonga,4:17,,,,,,,,,35:05,Russell Westbrook,34:56,Garrison Mathews,31:22,Deni Avdija,26:51,Bradley Beal,20:52,Raul Neto,19:37,Robin Lopez,19:31,Jerome Robinson,18:08,Alex Len,14:57
