3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,2,66.667,0,,103,0,0,,1,.333,1.0,100.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311110POR.html,Away,109,5:25,0,,POR,LaMarcus Aldridge,,,,,,,,,,,,,36:55,Damian Lillard,35:00,Robin Lopez,32:58,Mo Williams,31:41,Nicolas Batum,30:53,Wesley Matthews,29:37,Joel Freeland,19:08,Dorell Wright,18:43,Thomas Robinson,5:05,109,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Charlie Villanueva,6,0,2013-2014,0.0,0,0.0,DET,103,Andre Drummond,,,,,,,,,,,,,42:27,Greg Monroe,36:55,Josh Smith,35:48,Rodney Stuckey,33:46,Brandon Jennings,31:38,Kyle Singler,23:25,Will Bynum,16:22,Chauncey Billups,14:14,,
2,.500,4,66.667,0,,109,2,2,66.7,3,.500,1.0,50.0,2.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311240BRK.html,Away,97,12:16,1,33.3,BRK,Joe Johnson,Tyshawn Taylor,11:53,Tornike Shengelia,4:13,,,,,,,,,43:47,Shaun Livingston,34:40,Paul Pierce,27:41,Alan Anderson,26:30,Andray Blatche,25:43,Kevin Garnett,22:33,Reggie Evans,15:35,Mirza Teletović,14:18,Mason Plumlee,13:07,97,2,8,2.0,25.0,6.0,75.0,0.0,0.0,Charlie Villanueva,12,0,2013-2014,2.0,0,3.0,DET,109,Brandon Jennings,Tony Mitchell,0:24,,,,,,,,,,,40:43,Greg Monroe,33:57,Josh Smith,32:43,Rodney Stuckey,30:44,Andre Drummond,27:07,Kyle Singler,26:17,Kentavious Caldwell-Pope,23:59,Josh Harrellson,11:15,Peyton Siva,0:35
2,.400,5,55.556,0,,94,0,2,100.0,5,.556,3.0,75.0,4.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311250DET.html,Home,113,12:55,0,0.0,MIL,Caron Butler,Ersan İlyasova,16:28,Giannis Antetokounmpo,12:00,Luke Ridnour,10:07,Miroslav Raduljica,4:43,,,,,27:21,O.J. Mayo,24:45,Ekpe Udoh,23:26,Gary Neal,23:15,John Henson,21:58,Brandon Knight,21:16,Khris Middleton,20:39,Zaza Pachulia,17:25,Nate Wolters,16:37,94,0,12,6.0,50.0,6.0,50.0,0.0,0.0,Charlie Villanueva,19,1,2013-2014,1.0,0,2.0,DET,113,Kentavious Caldwell-Pope,Kyle Singler,2:25,Tony Mitchell,2:16,Gigi Datome,2:15,,,,,,,35:51,Brandon Jennings,35:50,Josh Smith,35:20,Greg Monroe,31:57,Rodney Stuckey,30:17,Andre Drummond,24:34,Will Bynum,12:38,Josh Harrellson,8:59,Jonas Jerebko,4:43
0,.000,1,100.000,0,0.00,99,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311270DET.html,Home,79,4:12,0,,CHI,Luol Deng,Erik Murphy,1:40,,,,,,,,,,,40:47,Kirk Hinrich,37:08,Tony Snell,36:58,Joakim Noah,33:30,Carlos Boozer,26:53,Taj Gibson,26:52,Mike Dunleavy,18:15,Marquis Teague,10:52,Nazr Mohammed,7:05,99,0,0,0.0,,0.0,,0.0,,Charlie Villanueva,20,0,2013-2014,0.0,1,0.0,DET,79,Andre Drummond,Josh Harrellson,8:26,Gigi Datome,2:05,Tony Mitchell,2:05,,,,,,,39:01,Josh Smith,33:41,Brandon Jennings,33:22,Rodney Stuckey,29:09,Greg Monroe,22:25,Kyle Singler,21:32,Kentavious Caldwell-Pope,18:51,Will Bynum,14:38,Jonas Jerebko,10:33
0,.000,1,33.333,0,,106,0,1,100.0,1,.333,1.0,50.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311290DET.html,Home,102,3:36,0,0.0,LAL,Wesley Johnson,Robert Sacre,13:11,,,,,,,,,,,33:23,Pau Gasol,32:54,Shawne Williams,30:46,Nick Young,27:51,Jodie Meeks,26:39,Jordan Farmar,24:03,Steve Blake,23:57,Jordan Hill,13:50,Xavier Henry,13:26,106,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Charlie Villanueva,4,0,2013-2014,0.0,0,1.0,DET,102,Josh Smith,,,,,,,,,,,,,44:24,Brandon Jennings,41:11,Greg Monroe,34:47,Rodney Stuckey,33:27,Kyle Singler,33:22,Andre Drummond,16:04,Kentavious Caldwell-Pope,14:33,Josh Harrellson,11:47,Peyton Siva,6:49
2,.333,6,75.000,2,,110,0,2,100.0,4,.500,2.0,100.0,2.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312080DET.html,Home,95,14:05,0,0.0,MIA,LeBron James,Udonis Haslem,8:22,James Jones,2:43,,,,,,,,,35:01,Mario Chalmers,32:17,Chris Bosh,31:21,Ray Allen,24:31,Roger Mason,23:29,Chris Andersen,23:28,Rashard Lewis,22:48,Shane Battier,20:17,Norris Cole,15:43,110,0,10,4.0,40.0,6.0,60.0,0.0,0.0,Charlie Villanueva,15,1,2013-2014,1.0,0,2.0,DET,95,Andre Drummond,Gigi Datome,7:53,Tony Mitchell,3:31,,,,,,,,,35:56,Brandon Jennings,33:38,Josh Smith,30:53,Greg Monroe,28:52,Jonas Jerebko,20:41,Kyle Singler,20:22,Kentavious Caldwell-Pope,18:29,Peyton Siva,14:22,Josh Harrellson,11:18
1,.500,2,100.000,0,,121,0,1,100.0,1,.500,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312100DET.html,Home,94,8:02,0,0.0,MIN,Nikola Peković,Robbie Hummel,10:15,A.J. Price,2:36,Shabazz Muhammad,2:36,Gorgui Dieng,2:36,,,,,32:51,Kevin Martin,30:13,Kevin Love,30:03,Ricky Rubio,28:15,Corey Brewer,28:12,Dante Cunningham,25:07,Alexey Shved,17:47,J.J. Barea,17:09,Luc Mbah a Moute,12:20,121,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Charlie Villanueva,27,0,2013-2014,0.0,0,1.0,DET,94,Josh Smith,Tony Mitchell,9:34,Peyton Siva,7:01,Gigi Datome,6:00,,,,,,,33:38,Kentavious Caldwell-Pope,32:41,Brandon Jennings,31:12,Andre Drummond,28:38,Jonas Jerebko,21:10,Greg Monroe,20:15,Chauncey Billups,17:50,Josh Harrellson,12:48,Kyle Singler,11:11
0,.000,1,20.000,0,,114,1,0,,2,.400,2.0,50.0,4.0,5,2,.667,3,60.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312210DET.html,Home,97,5:01,0,,HOU,Chandler Parsons,Donatas Motiejūnas,0:04,,,,,,,,,,,43:15,Dwight Howard,39:47,Francisco García,35:25,Aaron Brooks,34:26,Omri Casspi,30:30,Terrence Jones,24:16,Patrick Beverley,14:35,Ronnie Brewer,13:33,Greg Smith,4:09,114,1,6,4.0,66.7,0.0,0.0,2.0,33.3,Charlie Villanueva,17,0,2013-2014,1.0,0,0.0,DET,97,Brandon Jennings,Josh Harrellson,3:28,Tony Mitchell,2:34,Jonas Jerebko,2:33,,,,,,,31:39,Kyle Singler,31:19,Josh Smith,29:24,Andre Drummond,28:37,Greg Monroe,26:04,Will Bynum,23:20,Rodney Stuckey,23:07,Kentavious Caldwell-Pope,19:38,Gigi Datome,13:16
0,.000,4,80.000,0,0.00,82,1,4,100.0,0,.000,0.0,0.0,1.0,5,3,.750,4,80.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312280WAS.html,Away,106,13:15,0,0.0,WAS,Trevor Booker,Chris Singleton,9:26,Jan Veselý,8:16,Eric Maynor,4:24,,,,,,,31:46,John Wall,30:26,Marcin Gortat,27:15,Trevor Ariza,25:56,Martell Webster,24:46,Otto Porter Jr.,20:58,Bradley Beal,20:01,Nenê,19:12,Garrett Temple,17:34,106,0,3,0.0,0.0,0.0,0.0,3.0,100.0,Charlie Villanueva,24,1,2013-2014,2.0,4,4.0,DET,82,Brandon Jennings,Chauncey Billups,7:52,Gigi Datome,7:08,Rodney Stuckey,6:10,,,,,,,31:53,Andre Drummond,28:49,Will Bynum,27:08,Greg Monroe,23:34,Josh Harrellson,23:26,Kyle Singler,21:18,Josh Smith,17:47,Kentavious Caldwell-Pope,16:11,Jonas Jerebko,15:29
0,.000,1,16.667,1,,85,0,1,33.3,2,.333,2.0,40.0,5.0,6,1,.500,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401070NYK.html,Away,89,10:20,2,66.7,NYK,Carmelo Anthony,Toure' Murry,4:14,,,,,,,,,,,38:57,Andrea Bargnani,31:51,Raymond Felton,30:36,Kenyon Martin,30:10,J.R. Smith,29:59,Iman Shumpert,29:14,Amar'e Stoudemire,24:12,Tim Hardaway Jr.,12:51,Beno Udrih,7:56,89,0,5,4.0,80.0,0.0,0.0,1.0,20.0,Charlie Villanueva,4,0,2013-2014,0.0,0,3.0,DET,85,Josh Smith,,,,,,,,,,,,,40:16,Andre Drummond,35:37,Greg Monroe,32:03,Brandon Jennings,31:20,Kyle Singler,29:53,Kentavious Caldwell-Pope,28:34,Will Bynum,23:07,Chauncey Billups,7:56,Josh Harrellson,0:54
0,.000,3,75.000,0,0.00,91,0,1,100.0,1,.250,1.0,100.0,1.0,4,0,.000,1,25.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401080TOR.html,Away,112,11:26,0,0.0,TOR,DeMar DeRozan,Julyan Stone,2:21,Landry Fields,1:08,Steve Novak,1:08,,,,,,,35:30,Kyle Lowry,33:58,Amir Johnson,33:26,Terrence Ross,29:19,Jonas Valančiūnas,26:27,John Salmons,22:32,Greivis Vásquez,19:31,Patrick Patterson,18:07,Chuck Hayes,16:33,112,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Charlie Villanueva,21,0,2013-2014,0.0,1,1.0,DET,91,Andre Drummond,Josh Harrellson,3:32,Gigi Datome,2:21,,,,,,,,,35:23,Brandon Jennings,33:49,Josh Smith,31:11,Kentavious Caldwell-Pope,30:16,Greg Monroe,28:44,Kyle Singler,25:32,Rodney Stuckey,20:05,Will Bynum,13:44,Jonas Jerebko,3:57
1,.250,4,80.000,1,,108,0,2,100.0,2,.400,1.0,100.0,1.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201401110DET.html,Home,110,7:58,0,0.0,PHO,P.J. Tucker,Alex Len,7:04,,,,,,,,,,,41:54,Goran Dragić,34:40,Channing Frye,34:05,Gerald Green,33:18,Miles Plumlee,22:19,Marcus Morris,20:41,Leandro Barbosa,20:29,Ish Smith,17:19,Markieff Morris,8:11,108,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Charlie Villanueva,2,0,2013-2014,0.0,0,2.0,DET,110,Brandon Jennings,,,,,,,,,,,,,42:25,Josh Smith,37:35,Greg Monroe,27:38,Andre Drummond,27:08,Kentavious Caldwell-Pope,27:03,Kyle Singler,26:23,Will Bynum,23:06,Rodney Stuckey,20:44,,
