3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
2,.400,5,71.429,1,,86,0,1,33.3,4,.571,2.0,100.0,2.0,7,1,1.000,1,14.286,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401210MIA.html,Away,93,24:57,2,66.7,MIA,LeBron James,Greg Oden,5:34,,,,,,,,,,,38:48,Chris Bosh,34:20,Mario Chalmers,33:57,Ray Allen,33:02,Norris Cole,28:57,Chris Andersen,24:36,Shane Battier,21:27,Michael Beasley,12:53,Rashard Lewis,6:26,93,1,11,4.0,36.4,6.0,54.5,1.0,9.1,Chris Johnson,7,1,2013-2014,1.0,0,3.0,BOS,86,Jeff Green,Joel Anthony,7:09,,,,,,,,,,,36:51,Jared Sullinger,28:58,Kris Humphries,28:36,Gerald Wallace,26:49,Rajon Rondo,25:43,Phil Pressey,22:17,Brandon Bass,18:15,Kelly Olynyk,13:02,Avery Bradley,7:23
1,.167,6,66.667,1,0.50,113,0,2,100.0,3,.333,2.0,66.7,3.0,9,2,1.000,2,22.222,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201401220WAS.html,Away,111,29:35,0,0.0,WAS,Marcin Gortat,,,,,,,,,,,,,44:22,John Wall,44:04,Trevor Ariza,42:48,Nenê,33:51,Martell Webster,32:58,Bradley Beal,30:18,Trevor Booker,20:18,Garrett Temple,8:54,Kevin Séraphin,7:27,111,2,9,4.0,44.4,3.0,33.3,2.0,22.2,Chris Johnson,2,4,2013-2014,4.0,2,2.0,BOS,113,Jeff Green,,,,,,,,,,,,,45:44,Gerald Wallace,40:27,Kris Humphries,34:56,Phil Pressey,34:31,Jared Sullinger,33:30,Brandon Bass,22:10,Kelly Olynyk,14:59,Joel Anthony,4:55,Vander Blue,4:13
0,.000,3,42.857,1,,101,0,3,75.0,3,.429,3.0,75.0,4.0,7,2,1.000,2,28.571,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401240BOS.html,Home,83,24:04,1,25.0,OKC,Perry Jones,Andre Roberson,8:34,Royal Ivey,2:37,Hasheem Thabeet,1:36,,,,,,,31:44,Jeremy Lamb,29:46,Reggie Jackson,28:43,Serge Ibaka,28:27,Thabo Sefolosha,26:57,Nick Collison,22:54,Kendrick Perkins,22:29,Steven Adams,19:33,Derek Fisher,16:40,101,4,8,6.0,75.0,0.0,0.0,2.0,25.0,Chris Johnson,18,0,2013-2014,0.0,0,4.0,BOS,83,Jeff Green,Vander Blue,7:21,Joel Anthony,3:10,,,,,,,,,31:31,Phil Pressey,30:13,Gerald Wallace,29:08,Jared Sullinger,24:07,Brandon Bass,23:28,Rajon Rondo,21:43,Kris Humphries,18:08,Kelly Olynyk,16:44,Vítor Luiz Faverani,10:23
2,.667,3,50.000,1,,85,0,2,50.0,4,.667,2.0,66.7,3.0,6,2,1.000,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401260BOS.html,Home,79,27:58,2,50.0,BRK,Deron Williams,Jason Terry,16:20,,,,,,,,,,,34:24,Paul Pierce,29:03,Andray Blatche,25:12,Joe Johnson,24:43,Andrei Kirilenko,24:00,Kevin Garnett,22:48,Shaun Livingston,22:29,Alan Anderson,22:04,Mirza Teletović,18:57,85,5,12,4.0,33.3,6.0,50.0,2.0,16.7,Chris Johnson,6,1,2013-2014,1.0,0,4.0,BOS,79,Gerald Wallace,,,,,,,,,,,,,40:59,Brandon Bass,34:21,Rajon Rondo,30:21,Jeff Green,27:55,Jared Sullinger,23:07,Kris Humphries,18:29,Phil Pressey,17:39,Kelly Olynyk,14:04,Vítor Luiz Faverani,5:07
4,.571,7,100.000,1,0.50,88,0,1,100.0,4,.571,0.0,,0.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401280NYK.html,Away,114,22:18,0,0.0,NYK,J.R. Smith,Iman Shumpert,8:23,Metta World Peace,7:34,Toure' Murry,7:34,,,,,,,34:06,Tim Hardaway Jr.,33:10,Carmelo Anthony,28:18,Pablo Prigioni,27:17,Raymond Felton,25:10,Jeremy Tyler,23:10,Tyson Chandler,22:32,Cole Aldrich,13:56,Kenyon Martin,8:50,114,0,12,0.0,0.0,12.0,100.0,0.0,0.0,Chris Johnson,26,0,2013-2014,0.0,2,1.0,BOS,88,Rajon Rondo,Vítor Luiz Faverani,13:24,Vander Blue,3:06,Joel Anthony,3:06,,,,,,,27:26,Jerryd Bayless,26:46,Jeff Green,26:37,Gerald Wallace,23:24,Kris Humphries,21:47,Kelly Olynyk,19:22,Jared Sullinger,19:08,Brandon Bass,17:29,Phil Pressey,16:07
2,.667,3,42.857,4,4.00,95,0,5,100.0,2,.286,0.0,0.0,4.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401290BOS.html,Home,94,21:32,0,0.0,PHI,Evan Turner,Elliot Williams,10:52,,,,,,,,,,,37:56,Michael Carter-Williams,35:26,Spencer Hawes,35:19,Thaddeus Young,31:59,James Anderson,28:56,Hollis Thompson,16:32,Dewayne Dedmon,14:50,Tony Wroten,14:18,Lavoy Allen,13:52,95,1,6,0.0,0.0,6.0,100.0,0.0,0.0,Chris Johnson,1,1,2013-2014,1.0,1,5.0,BOS,94,Jeff Green,,,,,,,,,,,,,37:33,Jared Sullinger,35:09,Gerald Wallace,33:39,Jerryd Bayless,30:08,Kris Humphries,21:34,Phil Pressey,21:08,Brandon Bass,20:38,Kelly Olynyk,18:39,,
1,.500,2,66.667,0,0.00,89,0,1,33.3,1,.333,0.0,0.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201402020BOS.html,Home,96,18:57,2,66.7,ORL,Victor Oladipo,Andrew Nicholson,9:09,,,,,,,,,,,37:52,Arron Afflalo,35:18,Glen Davis,32:49,Nikola Vučević,29:41,Tobias Harris,28:12,Kyle O'Quinn,21:57,Maurice Harkless,21:10,Doron Lamb,13:44,E'Twaun Moore,10:08,89,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Chris Johnson,7,0,2013-2014,0.0,1,3.0,BOS,96,Jared Sullinger,,,,,,,,,,,,,38:30,Brandon Bass,36:29,Jeff Green,36:25,Avery Bradley,32:30,Rajon Rondo,26:37,Jerryd Bayless,21:20,Kris Humphries,13:16,Phil Pressey,8:11,Kelly Olynyk,7:45
0,.000,1,100.000,0,,114,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201402050PHI.html,Away,108,3:08,0,,PHI,Thaddeus Young,,,,,,,,,,,,,34:08,Spencer Hawes,33:31,Michael Carter-Williams,33:26,Evan Turner,29:01,Tony Wroten,28:21,Lavoy Allen,28:21,Hollis Thompson,22:02,James Anderson,17:52,Elliot Williams,13:18,108,2,0,0.0,,0.0,,0.0,,Chris Johnson,6,0,2013-2014,0.0,0,0.0,BOS,114,Brandon Bass,,,,,,,,,,,,,35:52,Jared Sullinger,34:59,Jeff Green,34:54,Rajon Rondo,32:06,Jerryd Bayless,27:20,Avery Bradley,25:48,Gerald Wallace,21:13,Kris Humphries,13:01,Kelly Olynyk,11:39
1,.333,3,50.000,0,,89,0,0,0.0,2,.333,1.0,33.3,3.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201402070BOS.html,Home,99,20:37,1,100.0,SAC,Derrick Williams,Ray McCallum,1:09,,,,,,,,,,,42:19,DeMarcus Cousins,39:30,Isaiah Thomas,38:59,Jason Thompson,35:42,Travis Outlaw,33:22,Ben McLemore,20:44,Quincy Acy,12:18,Carl Landry,8:06,Jimmer Fredette,7:51,89,2,5,2.0,40.0,3.0,60.0,0.0,0.0,Chris Johnson,10,1,2013-2014,1.0,0,1.0,BOS,99,Gerald Wallace,,,,,,,,,,,,,40:19,Jared Sullinger,33:20,Jeff Green,32:38,Jerryd Bayless,28:07,Kelly Olynyk,26:14,Phil Pressey,22:19,Brandon Bass,21:25,Joel Anthony,7:49,Kris Humphries,7:12
4,1.000,4,57.143,1,,102,1,0,0.0,4,.571,0.0,0.0,3.0,7,2,1.000,2,28.571,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201402090BOS.html,Home,91,14:57,3,100.0,DAL,Shawn Marion,DeJuan Blair,4:36,,,,,,,,,,,35:28,Dirk Nowitzki,31:54,José Calderón,31:33,Monta Ellis,28:12,Devin Harris,23:05,Samuel Dalembert,22:51,Jae Crowder,21:17,Brandan Wright,20:33,Vince Carter,20:31,102,2,14,0.0,0.0,12.0,85.7,2.0,14.3,Chris Johnson,11,1,2013-2014,2.0,0,3.0,BOS,91,Rajon Rondo,Phil Pressey,5:16,,,,,,,,,,,36:33,Jeff Green,35:55,Jared Sullinger,35:45,Kris Humphries,23:22,Kelly Olynyk,22:08,Avery Bradley,18:58,Jerryd Bayless,17:09,Gerald Wallace,15:12,Brandon Bass,14:45
