3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,0.00,105,1,4,66.7,1,.250,1.0,25.0,4.0,4,1,.500,2,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202210190TOR.html,Home,108,15:22,2,33.3,CLE,Evan Mobley,Raul Neto,6:02,,,,,,,,,,,35:35,Caris LeVert,34:41,Donovan Mitchell,34:31,Jarrett Allen,33:52,Cedi Osman,27:40,Dean Wade,21:40,Kevin Love,20:53,Darius Garland,13:18,Isaac Okoro,11:45,105,2,3,2.0,66.7,0.0,0.0,1.0,33.3,Christian Koloko,3,0,2022-2023,1.0,1,6.0,TOR,108,Fred VanVleet,,,,,,,,,,,,,38:41,OG Anunoby,37:33,Gary Trent Jr.,36:59,Pascal Siakam,34:03,Scottie Barnes,32:20,Precious Achiuwa,17:56,Thaddeus Young,10:47,Dalano Banton,9:12,Juancho Hernangómez,7:05
0,,0,0.000,0,,105,1,0,0.0,0,.000,0.0,0.0,2.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210210BRK.html,Away,109,19:45,2,100.0,BRK,Kyrie Irving,,,,,,,,,,,,,40:34,Royce O'Neale,39:18,Kevin Durant,35:27,Nic Claxton,33:50,Ben Simmons,32:29,Markieff Morris,19:16,Joe Harris,17:51,Patty Mills,11:03,Day'Ron Sharpe,10:10,109,5,1,0.0,0.0,0.0,0.0,1.0,100.0,Christian Koloko,4,0,2022-2023,1.0,0,2.0,TOR,105,Fred VanVleet,,,,,,,,,,,,,37:55,OG Anunoby,37:15,Pascal Siakam,36:48,Gary Trent Jr.,35:58,Scottie Barnes,35:53,Precious Achiuwa,17:29,Dalano Banton,12:57,Thaddeus Young,5:59,,
0,,0,,0,,109,0,2,100.0,0,,0.0,,0.0,0,1,.500,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210220MIA.html,Away,112,12:18,0,0.0,MIA,Kyle Lowry,,,,,,,,,,,,,37:15,Max Strus,37:07,Bam Adebayo,35:42,Jimmy Butler,34:50,Gabe Vincent,23:44,Tyler Herro,22:17,Caleb Martin,22:07,Duncan Robinson,14:38,Dewayne Dedmon,12:20,112,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Christian Koloko,3,0,2022-2023,0.0,0,2.0,TOR,109,Pascal Siakam,,,,,,,,,,,,,40:11,Gary Trent Jr.,38:55,Fred VanVleet,38:49,OG Anunoby,38:21,Precious Achiuwa,33:32,Scottie Barnes,13:14,Thaddeus Young,10:35,Malachi Flynn,8:32,Dalano Banton,5:33
0,,0,0.000,2,,98,1,2,100.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202210240MIA.html,Away,90,17:37,0,0.0,MIA,Tyler Herro,,,,,,,,,,,,,40:00,Bam Adebayo,37:41,Kyle Lowry,36:06,Jimmy Butler,33:48,Max Strus,30:11,Gabe Vincent,25:52,Duncan Robinson,15:34,Haywood Highsmith,10:29,Dewayne Dedmon,10:19,90,5,2,2.0,100.0,0.0,0.0,0.0,0.0,Christian Koloko,8,0,2022-2023,1.0,0,2.0,TOR,98,Gary Trent Jr.,,,,,,,,,,,,,42:13,Pascal Siakam,41:47,Fred VanVleet,39:13,Precious Achiuwa,33:43,OG Anunoby,33:31,Chris Boucher,11:42,Dalano Banton,7:41,Khem Birch,6:34,Malachi Flynn,5:59
0,,0,0.000,0,,109,1,3,75.0,2,1.000,2.0,100.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202210260TOR.html,Home,119,11:17,1,25.0,PHI,Tyrese Maxey,Paul Reed,2:56,,,,,,,,,,,43:14,Joel Embiid,37:31,James Harden,35:39,Tobias Harris,34:15,P.J. Tucker,31:27,De'Anthony Melton,21:41,Danuel House Jr.,14:43,Georges Niang,14:19,Montrezl Harrell,4:15,109,4,4,4.0,100.0,0.0,0.0,0.0,0.0,Christian Koloko,10,1,2022-2023,2.0,0,4.0,TOR,119,Fred VanVleet,,,,,,,,,,,,,38:50,Pascal Siakam,38:00,Gary Trent Jr.,35:27,OG Anunoby,34:25,Scottie Barnes,32:40,Precious Achiuwa,21:18,Chris Boucher,17:15,Khem Birch,6:20,Dalano Banton,4:28
0,,0,0.000,1,,112,0,0,0.0,1,1.000,1.0,100.0,1.0,1,1,.500,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210280TOR.html,Home,90,10:02,2,100.0,PHI,Tyrese Maxey,Shake Milton,8:50,Jaden Springer,2:15,Furkan Korkmaz,2:15,Paul Reed,2:15,,,,,39:49,James Harden,33:43,De'Anthony Melton,30:45,Tobias Harris,28:00,P.J. Tucker,22:33,Matisse Thybulle,21:48,Georges Niang,19:55,Montrezl Harrell,17:22,Danuel House Jr.,10:30,112,1,3,2.0,66.7,0.0,0.0,1.0,33.3,Christian Koloko,22,2,2022-2023,2.0,0,2.0,TOR,90,OG Anunoby,Thaddeus Young,4:55,Justin Champagnie,3:14,Juancho Hernangómez,3:14,,,,,,,35:49,Pascal Siakam,35:47,Fred VanVleet,34:13,Gary Trent Jr.,32:57,Scottie Barnes,28:54,Chris Boucher,22:06,Precious Achiuwa,14:57,Dalano Banton,8:45,Malachi Flynn,5:07
0,,0,0.000,0,0.00,109,3,3,60.0,4,.571,4.0,57.1,7.0,7,1,.333,3,42.857,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202210310TOR.html,Home,139,21:27,2,40.0,ATL,Trae Young,Aaron Holiday,9:13,Vit Krejci,6:20,Frank Kaminsky,6:20,Tyrese Martin,6:20,Trent Forrest,6:20,,,32:27,Dejounte Murray,30:31,John Collins,29:37,Clint Capela,25:25,Justin Holiday,23:44,De'Andre Hunter,22:20,Onyeka Okongwu,16:15,AJ Griffin,14:28,Jalen Johnson,10:40,109,4,9,8.0,88.9,0.0,0.0,1.0,11.1,Christian Koloko,30,0,2022-2023,3.0,2,5.0,TOR,139,Gary Trent Jr.,Justin Champagnie,5:22,Jeff Dowtin,5:22,Juancho Hernangómez,5:12,Ron Harper Jr.,3:09,,,,,36:49,Pascal Siakam,35:09,Scottie Barnes,33:23,OG Anunoby,31:36,Chris Boucher,20:54,Precious Achiuwa,17:45,Malachi Flynn,9:23,Khem Birch,9:07,Dalano Banton,5:22
0,,0,0.000,0,0.00,143,1,5,83.3,1,.250,1.0,25.0,4.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202211020SAS.html,Away,100,23:11,1,16.7,SAS,Keita Bates-Diop,Romeo Langford,15:45,Charles Bassey,12:00,Dominick Barlow,9:52,Jeremy Sochan,9:49,,,,,24:55,Zach Collins,24:19,Malaki Branham,22:42,Doug McDermott,22:21,Tre Jones,21:40,Jordan Hall,20:51,Jakob Poeltl,20:40,Josh Richardson,18:30,Gorgui Dieng,16:36,100,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Christian Koloko,43,0,2022-2023,1.0,1,6.0,TOR,143,Scottie Barnes,Malachi Flynn,9:52,Thaddeus Young,8:08,Juancho Hernangómez,8:08,Jeff Dowtin,3:00,,,,,28:00,Pascal Siakam,27:34,Gary Trent Jr.,26:12,Chris Boucher,25:22,OG Anunoby,24:21,Precious Achiuwa,21:00,Dalano Banton,12:59,Khem Birch,11:42,Otto Porter Jr.,10:31
0,.000,1,50.000,0,0.00,110,1,0,0.0,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202211040DAL.html,Away,111,11:49,2,100.0,DAL,Spencer Dinwiddie,JaVale McGee,4:18,,,,,,,,,,,37:59,Luka Dončić,36:33,Dorian Finney-Smith,30:42,Dwight Powell,26:21,Reggie Bullock,25:21,Christian Wood,22:45,Josh Green,20:06,Tim Hardaway Jr.,19:06,Maxi Kleber,16:49,111,4,2,2.0,100.0,0.0,0.0,0.0,0.0,Christian Koloko,1,0,2022-2023,1.0,2,2.0,TOR,110,OG Anunoby,,,,,,,,,,,,,38:11,Scottie Barnes,38:05,Gary Trent Jr.,36:28,Pascal Siakam,31:15,Chris Boucher,29:37,Precious Achiuwa,26:36,Otto Porter Jr.,20:33,Thaddeus Young,3:50,Dalano Banton,3:36
0,.000,1,12.500,2,2.00,104,6,5,71.4,4,.500,4.0,57.1,7.0,8,3,.750,4,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202211060TOR.html,Home,113,31:01,2,28.6,CHI,Ayo Dosunmu,,,,,,,,,,,,,38:00,DeMar DeRozan,37:29,Nikola Vučević,35:28,Alex Caruso,32:14,Patrick Williams,28:32,Javonte Green,21:14,Goran Dragić,20:47,Derrick Jones Jr.,16:30,Dalen Terry,9:46,104,3,11,8.0,72.7,0.0,0.0,3.0,27.3,Christian Koloko,9,0,2022-2023,6.0,1,7.0,TOR,113,Scottie Barnes,,,,,,,,,,,,,40:05,Fred VanVleet,39:20,OG Anunoby,38:18,Chris Boucher,22:11,Gary Trent Jr.,20:34,Otto Porter Jr.,18:47,Thaddeus Young,15:33,Precious Achiuwa,14:11,,
