3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,1,,116,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201903100ATL.html,Away,128,6:26,0,,ATL,Trae Young,DeAndre' Bembry,13:15,,,,,,,,,,,31:06,Taurean Prince,30:53,Kevin Huerter,30:17,John Collins,30:15,Alex Len,28:42,Kent Bazemore,22:10,Dewayne Dedmon,20:18,Jaylen Adams,16:54,Vince Carter,16:10,128,1,0,0.0,,0.0,,0.0,,Dairis Bertāns,12,0,2018-2019,0.0,0,0.0,NOP,116,Julius Randle,Jahlil Okafor,8:16,,,,,,,,,,,34:39,Frank Jackson,32:33,Elfrid Payton,30:58,Kenrich Williams,30:09,Darius Miller,29:05,Anthony Davis,21:05,Ian Clark,19:03,Solomon Hill,15:20,Cheick Diallo,12:26
0,.000,2,100.000,0,,130,0,0,0.0,0,.000,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201903120NOP.html,Home,113,7:33,1,100.0,MIL,Brook Lopez,Donte DiVincenzo,13:19,,,,,,,,,,,30:06,Khris Middleton,29:59,Eric Bledsoe,28:41,Tony Snell,26:55,Giannis Antetokounmpo,26:03,Nikola Mirotić,23:59,Pat Connaughton,23:48,Malcolm Brogdon,20:18,Ersan İlyasova,16:51,130,1,0,0.0,,0.0,,0.0,,Dairis Bertāns,17,0,2018-2019,0.0,0,1.0,NOP,113,Julius Randle,Jason Smith,6:15,Stanley Johnson,4:23,,,,,,,,,35:42,Elfrid Payton,34:27,Frank Jackson,34:22,Darius Miller,28:55,Kenrich Williams,23:43,Ian Clark,21:47,Anthony Davis,21:29,Cheick Diallo,14:28,Solomon Hill,6:56
1,.500,2,66.667,1,,138,0,0,,1,.333,0.0,0.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201903160NOP.html,Home,136,10:34,0,,PHO,Kelly Oubre Jr.,,,,,,,,,,,,,43:16,Devin Booker,41:09,Mikal Bridges,39:50,Dragan Bender,33:46,Josh Jackson,32:59,De'Anthony Melton,28:51,Deandre Ayton,22:21,Ray Spalding,14:43,Troy Daniels,8:05,138,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Dairis Bertāns,2,0,2018-2019,0.0,0,0.0,NOP,136,Elfrid Payton,Stanley Johnson,11:04,,,,,,,,,,,36:49,Frank Jackson,35:13,Darius Miller,32:42,Julius Randle,31:58,Kenrich Williams,26:41,Cheick Diallo,25:28,Anthony Davis,22:18,Jahlil Okafor,18:25,Ian Clark,13:48
1,1.000,1,100.000,0,0.00,129,0,1,100.0,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201903180DAL.html,Away,125,7:01,0,0.0,DAL,Jalen Brunson,Justin Jackson,11:49,Trey Burke,3:57,Ryan Broekhoff,0:32,,,,,,,39:09,Luka Dončić,38:40,Dwight Powell,34:48,Tim Hardaway Jr.,33:54,Dorian Finney-Smith,32:15,Maxi Kleber,24:32,Devin Harris,18:51,Salah Mejri,14:13,Dirk Nowitzki,12:20,125,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Dairis Bertāns,4,0,2018-2019,0.0,1,1.0,NOP,129,Frank Jackson,Stanley Johnson,5:43,,,,,,,,,,,40:21,Kenrich Williams,39:52,Elfrid Payton,37:25,Julius Randle,34:13,Darius Miller,31:12,Cheick Diallo,27:10,Anthony Davis,20:55,Ian Clark,14:21,Jahlil Okafor,6:47
0,.000,3,50.000,0,0.00,96,0,1,50.0,2,.333,2.0,66.7,3.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201903200ORL.html,Away,119,14:41,1,50.0,ORL,Aaron Gordon,Jarell Martin,6:28,Jerian Grant,5:43,Amile Jefferson,4:48,Melvin Frazier,4:48,,,,,30:20,Jonathan Isaac,28:44,Evan Fournier,28:17,Nikola Vučević,25:43,D.J. Augustin,24:11,Terrence Ross,22:46,Wes Iwundu,22:37,Michael Carter-Williams,18:06,Khem Birch,17:29,119,0,4,4.0,100.0,0.0,0.0,0.0,0.0,Dairis Bertāns,23,0,2018-2019,0.0,1,2.0,NOP,96,Frank Jackson,,,,,,,,,,,,,31:34,Jahlil Okafor,28:33,Ian Clark,27:56,Stanley Johnson,27:35,Kenrich Williams,25:00,Elfrid Payton,24:29,Julius Randle,21:57,Darius Miller,20:20,Cheick Diallo,17:55
1,.333,3,75.000,0,,113,0,1,100.0,1,.250,0.0,0.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201903240NOP.html,Home,90,12:29,0,0.0,HOU,Danuel House Jr.,Gary Clark,5:22,Chris Chiozza,4:49,,,,,,,,,30:01,James Harden,28:53,Chris Paul,26:47,P.J. Tucker,25:55,Austin Rivers,25:15,Kenneth Faried,24:18,Iman Shumpert,23:47,Clint Capela,23:42,Eric Gordon,21:10,113,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Dairis Bertāns,23,0,2018-2019,0.0,0,1.0,NOP,90,Frank Jackson,Cheick Diallo,8:57,Christian Wood,8:18,Solomon Hill,6:09,,,,,,,34:18,Elfrid Payton,31:25,Julius Randle,26:12,Kenrich Williams,24:43,Stanley Johnson,22:36,Anthony Davis,20:50,Darius Miller,20:23,Jahlil Okafor,12:00,Ian Clark,11:38
0,,0,,2,,118,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201903280NOP.html,Home,121,7:55,0,,SAC,De'Aaron Fox,Nemanja Bjelica,8:02,,,,,,,,,,,37:08,Harrison Barnes,34:49,Willie Cauley-Stein,34:32,Buddy Hield,32:50,Marvin Bagley III,28:20,Bogdan Bogdanović,18:43,Yogi Ferrell,17:32,Corey Brewer,14:36,Kosta Koufos,13:28,118,1,0,0.0,,0.0,,0.0,,Dairis Bertāns,3,0,2018-2019,0.0,0,0.0,NOP,121,Elfrid Payton,,,,,,,,,,,,,36:21,Ian Clark,31:56,Kenrich Williams,31:54,Julius Randle,31:11,Christian Wood,27:43,Jahlil Okafor,21:24,Stanley Johnson,19:34,Darius Miller,16:20,Cheick Diallo,15:42
2,.222,9,100.000,0,,130,0,0,,2,.222,0.0,,0.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201903310NOP.html,Home,102,21:57,0,,LAL,JaVale McGee,Isaac Bonga,10:42,Jemerrio Jones,5:26,,,,,,,,,32:58,Rajon Rondo,30:52,Kentavious Caldwell-Pope,28:50,Alex Caruso,28:50,Moritz Wagner,28:41,Reggie Bullock,23:29,Mike Muscala,19:19,Lance Stephenson,15:51,Johnathan Williams,15:02,130,1,6,0.0,0.0,6.0,100.0,0.0,0.0,Dairis Bertāns,28,1,2018-2019,1.0,0,0.0,NOP,102,Ian Clark,,,,,,,,,,,,,31:29,Christian Wood,27:01,Jahlil Okafor,25:31,Solomon Hill,24:38,Kenrich Williams,23:22,Julius Randle,22:45,Elfrid Payton,21:28,Stanley Johnson,21:06,Cheick Diallo,20:43
2,.500,4,80.000,2,,115,0,1,100.0,2,.400,0.0,0.0,1.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201904030NOP.html,Home,109,17:20,0,0.0,CHO,Kemba Walker,Willy Hernangómez,14:46,,,,,,,,,,,35:29,Miles Bridges,33:31,Jeremy Lamb,29:45,Frank Kaminsky,28:05,Dwayne Bacon,22:12,Bismack Biyombo,21:54,Michael Kidd-Gilchrist,20:11,Malik Monk,17:55,Devonte' Graham,16:12,115,0,6,0.0,0.0,6.0,100.0,0.0,0.0,Dairis Bertāns,6,0,2018-2019,0.0,0,1.0,NOP,109,Julius Randle,,,,,,,,,,,,,34:08,Ian Clark,32:18,Elfrid Payton,28:31,Solomon Hill,24:19,Kenrich Williams,23:41,Jahlil Okafor,22:55,Stanley Johnson,22:41,Christian Wood,20:42,Cheick Diallo,13:25
1,.333,3,75.000,2,,126,0,1,100.0,1,.250,0.0,0.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201904050PHO.html,Away,133,14:03,0,0.0,PHO,Josh Jackson,,,,,,,,,,,,,46:12,Mikal Bridges,43:44,Dragan Bender,37:41,Jamal Crawford,34:15,Ray Spalding,29:09,De'Anthony Melton,27:08,Troy Daniels,23:33,Elie Okobo,23:18,,,133,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Dairis Bertāns,7,0,2018-2019,0.0,0,1.0,NOP,126,Elfrid Payton,,,,,,,,,,,,,43:25,Ian Clark,39:33,Kenrich Williams,38:22,Julius Randle,38:03,Solomon Hill,29:10,Jahlil Okafor,23:58,Cheick Diallo,22:38,Christian Wood,15:48,,
