3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,1,,89,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111290HOU.html,Home,102,1:51,0,,OKC,Shai Gilgeous-Alexander,Aaron Wiggins,10:30,Ty Jerome,9:41,Théo Maledon,6:25,,,,,,,33:00,Tre Mann,30:03,Isaiah Roby,26:42,Luguentz Dort,25:09,Josh Giddey,24:58,Jeremiah Robinson-Earl,21:18,Paul Watson,20:08,Darius Bazley,20:01,Aleksej Pokusevski,12:04,89,0,0,0.0,,0.0,,0.0,,Daishen Nix,13,0,2021-2022,0.0,0,0.0,HOU,102,Kevin Porter Jr.,Josh Christopher,1:47,,,,,,,,,,,33:24,Garrison Mathews,32:28,Christian Wood,30:54,Eric Gordon,28:56,Jae'Sean Tate,27:49,Armoni Brooks,24:34,Danuel House Jr.,22:34,KJ Martin,18:35,Alperen Sengun,17:06
1,.333,3,37.500,3,1.00,99,0,3,100.0,5,.625,4.0,80.0,5.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112270CHO.html,Away,123,25:30,0,0.0,CHO,Kelly Oubre Jr.,James Bouknight,5:10,JT Thor,3:45,Kai Jones,2:52,,,,,,,29:42,Mason Plumlee,28:52,Gordon Hayward,28:42,Terry Rozier,27:16,Jalen McDaniels,27:05,LaMelo Ball,24:31,Ish Smith,23:29,Cody Martin,22:20,Nick Richards,16:16,123,0,11,8.0,72.7,3.0,27.3,0.0,0.0,Daishen Nix,24,3,2021-2022,3.0,3,3.0,HOU,99,Armoni Brooks,,,,,,,,,,,,,35:24,Trevelin Queen,28:32,Christian Wood,26:20,David Nwaba,24:17,Eric Gordon,23:52,Daniel Theis,21:47,Alperen Sengun,21:10,Josh Christopher,20:37,Usman Garuba,12:31
0,,0,,0,,120,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112310HOU.html,Home,110,3:50,0,,MIA,Tyler Herro,,,,,,,,,,,,,37:36,Caleb Martin,37:32,Kyle Lowry,36:47,Jimmy Butler,35:18,Omer Yurtseven,29:20,Kyle Guy,23:33,Chris Silva,14:37,Haywood Highsmith,14:31,Nik Stauskas,10:46,120,1,0,0.0,,0.0,,0.0,,Daishen Nix,10,0,2021-2022,0.0,0,0.0,HOU,110,Christian Wood,Alperen Sengun,6:37,Trevelin Queen,4:21,,,,,,,,,34:01,Kevin Porter Jr.,30:55,Jalen Green,27:43,Eric Gordon,26:37,Jae'Sean Tate,24:47,Josh Christopher,24:38,Armoni Brooks,22:29,David Nwaba,20:11,KJ Martin,13:51
2,.667,3,50.000,1,0.50,124,0,0,,5,.833,3.0,100.0,3.0,6,1,.500,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201010HOU.html,Home,111,11:38,0,,DEN,Facundo Campazzo,Vlatko Čančar,14:46,Petr Cornelie,2:53,Carlik Jones,1:50,,,,,,,34:19,Austin Rivers,32:59,Will Barton,29:02,Nikola Jokić,25:09,Rayjon Tucker,22:00,JaMychal Green,20:48,Aaron Gordon,20:45,Bol Bol,20:09,Davon Reed,15:20,124,1,13,6.0,46.2,6.0,46.2,1.0,7.7,Daishen Nix,13,2,2021-2022,2.0,2,0.0,HOU,111,KJ Martin,Usman Garuba,12:34,Christian Wood,8:14,,,,,,,,,31:07,Jalen Green,27:57,Daniel Theis,27:12,Josh Christopher,23:18,David Nwaba,23:06,Armoni Brooks,22:18,Jae'Sean Tate,21:51,Kevin Porter Jr.,15:46,Trevelin Queen,14:59
0,,0,,1,0.50,113,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201030PHI.html,Away,133,2:56,0,0.0,PHI,Furkan Korkmaz,Paul Reed,6:15,Charles Bassey,1:34,Aaron Henry,1:34,,,,,,,36:11,Tobias Harris,35:13,Seth Curry,29:51,Joel Embiid,29:47,Danny Green,22:59,Isaiah Joe,21:00,Shake Milton,20:41,Georges Niang,18:16,Andre Drummond,16:39,133,0,0,0.0,,0.0,,0.0,,Daishen Nix,20,0,2021-2022,0.0,2,1.0,HOU,113,Daniel Theis,Trevelin Queen,2:56,,,,,,,,,,,34:20,Garrison Mathews,30:11,Eric Gordon,29:18,Jae'Sean Tate,28:06,Jalen Green,27:19,KJ Martin,25:45,David Nwaba,22:42,Josh Christopher,20:33,D.J. Augustin,15:54
0,.000,1,50.000,1,,130,0,2,66.7,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201070HOU.html,Home,106,9:09,1,33.3,DAL,Maxi Kleber,Trey Burke,15:49,Moses Brown,11:02,Marquese Chriss,9:06,Theo Pinson,3:07,,,,,25:46,Jalen Brunson,25:29,Josh Green,25:01,Tim Hardaway Jr.,24:07,Dorian Finney-Smith,23:26,Reggie Bullock,23:00,Sterling Brown,19:20,Dwight Powell,18:28,Frank Ntilikina,16:19,130,0,0,0.0,,0.0,,0.0,,Daishen Nix,24,1,2021-2022,1.0,0,3.0,HOU,106,Kevin Porter Jr.,Armoni Brooks,14:43,Trevelin Queen,7:30,,,,,,,,,27:18,Jae'Sean Tate,26:00,Garrison Mathews,25:20,Jalen Green,24:59,Christian Wood,24:01,Eric Gordon,21:23,Josh Christopher,21:21,David Nwaba,20:58,KJ Martin,17:18
0,,0,0.000,2,2.00,141,0,3,100.0,2,1.000,2.0,100.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201090HOU.html,Home,123,7:24,0,0.0,MIN,Anthony Edwards,Taurean Prince,6:31,Nathan Knight,1:43,Jake Layman,1:43,Jordan McLaughlin,1:43,,,,,34:08,Karl-Anthony Towns,33:04,D'Angelo Russell,33:00,Jarred Vanderbilt,31:20,Jaden McDaniels,28:36,Malik Beasley,20:06,Jaylen Nowell,18:12,Josh Okogie,17:30,Naz Reid,12:22,141,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Daishen Nix,18,0,2021-2022,0.0,1,3.0,HOU,123,Garrison Mathews,,,,,,,,,,,,,30:40,Christian Wood,28:29,KJ Martin,26:57,Josh Christopher,26:44,Eric Gordon,26:34,Jalen Green,26:19,Kevin Porter Jr.,26:19,Jae'Sean Tate,23:27,David Nwaba,17:07
0,,0,0.000,1,1.00,111,0,0,,1,.500,1.0,50.0,2.0,2,0,.000,1,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201100HOU.html,Home,91,4:31,0,,PHI,Furkan Korkmaz,Andre Drummond,17:05,Charles Bassey,4:31,Braxton Key,3:58,Aaron Henry,2:51,,,,,28:07,Joel Embiid,26:24,Matisse Thybulle,25:43,Isaiah Joe,25:24,Tobias Harris,24:37,Charlie Brown Jr.,22:17,Myles Powell,19:53,Danny Green,19:45,Georges Niang,19:25,111,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Daishen Nix,20,1,2021-2022,1.0,1,0.0,HOU,91,Christian Wood,David Nwaba,7:42,Usman Garuba,4:31,,,,,,,,,35:41,Jalen Green,29:46,Kevin Porter Jr.,28:29,Jae'Sean Tate,24:40,Garrison Mathews,23:22,Josh Christopher,22:59,Daniel Theis,21:42,KJ Martin,21:37,D.J. Augustin,15:00
0,,0,0.000,0,,101,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202203040DEN.html,Away,116,2:21,0,,DEN,Will Barton,Bryn Forbes,18:34,Markus Howard,1:27,,,,,,,,,29:26,Aaron Gordon,29:14,Jeff Green,27:44,Monte Morris,26:23,JaMychal Green,24:27,DeMarcus Cousins,23:33,Davon Reed,20:16,Bones Hyland,19:51,Facundo Campazzo,19:05,116,1,0,0.0,,0.0,,0.0,,Daishen Nix,15,0,2021-2022,0.0,0,0.0,HOU,101,Jalen Green,Trevelin Queen,2:21,,,,,,,,,,,31:43,Kevin Porter Jr.,31:24,Christian Wood,31:20,Eric Gordon,30:06,Garrison Mathews,28:31,Jae'Sean Tate,23:27,Alperen Sengun,22:14,KJ Martin,18:59,Josh Christopher,17:33
1,.333,3,50.000,4,4.00,106,0,1,100.0,2,.333,1.0,33.3,3.0,6,2,1.000,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202203070MIA.html,Away,123,22:59,0,0.0,MIA,Kyle Lowry,Gabe Vincent,3:28,Max Strus,3:28,Kyle Guy,3:08,Haywood Highsmith,3:08,Omer Yurtseven,3:08,,,32:00,Tyler Herro,30:37,Bam Adebayo,29:59,Jimmy Butler,29:17,Duncan Robinson,27:24,P.J. Tucker,24:48,Caleb Martin,21:25,Victor Oladipo,14:38,Dewayne Dedmon,13:32,123,3,7,2.0,28.6,3.0,42.9,2.0,28.6,Daishen Nix,17,1,2021-2022,1.0,1,1.0,HOU,106,KJ Martin,Trevelin Queen,3:08,,,,,,,,,,,33:17,Jalen Green,30:49,Alperen Sengun,30:03,Kevin Porter Jr.,29:07,Josh Christopher,28:30,Jae'Sean Tate,25:25,Garrison Mathews,20:07,David Nwaba,13:27,Bruno Fernando,3:08
