3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,1.000,1,25.000,1,,98,0,4,100.0,3,.750,2.0,66.7,3.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110200TOR.html,Home,83,12:25,0,0.0,WAS,Kyle Kuzma,Aaron Holiday,12:49,,,,,,,,,,,34:38,Bradley Beal,34:06,Kentavious Caldwell-Pope,27:08,Spencer Dinwiddie,26:09,Montrezl Harrell,25:54,Raul Neto,22:56,Daniel Gafford,22:06,Deni Avdija,20:52,Dāvis Bertāns,13:21,98,1,7,4.0,57.1,3.0,42.9,0.0,0.0,Dalano Banton,15,1,2021-2022,1.0,0,4.0,TOR,83,Fred VanVleet,,,,,,,,,,,,,34:43,OG Anunoby,33:59,Scottie Barnes,32:32,Gary Trent Jr.,26:27,Khem Birch,26:00,Goran Dragić,21:39,Precious Achiuwa,18:30,Chris Boucher,17:29,Svi Mykhailiuk,16:13
0,,0,0.000,2,,115,0,0,,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110220BOS.html,Away,83,2:54,0,,BOS,Jayson Tatum,Grant Williams,10:23,Enes Freedom,5:17,Juancho Hernangómez,3:59,Aaron Nesmith,3:59,,,,,30:20,Marcus Smart,29:00,Robert Williams,28:29,Jaylen Brown,28:24,Al Horford,24:33,Dennis Schröder,22:43,Josh Richardson,20:45,Romeo Langford,16:12,Payton Pritchard,15:56,83,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Dalano Banton,32,0,2021-2022,0.0,0,0.0,TOR,115,Fred VanVleet,Justin Champagnie,2:54,Malachi Flynn,2:54,Isaac Bonga,2:18,,,,,,,36:58,Scottie Barnes,35:29,OG Anunoby,33:54,Gary Trent Jr.,31:33,Precious Achiuwa,24:50,Khem Birch,20:52,Chris Boucher,19:39,Svi Mykhailiuk,14:05,Goran Dragić,11:40
0,.000,1,33.333,0,0.00,103,0,2,100.0,0,.000,0.0,0.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110230TOR.html,Home,95,8:20,0,0.0,DAL,Luka Dončić,Willie Cauley-Stein,3:29,,,,,,,,,,,38:53,Tim Hardaway Jr.,38:53,Dorian Finney-Smith,35:54,Kristaps Porziņģis,29:12,Dwight Powell,24:37,Jalen Brunson,22:42,Maxi Kleber,20:10,Reggie Bullock,17:03,Sterling Brown,9:07,103,0,0,0.0,,0.0,,0.0,,Dalano Banton,8,0,2021-2022,0.0,1,2.0,TOR,95,Fred VanVleet,Isaac Bonga,3:28,,,,,,,,,,,38:53,Gary Trent Jr.,35:40,Precious Achiuwa,33:21,OG Anunoby,31:53,Scottie Barnes,29:34,Svi Mykhailiuk,18:43,Khem Birch,17:39,Goran Dragić,14:28,Chris Boucher,8:01
0,,0,,0,,111,0,1,100.0,0,,0.0,,0.0,0,2,1.000,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110250TOR.html,Home,108,5:11,0,0.0,CHI,Lonzo Ball,,,,,,,,,,,,,38:03,DeMar DeRozan,35:49,Zach LaVine,35:20,Nikola Vučević,33:59,Alex Caruso,27:43,Patrick Williams,25:51,Troy Brown Jr.,16:44,Alize Johnson,13:34,Javonte Green,12:57,111,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Dalano Banton,3,1,2021-2022,1.0,0,1.0,TOR,108,Fred VanVleet,,,,,,,,,,,,,42:44,Scottie Barnes,39:01,OG Anunoby,38:26,Gary Trent Jr.,36:08,Precious Achiuwa,28:39,Khem Birch,18:30,Goran Dragić,13:46,Svi Mykhailiuk,12:44,Chris Boucher,4:51
2,.667,3,42.857,3,1.50,100,1,1,100.0,4,.571,2.0,50.0,4.0,7,0,.000,1,14.286,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110270TOR.html,Home,118,16:13,0,0.0,IND,Domantas Sabonis,Torrey Craig,12:00,Isaiah Jackson,9:59,Goga Bitadze,2:01,,,,,,,33:44,Chris Duarte,32:06,Justin Holiday,28:17,Myles Turner,22:30,Malcolm Brogdon,21:48,Oshae Brissett,21:14,T.J. McConnell,20:20,Brad Wanamaker,19:33,Jeremy Lamb,16:28,100,3,10,4.0,40.0,6.0,60.0,0.0,0.0,Dalano Banton,18,0,2021-2022,1.0,2,1.0,TOR,118,Fred VanVleet,Malachi Flynn,2:01,Isaac Bonga,0:54,Sam Dekker,0:54,David Johnson,0:28,,,,,36:43,Scottie Barnes,36:07,Gary Trent Jr.,34:39,OG Anunoby,34:18,Precious Achiuwa,27:30,Khem Birch,19:36,Chris Boucher,17:50,Svi Mykhailiuk,10:46,Justin Champagnie,2:01
0,,0,0.000,2,,109,0,4,80.0,4,.667,4.0,66.7,6.0,6,2,.500,4,66.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110290TOR.html,Home,110,22:48,1,20.0,ORL,Mo Bamba,R.J. Hampton,5:47,,,,,,,,,,,39:26,Cole Anthony,33:55,Franz Wagner,33:41,Wendell Carter Jr.,33:24,Jalen Suggs,29:48,Gary Harris,26:30,Terrence Ross,21:31,Moritz Wagner,8:29,Robin Lopez,7:29,109,2,10,8.0,80.0,0.0,0.0,2.0,20.0,Dalano Banton,1,2,2021-2022,2.0,0,5.0,TOR,110,OG Anunoby,,,,,,,,,,,,,40:33,Fred VanVleet,39:30,Scottie Barnes,36:47,Gary Trent Jr.,31:56,Khem Birch,23:14,Precious Achiuwa,21:26,Chris Boucher,17:39,Svi Mykhailiuk,6:07,,
0,.000,1,25.000,2,0.67,97,0,1,50.0,1,.250,1.0,33.3,3.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110300IND.html,Away,94,16:35,1,50.0,IND,Domantas Sabonis,Torrey Craig,8:29,Oshae Brissett,7:33,,,,,,,,,39:32,Myles Turner,35:48,T.J. McConnell,34:32,Chris Duarte,32:26,Justin Holiday,32:04,Caris LeVert,15:33,Jeremy Lamb,14:22,Goga Bitadze,10:01,Brad Wanamaker,9:40,94,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Dalano Banton,3,1,2021-2022,1.0,3,2.0,TOR,97,Fred VanVleet,,,,,,,,,,,,,39:10,OG Anunoby,37:36,Scottie Barnes,34:44,Khem Birch,28:59,Gary Trent Jr.,23:23,Svi Mykhailiuk,21:43,Chris Boucher,18:19,Precious Achiuwa,16:42,Malachi Flynn,2:49
0,,0,0.000,0,,113,2,3,100.0,2,.667,2.0,66.7,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111010NYK.html,Away,104,8:31,0,0.0,NYK,RJ Barrett,Taj Gibson,10:04,Jericho Sims,5:25,,,,,,,,,38:45,Julius Randle,36:48,Kemba Walker,28:24,Mitchell Robinson,27:39,Evan Fournier,25:10,Derrick Rose,19:36,Immanuel Quickley,19:20,Alec Burks,16:01,Obi Toppin,12:48,104,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Dalano Banton,9,0,2021-2022,2.0,0,3.0,TOR,113,Gary Trent Jr.,,,,,,,,,,,,,42:56,OG Anunoby,41:01,Fred VanVleet,37:09,Svi Mykhailiuk,34:48,Khem Birch,31:12,Precious Achiuwa,16:48,Malachi Flynn,10:56,Chris Boucher,9:51,Justin Champagnie,6:48
0,,0,0.000,0,0.00,109,0,3,100.0,2,1.000,2.0,100.0,2.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111030WAS.html,Away,100,17:10,0,0.0,WAS,Bradley Beal,Aaron Holiday,5:08,,,,,,,,,,,38:35,Kentavious Caldwell-Pope,33:46,Spencer Dinwiddie,30:22,Montrezl Harrell,27:29,Deni Avdija,25:34,Raul Neto,21:34,Kyle Kuzma,21:22,Daniel Gafford,20:30,Corey Kispert,15:40,100,3,5,4.0,80.0,0.0,0.0,1.0,20.0,Dalano Banton,9,2,2021-2022,2.0,1,3.0,TOR,109,Fred VanVleet,,,,,,,,,,,,,43:02,OG Anunoby,39:59,Svi Mykhailiuk,34:36,Gary Trent Jr.,34:02,Precious Achiuwa,26:07,Khem Birch,21:53,Chris Boucher,17:10,Justin Champagnie,3:25,Malachi Flynn,2:36
0,.000,1,14.286,1,1.00,102,0,2,100.0,5,.714,5.0,83.3,6.0,7,1,.500,2,28.571,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111050TOR.html,Home,101,9:31,0,0.0,CLE,Jarrett Allen,,,,,,,,,,,,,38:41,Evan Mobley,38:22,Darius Garland,36:22,Collin Sexton,31:50,Cedi Osman,26:01,Dean Wade,25:46,Ricky Rubio,22:10,Dylan Windler,11:17,Lamar Stevens,9:29,102,2,11,10.0,90.9,0.0,0.0,1.0,9.1,Dalano Banton,1,0,2021-2022,0.0,1,2.0,TOR,101,Scottie Barnes,,,,,,,,,,,,,38:21,Gary Trent Jr.,37:01,Fred VanVleet,37:00,OG Anunoby,36:48,Khem Birch,29:37,Svi Mykhailiuk,19:01,Precious Achiuwa,18:13,Malachi Flynn,7:24,Chris Boucher,7:01
