3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,33.333,0,0.00,95,1,3,100.0,0,.000,0.0,0.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201910230UTA.html,Away,100,19:15,0,0.0,UTA,Rudy Gobert,Georges Niang,2:40,,,,,,,,,,,37:55,Donovan Mitchell,36:24,Joe Ingles,32:39,Royce O'Neale,30:07,Mike Conley,26:43,Bojan Bogdanović,23:54,Emmanuel Mudiay,22:59,Jeff Green,16:34,Ed Davis,10:05,100,2,0,0.0,,0.0,,0.0,,Darius Bazley,5,0,2019-2020,1.0,1,3.0,OKC,95,Shai Gilgeous-Alexander,,,,,,,,,,,,,36:46,Dennis Schröder,30:40,Chris Paul,30:07,Danilo Gallinari,28:21,Steven Adams,27:42,Terrance Ferguson,23:51,Hamidou Diallo,23:00,Mike Muscala,15:36,Nerlens Noel,4:42
0,,0,0.000,0,,97,0,2,100.0,2,.667,2.0,66.7,3.0,3,1,.500,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201910250OKC.html,Home,85,15:04,0,0.0,WAS,Rui Hachimura,Admiral Schofield,10:14,,,,,,,,,,,34:39,Bradley Beal,34:33,Ish Smith,32:47,Thomas Bryant,31:27,Dāvis Bertāns,27:28,Isaac Bonga,24:02,Moritz Wagner,16:33,Chris Chiozza,15:13,Garrison Mathews,13:04,97,0,5,4.0,80.0,0.0,0.0,1.0,20.0,Darius Bazley,12,1,2019-2020,1.0,0,2.0,OKC,85,Shai Gilgeous-Alexander,Nerlens Noel,7:13,Deonte Burton,3:58,,,,,,,,,36:04,Chris Paul,30:02,Danilo Gallinari,29:44,Steven Adams,29:10,Dennis Schröder,25:09,Terrance Ferguson,22:03,Hamidou Diallo,18:00,Abdel Nader,11:56,Mike Muscala,11:37
1,.500,2,66.667,2,0.50,92,0,7,100.0,2,.667,1.0,100.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910270OKC.html,Home,120,26:19,0,0.0,GSW,Stephen Curry,Damion Lee,17:01,Ky Bowman,12:00,,,,,,,,,30:08,Omari Spellman,24:49,Eric Paschall,24:04,Draymond Green,23:57,Jordan Poole,23:27,Marquese Chriss,23:10,D'Angelo Russell,22:23,Glenn Robinson III,20:46,Jacob Evans,18:15,92,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Darius Bazley,28,0,2019-2020,0.0,4,7.0,OKC,120,Terrance Ferguson,Deonte Burton,8:36,Mike Muscala,7:45,Justin Patton,6:21,,,,,,,29:50,Shai Gilgeous-Alexander,29:40,Steven Adams,25:24,Dennis Schröder,25:20,Danilo Gallinari,21:41,Chris Paul,19:04,Nerlens Noel,14:51,Hamidou Diallo,12:41,Abdel Nader,12:28
1,.500,2,100.000,1,1.00,112,0,4,100.0,1,.500,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201910280HOU.html,Away,116,11:39,0,0.0,HOU,Danuel House Jr.,Tyson Chandler,2:33,,,,,,,,,,,37:02,James Harden,36:52,Eric Gordon,36:35,Russell Westbrook,35:29,P.J. Tucker,33:24,Clint Capela,30:05,Austin Rivers,14:56,Thabo Sefolosha,10:26,Ben McLemore,2:38,116,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Darius Bazley,4,0,2019-2020,0.0,1,4.0,OKC,112,Shai Gilgeous-Alexander,Deonte Burton,0:03,,,,,,,,,,,35:55,Danilo Gallinari,34:53,Chris Paul,33:55,Dennis Schröder,33:51,Steven Adams,26:48,Nerlens Noel,21:10,Terrance Ferguson,18:39,Hamidou Diallo,17:49,Abdel Nader,5:18
0,,0,,0,0.00,102,0,2,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201910300OKC.html,Home,99,12:36,0,0.0,POR,Damian Lillard,Gary Trent Jr.,4:10,,,,,,,,,,,38:12,CJ McCollum,35:49,Rodney Hood,33:31,Anthony Tolliver,25:56,Hassan Whiteside,24:47,Skal Labissière,21:02,Kent Bazemore,20:48,Mario Hezonja,20:13,Anfernee Simons,15:32,102,1,0,0.0,,0.0,,0.0,,Darius Bazley,3,0,2019-2020,0.0,2,2.0,OKC,99,Shai Gilgeous-Alexander,,,,,,,,,,,,,35:47,Terrance Ferguson,34:35,Chris Paul,31:26,Danilo Gallinari,30:30,Nerlens Noel,28:27,Dennis Schröder,27:54,Hamidou Diallo,19:57,Mike Muscala,18:48,,
3,.500,6,60.000,0,0.00,104,1,3,60.0,5,.500,2.0,50.0,4.0,10,4,1.000,4,40.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911020OKC.html,Home,115,18:45,2,40.0,NOP,Jrue Holiday,Nicolò Melli,10:25,Nickeil Alexander-Walker,7:55,,,,,,,,,34:51,Lonzo Ball,32:31,Josh Hart,30:03,Jahlil Okafor,29:12,JJ Redick,26:52,Frank Jackson,22:06,Kenrich Williams,19:06,Jaxson Hayes,13:49,Brandon Ingram,13:10,104,0,17,4.0,23.5,9.0,52.9,4.0,23.5,Darius Bazley,11,0,2019-2020,1.0,1,5.0,OKC,115,Shai Gilgeous-Alexander,Terrance Ferguson,5:26,,,,,,,,,,,35:31,Hamidou Diallo,29:30,Chris Paul,29:17,Danilo Gallinari,29:15,Dennis Schröder,29:13,Nerlens Noel,23:40,Mike Muscala,19:40,Abdel Nader,11:43,Deonte Burton,8:00
2,.400,5,45.455,1,,94,0,6,100.0,4,.364,2.0,33.3,6.0,11,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911050OKC.html,Home,102,23:45,0,0.0,ORL,Nikola Vučević,,,,,,,,,,,,,33:39,Evan Fournier,32:55,Jonathan Isaac,31:10,Aaron Gordon,28:34,D.J. Augustin,27:00,Al-Farouq Aminu,25:52,Markelle Fultz,23:53,Terrence Ross,22:46,Mo Bamba,14:11,94,2,10,4.0,40.0,6.0,60.0,0.0,0.0,Darius Bazley,8,2,2019-2020,2.0,0,6.0,OKC,102,Shai Gilgeous-Alexander,,,,,,,,,,,,,35:56,Chris Paul,32:05,Dennis Schröder,31:10,Danilo Gallinari,26:18,Steven Adams,25:46,Terrance Ferguson,22:45,Hamidou Diallo,22:04,Nerlens Noel,16:05,Mike Muscala,4:06
0,.000,4,100.000,1,,112,0,4,100.0,0,.000,0.0,,0.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911070SAS.html,Away,121,15:50,0,0.0,SAS,LaMarcus Aldridge,Jakob Poeltl,12:53,DeMarre Carroll,5:31,Chimezie Metu,0:53,Lonnie Walker IV,0:53,,,,,34:14,DeMar DeRozan,34:12,Dejounte Murray,25:53,Bryn Forbes,22:32,Patty Mills,22:31,Trey Lyles,20:35,Rudy Gay,20:19,Derrick White,20:14,Marco Belinelli,19:20,121,0,0,0.0,,0.0,,0.0,,Darius Bazley,9,0,2019-2020,0.0,0,4.0,OKC,112,Shai Gilgeous-Alexander,,,,,,,,,,,,,34:01,Danilo Gallinari,32:10,Hamidou Diallo,31:48,Chris Paul,30:51,Steven Adams,27:23,Dennis Schröder,26:33,Terrance Ferguson,20:47,Nerlens Noel,20:00,Mike Muscala,0:37
3,1.000,3,75.000,1,0.50,108,0,3,100.0,3,.750,0.0,0.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911090OKC.html,Home,114,17:33,0,0.0,GSW,Alec Burks,,,,,,,,,,,,,36:41,Jordan Poole,34:57,Glenn Robinson III,34:15,D'Angelo Russell,34:11,Marquese Chriss,24:28,Willie Cauley-Stein,23:32,Damion Lee,22:20,Ky Bowman,17:26,Omari Spellman,12:10,108,1,9,0.0,0.0,9.0,100.0,0.0,0.0,Darius Bazley,6,0,2019-2020,0.0,2,3.0,OKC,114,Shai Gilgeous-Alexander,,,,,,,,,,,,,36:33,Dennis Schröder,33:12,Chris Paul,30:34,Danilo Gallinari,30:27,Steven Adams,25:08,Hamidou Diallo,23:14,Terrance Ferguson,20:27,Mike Muscala,15:36,Nerlens Noel,7:16
0,.000,2,100.000,2,2.00,121,1,4,100.0,0,.000,0.0,,0.0,2,0,.000,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911100OKC.html,Home,119,18:13,0,0.0,MIL,Giannis Antetokounmpo,Robin Lopez,9:13,Donte DiVincenzo,8:50,,,,,,,,,36:25,Wesley Matthews,31:57,Brook Lopez,30:46,Eric Bledsoe,29:16,George Hill,23:26,Khris Middleton,22:31,Sterling Brown,18:10,Ersan İlyasova,16:27,Pat Connaughton,12:59,121,1,0,0.0,,0.0,,0.0,,Darius Bazley,2,0,2019-2020,1.0,1,4.0,OKC,119,Shai Gilgeous-Alexander,,,,,,,,,,,,,36:48,Chris Paul,31:46,Nerlens Noel,29:53,Danilo Gallinari,29:47,Dennis Schröder,29:41,Terrance Ferguson,24:07,Hamidou Diallo,21:38,Mike Muscala,18:07,,
1,.500,2,33.333,0,,85,0,4,66.7,3,.500,2.0,50.0,4.0,6,1,.500,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201911120IND.html,Away,111,22:51,2,33.3,IND,Aaron Holiday,Alize Johnson,6:03,Brian Bowen,2:35,Naz Mitrou-Long,2:35,,,,,,,31:27,T.J. Warren,31:26,Domantas Sabonis,29:13,Justin Holiday,28:32,Doug McDermott,26:25,Malcolm Brogdon,25:27,T.J. McConnell,24:18,JaKarr Sampson,16:47,T.J. Leaf,15:12,111,1,8,4.0,50.0,3.0,37.5,1.0,12.5,Darius Bazley,26,0,2019-2020,0.0,0,6.0,OKC,85,Shai Gilgeous-Alexander,Mike Muscala,8:25,Devon Hall,7:05,,,,,,,,,28:13,Chris Paul,24:58,Dennis Schröder,24:46,Danilo Gallinari,24:25,Hamidou Diallo,22:02,Nerlens Noel,20:31,Abdel Nader,19:41,Steven Adams,19:04,Deonte Burton,17:59
