3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,1.000,1,33.333,2,,123,0,1,33.3,2,.667,1.0,50.0,2.0,3,3,.750,4,133.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201611060BOS.html,Home,107,11:05,2,66.7,DEN,Danilo Gallinari,Malik Beasley,2:26,Juancho Hernangómez,2:26,,,,,,,,,41:13,Emmanuel Mudiay,38:34,Jameer Nelson,35:56,Wilson Chandler,25:20,Kenneth Faried,23:46,Nikola Jokić,22:15,Gary Harris,21:33,Jusuf Nurkić,13:17,Jamal Murray,13:14,123,0,8,2.0,25.0,3.0,37.5,3.0,37.5,Demetrius Jackson,16,0,2016-2017,0.0,0,3.0,BOS,107,Avery Bradley,Gerald Green,10:28,James Young,8:32,,,,,,,,,33:54,Isaiah Thomas,32:56,Marcus Smart,27:11,Tyler Zeller,25:46,Jaylen Brown,20:50,Jordan Mickey,19:04,Jonas Jerebko,18:12,Terry Rozier,16:15,Amir Johnson,15:47
0,,0,0.000,0,,93,0,0,,1,1.000,1.0,100.0,1.0,1,0,.000,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201611090WAS.html,Away,118,3:45,0,,WAS,Otto Porter Jr.,Andrew Nicholson,5:20,Sheldon Mac,2:59,Daniel Ochefu,2:59,Kelly Oubre Jr.,2:59,,,,,38:16,Marcus Thornton,34:10,Marcin Gortat,32:13,Tomáš Satoranský,31:33,John Wall,30:55,Trey Burke,17:05,Markieff Morris,16:47,Jason Smith,13:53,Bradley Beal,10:51,118,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Demetrius Jackson,25,0,2016-2017,0.0,0,0.0,BOS,93,Avery Bradley,Gerald Green,11:27,Jordan Mickey,7:39,James Young,3:45,,,,,,,38:23,Marcus Smart,36:29,Isaiah Thomas,35:25,Kelly Olynyk,26:08,Amir Johnson,23:54,Tyler Zeller,14:18,Terry Rozier,14:03,Jaylen Brown,13:13,Jonas Jerebko,11:32
0,,0,,0,,104,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201611180BOS.html,Home,88,0:13,0,,GSW,Stephen Curry,James Michael McAdoo,7:34,Ian Clark,7:20,,,,,,,,,36:18,Draymond Green,35:09,Kevin Durant,32:46,Klay Thompson,30:42,Andre Iguodala,21:42,Zaza Pachulia,21:03,Shaun Livingston,17:52,Patrick McCaw,16:05,David West,13:29,104,0,0,0.0,,0.0,,0.0,,Demetrius Jackson,16,0,2016-2017,0.0,0,0.0,BOS,88,Avery Bradley,Jonas Jerebko,15:02,James Young,12:00,Jordan Mickey,3:05,,,,,,,34:54,Isaiah Thomas,27:35,Terry Rozier,25:32,Marcus Smart,24:55,Jaylen Brown,23:29,Tyler Zeller,23:22,Kelly Olynyk,17:03,Gerald Green,16:46,Amir Johnson,16:04
0,,0,,1,,117,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201612070ORL.html,Away,87,1:47,0,0.0,ORL,Evan Fournier,Mario Hezonja,4:51,Damjan Rudež,4:51,C.J. Watson,3:53,C.J. Wilcox,3:53,,,,,28:43,Elfrid Payton,27:56,Nikola Vučević,26:58,Aaron Gordon,25:39,Bismack Biyombo,25:34,Serge Ibaka,25:06,D.J. Augustin,23:54,Jeff Green,22:21,Jodie Meeks,16:21,87,0,0,0.0,,0.0,,0.0,,Demetrius Jackson,30,0,2016-2017,0.0,0,1.0,BOS,117,Avery Bradley,Gerald Green,8:16,Tyler Zeller,7:09,Jordan Mickey,1:47,,,,,,,32:46,Jae Crowder,30:22,Al Horford,29:23,Terry Rozier,26:00,Amir Johnson,23:15,Marcus Smart,23:01,Jaylen Brown,21:48,Kelly Olynyk,20:26,Jonas Jerebko,14:00
0,,0,,0,,97,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201702240TOR.html,Away,107,0:11,0,,TOR,DeMar DeRozan,Lucas Nogueira,11:05,,,,,,,,,,,37:08,Cory Joseph,36:23,Serge Ibaka,36:01,P.J. Tucker,29:09,DeMarre Carroll,27:45,Jonas Valančiūnas,17:48,Patrick Patterson,16:34,Norman Powell,16:30,Delon Wright,11:37,107,0,0,0.0,,0.0,,0.0,,Demetrius Jackson,10,0,2016-2017,0.0,0,0.0,BOS,97,Isaiah Thomas,James Young,12:03,Jordan Mickey,0:11,,,,,,,,,35:08,Marcus Smart,32:26,Jae Crowder,30:58,Al Horford,29:44,Jaylen Brown,27:42,Jonas Jerebko,19:24,Amir Johnson,19:20,Terry Rozier,16:44,Kelly Olynyk,16:09
0,.000,1,50.000,2,1.00,105,1,3,100.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710180SAC.html,Away,100,10:14,0,0.0,SAC,Buddy Hield,Malachi Richardson,5:32,,,,,,,,,,,32:49,Skal Labissière,32:46,George Hill,32:35,Willie Cauley-Stein,31:38,Garrett Temple,29:54,De'Aaron Fox,23:36,Justin Jackson,19:26,Kosta Koufos,17:33,Vince Carter,14:11,100,1,0,0.0,,0.0,,0.0,,Demetrius Jackson,5,1,2017-2018,2.0,2,3.0,HOU,105,James Harden,,,,,,,,,,,,,37:46,Eric Gordon,34:49,Trevor Ariza,32:26,P.J. Tucker,29:06,Clint Capela,28:20,Ryan Anderson,25:41,Luc Mbah a Moute,24:01,Nenê,17:37,,
0,.000,3,60.000,2,1.00,91,0,3,60.0,2,.400,2.0,100.0,2.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710210HOU.html,Home,107,17:15,2,40.0,DAL,Yogi Ferrell,Maxi Kleber,12:00,Jeff Withey,8:52,,,,,,,,,41:27,Harrison Barnes,30:45,Wesley Matthews,30:45,Gian Clavell,24:35,J.J. Barea,21:33,Dwight Powell,20:23,Dirk Nowitzki,17:56,Nerlens Noel,15:54,Dorian Finney-Smith,15:50,91,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Demetrius Jackson,16,1,2017-2018,1.0,2,5.0,HOU,107,James Harden,Zhou Qi,7:24,Bobby Brown,5:26,Troy Williams,3:59,,,,,,,30:45,Trevor Ariza,30:40,P.J. Tucker,26:46,Luc Mbah a Moute,26:20,Eric Gordon,24:21,Ryan Anderson,23:04,Clint Capela,20:59,Tarik Black,12:47,Nenê,10:14
0,,0,,0,,98,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201710230HOU.html,Home,90,3:30,0,,MEM,Marc Gasol,Brandan Wright,10:24,,,,,,,,,,,37:36,James Ennis III,37:13,Mike Conley,28:02,Mario Chalmers,25:43,Tyreke Evans,23:15,Dillon Brooks,21:12,Jarell Martin,20:49,Andrew Harrison,19:54,Chandler Parsons,15:52,98,2,0,0.0,,0.0,,0.0,,Demetrius Jackson,8,0,2017-2018,0.0,0,0.0,HOU,90,Trevor Ariza,,,,,,,,,,,,,39:51,James Harden,35:08,Eric Gordon,33:18,Ryan Anderson,31:10,P.J. Tucker,28:28,Luc Mbah a Moute,28:03,Clint Capela,24:44,Nenê,15:49,,
0,,0,,0,0.00,105,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201710250PHI.html,Away,104,7:32,0,,PHI,Robert Covington,,,,,,,,,,,,,36:21,JJ Redick,34:06,Ben Simmons,34:04,Jerryd Bayless,30:30,T.J. McConnell,28:15,Joel Embiid,24:58,Justin Anderson,18:40,Dario Šarić,16:56,Amir Johnson,16:10,104,0,0,0.0,,0.0,,0.0,,Demetrius Jackson,1,1,2017-2018,1.0,3,0.0,HOU,105,James Harden,,,,,,,,,,,,,41:26,Eric Gordon,39:54,Luc Mbah a Moute,36:00,Ryan Anderson,35:03,P.J. Tucker,32:12,Clint Capela,31:30,Tarik Black,12:26,Isaiah Canaan,3:57,,
0,.000,1,50.000,0,,89,0,0,0.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201710280MEM.html,Away,103,3:19,1,100.0,MEM,Marc Gasol,Brandan Wright,13:10,Deyonta Davis,3:06,Ivan Rabb,1:10,,,,,,,31:44,James Ennis III,31:30,Dillon Brooks,28:55,Mike Conley,26:07,Mario Chalmers,25:14,Tyreke Evans,24:23,Jarell Martin,21:40,Chandler Parsons,18:38,Andrew Harrison,14:23,103,0,0,0.0,,0.0,,0.0,,Demetrius Jackson,14,0,2017-2018,0.0,0,1.0,HOU,89,Ryan Anderson,Troy Williams,3:19,Zhou Qi,3:19,,,,,,,,,37:16,Trevor Ariza,35:50,Luc Mbah a Moute,33:42,James Harden,33:37,P.J. Tucker,27:59,Bobby Brown,21:48,Clint Capela,21:38,Nenê,14:54,Tarik Black,3:19
