3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,1,1.00,126,1,5,50.0,7,.875,7.0,87.5,8.0,8,2,.667,3,37.500,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202310250SAS.html,Away,119,30:40,5,50.0,SAS,Devin Vassell,Doug McDermott,10:56,,,,,,,,,,,35:15,Zach Collins,31:55,Keldon Johnson,31:44,Jeremy Sochan,28:41,Tre Jones,25:06,Victor Wembanyama,23:19,Cedi Osman,22:16,Malaki Branham,17:45,Charles Bassey,13:03,119,4,16,14.0,87.5,0.0,0.0,2.0,12.5,Dereck Lively II,7,1,2023-2024,2.0,1,10.0,DAL,126,Kyrie Irving,,,,,,,,,,,,,36:15,Grant Williams,35:10,Luka Dončić,34:14,Josh Green,29:52,Tim Hardaway Jr.,27:55,Maxi Kleber,23:03,Derrick Jones Jr.,11:30,Dante Exum,7:35,Seth Curry,3:46
0,,0,0.000,0,0.00,120,1,1,50.0,4,1.000,4.0,100.0,4.0,4,1,.500,2,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202310270DAL.html,Home,125,16:50,1,50.0,BRK,Spencer Dinwiddie,,,,,,,,,,,,,39:43,Mikal Bridges,35:28,Royce O'Neale,34:07,Cam Thomas,33:10,Ben Simmons,32:28,Dorian Finney-Smith,32:05,Lonnie Walker IV,21:11,Dennis Smith Jr.,8:23,Day'Ron Sharpe,3:25,120,0,9,8.0,88.9,0.0,0.0,1.0,11.1,Dereck Lively II,5,0,2023-2024,1.0,1,2.0,DAL,125,Luka Dončić,Dante Exum,4:02,,,,,,,,,,,36:02,Kyrie Irving,33:57,Tim Hardaway Jr.,30:14,Grant Williams,29:09,Josh Green,27:50,Maxi Kleber,25:55,Derrick Jones Jr.,14:18,Dwight Powell,12:51,Seth Curry,8:52
0,,0,0.000,0,,125,1,5,83.3,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202310300MEM.html,Away,110,13:38,1,16.7,MEM,Desmond Bane,Jacob Gilyard,0:38,GG Jackson II,0:38,Kenneth Lofton Jr.,0:38,Vince Williams Jr.,0:38,,,,,37:29,Marcus Smart,35:24,Jaren Jackson Jr.,33:55,Ziaire Williams,33:05,David Roddy,28:59,Xavier Tillman Sr.,28:52,John Konchar,19:12,Derrick Rose,14:16,Jake LaRavia,6:16,110,5,2,2.0,100.0,0.0,0.0,0.0,0.0,Dereck Lively II,15,0,2023-2024,1.0,0,6.0,DAL,125,Luka Dončić,Dante Exum,6:15,,,,,,,,,,,40:00,Josh Green,34:16,Grant Williams,31:12,Tim Hardaway Jr.,29:14,Derrick Jones Jr.,26:40,Maxi Kleber,22:08,Seth Curry,14:40,Dwight Powell,12:14,Jaden Hardy,9:43
0,,0,0.000,6,6.00,105,1,6,46.2,3,.600,3.0,60.0,5.0,5,1,.250,4,80.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311010DAL.html,Home,114,33:21,7,53.8,CHI,Zach LaVine,Ayo Dosunmu,10:37,,,,,,,,,,,35:56,Nikola Vučević,35:39,Coby White,32:56,DeMar DeRozan,32:48,Patrick Williams,24:57,Alex Caruso,22:02,Torrey Craig,17:23,Jevon Carter,15:21,Andre Drummond,12:21,105,3,7,6.0,85.7,0.0,0.0,1.0,14.3,Dereck Lively II,9,2,2023-2024,3.0,1,13.0,DAL,114,Luka Dončić,Maxi Kleber,4:10,,,,,,,,,,,40:03,Derrick Jones Jr.,31:18,Grant Williams,30:09,Tim Hardaway Jr.,27:29,Josh Green,26:17,Jaden Hardy,14:12,Seth Curry,12:29,Dwight Powell,10:29,Dante Exum,10:03
0,.000,1,33.333,0,,114,1,3,75.0,2,.667,2.0,100.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311030DEN.html,Away,125,24:48,1,25.0,DEN,Jamal Murray,,,,,,,,,,,,,39:18,Kentavious Caldwell-Pope,36:51,Nikola Jokić,35:35,Aaron Gordon,35:14,Michael Porter Jr.,34:27,Reggie Jackson,19:51,Christian Braun,14:38,Peyton Watson,12:30,Zeke Nnaji,11:35,125,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Dereck Lively II,11,1,2023-2024,2.0,0,4.0,DAL,114,Luka Dončić,Dante Exum,1:11,Olivier-Maxence Prosper,1:11,,,,,,,,,38:16,Kyrie Irving,34:52,Grant Williams,32:51,Josh Green,27:10,Tim Hardaway Jr.,26:45,Derrick Jones Jr.,16:56,Dwight Powell,16:30,Jaden Hardy,14:11,Seth Curry,5:18
0,,0,0.000,1,0.50,118,1,11,78.6,7,.778,7.0,77.8,9.0,9,1,.500,2,22.222,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311050DAL.html,Home,124,32:24,3,21.4,CHO,LaMelo Ball,Ish Smith,3:19,,,,,,,,,,,39:04,Brandon Miller,35:52,P.J. Washington,34:15,Gordon Hayward,33:47,Mark Williams,27:17,Théo Maledon,20:51,Nick Richards,20:43,JT Thor,14:57,Bryce McGowens,9:53,118,4,15,14.0,93.3,0.0,0.0,1.0,6.7,Dereck Lively II,6,0,2023-2024,1.0,2,14.0,DAL,124,Luka Dončić,,,,,,,,,,,,,36:25,Kyrie Irving,33:58,Tim Hardaway Jr.,32:13,Grant Williams,31:13,Josh Green,23:33,Derrick Jones Jr.,16:46,Dwight Powell,15:27,Jaden Hardy,14:42,Dante Exum,3:17
0,,0,0.000,0,0.00,117,1,3,60.0,4,.800,4.0,80.0,5.0,5,2,1.000,2,40.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311060ORL.html,Away,102,15:50,2,40.0,ORL,Paolo Banchero,,,,,,,,,,,,,37:20,Franz Wagner,33:15,Anthony Black,32:38,Cole Anthony,29:32,Moritz Wagner,26:04,Jalen Suggs,24:14,Goga Bitadze,21:56,Joe Ingles,21:29,Caleb Houstan,13:32,102,5,10,8.0,80.0,0.0,0.0,2.0,20.0,Dereck Lively II,15,1,2023-2024,2.0,2,5.0,DAL,117,Kyrie Irving,,,,,,,,,,,,,36:55,Luka Dončić,35:09,Grant Williams,33:22,Tim Hardaway Jr.,30:50,Dwight Powell,28:29,Derrick Jones Jr.,28:25,Josh Green,19:48,Jaden Hardy,11:12,,
0,,0,0.000,1,1.00,126,1,2,50.0,3,.375,3.0,37.5,8.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311100DAL.html,Home,144,26:12,2,50.0,LAC,James Harden,Kobe Brown,12:44,Norman Powell,11:08,P.J. Tucker,6:10,,,,,,,29:08,Kawhi Leonard,29:05,Terance Mann,29:04,Bones Hyland,28:45,Paul George,22:37,Ivica Zubac,22:02,Russell Westbrook,20:27,Moussa Diabaté,15:50,Amir Coffey,12:55,126,6,6,6.0,100.0,0.0,0.0,0.0,0.0,Dereck Lively II,18,0,2023-2024,1.0,1,4.0,DAL,144,Luka Dončić,Seth Curry,7:06,Olivier-Maxence Prosper,5:03,,,,,,,,,31:41,Derrick Jones Jr.,28:51,Kyrie Irving,28:17,Tim Hardaway Jr.,26:44,Dwight Powell,21:47,Dante Exum,18:23,Josh Green,17:39,Grant Williams,15:53,Jaden Hardy,12:22
0,,0,0.000,0,0.00,136,2,1,50.0,4,.800,4.0,80.0,5.0,5,2,.500,4,80.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311120NOP.html,Away,124,26:16,1,50.0,NOP,Dyson Daniels,Dereon Seabron,8:05,Kira Lewis Jr.,7:35,Larry Nance Jr.,6:51,,,,,,,31:26,Brandon Ingram,30:51,Jordan Hawkins,27:34,Matt Ryan,27:06,Zion Williamson,26:44,Jeremiah Robinson-Earl,25:46,Jonas Valančiūnas,20:51,Naji Marshall,13:51,Cody Zeller,13:20,124,5,10,8.0,80.0,0.0,0.0,2.0,20.0,Dereck Lively II,12,1,2023-2024,3.0,1,2.0,DAL,136,Kyrie Irving,Olivier-Maxence Prosper,6:03,Seth Curry,6:03,Richaun Holmes,3:47,Markieff Morris,3:47,,,,,29:01,Tim Hardaway Jr.,28:10,Luka Dončić,27:59,Josh Green,27:47,Derrick Jones Jr.,21:34,Grant Williams,21:30,Dwight Powell,17:57,Dante Exum,13:05,Jaden Hardy,7:01
0,.000,1,50.000,2,,110,0,6,66.7,1,.500,1.0,100.0,1.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311140NOP.html,Away,131,21:05,3,33.3,NOP,Brandon Ingram,Cody Zeller,4:51,Kira Lewis Jr.,2:03,Dereon Seabron,2:03,,,,,,,36:00,Jordan Hawkins,32:46,Herbert Jones,30:37,Dyson Daniels,28:41,Zion Williamson,27:06,Jonas Valančiūnas,22:09,Naji Marshall,20:35,Matt Ryan,19:57,Jeremiah Robinson-Earl,13:08,131,2,4,2.0,50.0,0.0,0.0,2.0,50.0,Dereck Lively II,21,0,2023-2024,0.0,0,9.0,DAL,110,Josh Green,Richaun Holmes,12:00,Dwight Powell,10:50,Olivier-Maxence Prosper,9:02,,,,,,,27:38,Luka Dončić,26:15,Kyrie Irving,25:46,Grant Williams,23:52,Tim Hardaway Jr.,21:23,Derrick Jones Jr.,18:28,Jaden Hardy,18:04,Seth Curry,13:21,Dante Exum,12:15
