3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,98,1,2,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201610260MEM.html,Home,102,5:39,0,0.0,MIN,Karl-Anthony Towns,Cole Aldrich,9:58,,,,,,,,,,,36:29,Andrew Wiggins,34:29,Gorgui Dieng,34:01,Zach LaVine,33:50,Ricky Rubio,33:27,Nemanja Bjelica,15:23,Kris Dunn,15:13,Brandon Rush,13:39,Shabazz Muhammad,13:31,98,2,0,0.0,,0.0,,0.0,,Deyonta Davis,4,0,2016-2017,1.0,0,2.0,MEM,102,Andrew Harrison,,,,,,,,,,,,,38:12,Marc Gasol,32:27,Mike Conley,29:39,JaMychal Green,28:43,James Ennis III,28:11,Vince Carter,28:05,Zach Randolph,24:33,Wade Baldwin,24:31,,
0,,0,,0,,104,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201610290NYK.html,Away,111,0:56,0,,NYK,Kristaps Porziņģis,Willy Hernangómez,7:51,,,,,,,,,,,36:22,Carmelo Anthony,35:31,Courtney Lee,33:37,Derrick Rose,32:16,Joakim Noah,21:50,Justin Holiday,19:24,Kyle O'Quinn,18:48,Lance Thomas,18:38,Brandon Jennings,15:44,111,0,0,0.0,,0.0,,0.0,,Deyonta Davis,7,0,2016-2017,0.0,0,0.0,MEM,104,Marc Gasol,Troy Daniels,12:06,Troy Williams,9:16,,,,,,,,,30:55,JaMychal Green,30:27,James Ennis III,27:07,Vince Carter,25:28,Andrew Harrison,24:39,Mike Conley,23:36,Wade Baldwin,21:43,Zach Randolph,21:07,Jarell Martin,12:40
0,,0,,0,,103,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201610300MEM.html,Home,112,0:36,0,,WAS,Bradley Beal,Jason Smith,4:50,Sheldon Mac,1:25,Tomáš Satoranský,1:25,,,,,,,39:49,Marcin Gortat,37:47,John Wall,36:46,Otto Porter Jr.,36:09,Markieff Morris,35:31,Andrew Nicholson,24:41,Trey Burke,16:14,Marcus Thornton,15:51,Kelly Oubre Jr.,14:32,103,0,0,0.0,,0.0,,0.0,,Deyonta Davis,9,0,2016-2017,0.0,0,0.0,MEM,112,JaMychal Green,Troy Williams,0:36,,,,,,,,,,,39:15,Mike Conley,37:38,James Ennis III,33:57,Vince Carter,31:49,Andrew Harrison,29:33,Marc Gasol,29:01,Zach Randolph,25:26,Jarell Martin,19:07,Wade Baldwin,18:02
0,,0,0.000,0,0.00,80,2,5,83.3,7,.875,7.0,87.5,8.0,8,3,.600,5,62.500,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201611010MIN.html,Away,116,26:09,1,16.7,MIN,Gorgui Dieng,Cole Aldrich,9:52,Jordan Hill,4:30,,,,,,,,,33:38,Karl-Anthony Towns,29:58,Zach LaVine,29:14,Andrew Wiggins,29:14,Kris Dunn,29:10,Tyus Jones,18:50,Brandon Rush,18:46,Shabazz Muhammad,18:46,Nemanja Bjelica,18:02,116,2,17,14.0,82.4,0.0,0.0,3.0,17.6,Deyonta Davis,36,0,2016-2017,2.0,1,6.0,MEM,80,Andrew Harrison,Zach Randolph,10:04,,,,,,,,,,,31:43,Troy Williams,29:46,JaMychal Green,26:57,Jarell Martin,26:14,Wade Baldwin,23:10,James Ennis III,20:55,Tony Allen,18:39,Vince Carter,14:23,Troy Daniels,12:00
0,,0,,0,,99,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201611040MEM.html,Home,88,0:25,0,,LAC,DeAndre Jordan,Marreese Speights,12:11,,,,,,,,,,,35:47,Blake Griffin,35:31,Chris Paul,32:55,JJ Redick,27:49,Jamal Crawford,23:51,Austin Rivers,23:15,Luc Mbah a Moute,18:21,Raymond Felton,17:50,Wesley Johnson,12:29,99,1,0,0.0,,0.0,,0.0,,Deyonta Davis,11,0,2016-2017,0.0,0,0.0,MEM,88,Mike Conley,Troy Daniels,5:52,Troy Williams,5:40,Andrew Harrison,3:17,,,,,,,37:13,Marc Gasol,37:12,James Ennis III,36:07,Zach Randolph,28:22,Vince Carter,22:38,Tony Allen,19:09,JaMychal Green,16:59,Wade Baldwin,14:10,Jarell Martin,12:56
0,,0,0.000,0,0.00,102,0,1,33.3,1,.333,1.0,33.3,3.0,3,0,.000,1,33.333,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611140UTA.html,Away,96,13:25,2,66.7,UTA,Gordon Hayward,Raul Neto,2:06,,,,,,,,,,,35:40,Joe Ingles,32:56,Trey Lyles,32:08,Dante Exum,30:28,Shelvin Mack,27:31,Rudy Gobert,21:53,Derrick Favors,21:29,Boris Diaw,20:30,Joe Johnson,15:19,96,3,2,2.0,100.0,0.0,0.0,0.0,0.0,Deyonta Davis,6,1,2016-2017,1.0,1,3.0,MEM,102,Marc Gasol,,,,,,,,,,,,,32:30,Vince Carter,31:17,Mike Conley,30:40,JaMychal Green,27:18,Andrew Harrison,26:03,Chandler Parsons,23:08,Zach Randolph,22:47,James Ennis III,22:03,Jarell Martin,10:49
0,,0,0.000,0,,111,0,2,66.7,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611160LAC.html,Away,107,8:01,1,33.3,LAC,Blake Griffin,Brandon Bass,9:28,,,,,,,,,,,37:57,DeAndre Jordan,34:53,Chris Paul,33:45,JJ Redick,30:10,Jamal Crawford,26:34,Luc Mbah a Moute,21:26,Austin Rivers,17:59,Raymond Felton,14:16,Marreese Speights,13:32,107,1,0,0.0,,0.0,,0.0,,Deyonta Davis,4,0,2016-2017,0.0,0,3.0,MEM,111,Mike Conley,Jarell Martin,2:24,,,,,,,,,,,37:49,Marc Gasol,37:17,James Ennis III,31:02,Vince Carter,26:34,Zach Randolph,26:27,Andrew Harrison,25:43,JaMychal Green,21:46,Chandler Parsons,14:17,Troy Williams,8:40
0,,0,,0,,80,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611180DAL.html,Away,64,1:47,0,,DAL,Seth Curry,Salah Mejri,11:21,A.J. Hammons,3:12,,,,,,,,,34:02,Harrison Barnes,33:33,Justin Anderson,32:17,Wesley Matthews,31:26,Dorian Finney-Smith,22:03,Andrew Bogut,20:54,Jonathan Gibson,19:46,Dwight Powell,17:23,Nicolás Brussino,14:04,64,1,0,0.0,,0.0,,0.0,,Deyonta Davis,16,0,2016-2017,0.0,0,0.0,MEM,80,JaMychal Green,Jarell Martin,4:00,Wade Baldwin,4:00,Troy Williams,1:47,,,,,,,31:53,James Ennis III,30:29,Mike Conley,28:32,Andrew Harrison,26:13,Marc Gasol,24:17,Vince Carter,24:04,Chandler Parsons,23:06,Zach Randolph,21:42,Tony Allen,18:10
0,,0,0.000,0,,71,0,2,66.7,1,.500,1.0,50.0,2.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611190MEM.html,Home,93,9:24,1,33.3,MIN,Zach LaVine,Cole Aldrich,6:13,Tyus Jones,2:44,John Lucas III,0:37,,,,,,,36:37,Gorgui Dieng,35:51,Ricky Rubio,34:19,Andrew Wiggins,32:17,Karl-Anthony Towns,27:53,Kris Dunn,17:41,Shabazz Muhammad,17:31,Adreian Payne,14:41,Nemanja Bjelica,13:36,71,1,3,2.0,66.7,0.0,0.0,1.0,33.3,Deyonta Davis,22,0,2016-2017,0.0,0,3.0,MEM,93,James Ennis III,Wade Baldwin,2:14,Jarell Martin,1:50,,,,,,,,,35:45,Marc Gasol,35:28,Mike Conley,33:32,JaMychal Green,28:23,Vince Carter,25:46,Andrew Harrison,24:29,Zach Randolph,20:55,Tony Allen,19:54,Troy Williams,2:20
0,,0,0.000,0,,105,1,0,0.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201611210CHO.html,Away,90,1:35,1,100.0,CHO,Spencer Hawes,Brian Roberts,3:14,Aaron Harrison,3:14,,,,,,,,,37:00,Nicolas Batum,33:31,Michael Kidd-Gilchrist,32:09,Kemba Walker,31:15,Marco Belinelli,30:30,Marvin Williams,24:39,Frank Kaminsky,20:09,Ramon Sessions,13:31,Roy Hibbert,10:48,90,0,0,0.0,,0.0,,0.0,,Deyonta Davis,15,0,2016-2017,1.0,0,1.0,MEM,105,Mike Conley,Troy Williams,4:11,Troy Daniels,1:47,,,,,,,,,36:37,Marc Gasol,34:24,Vince Carter,32:47,Tony Allen,31:27,JaMychal Green,30:52,Andrew Harrison,24:02,Zach Randolph,20:49,James Ennis III,13:09,Jarell Martin,8:20
