3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,2,40.000,0,,107,0,1,100.0,1,.200,1.0,33.3,3.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202105120DAL.html,Away,125,14:40,0,0.0,DAL,Luka Dončić,Trey Burke,8:36,Nicolò Melli,7:26,Josh Green,6:07,Nate Hinton,5:15,Boban Marjanović,4:28,Tyler Bey,3:27,31:16,Dwight Powell,30:19,Tim Hardaway Jr.,29:12,Dorian Finney-Smith,27:45,Kristaps Porziņģis,21:56,Maxi Kleber,18:38,Jalen Brunson,18:14,Josh Richardson,14:08,Willie Cauley-Stein,13:13,125,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Didi Louzada,18,0,2020-2021,0.0,0,1.0,NOP,107,Nickeil Alexander-Walker,James Nunnally,4:28,,,,,,,,,,,34:32,Naji Marshall,29:49,Willy Hernangómez,26:15,Wenyen Gabriel,26:04,Eric Bledsoe,26:01,Kira Lewis Jr.,21:59,James Johnson,21:56,Jaxson Hayes,21:45,Wes Iwundu,12:31
2,.400,5,83.333,2,,122,0,0,0.0,2,.333,0.0,0.0,1.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202105140GSW.html,Away,125,23:05,1,100.0,GSW,Mychal Mulder,,,,,,,,,,,,,34:02,Juan Toscano-Anderson,33:26,Jordan Poole,33:10,Kent Bazemore,32:26,Nico Mannion,32:14,Kevon Looney,21:34,Alen Smailagić,19:51,Eric Paschall,18:35,Jordan Bell,14:42,125,2,6,0.0,0.0,6.0,100.0,0.0,0.0,Didi Louzada,3,2,2020-2021,2.0,0,1.0,NOP,122,Nickeil Alexander-Walker,,,,,,,,,,,,,40:03,Naji Marshall,35:55,Wenyen Gabriel,30:41,Kira Lewis Jr.,28:44,Jaxson Hayes,24:25,Willy Hernangómez,23:35,James Johnson,17:19,Eric Bledsoe,15:43,James Nunnally,0:30
0,.000,1,50.000,1,0.33,110,0,1,100.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202105160NOP.html,Home,98,18:35,0,0.0,LAL,Anthony Davis,Wesley Matthews,10:50,Jared Dudley,4:29,Alfonzo McKinnie,1:28,Ben McLemore,1:28,,,,,30:17,Dennis Schröder,28:35,Kentavious Caldwell-Pope,27:30,LeBron James,27:28,Marc Gasol,26:58,Kyle Kuzma,26:35,Andre Drummond,21:02,Alex Caruso,19:22,Talen Horton-Tucker,13:58,110,1,0,0.0,,0.0,,0.0,,Didi Louzada,12,0,2020-2021,0.0,3,1.0,NOP,98,Nickeil Alexander-Walker,,,,,,,,,,,,,36:44,Naji Marshall,35:16,Willy Hernangómez,29:35,Kira Lewis Jr.,25:53,James Johnson,25:51,Eric Bledsoe,22:07,Wenyen Gabriel,20:06,Jaxson Hayes,19:36,James Nunnally,6:17
0,,0,,1,,99,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111030SAC.html,Away,112,1:03,0,,SAC,Harrison Barnes,,,,,,,,,,,,,38:47,De'Aaron Fox,37:49,Tyrese Haliburton,36:36,Maurice Harkless,32:25,Davion Mitchell,26:04,Buddy Hield,22:57,Alex Len,20:39,Richaun Holmes,16:23,Tristan Thompson,8:19,112,0,0,0.0,,0.0,,0.0,,Didi Louzada,13,0,2021-2022,0.0,0,0.0,NOP,99,Garrett Temple,Willy Hernangómez,10:45,Jaxson Hayes,4:27,Jose Alvarado,1:03,,,,,,,34:15,Nickeil Alexander-Walker,32:54,Josh Hart,31:52,Devonte' Graham,30:55,Jonas Valančiūnas,29:10,Naji Marshall,19:50,Kira Lewis Jr.,16:51,Trey Murphy III,13:59,Tomáš Satoranský,12:56
0,.000,3,100.000,0,,85,0,0,0.0,0,.000,0.0,,0.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111050GSW.html,Away,126,5:53,2,100.0,GSW,Stephen Curry,Juan Toscano-Anderson,14:43,Kevon Looney,11:04,Moses Moody,8:14,Jonathan Kuminga,7:14,,,,,29:45,Jordan Poole,27:51,Andrew Wiggins,26:10,Draymond Green,24:30,Damion Lee,20:54,Nemanja Bjelica,17:42,Gary Payton II,17:33,Andre Iguodala,17:24,Otto Porter Jr.,16:55,126,0,0,0.0,,0.0,,0.0,,Didi Louzada,41,0,2021-2022,0.0,0,2.0,NOP,85,Jonas Valančiūnas,Jose Alvarado,5:53,Willy Hernangómez,3:16,,,,,,,,,31:21,Josh Hart,30:26,Devonte' Graham,29:43,Nickeil Alexander-Walker,28:15,Garrett Temple,26:02,Naji Marshall,21:40,Tomáš Satoranský,20:51,Trey Murphy III,18:25,Kira Lewis Jr.,18:13
1,.200,5,83.333,0,,117,1,0,0.0,2,.333,1.0,100.0,1.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202203300POR.html,Home,107,11:30,2,100.0,NOP,CJ McCollum,Naji Marshall,11:19,,,,,,,,,,,37:09,Jonas Valančiūnas,35:11,Herbert Jones,30:45,Brandon Ingram,27:47,Trey Murphy III,23:10,Jaxson Hayes,21:52,Larry Nance Jr.,21:43,Devonte' Graham,15:44,Jose Alvarado,15:20,117,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Didi Louzada,10,0,2021-2022,1.0,0,2.0,POR,107,Drew Eubanks,,,,,,,,,,,,,31:26,CJ Elleby,30:42,Greg Brown III,27:20,Brandon Williams,27:16,Ben McLemore,25:59,Kris Dunn,24:39,Keljin Blevins,22:33,Keon Johnson,22:01,Reggie Perry,16:34
1,1.000,1,50.000,2,,111,0,1,100.0,1,.500,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202204010SAS.html,Away,130,16:52,0,0.0,SAS,Tre Jones,Jock Landale,14:02,,,,,,,,,,,33:11,Joshua Primo,30:32,Devin Vassell,27:16,Keldon Johnson,27:12,Zach Collins,24:59,Jakob Poeltl,23:01,Lonnie Walker IV,22:28,Josh Richardson,20:46,Keita Bates-Diop,16:33,130,2,3,0.0,0.0,3.0,100.0,0.0,0.0,Didi Louzada,19,1,2021-2022,1.0,0,1.0,POR,111,Greg Brown III,Elijah Hughes,6:53,,,,,,,,,,,29:28,Brandon Williams,29:11,Drew Eubanks,29:01,Keon Johnson,25:27,Kris Dunn,23:00,CJ Elleby,22:04,Ben McLemore,20:33,Reggie Perry,18:59,Keljin Blevins,18:32
1,.500,2,66.667,0,0.00,92,0,1,100.0,1,.333,0.0,0.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202204030SAS.html,Away,113,13:12,0,0.0,SAS,Keldon Johnson,Romeo Langford,5:04,Joe Wieskamp,1:58,Devontae Cacok,1:20,,,,,,,37:02,Tre Jones,33:36,Zach Collins,30:46,Devin Vassell,29:52,Joshua Primo,26:09,Josh Richardson,23:46,Lonnie Walker IV,23:32,Keita Bates-Diop,20:55,Jock Landale,6:00,113,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Didi Louzada,21,0,2021-2022,0.0,1,1.0,POR,92,Drew Eubanks,,,,,,,,,,,,,31:38,Brandon Williams,30:05,Kris Dunn,26:40,CJ Elleby,26:03,Keon Johnson,25:22,Ben McLemore,25:18,Greg Brown III,24:06,Keljin Blevins,21:14,Reggie Perry,16:22
1,.500,2,40.000,0,,94,0,4,100.0,2,.400,1.0,33.3,3.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202204050OKC.html,Away,98,17:26,0,0.0,OKC,Jaylen Hoard,,,,,,,,,,,,,45:35,Zavier Simpson,43:34,Isaiah Roby,43:07,Georgios Kalaitzakis,42:54,Olivier Sarr,38:55,Vit Krejci,21:29,Lindy Waters III,4:26,,,,,98,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Didi Louzada,4,0,2021-2022,0.0,0,4.0,POR,94,Keon Johnson,,,,,,,,,,,,,35:40,Drew Eubanks,34:42,Kris Dunn,30:13,Ben McLemore,27:41,CJ Elleby,27:18,Greg Brown III,24:02,Keljin Blevins,18:46,Reggie Perry,13:18,Elijah Hughes,10:54
3,.750,4,100.000,1,0.33,94,0,1,100.0,3,.750,0.0,,0.0,4,2,1.000,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202204070NOP.html,Away,127,18:45,0,0.0,NOP,CJ McCollum,Naji Marshall,12:14,Tony Snell,7:03,Gary Clark,7:03,Garrett Temple,7:03,Jared Harper,5:02,,,28:43,Willy Hernangómez,25:46,Herbert Jones,25:19,Jaxson Hayes,24:09,Jose Alvarado,21:57,Jonas Valančiūnas,21:46,Devonte' Graham,19:23,Trey Murphy III,17:16,Larry Nance Jr.,17:16,127,1,11,0.0,0.0,9.0,81.8,2.0,18.2,Didi Louzada,33,1,2021-2022,1.0,3,1.0,POR,94,Keon Johnson,Elijah Hughes,6:44,,,,,,,,,,,31:15,CJ Elleby,30:39,Greg Brown III,30:20,Drew Eubanks,26:14,Ben McLemore,22:40,Reggie Perry,21:46,Kris Dunn,20:05,Brandon Williams,16:48,Keljin Blevins,14:44
