3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
3,.375,8,80.000,3,,110,1,3,100.0,4,.400,1.0,50.0,2.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311120LAL.html,Away,116,14:04,0,0.0,LAL,Anthony Davis,,,,,,,,,,,,,41:00,Cam Reddish,37:52,Taurean Prince,33:10,Rui Hachimura,32:58,D'Angelo Russell,31:53,Austin Reaves,28:28,Christian Wood,15:02,Max Christie,12:37,Jaxson Hayes,7:00,116,3,11,2.0,18.2,9.0,81.8,0.0,0.0,Duop Reath,6,0,2023-2024,1.0,0,3.0,POR,110,Shaedon Sharpe,,,,,,,,,,,,,42:11,Jerami Grant,40:47,Deandre Ayton,33:56,Skylar Mays,32:41,Toumani Camara,23:30,Matisse Thybulle,19:55,Jabari Walker,17:34,Jamaree Bouyea,12:22,Kris Murray,3:00
0,.000,3,75.000,0,0.00,99,0,0,0.0,0,.000,0.0,0.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311140UTA.html,Away,115,9:47,1,100.0,UTA,Jordan Clarkson,Kris Dunn,0:41,Luka Šamanić,0:41,Omer Yurtseven,0:41,,,,,,,33:16,John Collins,32:13,Lauri Markkanen,31:06,Collin Sexton,28:11,Keyonte George,26:20,Ochai Agbaji,25:51,Kelly Olynyk,23:53,Talen Horton-Tucker,20:59,Simone Fontecchio,16:08,115,1,0,0.0,,0.0,,0.0,,Duop Reath,16,0,2023-2024,0.0,2,1.0,POR,99,Shaedon Sharpe,Justin Minaya,2:34,Kris Murray,2:34,Ish Wainright,2:34,,,,,,,40:59,Deandre Ayton,34:28,Skylar Mays,31:12,Jerami Grant,27:21,Toumani Camara,25:38,Matisse Thybulle,22:04,Jabari Walker,21:27,Jamaree Bouyea,16:48,Rayan Rupert,2:34
2,.400,5,50.000,3,3.00,109,0,0,0.0,6,.600,4.0,80.0,5.0,10,2,1.000,2,20.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311150POR.html,Home,95,19:40,2,100.0,CLE,Max Strus,Damian Jones,1:30,Sam Merrill,1:30,Tristan Thompson,1:30,,,,,,,36:42,Donovan Mitchell,36:20,Evan Mobley,35:22,Caris LeVert,33:02,Dean Wade,32:41,Jarrett Allen,29:08,Georges Niang,21:38,Craig Porter Jr.,9:07,Emoni Bates,1:30,109,2,16,8.0,50.0,6.0,37.5,2.0,12.5,Duop Reath,14,0,2023-2024,0.0,1,2.0,POR,95,Jerami Grant,Justin Minaya,2:32,Rayan Rupert,2:32,Ish Wainright,2:32,,,,,,,32:28,Skylar Mays,30:51,Shaedon Sharpe,26:42,Deandre Ayton,25:48,Matisse Thybulle,25:43,Jabari Walker,22:51,Toumani Camara,21:41,Kris Murray,17:20,Jamaree Bouyea,9:20
0,.000,4,80.000,0,,107,0,1,50.0,0,.000,0.0,0.0,1.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311170POR.html,Home,95,10:12,1,50.0,LAL,Taurean Prince,Max Christie,1:11,Maxwell Lewis,1:11,,,,,,,,,35:05,Anthony Davis,34:46,LeBron James,34:32,Cam Reddish,30:35,D'Angelo Russell,28:50,Rui Hachimura,27:40,Christian Wood,19:54,Austin Reaves,17:59,Jaxson Hayes,8:16,107,1,0,0.0,,0.0,,0.0,,Duop Reath,12,0,2023-2024,0.0,0,2.0,POR,95,Jerami Grant,Jamaree Bouyea,1:11,,,,,,,,,,,39:32,Shaedon Sharpe,38:01,Deandre Ayton,37:48,Toumani Camara,35:52,Skylar Mays,25:31,Matisse Thybulle,23:38,Jabari Walker,18:10,Kris Murray,5:29,Justin Minaya,4:36
0,.000,2,33.333,0,0.00,134,0,2,100.0,1,.167,1.0,25.0,4.0,6,2,1.000,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311190POR.html,Home,91,12:01,0,0.0,OKC,Tre Mann,Isaiah Joe,14:13,Dāvis Bertāns,10:41,Olivier Sarr,10:08,Aleksej Pokusevski,8:43,Kenrich Williams,7:48,Vasilije Micić,6:19,23:44,Josh Giddey,22:36,Luguentz Dort,22:32,Shai Gilgeous-Alexander,22:31,Cason Wallace,20:50,Chet Holmgren,20:03,Jaylin Williams,17:49,Aaron Wiggins,16:08,Lindy Waters III,15:53,134,2,4,2.0,50.0,0.0,0.0,2.0,50.0,Duop Reath,43,0,2023-2024,0.0,1,2.0,POR,91,Jerami Grant,Justin Minaya,13:12,Rayan Rupert,12:00,Moses Brown,7:13,,,,,,,27:26,Skylar Mays,26:19,Deandre Ayton,24:10,Shaedon Sharpe,24:04,Jabari Walker,22:23,Kris Murray,20:55,Matisse Thybulle,19:25,Jamaree Bouyea,15:53,Toumani Camara,14:59
2,.667,3,50.000,1,,107,0,0,0.0,4,.667,2.0,66.7,3.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311210PHO.html,Away,120,12:39,1,100.0,PHO,Kevin Durant,Chimezie Metu,5:44,Jordan Goodwin,4:54,,,,,,,,,37:14,Eric Gordon,36:03,Grayson Allen,35:05,Devin Booker,33:26,Jusuf Nurkić,29:13,Nassir Little,22:10,Drew Eubanks,13:03,Josh Okogie,13:01,Keita Bates-Diop,10:05,120,1,10,4.0,40.0,6.0,60.0,0.0,0.0,Duop Reath,13,2,2023-2024,2.0,0,1.0,POR,107,Toumani Camara,Jamaree Bouyea,1:39,Moses Brown,1:39,Rayan Rupert,1:39,,,,,,,38:34,Jerami Grant,36:28,Shaedon Sharpe,32:19,Deandre Ayton,30:46,Malcolm Brogdon,24:54,Matisse Thybulle,22:08,Skylar Mays,21:27,Jabari Walker,14:08,Kris Murray,1:39
2,.500,4,80.000,1,1.00,105,1,4,100.0,3,.600,1.0,100.0,1.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311220POR.html,Home,121,20:11,0,0.0,UTA,Lauri Markkanen,Collin Sexton,11:14,Kris Dunn,4:48,,,,,,,,,33:39,Keyonte George,33:39,Jordan Clarkson,32:14,Kelly Olynyk,32:14,John Collins,32:14,Simone Fontecchio,15:46,Omer Yurtseven,15:46,Talen Horton-Tucker,14:21,Ochai Agbaji,14:05,105,2,8,2.0,25.0,6.0,75.0,0.0,0.0,Duop Reath,16,0,2023-2024,1.0,1,4.0,POR,121,Jerami Grant,Rayan Rupert,5:44,,,,,,,,,,,32:21,Matisse Thybulle,31:38,Shaedon Sharpe,30:39,Jabari Walker,27:57,Toumani Camara,27:54,Malcolm Brogdon,23:52,Kris Murray,17:20,Scoot Henderson,16:40,Skylar Mays,5:44
1,.250,4,80.000,0,0.00,102,0,0,,1,.200,0.0,0.0,1.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311260MIL.html,Away,108,12:12,0,,MIL,Giannis Antetokounmpo,Thanasis Antetokounmpo,4:13,A.J. Green,3:54,,,,,,,,,38:49,Damian Lillard,37:16,Malik Beasley,36:07,Brook Lopez,31:06,Bobby Portis,30:41,Pat Connaughton,19:37,Cameron Payne,17:16,Andre Jackson Jr.,11:32,MarJon Beauchamp,9:27,108,2,3,0.0,0.0,3.0,100.0,0.0,0.0,Duop Reath,6,2,2023-2024,2.0,1,0.0,POR,102,Jerami Grant,,,,,,,,,,,,,39:24,Shaedon Sharpe,36:54,Malcolm Brogdon,33:42,Deandre Ayton,32:12,Scoot Henderson,27:11,Matisse Thybulle,25:43,Toumani Camara,16:54,Jabari Walker,15:48,,
1,1.000,1,100.000,1,1.00,114,0,2,100.0,1,1.000,0.0,,0.0,1,1,.500,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311270IND.html,Away,110,9:49,0,0.0,IND,Tyrese Haliburton,Isaiah Jackson,10:27,T.J. McConnell,10:02,Ben Sheppard,1:06,,,,,,,35:45,Bruce Brown,32:42,Myles Turner,26:37,Aaron Nesmith,25:22,Buddy Hield,24:05,Bennedict Mathurin,21:30,Andrew Nembhard,21:29,Obi Toppin,19:05,Jalen Smith,11:48,110,1,4,0.0,0.0,3.0,75.0,1.0,25.0,Duop Reath,4,0,2023-2024,0.0,1,2.0,POR,114,Deandre Ayton,,,,,,,,,,,,,38:11,Jerami Grant,37:34,Malcolm Brogdon,36:07,Shaedon Sharpe,35:22,Matisse Thybulle,28:53,Scoot Henderson,21:55,Toumani Camara,16:54,Jabari Walker,15:14,,
3,.750,4,80.000,2,2.00,103,1,1,50.0,4,.800,1.0,100.0,1.0,5,2,1.000,2,40.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311300CLE.html,Away,95,18:19,1,50.0,CLE,Jarrett Allen,,,,,,,,,,,,,38:03,Darius Garland,36:58,Max Strus,35:42,Evan Mobley,33:49,Donovan Mitchell,33:30,Caris LeVert,26:06,Georges Niang,18:58,Isaac Okoro,16:54,,,95,2,13,2.0,15.4,9.0,69.2,2.0,15.4,Duop Reath,8,1,2023-2024,2.0,1,2.0,POR,103,Shaedon Sharpe,,,,,,,,,,,,,39:24,Malcolm Brogdon,30:46,Deandre Ayton,29:41,Jerami Grant,28:12,Toumani Camara,24:18,Jabari Walker,23:56,Matisse Thybulle,23:42,Scoot Henderson,21:42,,
1,.250,4,50.000,1,,113,0,0,0.0,3,.375,2.0,50.0,4.0,8,2,1.000,2,25.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312020UTA.html,Away,118,14:00,1,100.0,UTA,Keyonte George,Luka Šamanić,11:49,,,,,,,,,,,35:38,John Collins,35:16,Simone Fontecchio,34:39,Collin Sexton,30:28,Omer Yurtseven,26:59,Ochai Agbaji,26:17,Walker Kessler,25:21,Talen Horton-Tucker,20:48,Taylor Hendricks,17:44,118,0,9,4.0,44.4,3.0,33.3,2.0,22.2,Duop Reath,5,0,2023-2024,0.0,0,1.0,POR,113,Shaedon Sharpe,,,,,,,,,,,,,43:33,Malcolm Brogdon,37:34,Deandre Ayton,35:29,Matisse Thybulle,32:43,Toumani Camara,29:58,Jerami Grant,26:21,Jabari Walker,24:03,Scoot Henderson,21:17,,
