3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,10.000,1,1.00,94,0,5,62.5,4,.400,4.0,44.4,9.0,10,1,.500,2,20.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201310300CLE.html,Home,98,27:06,3,37.5,BRK,Joe Johnson,Shaun Livingston,15:33,,,,,,,,,,,34:23,Brook Lopez,33:37,Paul Pierce,29:51,Kevin Garnett,26:17,Alan Anderson,23:26,Deron Williams,21:44,Andray Blatche,20:17,Jason Terry,19:03,Reggie Evans,15:49,94,2,9,8.0,88.9,0.0,0.0,1.0,11.1,Earl Clark,4,0,2013-2014,0.0,1,8.0,CLE,98,Tristan Thompson,Tyler Zeller,4:00,,,,,,,,,,,34:51,Anderson Varejão,34:36,Kyrie Irving,30:55,Dion Waiters,29:21,Jarrett Jack,22:30,Alonzo Gee,18:48,C.J. Miles,15:20,Anthony Bennett,14:59,Andrew Bynum,7:34
0,,0,0.000,0,0.00,84,0,3,100.0,0,.000,0.0,0.0,4.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311010CHA.html,Away,90,16:59,0,0.0,CHA,Kemba Walker,,,,,,,,,,,,,37:31,Michael Kidd-Gilchrist,37:06,Bismack Biyombo,36:49,Josh McRoberts,29:08,Gerald Henderson,28:11,Jeff Taylor,21:36,Ramon Sessions,19:36,Cody Zeller,18:52,Jeff Adrien,11:11,90,0,0,0.0,,0.0,,0.0,,Earl Clark,6,1,2013-2014,1.0,1,3.0,CLE,84,Tristan Thompson,Tyler Zeller,8:36,,,,,,,,,,,34:40,Kyrie Irving,30:53,Anderson Varejão,29:25,C.J. Miles,29:25,Jarrett Jack,27:40,Alonzo Gee,24:41,Dion Waiters,14:23,Anthony Bennett,12:32,Andrew Bynum,10:46
0,.000,1,25.000,0,0.00,74,0,7,100.0,0,.000,0.0,0.0,3.0,4,2,1.000,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311020IND.html,Away,89,17:34,0,0.0,IND,Lance Stephenson,Solomon Hill,9:23,Rasual Butler,3:35,Chris Copeland,3:35,,,,,,,31:47,C.J. Watson,31:21,Paul George,30:11,Roy Hibbert,28:11,David West,24:59,Orlando Johnson,21:13,Ian Mahinmi,19:49,Luis Scola,19:26,Donald Sloan,16:30,89,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Earl Clark,15,0,2013-2014,0.0,2,7.0,CLE,74,Tristan Thompson,Matthew Dellavedova,1:05,Sergey Karasev,1:05,Henry Sims,1:05,,,,,,,35:28,Kyrie Irving,33:50,Dion Waiters,29:18,Anderson Varejão,29:07,Jarrett Jack,24:28,C.J. Miles,18:40,Alonzo Gee,18:00,Tyler Zeller,17:48,Anthony Bennett,12:32
0,,0,0.000,1,1.00,92,0,0,,3,.750,3.0,75.0,4.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311040CLE.html,Home,93,11:15,0,,MIN,Corey Brewer,Gorgui Dieng,2:38,,,,,,,,,,,37:36,Kevin Love,36:19,Nikola Peković,35:28,Kevin Martin,34:03,Ricky Rubio,25:36,Derrick Williams,22:24,J.J. Barea,22:24,Dante Cunningham,15:04,Alexey Shved,8:28,92,4,6,6.0,100.0,0.0,0.0,0.0,0.0,Earl Clark,1,2,2013-2014,2.0,1,0.0,CLE,93,Tristan Thompson,Tyler Zeller,0:51,,,,,,,,,,,37:27,Alonzo Gee,34:11,Kyrie Irving,32:48,Anderson Varejão,29:20,Jarrett Jack,26:49,Dion Waiters,20:23,Andrew Bynum,18:40,C.J. Miles,18:34,Anthony Bennett,9:42
1,1.000,1,50.000,0,,104,0,2,100.0,1,.500,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311060MIL.html,Away,109,12:55,0,0.0,MIL,Zaza Pachulia,,,,,,,,,,,,,40:55,John Henson,39:06,O.J. Mayo,33:03,Nate Wolters,32:51,Gary Neal,30:42,Caron Butler,29:44,Khris Middleton,20:21,Ekpe Udoh,13:18,,,109,3,3,0.0,0.0,3.0,100.0,0.0,0.0,Earl Clark,5,1,2013-2014,1.0,0,2.0,CLE,104,Kyrie Irving,Tyler Zeller,1:46,,,,,,,,,,,35:25,Tristan Thompson,34:58,Anderson Varejão,32:30,Dion Waiters,30:16,C.J. Miles,24:08,Alonzo Gee,23:12,Jarrett Jack,18:54,Andrew Bynum,14:19,Anthony Bennett,11:37
0,.000,4,44.444,0,,79,1,1,33.3,2,.222,2.0,40.0,5.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311080PHI.html,Away,94,16:25,2,66.7,PHI,Evan Turner,Hollis Thompson,2:07,,,,,,,,,,,36:59,Thaddeus Young,36:12,Michael Carter-Williams,34:18,Spencer Hawes,31:58,James Anderson,31:57,Tony Wroten,26:09,Lavoy Allen,20:15,Darius Morris,12:29,Brandon Davies,7:36,94,0,4,4.0,100.0,0.0,0.0,0.0,0.0,Earl Clark,15,2,2013-2014,3.0,0,3.0,CLE,79,Tristan Thompson,Sergey Karasev,5:12,Tyler Zeller,4:50,,,,,,,,,35:20,Kyrie Irving,33:38,Anderson Varejão,32:10,Dion Waiters,32:06,Jarrett Jack,25:09,C.J. Miles,18:15,Andrew Bynum,17:46,Alonzo Gee,13:15,Anthony Bennett,5:54
1,.333,3,37.500,0,0.00,95,0,2,100.0,3,.375,2.0,40.0,5.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311130MIN.html,Away,124,14:01,0,0.0,MIN,Kevin Love,Alexey Shved,12:00,Gorgui Dieng,9:39,Shabazz Muhammad,9:39,,,,,,,31:28,Ricky Rubio,30:39,Corey Brewer,29:58,Robbie Hummel,28:12,Derrick Williams,21:45,Dante Cunningham,21:33,Nikola Peković,19:23,J.J. Barea,13:32,A.J. Price,12:12,124,1,7,4.0,57.1,3.0,42.9,0.0,0.0,Earl Clark,29,0,2013-2014,0.0,1,2.0,CLE,95,Anderson Varejão,Matthew Dellavedova,12:55,Henry Sims,8:29,C.J. Miles,6:59,,,,,,,28:33,Kyrie Irving,27:23,Tristan Thompson,23:59,Jarrett Jack,23:30,Dion Waiters,22:27,Alonzo Gee,22:27,Anthony Bennett,20:19,Tyler Zeller,14:40,Sergey Karasev,14:18
3,1.000,3,42.857,0,0.00,86,1,4,80.0,6,.857,3.0,75.0,4.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311150CLE.html,Home,80,24:44,1,20.0,CHA,Kemba Walker,,,,,,,,,,,,,36:03,Bismack Biyombo,31:39,Gerald Henderson,31:10,Josh McRoberts,31:00,Michael Kidd-Gilchrist,29:12,Jeff Taylor,28:34,Cody Zeller,21:56,Ramon Sessions,19:12,Anthony Tolliver,11:14,86,3,15,6.0,40.0,9.0,60.0,0.0,0.0,Earl Clark,6,0,2013-2014,1.0,1,5.0,CLE,80,Tristan Thompson,Henry Sims,1:11,,,,,,,,,,,40:13,Kyrie Irving,38:09,C.J. Miles,33:00,Anderson Varejão,32:42,Jarrett Jack,23:49,Alonzo Gee,15:48,Tyler Zeller,13:57,Sergey Karasev,8:40,Anthony Bennett,7:47
3,.750,4,66.667,0,0.00,103,2,3,100.0,4,.667,1.0,50.0,2.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311160WAS.html,Away,96,32:32,0,0.0,WAS,Bradley Beal,,,,,,,,,,,,,47:26,Martell Webster,42:40,Marcin Gortat,38:00,John Wall,37:47,Nenê,36:41,Jan Veselý,22:51,Garrett Temple,15:36,Glen Rice Jr.,15:31,Kevin Séraphin,8:28,96,4,11,2.0,18.2,9.0,81.8,0.0,0.0,Earl Clark,7,2,2013-2014,4.0,2,3.0,CLE,103,Kyrie Irving,,,,,,,,,,,,,41:43,Anderson Varejão,34:41,Jarrett Jack,33:39,Tristan Thompson,32:26,Matthew Dellavedova,30:32,Andrew Bynum,21:11,Alonzo Gee,16:45,C.J. Miles,15:38,Sergey Karasev,5:53
1,.333,3,50.000,3,1.00,98,0,8,100.0,1,.167,0.0,0.0,3.0,6,0,.000,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311200CLE.html,Home,91,28:47,0,0.0,WAS,John Wall,,,,,,,,,,,,,40:48,Bradley Beal,40:46,Nenê,37:45,Martell Webster,36:07,Marcin Gortat,31:52,Jan Veselý,21:47,Garrett Temple,19:45,Eric Maynor,7:12,Trevor Booker,3:58,98,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Earl Clark,7,0,2013-2014,0.0,3,8.0,CLE,91,Anderson Varejão,Anthony Bennett,5:48,C.J. Miles,2:32,Sergey Karasev,1:48,,,,,,,35:15,Dion Waiters,30:16,Kyrie Irving,29:38,Jarrett Jack,28:23,Matthew Dellavedova,26:43,Tristan Thompson,23:31,Andrew Bynum,12:33,Alonzo Gee,8:11,Henry Sims,6:35
