3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,112,0,0,0.0,0,,0.0,,0.0,0,1,.500,2,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201510290NYK.html,Away,101,1:09,1,100.0,NYK,Carmelo Anthony,Derrick Williams,18:07,Cleanthony Early,1:13,,,,,,,,,31:54,Jerian Grant,28:45,Kristaps Porziņģis,25:37,Langston Galloway,25:18,Sasha Vujačić,25:10,Lance Thomas,22:23,Kyle O'Quinn,22:03,Robin Lopez,21:17,José Calderón,18:13,101,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Edy Tavares,11,0,2015-2016,0.0,0,1.0,ATL,112,Paul Millsap,Mike Scott,11:10,,,,,,,,,,,34:30,Kyle Korver,32:15,Al Horford,30:34,Jeff Teague,29:45,Kent Bazemore,25:10,Tiago Splitter,23:16,Lamar Patterson,21:00,Dennis Schröder,18:15,Justin Holiday,12:56
0,,0,,0,,99,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201511070ATL.html,Home,114,0:57,0,,WAS,Otto Porter Jr.,Garrett Temple,0:57,Kelly Oubre Jr.,0:57,,,,,,,,,39:23,Bradley Beal,36:56,John Wall,36:16,Marcin Gortat,26:13,Kris Humphries,25:05,Nenê,21:47,Jared Dudley,20:14,Gary Neal,17:39,Ramon Sessions,14:34,99,1,0,0.0,,0.0,,0.0,,Edy Tavares,15,0,2015-2016,0.0,0,0.0,ATL,114,Paul Millsap,Mike Scott,14:00,,,,,,,,,,,34:00,Kent Bazemore,29:09,Al Horford,28:41,Jeff Teague,27:07,Kyle Korver,25:47,Dennis Schröder,23:55,Thabo Sefolosha,20:24,Mike Muscala,19:19,Justin Holiday,16:41
0,,0,,1,1.00,97,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201511240ATL.html,Home,121,2:51,0,0.0,BOS,Avery Bradley,Jonas Jerebko,14:47,Tyler Zeller,5:24,James Young,3:11,Terry Rozier,3:11,,,,,29:59,Isaiah Thomas,26:54,Evan Turner,25:54,Jae Crowder,25:45,David Lee,25:04,Amir Johnson,21:41,Jared Sullinger,21:27,R.J. Hunter,20:53,Kelly Olynyk,15:50,97,0,0,0.0,,0.0,,0.0,,Edy Tavares,24,0,2015-2016,0.0,1,1.0,ATL,121,Kyle Korver,Tim Hardaway Jr.,12:11,Shelvin Mack,3:11,Justin Holiday,2:51,,,,,,,33:01,Paul Millsap,31:39,Al Horford,26:41,Thabo Sefolosha,26:07,Jeff Teague,25:43,Lamar Patterson,22:54,Dennis Schröder,19:26,Mike Scott,17:56,Mike Muscala,15:29
0,,0,0.000,0,,103,0,0,,1,.333,1.0,33.3,3.0,3,1,.500,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512120ATL.html,Home,78,7:15,0,,SAS,Kawhi Leonard,David West,11:32,Rasual Butler,7:15,Matt Bonner,5:00,Kyle Anderson,5:00,,,,,32:26,Tim Duncan,30:49,LaMarcus Aldridge,27:24,Tony Parker,24:06,Patty Mills,23:54,Danny Green,21:04,Jonathon Simmons,19:00,Manu Ginóbili,18:35,Boris Diaw,13:55,103,0,3,2.0,66.7,0.0,0.0,1.0,33.3,Edy Tavares,25,0,2015-2016,0.0,0,0.0,ATL,78,Paul Millsap,Tiago Splitter,14:07,Justin Holiday,7:15,Shelvin Mack,7:09,,,,,,,29:15,Al Horford,25:52,Kyle Korver,25:11,Kent Bazemore,24:37,Jeff Teague,23:42,Thabo Sefolosha,19:52,Mike Muscala,19:31,Dennis Schröder,19:18,Lamar Patterson,16:56
0,,0,0.000,0,0.00,121,0,3,50.0,3,.600,3.0,60.0,5.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201512290HOU.html,Away,115,10:15,3,50.0,HOU,James Harden,,,,,,,,,,,,,38:45,Dwight Howard,38:22,Trevor Ariza,35:28,Clint Capela,29:40,Donatas Motiejūnas,27:26,Ty Lawson,25:59,Patrick Beverley,20:30,Corey Brewer,17:29,Jason Terry,6:21,115,1,6,6.0,100.0,0.0,0.0,0.0,0.0,Edy Tavares,6,1,2015-2016,1.0,2,6.0,ATL,121,Al Horford,,,,,,,,,,,,,35:55,Paul Millsap,35:14,Kent Bazemore,34:40,Jeff Teague,33:34,Kyle Korver,30:58,Thabo Sefolosha,20:56,Mike Scott,14:34,Shelvin Mack,14:26,Lamar Patterson,9:29
0,,0,0.000,0,0.00,97,3,3,75.0,2,.500,2.0,50.0,4.0,4,0,.000,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201601030NYK.html,Away,111,18:10,1,25.0,NYK,Arron Afflalo,Kyle O'Quinn,2:54,,,,,,,,,,,37:05,Carmelo Anthony,35:29,Kristaps Porziņģis,30:24,Robin Lopez,29:31,José Calderón,26:18,Derrick Williams,20:53,Langston Galloway,20:08,Lance Thomas,19:07,Jerian Grant,18:11,111,0,4,4.0,100.0,0.0,0.0,0.0,0.0,Edy Tavares,14,0,2015-2016,3.0,1,4.0,ATL,97,Paul Millsap,Justin Holiday,3:00,,,,,,,,,,,34:16,Kent Bazemore,32:38,Jeff Teague,29:34,Kyle Korver,28:44,Al Horford,28:39,Thabo Sefolosha,21:39,Shelvin Mack,18:26,Mike Scott,14:55,Lamar Patterson,9:59
0,,0,0.000,0,,107,2,2,66.7,2,.667,2.0,66.7,3.0,3,1,.500,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201601050ATL.html,Home,101,12:57,1,33.3,NYK,Carmelo Anthony,,,,,,,,,,,,,40:24,Arron Afflalo,36:59,José Calderón,35:39,Robin Lopez,34:48,Kristaps Porziņģis,31:30,Lance Thomas,19:13,Derrick Williams,15:39,Langston Galloway,15:38,Jerian Grant,10:10,107,2,5,4.0,80.0,0.0,0.0,1.0,20.0,Edy Tavares,6,0,2015-2016,2.0,0,3.0,ATL,101,Paul Millsap,,,,,,,,,,,,,36:12,Al Horford,33:15,Kyle Korver,33:05,Kent Bazemore,28:30,Dennis Schröder,25:11,Jeff Teague,22:49,Thabo Sefolosha,22:22,Mike Scott,13:36,Tim Hardaway Jr.,12:03
0,,0,,1,,95,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201601230PHO.html,Away,98,4:32,0,,PHO,Tyson Chandler,,,,,,,,,,,,,44:13,Archie Goodwin,41:23,P.J. Tucker,38:44,Devin Booker,35:59,Alex Len,35:20,T.J. Warren,16:28,Mirza Teletović,14:31,Sonny Weems,6:45,Lorenzo Brown,6:37,98,1,0,0.0,,0.0,,0.0,,Edy Tavares,3,0,2015-2016,0.0,0,0.0,ATL,95,Al Horford,,,,,,,,,,,,,38:34,Kyle Korver,34:22,Kent Bazemore,30:11,Thabo Sefolosha,27:55,Mike Scott,26:26,Jeff Teague,24:39,Dennis Schröder,23:56,Tiago Splitter,17:14,Tim Hardaway Jr.,12:11
0,,0,,0,,97,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201602010ATL.html,Home,112,3:17,0,0.0,DAL,Wesley Matthews,Deron Williams,7:49,Justin Anderson,7:42,Dwight Powell,7:02,Jeremy Evans,2:45,,,,,34:55,Chandler Parsons,32:14,J.J. Barea,31:18,Dirk Nowitzki,31:05,Zaza Pachulia,27:58,Raymond Felton,25:25,John Jenkins,11:01,Charlie Villanueva,10:25,JaVale McGee,10:22,97,1,0,0.0,,0.0,,0.0,,Edy Tavares,15,0,2015-2016,0.0,0,1.0,ATL,112,Paul Millsap,Mike Scott,12:42,Shelvin Mack,4:10,Lamar Patterson,3:17,,,,,,,33:42,Al Horford,28:23,Kyle Korver,27:53,Jeff Teague,27:48,Kent Bazemore,27:10,Tim Hardaway Jr.,21:31,Thabo Sefolosha,17:27,Mike Muscala,16:37,Dennis Schröder,16:02
0,,0,0.000,0,0.00,124,1,3,75.0,2,.667,2.0,66.7,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201602030PHI.html,Away,86,8:06,1,25.0,PHI,Nik Stauskas,Carl Landry,14:47,Richaun Holmes,7:45,JaKarr Sampson,7:45,Kendall Marshall,7:45,,,,,29:30,Ish Smith,26:04,Jahlil Okafor,24:39,Nerlens Noel,21:56,Jerami Grant,21:48,Robert Covington,21:23,Hollis Thompson,20:00,Isaiah Canaan,19:58,T.J. McConnell,16:40,86,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Edy Tavares,38,0,2015-2016,1.0,1,4.0,ATL,124,Tim Hardaway Jr.,Dennis Schröder,17:12,Lamar Patterson,10:14,Shelvin Mack,8:45,,,,,,,25:47,Paul Millsap,25:28,Jeff Teague,23:03,Al Horford,22:18,Thabo Sefolosha,20:36,Mike Scott,20:25,Mike Muscala,19:43,Kyle Korver,19:28,Kent Bazemore,18:55
