3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,108,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311200PHI.html,Home,98,3:31,0,,TOR,DeMar DeRozan,Austin Daye,0:44,Julyan Stone,0:44,,,,,,,,,38:17,Kyle Lowry,37:31,Rudy Gay,35:30,Terrence Ross,32:09,Amir Johnson,25:15,Tyler Hansbrough,22:03,Jonas Valančiūnas,21:41,Steve Novak,15:37,Dwight Buycks,10:29,108,0,0,0.0,,0.0,,0.0,,Elliot Williams,10,0,2013-2014,0.0,0,0.0,PHI,98,Evan Turner,Lorenzo Brown,0:58,,,,,,,,,,,38:16,Spencer Hawes,37:01,Michael Carter-Williams,33:33,James Anderson,32:49,Tony Wroten,28:02,Lavoy Allen,24:27,Daniel Orton,17:05,Hollis Thompson,13:30,Brandon Davies,10:48
0,.000,1,20.000,0,0.00,107,0,0,0.0,2,.400,2.0,50.0,4.0,5,2,1.000,2,40.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311220PHI.html,Home,115,13:47,1,100.0,MIL,Ersan İlyasova,Ekpe Udoh,12:22,,,,,,,,,,,40:35,Caron Butler,36:18,O.J. Mayo,36:13,Zaza Pachulia,34:14,Luke Ridnour,34:13,John Henson,18:34,Gary Neal,18:05,Nate Wolters,17:37,Khris Middleton,16:49,107,3,6,4.0,66.7,0.0,0.0,2.0,33.3,Elliot Williams,8,0,2013-2014,0.0,1,1.0,PHI,115,Spencer Hawes,Lorenzo Brown,4:52,,,,,,,,,,,39:00,Evan Turner,38:47,James Anderson,35:44,Lavoy Allen,34:08,Michael Carter-Williams,33:57,Hollis Thompson,20:57,Daniel Orton,18:48,Brandon Davies,14:00,Tony Wroten,11:00
1,.250,4,57.143,0,0.00,98,0,3,75.0,2,.286,1.0,33.3,3.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311230IND.html,Away,106,16:52,1,25.0,IND,Paul George,Solomon Hill,6:34,,,,,,,,,,,37:13,Lance Stephenson,37:12,George Hill,36:10,Roy Hibbert,32:56,David West,30:56,Luis Scola,20:39,Orlando Johnson,15:00,C.J. Watson,11:50,Chris Copeland,11:30,106,3,5,2.0,40.0,3.0,60.0,0.0,0.0,Elliot Williams,8,0,2013-2014,0.0,1,4.0,PHI,98,Evan Turner,,,,,,,,,,,,,38:55,Michael Carter-Williams,37:50,James Anderson,36:40,Daniel Orton,35:36,Hollis Thompson,30:53,Lavoy Allen,26:17,Lorenzo Brown,10:10,Brandon Davies,6:47,,
1,.500,2,40.000,0,0.00,121,0,1,100.0,1,.200,0.0,0.0,3.0,5,1,.500,2,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311290PHI.html,Home,105,11:54,0,0.0,NOP,Jrue Holiday,,,,,,,,,,,,,40:34,Eric Gordon,39:45,Anthony Davis,37:55,Tyreke Evans,35:15,Ryan Anderson,25:55,Jason Smith,24:00,Anthony Morrow,17:21,Brian Roberts,14:15,Lou Amundson,5:00,121,0,4,0.0,0.0,3.0,75.0,1.0,25.0,Elliot Williams,16,0,2013-2014,0.0,1,1.0,PHI,105,Thaddeus Young,Lorenzo Brown,1:14,,,,,,,,,,,36:03,Evan Turner,34:45,Michael Carter-Williams,32:05,Spencer Hawes,25:23,Tony Wroten,23:44,Hollis Thompson,22:26,James Anderson,21:35,Lavoy Allen,19:51,Brandon Davies,11:00
0,.000,1,100.000,0,,100,0,0,0.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312010DET.html,Away,115,5:05,1,100.0,DET,Brandon Jennings,Josh Harrellson,5:11,Gigi Datome,3:12,Tony Mitchell,2:35,,,,,,,37:45,Josh Smith,35:24,Andre Drummond,32:59,Rodney Stuckey,31:47,Kentavious Caldwell-Pope,28:56,Greg Monroe,26:05,Kyle Singler,16:26,Jonas Jerebko,12:21,Peyton Siva,7:19,115,1,0,0.0,,0.0,,0.0,,Elliot Williams,15,0,2013-2014,0.0,0,1.0,PHI,100,Michael Carter-Williams,Daniel Orton,5:52,Lorenzo Brown,3:06,,,,,,,,,34:04,Evan Turner,31:23,Spencer Hawes,30:52,Thaddeus Young,29:27,Hollis Thompson,27:57,James Anderson,21:50,Tony Wroten,20:41,Lavoy Allen,15:21,Brandon Davies,14:22
0,.000,2,100.000,0,,125,1,2,66.7,0,.000,0.0,,0.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312030PHI.html,Home,126,10:44,1,33.3,ORL,Arron Afflalo,,,,,,,,,,,,,52:25,Victor Oladipo,51:35,Glen Davis,50:15,Ronnie Price,39:46,Andrew Nicholson,38:27,Jason Maxiell,24:12,E'Twaun Moore,22:06,Maurice Harkless,8:23,Solomon Jones,2:51,125,1,2,0.0,0.0,0.0,0.0,2.0,100.0,Elliot Williams,1,0,2013-2014,1.0,0,3.0,PHI,126,Thaddeus Young,Daniel Orton,3:06,,,,,,,,,,,48:07,Michael Carter-Williams,46:32,Evan Turner,41:34,Spencer Hawes,40:32,Hollis Thompson,32:36,James Anderson,29:16,Lavoy Allen,14:22,Tony Wroten,13:18,Brandon Davies,9:53
0,,0,0.000,0,,88,0,0,,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312060CHA.html,Away,105,6:08,0,,CHA,Kemba Walker,Bismack Biyombo,7:23,Anthony Tolliver,3:02,,,,,,,,,38:24,Jeff Taylor,36:52,Gerald Henderson,35:38,Josh McRoberts,32:47,Al Jefferson,32:26,Ramon Sessions,23:30,Cody Zeller,12:11,Ben Gordon,9:36,Jeff Adrien,8:11,105,0,0,0.0,,0.0,,0.0,,Elliot Williams,17,0,2013-2014,0.0,0,0.0,PHI,88,Evan Turner,Daniel Orton,4:15,,,,,,,,,,,40:00,Tony Wroten,34:44,Hollis Thompson,31:31,Thaddeus Young,29:49,Spencer Hawes,28:45,Lavoy Allen,21:15,James Anderson,20:24,Lorenzo Brown,13:16,Brandon Davies,9:53
0,,0,0.000,0,,103,0,1,100.0,2,1.000,2.0,100.0,2.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312070PHI.html,Home,92,8:00,0,0.0,DEN,Andre Miller,Anthony Randolph,15:01,Kenneth Faried,14:10,,,,,,,,,28:47,Nate Robinson,26:02,J.J. Hickson,25:46,Wilson Chandler,25:41,Jordan Hamilton,22:19,Randy Foye,22:12,Darrell Arthur,21:30,Evan Fournier,20:55,Timofey Mozgov,17:37,103,1,6,4.0,66.7,0.0,0.0,2.0,33.3,Elliot Williams,11,0,2013-2014,0.0,0,1.0,PHI,92,Evan Turner,Daniel Orton,6:56,,,,,,,,,,,37:51,Hollis Thompson,34:21,Tony Wroten,32:43,Thaddeus Young,31:31,Spencer Hawes,30:09,Brandon Davies,16:29,James Anderson,15:48,Lorenzo Brown,15:17,Lavoy Allen,10:55
1,.500,2,66.667,1,1.00,99,0,0,,1,.333,0.0,0.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312110MIN.html,Away,106,7:53,0,,MIN,Nikola Peković,Alexey Shved,8:34,,,,,,,,,,,38:19,Kevin Love,37:17,Ricky Rubio,35:38,Corey Brewer,34:21,Kevin Martin,27:37,Dante Cunningham,20:24,J.J. Barea,13:40,Luc Mbah a Moute,12:34,Robbie Hummel,11:36,106,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Elliot Williams,7,1,2013-2014,1.0,1,0.0,PHI,99,Evan Turner,,,,,,,,,,,,,38:23,Spencer Hawes,34:10,Thaddeus Young,34:05,James Anderson,31:16,Tony Wroten,28:07,Lorenzo Brown,19:17,Hollis Thompson,19:04,Lavoy Allen,16:27,Brandon Davies,11:18
0,.000,1,100.000,0,0.00,100,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312130TOR.html,Away,108,1:06,0,,TOR,DeMar DeRozan,,,,,,,,,,,,,39:33,Amir Johnson,36:31,Kyle Lowry,34:00,Terrence Ross,33:37,Jonas Valančiūnas,31:49,John Salmons,19:43,Patrick Patterson,18:36,Greivis Vásquez,17:07,Tyler Hansbrough,9:04,108,1,0,0.0,,0.0,,0.0,,Elliot Williams,8,0,2013-2014,0.0,1,0.0,PHI,100,Evan Turner,Daniel Orton,0:52,,,,,,,,,,,39:05,Tony Wroten,37:19,Thaddeus Young,35:18,Spencer Hawes,33:55,James Anderson,30:14,Hollis Thompson,25:35,Lavoy Allen,17:10,Lorenzo Brown,10:41,Brandon Davies,8:45
