3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,100.000,0,,125,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310280CLE.html,Home,113,6:30,0,,IND,Bruce Brown,Bennedict Mathurin,17:04,,,,,,,,,,,32:11,Tyrese Haliburton,32:01,Aaron Nesmith,30:00,Myles Turner,29:25,Andrew Nembhard,25:00,T.J. McConnell,18:56,Buddy Hield,18:48,Jalen Smith,18:35,Obi Toppin,18:00,125,0,0,0.0,,0.0,,0.0,,Emoni Bates,12,0,2023-2024,0.0,0,0.0,CLE,113,Caris LeVert,Craig Porter Jr.,3:39,,,,,,,,,,,44:21,Max Strus,41:46,Dean Wade,36:49,Isaac Okoro,34:53,Evan Mobley,33:12,Georges Niang,18:46,Tristan Thompson,8:24,Sam Merrill,5:53,Damian Jones,5:47
2,.400,5,62.500,1,1.00,109,1,5,83.3,3,.375,1.0,33.3,3.0,8,1,.500,2,25.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310310CLE.html,Home,91,22:58,1,16.7,NYK,Jalen Brunson,Miles McBride,4:09,DaQuan Jeffries,4:09,Jericho Sims,2:50,Dylan Windler,2:50,Ryan Arcidiacono,2:11,,,33:40,Julius Randle,31:23,Josh Hart,27:59,RJ Barrett,24:50,Immanuel Quickley,23:56,Isaiah Hartenstein,22:51,Mitchell Robinson,22:19,Quentin Grimes,21:53,Donte DiVincenzo,15:00,109,1,9,2.0,22.2,6.0,66.7,1.0,11.1,Emoni Bates,18,0,2023-2024,1.0,1,6.0,CLE,91,Max Strus,Damian Jones,5:17,Isaiah Mobley,0:53,,,,,,,,,33:03,Evan Mobley,29:03,Donovan Mitchell,28:47,Isaac Okoro,24:39,Georges Niang,24:14,Craig Porter Jr.,22:11,Tristan Thompson,18:48,Dean Wade,16:10,Sam Merrill,13:57
0,,0,,0,,118,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311110GSW.html,Away,110,0:46,0,,GSW,Stephen Curry,Gary Payton II,11:10,Brandin Podziemski,8:21,Trayce Jackson-Davis,5:34,Cory Joseph,2:12,,,,,32:33,Andrew Wiggins,29:08,Klay Thompson,27:49,Chris Paul,26:25,Kevon Looney,23:59,Jonathan Kuminga,20:39,Draymond Green,17:59,Moses Moody,17:45,Dario Šarić,16:26,110,0,0,0.0,,0.0,,0.0,,Emoni Bates,8,0,2023-2024,0.0,0,0.0,CLE,118,Donovan Mitchell,Tristan Thompson,1:32,Damian Jones,0:46,,,,,,,,,36:06,Caris LeVert,35:52,Darius Garland,35:50,Max Strus,32:52,Evan Mobley,31:04,Jarrett Allen,28:01,Georges Niang,18:59,Dean Wade,16:40,Craig Porter Jr.,1:32
0,,0,,0,,109,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311150POR.html,Away,95,1:30,0,0.0,POR,Jerami Grant,Jamaree Bouyea,9:20,Justin Minaya,2:32,Rayan Rupert,2:32,Ish Wainright,2:32,,,,,32:28,Skylar Mays,30:51,Shaedon Sharpe,26:42,Deandre Ayton,25:48,Matisse Thybulle,25:43,Jabari Walker,22:51,Toumani Camara,21:41,Duop Reath,19:40,Kris Murray,17:20,95,0,0,0.0,,0.0,,0.0,,Emoni Bates,14,0,2023-2024,0.0,0,1.0,CLE,109,Max Strus,Sam Merrill,1:30,Tristan Thompson,1:30,,,,,,,,,36:42,Donovan Mitchell,36:20,Evan Mobley,35:22,Caris LeVert,33:02,Dean Wade,32:41,Jarrett Allen,29:08,Georges Niang,21:38,Craig Porter Jr.,9:07,Damian Jones,1:30
0,,0,,0,,100,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311170CLE.html,Home,108,0:38,0,,DET,Cade Cunningham,Marcus Sasser,15:20,James Wiseman,3:50,,,,,,,,,34:00,Kevin Knox,30:33,Isaiah Stewart,30:32,Jaden Ivey,29:07,Alec Burks,24:01,Killian Hayes,22:07,Ausar Thompson,17:19,Stanley Umude,17:19,Marvin Bagley III,15:51,100,0,0,0.0,,0.0,,0.0,,Emoni Bates,8,0,2023-2024,0.0,0,0.0,CLE,108,Max Strus,Sam Merrill,0:38,Tristan Thompson,0:38,,,,,,,,,38:44,Evan Mobley,35:21,Darius Garland,33:38,Caris LeVert,32:42,Jarrett Allen,32:28,Georges Niang,26:53,Dean Wade,21:48,Craig Porter Jr.,15:49,Damian Jones,0:38
0,.000,1,100.000,0,,109,0,1,100.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311190CLE.html,Home,121,4:25,0,0.0,DEN,Aaron Gordon,Zeke Nnaji,14:17,Collin Gillespie,2:50,Hunter Tyson,2:50,,,,,,,31:37,Kentavious Caldwell-Pope,30:39,Nikola Jokić,27:49,Michael Porter Jr.,27:23,Christian Braun,25:17,Reggie Jackson,21:01,Julian Strawther,19:52,Jalen Pickett,19:03,Justin Holiday,17:21,109,0,0,0.0,,0.0,,0.0,,Emoni Bates,12,0,2023-2024,0.0,0,1.0,CLE,121,Darius Garland,Damian Jones,2:50,,,,,,,,,,,32:54,Max Strus,31:46,Evan Mobley,31:43,Jarrett Allen,29:18,Craig Porter Jr.,24:55,Dean Wade,24:18,Sam Merrill,23:47,Georges Niang,23:12,Tristan Thompson,10:52
1,.200,5,100.000,1,,129,0,1,100.0,1,.200,0.0,,0.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311220CLE.html,Home,96,15:38,0,0.0,MIA,Kyle Lowry,Dru Smith,1:21,,,,,,,,,,,29:06,Jaime Jaquez Jr.,28:02,Jimmy Butler,27:48,Orlando Robinson,27:32,Josh Richardson,27:09,Caleb Martin,26:24,Haywood Highsmith,24:41,Duncan Robinson,24:15,Thomas Bryant,23:41,129,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Emoni Bates,33,1,2023-2024,1.0,0,1.0,CLE,96,Craig Porter Jr.,Damian Jones,12:00,Isaiah Mobley,9:10,,,,,,,,,35:17,Darius Garland,27:06,Evan Mobley,25:14,Max Strus,24:51,Jarrett Allen,22:51,Georges Niang,19:33,Caris LeVert,18:17,Sam Merrill,16:54,Tristan Thompson,13:09
1,.333,3,60.000,1,,123,0,0,,1,.200,0.0,0.0,2.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312210CLE.html,Home,104,8:52,0,,NOP,CJ McCollum,Jordan Hawkins,12:04,,,,,,,,,,,33:32,Herbert Jones,29:30,Brandon Ingram,28:22,Trey Murphy III,28:15,Jonas Valančiūnas,27:59,Naji Marshall,22:21,Dyson Daniels,20:10,Jeremiah Robinson-Earl,20:01,Jose Alvarado,17:46,123,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Emoni Bates,19,0,2023-2024,0.0,0,0.0,CLE,104,Max Strus,Isaiah Mobley,4:10,Damian Jones,4:10,,,,,,,,,33:20,Isaac Okoro,32:11,Craig Porter Jr.,29:04,Jarrett Allen,26:55,Dean Wade,26:15,Caris LeVert,22:37,Tristan Thompson,20:51,Georges Niang,19:08,Sam Merrill,12:27
1,.500,2,100.000,0,,109,1,0,,1,.500,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202312230CHI.html,Away,95,8:46,0,,CHI,DeMar DeRozan,,,,,,,,,,,,,40:08,Coby White,39:38,Patrick Williams,35:10,Nikola Vučević,33:32,Alex Caruso,32:09,Ayo Dosunmu,19:35,Dalen Terry,17:03,Andre Drummond,13:24,Jevon Carter,9:21,95,0,3,0.0,0.0,3.0,100.0,0.0,0.0,Emoni Bates,14,0,2023-2024,1.0,0,0.0,CLE,109,Max Strus,,,,,,,,,,,,,40:32,Craig Porter Jr.,39:23,Dean Wade,36:20,Jarrett Allen,34:57,Isaac Okoro,34:30,Georges Niang,20:55,Tristan Thompson,13:03,Damian Jones,11:34,,
0,.000,3,100.000,3,,113,0,1,100.0,0,.000,0.0,,0.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202312270DAL.html,Away,110,5:52,0,0.0,DAL,Luka Dončić,,,,,,,,,,,,,36:36,Derrick Jones Jr.,35:38,Dante Exum,33:19,Tim Hardaway Jr.,29:39,Seth Curry,27:31,Grant Williams,26:07,Dereck Lively II,24:50,Josh Green,21:25,Dwight Powell,4:55,110,2,0,0.0,,0.0,,0.0,,Emoni Bates,3,0,2023-2024,0.0,0,1.0,CLE,113,Isaac Okoro,,,,,,,,,,,,,38:38,Jarrett Allen,35:28,Max Strus,33:34,Dean Wade,32:01,Craig Porter Jr.,29:35,Caris LeVert,27:59,Georges Niang,23:52,Tristan Thompson,13:01,,
1,.250,4,57.143,0,0.00,120,0,1,100.0,3,.429,2.0,66.7,3.0,7,0,.000,2,28.571,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403100CLE.html,Home,101,12:00,0,0.0,BRK,Mikal Bridges,Trendon Watford,4:11,Keita Bates-Diop,3:16,Noah Clowney,3:16,,,,,,,34:40,Dennis Schröder,33:39,Dorian Finney-Smith,33:00,Cam Thomas,30:38,Nic Claxton,27:48,Dennis Smith Jr.,20:22,Jalen Wilson,19:01,Day'Ron Sharpe,16:37,Lonnie Walker IV,13:32,120,0,7,4.0,57.1,3.0,42.9,0.0,0.0,Emoni Bates,19,0,2023-2024,0.0,1,1.0,CLE,101,Isaac Okoro,Pete Nance,3:16,,,,,,,,,,,29:56,Jarrett Allen,28:53,Caris LeVert,28:46,Darius Garland,27:21,Craig Porter Jr.,24:38,Georges Niang,24:37,Sam Merrill,21:50,Isaiah Mobley,19:36,Damian Jones,19:07
3,.750,4,80.000,1,,84,0,0,,3,.600,0.0,0.0,1.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403240MIA.html,Away,121,10:32,0,,MIA,Terry Rozier,Jamal Cain,9:20,Cole Swider,7:25,Orlando Robinson,5:25,,,,,,,30:43,Delon Wright,30:07,Bam Adebayo,27:42,Haywood Highsmith,24:41,Jimmy Butler,24:25,Patty Mills,21:41,Thomas Bryant,20:18,Caleb Martin,19:44,Nikola Jović,18:29,121,0,9,0.0,0.0,9.0,100.0,0.0,0.0,Emoni Bates,37,0,2023-2024,0.0,0,0.0,CLE,84,Sam Merrill,Damian Jones,10:32,Tristan Thompson,10:02,,,,,,,,,31:11,Craig Porter Jr.,26:58,Georges Niang,24:24,Darius Garland,22:22,Jarrett Allen,22:09,Marcus Morris,21:25,Evan Mobley,21:02,Caris LeVert,20:16,Isaac Okoro,19:06
0,,0,,0,,92,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202403250CLE.html,Home,115,3:06,0,,CHO,Miles Bridges,Bryce McGowens,3:06,Nick Smith Jr.,3:06,Amari Bailey,3:06,,,,,,,37:36,Brandon Miller,36:58,Tre Mann,33:38,Vasilije Micić,30:44,Grant Williams,27:04,Nick Richards,23:18,Aleksej Pokusevski,19:21,Dāvis Bertāns,17:07,JT Thor,4:56,92,0,0,0.0,,0.0,,0.0,,Emoni Bates,23,0,2023-2024,0.0,0,0.0,CLE,115,Jarrett Allen,Tristan Thompson,3:51,Damian Jones,3:06,Pete Nance,3:06,,,,,,,33:18,Caris LeVert,33:17,Darius Garland,32:53,Isaac Okoro,30:37,Sam Merrill,25:10,Evan Mobley,24:56,Georges Niang,24:44,Craig Porter Jr.,14:26,Marcus Morris,7:30
0,,0,,0,,98,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202404100CLE.html,Home,110,1:50,0,,MEM,Jake LaRavia,,,,,,,,,,,,,40:00,Lamar Stevens,37:17,Trey Jemison,35:56,Scotty Pippen Jr.,35:46,GG Jackson II,35:41,Zavier Simpson,24:22,Timmy Allen,16:17,Jack White,14:38,,,98,0,0,0.0,,0.0,,0.0,,Emoni Bates,12,0,2023-2024,0.0,0,0.0,CLE,110,Jarrett Allen,Pete Nance,1:50,Craig Porter Jr.,1:50,Damian Jones,1:35,,,,,,,33:37,Donovan Mitchell,33:36,Evan Mobley,31:27,Darius Garland,30:40,Max Strus,29:42,Caris LeVert,27:31,Isaac Okoro,26:33,Georges Niang,17:57,Isaiah Mobley,1:50
