3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,80,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311060IND.html,Away,97,1:05,0,,IND,Paul George,Solomon Hill,7:02,Rasual Butler,1:05,Chris Copeland,1:01,,,,,,,39:29,Roy Hibbert,37:08,Lance Stephenson,31:49,David West,31:18,C.J. Watson,26:43,Donald Sloan,21:17,Orlando Johnson,17:40,Luis Scola,15:43,Ian Mahinmi,9:45,97,0,0,0.0,,0.0,,0.0,,Erik Murphy,17,0,2013-2014,0.0,0,0.0,CHI,80,Luol Deng,Mike James,1:05,Tony Snell,1:05,Marquis Teague,1:05,,,,,,,36:03,Kirk Hinrich,30:56,Carlos Boozer,30:45,Derrick Rose,27:28,Joakim Noah,27:25,Jimmy Butler,25:46,Taj Gibson,23:23,Mike Dunleavy,20:32,Nazr Mohammed,13:22
0,,0,0.000,0,0.00,73,1,2,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311080CHI.html,Home,97,3:37,0,0.0,UTA,Gordon Hayward,Mike Harris,8:39,Ian Clark,7:53,,,,,,,,,37:21,Derrick Favors,33:30,John Lucas III,29:29,Alec Burks,28:58,Richard Jefferson,27:57,Enes Freedom,27:25,Rudy Gobert,15:38,Jamaal Tinsley,12:22,Marvin Williams,10:48,73,1,0,0.0,,0.0,,0.0,,Erik Murphy,24,0,2013-2014,1.0,1,2.0,CHI,97,Luol Deng,Tony Snell,3:37,Marquis Teague,2:11,Mike James,1:25,,,,,,,38:08,Taj Gibson,29:50,Jimmy Butler,27:15,Derrick Rose,27:04,Joakim Noah,24:57,Carlos Boozer,23:59,Kirk Hinrich,22:22,Mike Dunleavy,21:58,Nazr Mohammed,13:37
0,,0,,0,,96,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311150TOR.html,Away,80,0:24,0,,TOR,Kyle Lowry,Landry Fields,6:13,Steve Novak,4:36,Julyan Stone,1:18,,,,,,,37:49,DeMar DeRozan,37:19,Rudy Gay,32:12,Jonas Valančiūnas,28:15,Amir Johnson,20:32,Tyler Hansbrough,19:30,Quincy Acy,18:35,Dwight Buycks,17:37,Terrence Ross,16:04,80,0,0,0.0,,0.0,,0.0,,Erik Murphy,16,0,2013-2014,0.0,0,0.0,CHI,96,Kirk Hinrich,Tony Snell,1:18,,,,,,,,,,,39:58,Luol Deng,37:43,Jimmy Butler,33:45,Joakim Noah,33:13,Carlos Boozer,29:10,Mike Dunleavy,28:24,Taj Gibson,21:19,Marquis Teague,8:02,Nazr Mohammed,6:44
0,,0,,0,,94,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311160CHI.html,Home,110,0:22,0,,IND,George Hill,Solomon Hill,10:12,Ian Mahinmi,6:40,Rasual Butler,0:22,,,,,,,34:44,Paul George,32:44,Lance Stephenson,32:04,Roy Hibbert,29:19,David West,27:36,Luis Scola,20:24,Chris Copeland,16:30,Orlando Johnson,15:36,C.J. Watson,13:49,94,0,0,0.0,,0.0,,0.0,,Erik Murphy,16,0,2013-2014,0.0,0,0.0,CHI,110,Kirk Hinrich,Tony Snell,0:22,,,,,,,,,,,32:34,Luol Deng,32:27,Joakim Noah,31:58,Derrick Rose,30:59,Taj Gibson,26:34,Carlos Boozer,26:16,Jimmy Butler,24:38,Mike Dunleavy,23:22,Nazr Mohammed,10:50
0,,0,,0,,87,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311210DEN.html,Away,97,1:16,0,,DEN,Ty Lawson,Randy Foye,13:08,Evan Fournier,9:49,,,,,,,,,34:51,Kenneth Faried,29:30,J.J. Hickson,28:55,Wilson Chandler,27:14,Nate Robinson,24:04,Jordan Hamilton,22:10,Timofey Mozgov,19:00,Darrell Arthur,17:06,Andre Miller,14:13,97,0,0,0.0,,0.0,,0.0,,Erik Murphy,10,0,2013-2014,0.0,0,0.0,CHI,87,Derrick Rose,Tony Snell,1:15,,,,,,,,,,,33:05,Joakim Noah,32:49,Luol Deng,32:34,Mike Dunleavy,31:13,Kirk Hinrich,31:03,Carlos Boozer,30:18,Taj Gibson,23:25,Marquis Teague,14:55,Nazr Mohammed,8:07
0,,0,0.000,0,,82,0,0,,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311240LAC.html,Away,121,6:22,0,,LAC,Blake Griffin,Antawn Jamison,15:12,Willie Green,6:15,Byron Mullens,5:30,,,,,,,27:18,Chris Paul,27:12,DeAndre Jordan,26:20,Reggie Bullock,26:05,JJ Redick,24:46,Jared Dudley,21:34,Ryan Hollins,21:16,Darren Collison,20:48,Jamal Crawford,17:44,121,1,0,0.0,,0.0,,0.0,,Erik Murphy,39,0,2013-2014,0.0,0,0.0,CHI,82,Luol Deng,Mike James,6:22,,,,,,,,,,,32:28,Mike Dunleavy,29:30,Kirk Hinrich,27:48,Tony Snell,27:40,Carlos Boozer,25:24,Joakim Noah,22:28,Nazr Mohammed,21:13,Taj Gibson,20:33,Marquis Teague,20:12
0,,0,,0,0.00,99,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311270DET.html,Away,79,1:40,0,0.0,DET,Andre Drummond,Josh Harrellson,8:26,Charlie Villanueva,4:12,Gigi Datome,2:05,Tony Mitchell,2:05,,,,,39:01,Josh Smith,33:41,Brandon Jennings,33:22,Rodney Stuckey,29:09,Greg Monroe,22:25,Kyle Singler,21:32,Kentavious Caldwell-Pope,18:51,Will Bynum,14:38,Jonas Jerebko,10:33,79,0,0,0.0,,0.0,,0.0,,Erik Murphy,20,0,2013-2014,0.0,1,1.0,CHI,99,Luol Deng,,,,,,,,,,,,,40:47,Kirk Hinrich,37:08,Tony Snell,36:58,Joakim Noah,33:30,Carlos Boozer,26:53,Taj Gibson,26:52,Mike Dunleavy,18:15,Marquis Teague,10:52,Nazr Mohammed,7:05
0,,0,0.000,0,,87,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312050CHI.html,Home,107,0:28,0,,MIA,LeBron James,Mario Chalmers,13:39,,,,,,,,,,,33:18,Norris Cole,32:24,Chris Bosh,26:43,Ray Allen,26:31,Udonis Haslem,25:55,Michael Beasley,22:40,Rashard Lewis,22:33,Roger Mason,18:40,Shane Battier,17:37,87,0,0,0.0,,0.0,,0.0,,Erik Murphy,20,0,2013-2014,0.0,0,0.0,CHI,107,Luol Deng,,,,,,,,,,,,,41:40,Carlos Boozer,33:08,Joakim Noah,33:02,Kirk Hinrich,28:34,Tony Snell,28:20,Mike Dunleavy,26:00,Taj Gibson,24:24,Marquis Teague,19:27,Nazr Mohammed,4:57
0,.000,1,33.333,0,,78,0,0,0.0,1,.333,1.0,50.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312100CHI.html,Home,74,10:10,1,100.0,MIL,O.J. Mayo,,,,,,,,,,,,,44:11,Brandon Knight,43:53,John Henson,40:54,Khris Middleton,32:48,Ersan İlyasova,31:09,Ekpe Udoh,22:28,Nate Wolters,13:15,Giannis Antetokounmpo,9:59,Miroslav Raduljica,1:23,78,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Erik Murphy,4,0,2013-2014,0.0,0,1.0,CHI,74,Mike Dunleavy,,,,,,,,,,,,,43:53,Kirk Hinrich,39:55,Tony Snell,37:38,Carlos Boozer,36:56,Taj Gibson,36:23,Marquis Teague,22:40,Nazr Mohammed,12:25,,,,
0,,0,,0,,78,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312110NYK.html,Away,83,4:36,0,,NYK,Carmelo Anthony,,,,,,,,,,,,,40:45,Kenyon Martin,34:52,Pablo Prigioni,30:32,Amar'e Stoudemire,29:40,J.R. Smith,28:42,Andrea Bargnani,26:38,Tim Hardaway Jr.,18:23,Beno Udrih,17:28,Iman Shumpert,13:00,83,0,0,0.0,,0.0,,0.0,,Erik Murphy,5,0,2013-2014,0.0,0,0.0,CHI,78,Mike Dunleavy,,,,,,,,,,,,,45:14,Kirk Hinrich,39:46,Joakim Noah,36:54,Tony Snell,34:03,Carlos Boozer,31:49,Taj Gibson,24:38,Marquis Teague,20:21,Nazr Mohammed,2:39,,
