3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,95,0,1,100.0,2,1.000,2.0,100.0,2.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201410290SAC.html,Away,77,8:09,0,0.0,SAC,Darren Collison,Ramon Sessions,10:14,Reggie Evans,6:54,Ryan Hollins,1:31,Ray McCallum,1:31,,,,,36:12,Rudy Gay,33:30,DeMarcus Cousins,30:47,Ben McLemore,26:27,Nik Stauskas,25:59,Jason Thompson,21:26,Carl Landry,17:23,Omri Casspi,15:24,Derrick Williams,12:42,77,4,5,4.0,80.0,0.0,0.0,1.0,20.0,Festus Ezeli,18,0,2014-2015,0.0,0,1.0,GSW,95,Klay Thompson,Justin Holiday,4:27,Shaun Livingston,3:40,,,,,,,,,37:59,Stephen Curry,36:32,Draymond Green,34:22,Andre Iguodala,29:15,Harrison Barnes,28:50,Andrew Bogut,18:04,Marreese Speights,17:49,Leandro Barbosa,14:26,Ognjen Kuzmić,6:27
0,,0,0.000,1,0.50,104,1,2,50.0,1,1.000,1.0,100.0,1.0,1,1,.500,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411010GSW.html,Home,127,12:57,2,50.0,LAL,Kobe Bryant,Robert Sacre,6:57,Jordan Clarkson,4:46,,,,,,,,,35:53,Wesley Johnson,33:03,Jordan Hill,32:52,Jeremy Lin,31:55,Carlos Boozer,23:41,Ronnie Price,22:21,Ed Davis,20:50,Wayne Ellington,18:17,Xavier Henry,9:25,104,4,3,2.0,66.7,0.0,0.0,1.0,33.3,Festus Ezeli,23,0,2014-2015,1.0,2,4.0,GSW,127,Klay Thompson,Justin Holiday,1:43,,,,,,,,,,,34:08,Stephen Curry,34:06,Andre Iguodala,32:40,Draymond Green,30:29,Andrew Bogut,30:23,Harrison Barnes,30:09,Leandro Barbosa,17:26,Shaun Livingston,11:03,Marreese Speights,4:55
0,,0,0.000,0,0.00,95,3,3,75.0,2,1.000,2.0,100.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411020POR.html,Away,90,12:36,1,25.0,POR,Damian Lillard,CJ McCollum,3:03,,,,,,,,,,,38:22,LaMarcus Aldridge,33:12,Wesley Matthews,33:04,Nicolas Batum,31:46,Robin Lopez,26:50,Steve Blake,23:06,Chris Kaman,20:50,Will Barton,15:39,Thomas Robinson,14:08,90,0,4,4.0,100.0,0.0,0.0,0.0,0.0,Festus Ezeli,5,1,2014-2015,4.0,1,4.0,GSW,95,Klay Thompson,,,,,,,,,,,,,33:56,Andre Iguodala,31:39,Andrew Bogut,31:32,Stephen Curry,30:50,Draymond Green,29:14,Harrison Barnes,26:11,Shaun Livingston,16:05,Leandro Barbosa,15:41,Marreese Speights,12:17
0,,0,0.000,0,0.00,104,0,2,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411050GSW.html,Home,121,9:51,0,0.0,LAC,DeAndre Jordan,Jared Cunningham,9:35,Chris Douglas-Roberts,4:23,Hedo Türkoğlu,3:57,,,,,,,35:41,Blake Griffin,31:18,Chris Paul,31:04,Jamal Crawford,24:39,JJ Redick,23:29,Spencer Hawes,23:08,Matt Barnes,20:46,Jordan Farmar,19:54,Reggie Bullock,12:07,104,2,0,0.0,,0.0,,0.0,,Festus Ezeli,17,2,2014-2015,2.0,4,2.0,GSW,121,Draymond Green,Brandon Rush,4:58,,,,,,,,,,,35:40,Andrew Bogut,34:12,Stephen Curry,33:49,Klay Thompson,30:17,Harrison Barnes,27:23,Andre Iguodala,20:34,Shaun Livingston,18:48,Leandro Barbosa,17:43,David Lee,6:45
0,,0,0.000,0,,98,1,0,0.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411080HOU.html,Away,87,2:49,1,100.0,HOU,James Harden,,,,,,,,,,,,,43:26,Trevor Ariza,39:07,Isaiah Canaan,38:50,Donatas Motiejūnas,30:02,Kostas Papanikolaou,29:28,Jason Terry,29:19,Tarik Black,15:01,Francisco García,9:45,Troy Daniels,5:02,87,1,0,0.0,,0.0,,0.0,,Festus Ezeli,11,0,2014-2015,1.0,0,1.0,GSW,98,Stephen Curry,,,,,,,,,,,,,39:58,Andrew Bogut,36:32,Draymond Green,34:09,Andre Iguodala,31:15,Klay Thompson,31:09,Harrison Barnes,23:16,Leandro Barbosa,18:18,Shaun Livingston,15:24,Marreese Speights,7:10
0,,0,0.000,0,0.00,95,0,2,100.0,2,1.000,2.0,100.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411090PHO.html,Away,107,10:19,0,0.0,PHO,Miles Plumlee,Alex Len,7:41,Archie Goodwin,1:21,T.J. Warren,1:21,,,,,,,35:03,Marcus Morris,33:20,Goran Dragić,29:14,P.J. Tucker,29:14,Isaiah Thomas,26:51,Markieff Morris,24:49,Eric Bledsoe,21:37,Gerald Green,18:40,Anthony Tolliver,10:49,107,4,4,4.0,100.0,0.0,0.0,0.0,0.0,Festus Ezeli,12,0,2014-2015,0.0,1,2.0,GSW,95,Draymond Green,Ognjen Kuzmić,1:52,,,,,,,,,,,35:56,Stephen Curry,34:04,Harrison Barnes,31:46,Andre Iguodala,31:08,Leandro Barbosa,30:59,Andrew Bogut,25:33,Shaun Livingston,19:10,Marreese Speights,12:08,Brandon Rush,7:06
0,,0,0.000,0,0.00,113,1,4,80.0,1,1.000,1.0,100.0,1.0,1,1,.500,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411110GSW.html,Home,100,10:11,1,20.0,SAS,Kawhi Leonard,Kyle Anderson,6:57,Austin Daye,0:53,Jeff Ayres,0:53,,,,,,,35:28,Tim Duncan,35:23,Tony Parker,30:17,Danny Green,25:43,Manu Ginóbili,25:37,Matt Bonner,23:54,Boris Diaw,22:22,Cory Joseph,19:56,Aron Baynes,12:37,113,0,3,2.0,66.7,0.0,0.0,1.0,33.3,Festus Ezeli,13,0,2014-2015,1.0,1,5.0,GSW,100,Klay Thompson,Brandon Rush,3:02,,,,,,,,,,,39:42,Harrison Barnes,38:57,Stephen Curry,35:46,Draymond Green,31:42,Andrew Bogut,25:49,Andre Iguodala,22:19,Marreese Speights,12:00,Shaun Livingston,10:39,Leandro Barbosa,9:53
0,,0,0.000,0,0.00,87,0,3,60.0,3,.500,3.0,50.0,6.0,6,2,.667,3,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411150GSW.html,Home,112,12:00,2,40.0,CHO,Gerald Henderson,Jannero Pargo,14:51,Jason Maxiell,14:04,Gary Neal,10:34,Noah Vonleh,5:57,,,,,27:44,Kemba Walker,27:25,Lance Stephenson,25:04,Al Jefferson,23:36,Brian Roberts,20:35,Cody Zeller,19:01,Bismack Biyombo,18:27,P.J. Hairston,17:47,Marvin Williams,14:55,87,2,8,6.0,75.0,0.0,0.0,2.0,25.0,Festus Ezeli,25,0,2014-2015,0.0,1,5.0,GSW,112,Draymond Green,Justin Holiday,9:48,Brandon Rush,8:15,Ognjen Kuzmić,5:57,,,,,,,29:17,Stephen Curry,28:18,Klay Thompson,27:12,Andre Iguodala,25:35,Harrison Barnes,23:05,Andrew Bogut,21:33,Shaun Livingston,19:42,Leandro Barbosa,14:51,Marreese Speights,14:27
0,,0,0.000,0,0.00,136,0,1,33.3,1,.500,1.0,50.0,2.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411160LAL.html,Away,115,10:57,2,66.7,LAL,Wesley Johnson,Xavier Henry,12:00,Ryan Kelly,5:25,,,,,,,,,31:41,Kobe Bryant,31:22,Ronnie Price,30:54,Ed Davis,25:43,Jordan Hill,25:37,Jeremy Lin,22:15,Carlos Boozer,20:57,Jordan Clarkson,18:54,Robert Sacre,15:12,115,3,3,2.0,66.7,0.0,0.0,1.0,33.3,Festus Ezeli,21,0,2014-2015,0.0,3,3.0,GSW,136,Stephen Curry,Justin Holiday,9:11,Ognjen Kuzmić,7:47,Brandon Rush,5:41,,,,,,,29:56,Klay Thompson,29:13,Harrison Barnes,24:13,Draymond Green,24:00,Andrew Bogut,21:08,Andre Iguodala,20:38,Marreese Speights,20:25,Leandro Barbosa,18:47,Shaun Livingston,18:04
0,,0,0.000,1,,88,1,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201411210GSW.html,Home,101,7:33,0,0.0,UTA,Gordon Hayward,Steve Novak,16:59,Ian Clark,15:54,Jeremy Evans,4:27,,,,,,,26:08,Trey Burke,25:38,Alec Burks,25:10,Joe Ingles,24:21,Dante Exum,22:22,Derrick Favors,20:57,Trevor Booker,20:36,Enes Freedom,19:49,Rudy Gobert,17:39,88,1,0,0.0,,0.0,,0.0,,Festus Ezeli,13,0,2014-2015,1.0,0,1.0,GSW,101,Harrison Barnes,Brandon Rush,8:03,Justin Holiday,6:37,Ognjen Kuzmić,4:27,,,,,,,39:41,Draymond Green,25:00,Andre Iguodala,24:42,Stephen Curry,24:30,Shaun Livingston,23:30,Klay Thompson,22:55,Andrew Bogut,19:58,Leandro Barbosa,17:02,Marreese Speights,16:02
