3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,2,22.222,2,,97,2,2,50.0,6,.667,6.0,85.7,7.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110200SAS.html,Away,123,32:16,2,50.0,SAS,Dejounte Murray,Tre Jones,8:00,Bryn Forbes,6:17,Joshua Primo,4:54,Jock Landale,4:24,,,,,30:53,Derrick White,29:58,Jakob Poeltl,29:49,Keldon Johnson,27:39,Lonnie Walker IV,25:25,Devin Vassell,25:07,Doug McDermott,22:27,Drew Eubanks,13:47,Keita Bates-Diop,11:20,123,2,12,12.0,100.0,0.0,0.0,0.0,0.0,Franz Wagner,26,1,2021-2022,3.0,0,4.0,ORL,97,Jalen Suggs,,,,,,,,,,,,,30:17,Cole Anthony,30:02,Terrence Ross,27:21,Mo Bamba,27:15,R.J. Hampton,26:29,Ignas Brazdeikis,19:19,Wendell Carter Jr.,18:45,Moritz Wagner,15:07,Robin Lopez,13:09
4,.800,5,41.667,0,0.00,121,0,3,75.0,6,.500,2.0,28.6,7.0,12,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110220ORL.html,Home,96,33:48,1,25.0,NYK,Julius Randle,Jericho Sims,9:45,Quentin Grimes,4:34,Kevin Knox,4:28,Miles McBride,2:40,Wayne Selden,0:58,,,30:07,Mitchell Robinson,28:13,Evan Fournier,27:04,RJ Barrett,25:21,Derrick Rose,23:34,Obi Toppin,23:21,Kemba Walker,21:46,Immanuel Quickley,19:58,Alec Burks,18:11,121,1,16,4.0,25.0,12.0,75.0,0.0,0.0,Franz Wagner,25,0,2021-2022,0.0,3,4.0,ORL,96,Mo Bamba,,,,,,,,,,,,,33:52,Jalen Suggs,31:43,Cole Anthony,31:36,Wendell Carter Jr.,30:08,Terrence Ross,24:05,R.J. Hampton,19:57,Moritz Wagner,13:24,Robin Lopez,13:10,Ignas Brazdeikis,8:17
1,.167,6,54.545,2,2.00,110,0,6,85.7,4,.364,3.0,60.0,5.0,11,1,.500,2,18.182,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110240NYK.html,Away,104,38:38,1,14.3,NYK,Julius Randle,Taj Gibson,11:51,Miles McBride,0:04,,,,,,,,,38:29,Mitchell Robinson,33:22,RJ Barrett,33:03,Derrick Rose,28:38,Evan Fournier,25:58,Alec Burks,24:47,Kemba Walker,19:18,Obi Toppin,12:18,Immanuel Quickley,12:12,104,3,10,6.0,60.0,3.0,30.0,1.0,10.0,Franz Wagner,6,2,2021-2022,2.0,1,7.0,ORL,110,Cole Anthony,,,,,,,,,,,,,34:45,Mo Bamba,33:50,Terrence Ross,31:17,Wendell Carter Jr.,30:54,Jalen Suggs,24:08,R.J. Hampton,15:44,Robin Lopez,14:40,Moritz Wagner,13:58,Ignas Brazdeikis,2:06
2,.286,7,53.846,4,,90,1,2,100.0,6,.462,4.0,66.7,6.0,13,1,.500,2,15.385,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110250MIA.html,Away,107,26:55,0,0.0,MIA,Jimmy Butler,Marcus Garrett,1:38,KZ Okpala,1:38,Gabe Vincent,1:38,Omer Yurtseven,1:38,,,,,32:55,Kyle Lowry,31:11,Tyler Herro,29:31,Bam Adebayo,29:02,Duncan Robinson,27:28,Markieff Morris,25:10,P.J. Tucker,21:12,Max Strus,19:39,Dewayne Dedmon,17:20,107,2,15,8.0,53.3,6.0,40.0,1.0,6.7,Franz Wagner,17,1,2021-2022,2.0,0,2.0,ORL,90,Cole Anthony,Ignas Brazdeikis,9:13,,,,,,,,,,,31:58,Mo Bamba,28:13,Jalen Suggs,27:51,Wendell Carter Jr.,27:46,R.J. Hampton,25:42,Terrence Ross,21:31,Gary Harris,18:56,Moritz Wagner,11:22,Robin Lopez,10:33
3,.750,4,57.143,1,1.00,120,1,1,100.0,5,.714,2.0,66.7,3.0,7,2,1.000,2,28.571,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110270ORL.html,Home,111,32:15,0,0.0,CHO,Gordon Hayward,,,,,,,,,,,,,37:14,Miles Bridges,35:03,Mason Plumlee,32:27,Cody Martin,29:40,Kelly Oubre Jr.,27:51,LaMelo Ball,24:17,Ish Smith,23:43,Jalen McDaniels,22:11,Nick Richards,7:34,120,3,15,4.0,26.7,9.0,60.0,2.0,13.3,Franz Wagner,9,1,2021-2022,2.0,1,1.0,ORL,111,Jalen Suggs,,,,,,,,,,,,,35:54,Cole Anthony,34:42,Wendell Carter Jr.,32:49,Mo Bamba,31:41,Terrence Ross,29:30,Gary Harris,22:38,R.J. Hampton,10:26,Moritz Wagner,10:05,,
1,.500,2,16.667,2,1.00,109,0,1,25.0,4,.333,3.0,30.0,10.0,12,1,1.000,1,8.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110290TOR.html,Away,110,33:41,3,75.0,TOR,OG Anunoby,,,,,,,,,,,,,40:33,Fred VanVleet,39:30,Scottie Barnes,36:47,Gary Trent Jr.,31:56,Khem Birch,23:14,Dalano Banton,22:48,Precious Achiuwa,21:26,Chris Boucher,17:39,Svi Mykhailiuk,6:07,110,4,10,6.0,60.0,3.0,30.0,1.0,10.0,Franz Wagner,1,1,2021-2022,1.0,2,4.0,ORL,109,Mo Bamba,,,,,,,,,,,,,39:26,Cole Anthony,33:55,Wendell Carter Jr.,33:24,Jalen Suggs,29:48,Gary Harris,26:30,Terrence Ross,21:31,Moritz Wagner,8:29,Robin Lopez,7:29,R.J. Hampton,5:47
3,.500,6,40.000,2,2.00,103,0,2,66.7,8,.533,5.0,55.6,9.0,15,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110300DET.html,Away,110,28:25,1,33.3,DET,Jerami Grant,Trey Lyles,12:55,,,,,,,,,,,35:05,Saddiq Bey,33:52,Kelly Olynyk,27:56,Cory Joseph,26:37,Josh Jackson,23:17,Killian Hayes,21:45,Isaiah Stewart,21:23,Cade Cunningham,18:55,Frank Jackson,18:15,110,1,19,10.0,52.6,9.0,47.4,0.0,0.0,Franz Wagner,7,1,2021-2022,1.0,1,3.0,ORL,103,Cole Anthony,Ignas Brazdeikis,7:29,Mychal Mulder,3:20,,,,,,,,,35:21,Mo Bamba,29:27,Jalen Suggs,26:18,Terrence Ross,24:59,R.J. Hampton,19:13,Gary Harris,17:32,Moritz Wagner,17:09,Wendell Carter Jr.,16:47,Chuma Okeke,14:00
5,.556,9,50.000,2,,115,1,2,50.0,10,.556,5.0,55.6,9.0,18,3,.600,5,27.778,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111010MIN.html,Away,97,30:36,2,50.0,MIN,Karl-Anthony Towns,Josh Okogie,12:20,Leandro Bolmaro,1:10,Nathan Knight,1:10,,,,,,,37:24,Anthony Edwards,36:43,Malik Beasley,32:26,Jarred Vanderbilt,29:23,Taurean Prince,21:16,Jordan McLaughlin,20:14,Jaden McDaniels,17:19,D'Angelo Russell,16:55,Naz Reid,13:39,97,0,28,10.0,35.7,15.0,53.6,3.0,10.7,Franz Wagner,18,2,2021-2022,3.0,0,4.0,ORL,115,Cole Anthony,,,,,,,,,,,,,38:18,Wendell Carter Jr.,35:36,Mo Bamba,33:54,Jalen Suggs,32:26,Terrence Ross,28:08,Chuma Okeke,20:37,R.J. Hampton,14:32,Moritz Wagner,5:52,,
1,.143,7,70.000,0,,92,0,3,100.0,4,.400,3.0,100.0,3.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111030ORL.html,Home,79,31:35,0,0.0,BOS,Jayson Tatum,Grant Williams,7:11,Aaron Nesmith,2:29,Bruno Fernando,2:29,Juancho Hernangómez,1:58,,,,,33:55,Marcus Smart,32:47,Jaylen Brown,31:48,Robert Williams,30:06,Al Horford,26:27,Dennis Schröder,26:26,Josh Richardson,18:12,Romeo Langford,16:31,Payton Pritchard,9:41,92,4,9,6.0,66.7,3.0,33.3,0.0,0.0,Franz Wagner,13,1,2021-2022,1.0,0,3.0,ORL,79,Cole Anthony,Ignas Brazdeikis,2:52,,,,,,,,,,,37:02,Wendell Carter Jr.,35:03,Mo Bamba,29:29,Terrence Ross,28:43,Jalen Suggs,24:30,R.J. Hampton,19:18,Chuma Okeke,18:30,Moritz Wagner,9:12,Mychal Mulder,3:46
1,.200,5,45.455,4,4.00,102,1,2,66.7,3,.273,2.0,33.3,6.0,11,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111050ORL.html,Home,89,29:23,1,33.3,SAS,Dejounte Murray,Tre Jones,4:39,Bryn Forbes,3:13,,,,,,,,,36:00,Keldon Johnson,33:16,Derrick White,33:11,Thaddeus Young,26:19,Devin Vassell,25:31,Doug McDermott,25:30,Drew Eubanks,21:41,Lonnie Walker IV,15:56,Keita Bates-Diop,14:44,102,2,7,4.0,57.1,3.0,42.9,0.0,0.0,Franz Wagner,13,1,2021-2022,2.0,1,3.0,ORL,89,Cole Anthony,,,,,,,,,,,,,35:25,Mo Bamba,31:12,Wendell Carter Jr.,29:00,Jalen Suggs,27:31,Terrence Ross,26:59,R.J. Hampton,20:41,Chuma Okeke,19:58,Gary Harris,19:51,,
