3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,1,1.00,135,1,2,50.0,3,.750,3.0,75.0,4.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202104100CLE.html,Away,115,18:16,2,50.0,CLE,Dean Wade,Cedi Osman,7:08,Mfiondu Kabengele,3:29,Brodric Thomas,2:51,,,,,,,35:45,Darius Garland,35:36,Collin Sexton,35:22,Isaac Okoro,26:15,Isaiah Hartenstein,25:29,Taurean Prince,21:59,Kevin Love,20:53,Matthew Dellavedova,16:30,Lamar Stevens,8:43,115,0,6,6.0,100.0,0.0,0.0,0.0,0.0,Freddie Gillespie,20,3,2020-2021,4.0,1,4.0,TOR,135,Malachi Flynn,,,,,,,,,,,,,39:11,Gary Trent Jr.,32:59,OG Anunoby,29:33,Chris Boucher,25:51,Yuta Watanabe,22:59,DeAndre' Bembry,21:39,Stanley Johnson,19:33,Rodney Hood,17:34,Aron Baynes,12:25
0,,0,0.000,0,,96,0,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104110NYK.html,Away,102,8:50,0,0.0,NYK,Julius Randle,Obi Toppin,5:00,Kevin Knox,4:37,Frank Ntilikina,0:05,,,,,,,38:23,RJ Barrett,33:00,Nerlens Noel,28:01,Reggie Bullock,27:22,Alec Burks,26:09,Derrick Rose,23:17,Taj Gibson,19:32,Immanuel Quickley,17:35,Elfrid Payton,16:59,102,1,0,0.0,,0.0,,0.0,,Freddie Gillespie,6,0,2020-2021,0.0,0,1.0,TOR,96,Kyle Lowry,,,,,,,,,,,,,37:21,Pascal Siakam,35:36,Gary Trent Jr.,35:00,Chris Boucher,30:16,Malachi Flynn,26:57,DeAndre' Bembry,21:28,Khem Birch,17:41,Yuta Watanabe,15:35,Rodney Hood,11:16
0,,0,0.000,0,,108,1,1,100.0,2,.667,2.0,66.7,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104130TOR.html,Home,103,11:48,0,0.0,ATL,Bogdan Bogdanović,,,,,,,,,,,,,39:38,Brandon Goodwin,37:09,Clint Capela,34:50,Kevin Huerter,32:22,Solomon Hill,30:05,Lou Williams,24:55,Nathan Knight,17:55,Onyeka Okongwu,13:10,Skylar Mays,9:56,108,3,4,4.0,100.0,0.0,0.0,0.0,0.0,Freddie Gillespie,5,0,2020-2021,1.0,0,1.0,TOR,103,Pascal Siakam,,,,,,,,,,,,,40:25,OG Anunoby,35:35,Malachi Flynn,35:23,Gary Trent Jr.,35:09,Khem Birch,25:05,Chris Boucher,23:32,Rodney Hood,17:58,Yuta Watanabe,15:05,,
0,,0,0.000,1,1.00,112,2,3,37.5,3,.600,3.0,60.0,5.0,5,3,.750,4,80.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202104140TOR.html,Home,117,18:55,5,62.5,SAS,DeMar DeRozan,,,,,,,,,,,,,37:36,Derrick White,34:08,Dejounte Murray,32:17,Patty Mills,30:21,Jakob Poeltl,26:43,Keldon Johnson,24:36,Rudy Gay,19:21,Drew Eubanks,17:53,Lonnie Walker IV,17:05,112,2,9,6.0,66.7,0.0,0.0,3.0,33.3,Freddie Gillespie,5,0,2020-2021,2.0,1,8.0,TOR,117,Pascal Siakam,,,,,,,,,,,,,37:25,OG Anunoby,34:06,Chris Boucher,33:27,Malachi Flynn,32:12,Khem Birch,29:05,Yuta Watanabe,19:54,Rodney Hood,14:57,Paul Watson,14:39,Stanley Johnson,5:20
0,,0,0.000,0,0.00,102,0,6,85.7,5,.625,5.0,62.5,8.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202104160TOR.html,Home,113,21:47,1,14.3,ORL,Wendell Carter Jr.,Donta Hall,16:27,Robert Franks,1:58,Devin Cannady,1:57,,,,,,,31:33,James Ennis III,29:09,Cole Anthony,29:06,Gary Harris,26:57,Chuma Okeke,25:49,Terrence Ross,21:51,R.J. Hampton,19:06,Chasson Randle,18:54,Dwayne Bacon,17:13,102,4,10,10.0,100.0,0.0,0.0,0.0,0.0,Freddie Gillespie,11,0,2020-2021,0.0,1,7.0,TOR,113,Malachi Flynn,,,,,,,,,,,,,34:11,Chris Boucher,31:13,Yuta Watanabe,26:57,Khem Birch,26:13,Paul Watson,25:38,Fred VanVleet,23:23,Stanley Johnson,20:45,Rodney Hood,17:07,DeAndre' Bembry,12:46
0,,0,0.000,1,,106,1,0,0.0,4,1.000,4.0,100.0,4.0,4,2,1.000,2,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202104180TOR.html,Home,112,19:02,2,100.0,OKC,Darius Bazley,Svi Mykhailiuk,17:51,,,,,,,,,,,33:06,Luguentz Dort,31:07,Aleksej Pokusevski,28:26,Théo Maledon,27:56,Kenrich Williams,21:17,Isaiah Roby,20:56,Moses Brown,20:15,Ty Jerome,19:36,Tony Bradley,19:30,106,1,10,8.0,80.0,0.0,0.0,2.0,20.0,Freddie Gillespie,6,0,2020-2021,1.0,0,2.0,TOR,112,Chris Boucher,,,,,,,,,,,,,35:18,Gary Trent Jr.,33:00,Malachi Flynn,30:51,Yuta Watanabe,29:19,Khem Birch,28:58,Paul Watson,22:14,DeAndre' Bembry,20:25,Stanley Johnson,13:49,Rodney Hood,7:04
0,,0,0.000,1,,103,5,3,60.0,1,.250,1.0,25.0,4.0,4,2,1.000,2,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202104210TOR.html,Home,114,23:38,2,40.0,BRK,Kyrie Irving,,,,,,,,,,,,,37:08,Landry Shamet,36:16,Joe Harris,33:52,Bruce Brown,30:27,Jeff Green,29:17,DeAndre Jordan,28:32,Timothé Luwawu-Cabarrot,19:50,Blake Griffin,19:28,Alize Johnson,5:10,103,3,4,2.0,50.0,0.0,0.0,2.0,50.0,Freddie Gillespie,11,1,2020-2021,6.0,0,5.0,TOR,114,Pascal Siakam,,,,,,,,,,,,,37:33,Kyle Lowry,35:03,OG Anunoby,34:55,Fred VanVleet,34:43,Khem Birch,24:15,Gary Trent Jr.,14:27,Yuta Watanabe,13:49,Malachi Flynn,11:03,Chris Boucher,10:34
0,,0,0.000,1,1.00,103,0,0,0.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104240NYK.html,Away,120,12:39,1,100.0,NYK,Julius Randle,,,,,,,,,,,,,39:22,RJ Barrett,38:05,Reggie Bullock,37:02,Derrick Rose,33:16,Nerlens Noel,29:14,Immanuel Quickley,20:53,Taj Gibson,18:46,Elfrid Payton,14:44,Obi Toppin,8:38,120,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Freddie Gillespie,17,0,2020-2021,0.0,1,1.0,TOR,103,Pascal Siakam,,,,,,,,,,,,,40:37,Fred VanVleet,40:04,OG Anunoby,38:31,Kyle Lowry,36:24,Khem Birch,32:52,Gary Trent Jr.,18:58,Yuta Watanabe,14:24,Malachi Flynn,5:31,,
0,,0,0.000,0,0.00,96,0,1,50.0,1,.500,1.0,50.0,2.0,2,4,1.000,4,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202104260TOR.html,Home,112,13:39,1,50.0,CLE,Cedi Osman,,,,,,,,,,,,,38:07,Darius Garland,33:45,Isaac Okoro,32:10,Dean Wade,31:57,Jarrett Allen,31:12,Kevin Love,24:02,Damyean Dotson,23:56,Brodric Thomas,16:02,Mfiondu Kabengele,8:49,96,5,6,2.0,33.3,0.0,0.0,4.0,66.7,Freddie Gillespie,16,0,2020-2021,0.0,2,2.0,TOR,112,Kyle Lowry,Rodney Hood,6:39,,,,,,,,,,,33:40,OG Anunoby,32:16,Fred VanVleet,31:35,Pascal Siakam,31:20,Khem Birch,29:06,Malachi Flynn,24:07,Yuta Watanabe,19:52,Stanley Johnson,10:36,DeAndre' Bembry,7:10
0,,0,0.000,0,,116,0,3,60.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104270TOR.html,Home,103,11:44,2,40.0,BRK,Jeff Green,,,,,,,,,,,,,36:33,Kyrie Irving,34:57,Landry Shamet,33:21,Kevin Durant,32:37,Joe Harris,32:19,Tyler Johnson,26:55,Blake Griffin,22:04,Mike James,21:14,,,116,3,2,2.0,100.0,0.0,0.0,0.0,0.0,Freddie Gillespie,13,0,2020-2021,0.0,0,5.0,TOR,103,Fred VanVleet,Rodney Hood,0:26,,,,,,,,,,,42:03,Kyle Lowry,37:02,Pascal Siakam,35:08,Khem Birch,32:02,OG Anunoby,31:40,Malachi Flynn,20:33,Yuta Watanabe,18:13,Stanley Johnson,7:01,DeAndre' Bembry,4:08
