3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,125,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310300MEM.html,Home,110,0:38,0,,DAL,Luka Dončić,Jaden Hardy,9:43,Dante Exum,6:15,,,,,,,,,40:00,Josh Green,34:16,Grant Williams,31:12,Tim Hardaway Jr.,29:14,Derrick Jones Jr.,26:40,Maxi Kleber,22:08,Seth Curry,14:40,Dereck Lively II,13:38,Dwight Powell,12:14,125,0,0,0.0,,0.0,,0.0,,GG Jackson II,15,0,2023-2024,0.0,0,0.0,MEM,110,Desmond Bane,Jacob Gilyard,0:38,Kenneth Lofton Jr.,0:38,Vince Williams Jr.,0:38,,,,,,,37:29,Marcus Smart,35:24,Jaren Jackson Jr.,33:55,Ziaire Williams,33:05,David Roddy,28:59,Xavier Tillman Sr.,28:52,John Konchar,19:12,Derrick Rose,14:16,Jake LaRavia,6:16
0,.000,1,33.333,0,,91,0,2,66.7,0,.000,0.0,0.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311220HOU.html,Away,111,4:15,1,33.3,HOU,Fred VanVleet,Jock Landale,4:15,Reggie Bullock,4:15,Jeenathan Williams,3:16,,,,,,,39:22,Alperen Sengun,31:43,Jalen Green,29:41,Jabari Smith Jr.,27:00,Dillon Brooks,26:31,Jae'Sean Tate,26:06,Tari Eason,19:10,Aaron Holiday,16:37,Jeff Green,12:01,111,0,0,0.0,,0.0,,0.0,,GG Jackson II,20,0,2023-2024,0.0,0,3.0,MEM,91,Jaren Jackson Jr.,Kenneth Lofton Jr.,4:15,Vince Williams Jr.,4:15,,,,,,,,,36:52,Bismack Biyombo,31:27,John Konchar,29:02,Desmond Bane,25:31,Jacob Gilyard,24:08,Santi Aldama,22:15,David Roddy,21:37,Ziaire Williams,20:06,Derrick Rose,16:16
0,.000,1,100.000,0,0.00,110,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311240MEM.html,Home,89,1:38,0,,PHO,Grayson Allen,,,,,,,,,,,,,36:35,Eric Gordon,34:28,Devin Booker,33:22,Jusuf Nurkić,32:32,Josh Okogie,27:56,Keita Bates-Diop,23:38,Jordan Goodwin,20:15,Nassir Little,15:46,Chimezie Metu,15:28,110,0,0,0.0,,0.0,,0.0,,GG Jackson II,21,1,2023-2024,1.0,1,0.0,MEM,89,Santi Aldama,Kenneth Lofton Jr.,1:38,Shaquille Harrison,1:38,Jaylen Nowell,1:38,Ziaire Williams,1:38,,,,,35:45,Desmond Bane,34:00,Bismack Biyombo,29:18,Jaren Jackson Jr.,28:50,David Roddy,27:22,Jacob Gilyard,23:33,Derrick Rose,21:34,John Konchar,17:44,Vince Williams Jr.,13:43
2,.667,3,50.000,0,,97,1,0,,3,.500,1.0,33.3,3.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312180OKC.html,Away,116,12:00,0,,OKC,Shai Gilgeous-Alexander,Aaron Wiggins,11:44,Jaylin Williams,9:12,Vasilije Micić,7:18,Olivier Sarr,6:57,Tre Mann,6:57,,,28:24,Jalen Williams,28:24,Chet Holmgren,24:54,Josh Giddey,23:48,Luguentz Dort,21:18,Isaiah Joe,19:28,Ousmane Dieng,19:18,Cason Wallace,16:49,Kenrich Williams,15:29,116,2,8,2.0,25.0,6.0,75.0,0.0,0.0,GG Jackson II,19,0,2023-2024,1.0,0,0.0,MEM,97,Jacob Gilyard,Jake LaRavia,12:00,,,,,,,,,,,34:06,Desmond Bane,27:56,Jaren Jackson Jr.,25:13,Xavier Tillman Sr.,24:41,Vince Williams Jr.,23:08,David Roddy,22:17,Ziaire Williams,21:48,Santi Aldama,19:58,John Konchar,16:53
0,.000,1,50.000,0,,120,0,0,,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202401090DAL.html,Away,103,2:03,0,,DAL,Kyrie Irving,Markieff Morris,5:41,A.J. Lawson,4:42,Brandon Williams,3:03,Richaun Holmes,2:59,,,,,40:05,Derrick Jones Jr.,36:10,Luka Dončić,35:54,Tim Hardaway Jr.,29:35,Josh Green,23:02,Dwight Powell,22:14,Jaden Hardy,19:00,Seth Curry,10:23,Grant Williams,7:12,103,0,0,0.0,,0.0,,0.0,,GG Jackson II,17,0,2023-2024,0.0,0,0.0,MEM,120,Desmond Bane,Jake LaRavia,2:03,,,,,,,,,,,39:17,Vince Williams Jr.,29:37,Xavier Tillman Sr.,27:48,Ziaire Williams,26:35,David Roddy,25:11,John Konchar,25:06,Luke Kennard,23:03,Marcus Smart,21:08,Bismack Biyombo,18:09
0,.000,1,20.000,1,,128,0,2,40.0,1,.200,1.0,25.0,4.0,5,2,.667,3,60.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202401120MEM.html,Home,119,9:18,3,60.0,LAC,Paul George,Jordan Miller,4:13,Brandon Boston Jr.,4:13,Kobe Brown,4:13,,,,,,,34:37,Kawhi Leonard,28:41,James Harden,27:47,Terance Mann,26:27,Amir Coffey,25:46,Norman Powell,24:16,Ivica Zubac,21:57,Daniel Theis,21:50,Russell Westbrook,16:00,128,1,4,2.0,50.0,0.0,0.0,2.0,50.0,GG Jackson II,9,0,2023-2024,0.0,0,5.0,MEM,119,Xavier Tillman Sr.,John Konchar,6:16,,,,,,,,,,,30:35,Jaren Jackson Jr.,29:37,Luke Kennard,29:16,David Roddy,26:55,Vince Williams Jr.,26:32,Desmond Bane,22:48,Jacob Gilyard,20:07,Jake LaRavia,19:53,Ziaire Williams,18:43
2,.500,4,28.571,1,0.50,106,2,4,66.7,9,.643,7.0,70.0,10.0,14,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202401130MEM.html,Home,94,27:03,2,33.3,NYK,Isaiah Hartenstein,,,,,,,,,,,,,42:07,Miles McBride,38:03,Julius Randle,35:37,Donte DiVincenzo,32:56,OG Anunoby,31:40,Josh Hart,28:43,Quentin Grimes,15:04,Malachi Flynn,9:57,Precious Achiuwa,5:53,106,0,20,14.0,70.0,6.0,30.0,0.0,0.0,GG Jackson II,12,0,2023-2024,2.0,2,6.0,MEM,94,Xavier Tillman Sr.,,,,,,,,,,,,,36:11,Vince Williams Jr.,35:42,David Roddy,34:53,Luke Kennard,33:18,Jacob Gilyard,31:38,John Konchar,20:25,Ziaire Williams,19:31,Jake LaRavia,1:19,,
5,.625,8,88.889,1,0.50,107,2,5,83.3,6,.667,1.0,100.0,1.0,9,6,.750,8,88.889,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202401150MEM.html,Home,116,29:10,1,16.7,GSW,Klay Thompson,Cory Joseph,6:44,Lester Quiñones,5:04,,,,,,,,,34:07,Stephen Curry,32:44,Andrew Wiggins,30:50,Jonathan Kuminga,29:07,Brandin Podziemski,26:53,Draymond Green,23:30,Dario Šarić,23:29,Kevon Looney,17:45,Trayce Jackson-Davis,9:45,107,3,23,2.0,8.7,15.0,65.2,6.0,26.1,GG Jackson II,9,2,2023-2024,4.0,2,6.0,MEM,116,Vince Williams Jr.,,,,,,,,,,,,,37:52,Jaren Jackson Jr.,33:18,Luke Kennard,31:56,Xavier Tillman Sr.,30:17,David Roddy,21:24,Ziaire Williams,19:48,Jacob Gilyard,19:07,Santi Aldama,17:06,,
0,.000,2,66.667,0,0.00,103,0,1,33.3,0,.000,0.0,0.0,1.0,3,1,.500,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202401180MIN.html,Away,118,10:23,2,66.7,MIN,Rudy Gobert,Luka Garza,0:38,Wendell Moore Jr.,0:38,,,,,,,,,38:53,Jaden McDaniels,35:36,Anthony Edwards,34:27,Mike Conley,29:44,Karl-Anthony Towns,29:22,Nickeil Alexander-Walker,24:30,Naz Reid,23:47,Kyle Anderson,15:03,Jordan McLaughlin,7:18,118,2,1,0.0,0.0,0.0,0.0,1.0,100.0,GG Jackson II,15,0,2023-2024,0.0,1,3.0,MEM,103,Xavier Tillman Sr.,,,,,,,,,,,,,35:56,Vince Williams Jr.,34:37,Luke Kennard,31:24,Jaren Jackson Jr.,27:09,John Konchar,26:51,Santi Aldama,24:52,David Roddy,23:18,Jacob Gilyard,13:23,Ziaire Williams,12:04
2,1.000,2,66.667,0,,96,0,1,100.0,2,.667,0.0,0.0,1.0,3,4,.667,6,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202401200CHI.html,Away,125,18:30,0,0.0,CHI,DeMar DeRozan,Julian Phillips,4:19,Terry Taylor,3:44,,,,,,,,,36:36,Coby White,36:07,Ayo Dosunmu,27:55,Patrick Williams,26:48,Nikola Vučević,25:24,Alex Caruso,25:18,Andre Drummond,18:52,Dalen Terry,18:06,Jevon Carter,16:51,125,2,10,0.0,0.0,6.0,60.0,4.0,40.0,GG Jackson II,29,0,2023-2024,0.0,0,1.0,MEM,96,Jaren Jackson Jr.,,,,,,,,,,,,,33:06,David Roddy,31:37,Vince Williams Jr.,29:53,Luke Kennard,29:44,Santi Aldama,27:44,John Konchar,26:35,Ziaire Williams,22:07,Jacob Gilyard,15:38,Scotty Pippen Jr.,5:06
