3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,1,,94,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202310250TOR.html,Home,97,2:07,0,,MIN,Anthony Edwards,,,,,,,,,,,,,38:18,Karl-Anthony Towns,35:58,Rudy Gobert,32:00,Mike Conley,30:30,Kyle Anderson,30:19,Naz Reid,23:46,Nickeil Alexander-Walker,22:38,Shake Milton,21:16,Troy Brown Jr.,5:15,94,1,0,0.0,,0.0,,0.0,,Gradey Dick,3,0,2023-2024,0.0,0,0.0,TOR,97,Scottie Barnes,,,,,,,,,,,,,37:03,Pascal Siakam,34:06,OG Anunoby,33:48,Dennis Schröder,32:33,Gary Trent Jr.,26:42,Precious Achiuwa,24:17,Jakob Poeltl,23:43,Jalen McDaniels,16:08,Malachi Flynn,9:33
0,.000,2,100.000,0,,103,0,1,100.0,0,.000,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310270CHI.html,Away,104,5:45,0,0.0,CHI,DeMar DeRozan,Ayo Dosunmu,10:59,,,,,,,,,,,41:21,Nikola Vučević,40:29,Coby White,40:23,Zach LaVine,38:15,Alex Caruso,31:39,Torrey Craig,23:45,Patrick Williams,13:15,Jevon Carter,12:35,Andre Drummond,12:19,104,0,0,0.0,,0.0,,0.0,,Gradey Dick,1,0,2023-2024,0.0,0,1.0,TOR,103,Pascal Siakam,Malachi Flynn,4:26,,,,,,,,,,,41:17,Scottie Barnes,38:35,Gary Trent Jr.,36:09,Dennis Schröder,35:19,OG Anunoby,27:49,Precious Achiuwa,22:38,Jakob Poeltl,18:47,Jalen McDaniels,17:36,Chris Boucher,16:39
4,.667,6,75.000,1,1.00,114,0,0,0.0,5,.625,1.0,50.0,2.0,8,2,1.000,2,25.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310280TOR.html,Home,107,28:27,2,100.0,PHI,Tyrese Maxey,Danny Green,4:46,,,,,,,,,,,40:34,Tobias Harris,35:48,Joel Embiid,35:21,De'Anthony Melton,31:47,Kelly Oubre Jr.,29:22,P.J. Tucker,21:12,Patrick Beverley,16:58,Paul Reed,12:39,Danuel House Jr.,11:33,114,5,16,2.0,12.5,12.0,75.0,2.0,12.5,Gradey Dick,7,0,2023-2024,0.0,1,2.0,TOR,107,Scottie Barnes,,,,,,,,,,,,,36:39,Pascal Siakam,36:18,Dennis Schröder,35:17,Gary Trent Jr.,33:05,Jakob Poeltl,24:48,Precious Achiuwa,18:15,Malachi Flynn,12:43,Chris Boucher,11:42,Jalen McDaniels,2:46
0,.000,3,42.857,0,,99,0,5,83.3,2,.286,2.0,50.0,4.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310300TOR.html,Home,91,20:50,1,16.7,POR,Shaedon Sharpe,,,,,,,,,,,,,38:13,Jerami Grant,37:07,Scoot Henderson,34:25,Deandre Ayton,32:01,Malcolm Brogdon,29:24,Toumani Camara,23:21,Matisse Thybulle,18:52,Jabari Walker,15:59,Skylar Mays,10:38,99,3,4,4.0,100.0,0.0,0.0,0.0,0.0,Gradey Dick,8,2,2023-2024,2.0,0,6.0,TOR,91,Scottie Barnes,,,,,,,,,,,,,37:21,Pascal Siakam,35:06,Dennis Schröder,32:00,OG Anunoby,30:14,Jakob Poeltl,28:27,Gary Trent Jr.,18:53,Chris Boucher,16:56,Malachi Flynn,14:51,Jalen McDaniels,5:22
1,.125,8,80.000,0,,111,0,1,100.0,2,.200,1.0,50.0,2.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311010TOR.html,Home,130,21:15,0,0.0,MIL,Damian Lillard,MarJon Beauchamp,15:59,Andre Jackson Jr.,6:21,Chris Livingston,5:31,A.J. Green,5:31,Thanasis Antetokounmpo,3:49,,,30:36,Giannis Antetokounmpo,27:41,Malik Beasley,25:15,Jae Crowder,25:04,Pat Connaughton,22:38,Cameron Payne,19:06,Bobby Portis,18:42,Khris Middleton,17:08,Brook Lopez,16:39,111,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Gradey Dick,19,0,2023-2024,0.0,0,1.0,TOR,130,Pascal Siakam,Garrett Temple,2:41,,,,,,,,,,,32:54,Jakob Poeltl,29:08,Dennis Schröder,28:36,Scottie Barnes,28:35,OG Anunoby,24:57,Gary Trent Jr.,23:25,Malachi Flynn,19:24,Otto Porter Jr.,15:37,Chris Boucher,13:28
0,,0,0.000,1,1.00,99,0,0,,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311020PHI.html,Away,114,13:35,0,,PHI,Tobias Harris,Mo Bamba,1:15,Robert Covington,1:15,KJ Martin,1:15,,,,,,,40:01,Tyrese Maxey,40:01,Joel Embiid,34:45,Kelly Oubre Jr.,29:53,Patrick Beverley,28:05,Furkan Korkmaz,21:33,De'Anthony Melton,21:20,Paul Reed,12:00,Jaden Springer,8:37,114,1,0,0.0,,0.0,,0.0,,Gradey Dick,15,0,2023-2024,0.0,1,0.0,TOR,99,Scottie Barnes,Garrett Temple,2:23,Thaddeus Young,2:23,,,,,,,,,35:02,Pascal Siakam,33:09,OG Anunoby,32:45,Dennis Schröder,31:25,Jakob Poeltl,27:47,Gary Trent Jr.,23:08,Malachi Flynn,16:34,Chris Boucher,12:47,Jalen McDaniels,9:00
0,.000,2,100.000,4,4.00,123,0,2,66.7,0,.000,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311050SAS.html,Away,116,14:09,1,33.3,SAS,Zach Collins,Julian Champagnie,6:37,,,,,,,,,,,38:14,Victor Wembanyama,37:54,Keldon Johnson,37:41,Tre Jones,32:01,Jeremy Sochan,28:49,Cedi Osman,25:40,Malaki Branham,25:22,Doug McDermott,24:00,Charles Bassey,8:39,116,1,0,0.0,,0.0,,0.0,,Gradey Dick,7,0,2023-2024,0.0,1,3.0,TOR,123,Scottie Barnes,,,,,,,,,,,,,42:11,Dennis Schröder,38:03,OG Anunoby,38:02,Pascal Siakam,35:49,Gary Trent Jr.,29:01,Jakob Poeltl,28:29,Otto Porter Jr.,19:20,Malachi Flynn,14:57,Jalen McDaniels,4:58
0,,0,0.000,0,0.00,127,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311080DAL.html,Away,116,6:37,0,,DAL,Luka Dončić,Dante Exum,7:37,Richaun Holmes,7:06,,,,,,,,,38:24,Kyrie Irving,35:52,Derrick Jones Jr.,29:10,Grant Williams,27:18,Tim Hardaway Jr.,25:34,Dwight Powell,24:26,Josh Green,17:35,Maxi Kleber,15:07,Jaden Hardy,11:50,116,1,0,0.0,,0.0,,0.0,,Gradey Dick,11,0,2023-2024,0.0,2,0.0,TOR,127,Scottie Barnes,,,,,,,,,,,,,39:09,Pascal Siakam,37:11,OG Anunoby,35:43,Dennis Schröder,29:43,Gary Trent Jr.,26:07,Jakob Poeltl,20:43,Otto Porter Jr.,15:05,Chris Boucher,14:53,Malachi Flynn,14:47
0,.000,2,50.000,1,1.00,94,0,1,100.0,1,.250,1.0,50.0,2.0,4,2,1.000,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311110BOS.html,Away,117,14:32,0,0.0,BOS,Jayson Tatum,Dalano Banton,6:03,Oshae Brissett,4:47,Svi Mykhailiuk,4:47,,,,,,,34:05,Jaylen Brown,31:41,Jrue Holiday,29:48,Kristaps Porziņģis,27:32,Derrick White,25:32,Payton Pritchard,24:30,Al Horford,24:01,Sam Hauser,18:25,Luke Kornet,8:47,117,1,4,2.0,50.0,0.0,0.0,2.0,50.0,Gradey Dick,23,0,2023-2024,0.0,1,1.0,TOR,94,Scottie Barnes,Jalen McDaniels,8:56,Thaddeus Young,4:01,Garrett Temple,4:01,,,,,,,28:43,Pascal Siakam,28:07,OG Anunoby,27:31,Dennis Schröder,25:19,Malachi Flynn,22:41,Chris Boucher,21:58,Jakob Poeltl,21:17,Precious Achiuwa,18:31,Otto Porter Jr.,14:20
2,.667,3,75.000,2,1.00,107,0,1,25.0,3,.750,1.0,100.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311130TOR.html,Home,111,24:01,3,75.0,WAS,Kyle Kuzma,,,,,,,,,,,,,37:57,Jordan Poole,35:10,Bilal Coulibaly,33:16,Tyus Jones,30:59,Deni Avdija,29:48,Daniel Gafford,25:50,Corey Kispert,24:21,Landry Shamet,15:22,Mike Muscala,7:15,107,2,8,2.0,25.0,6.0,75.0,0.0,0.0,Gradey Dick,4,0,2023-2024,0.0,2,4.0,TOR,111,Scottie Barnes,,,,,,,,,,,,,38:05,Pascal Siakam,37:32,Dennis Schröder,34:54,Jakob Poeltl,24:10,Malachi Flynn,22:45,Chris Boucher,20:30,Precious Achiuwa,19:16,Otto Porter Jr.,14:15,Jalen McDaniels,4:32
