3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,3,50.000,1,,105,0,1,33.3,2,.333,2.0,66.7,3.0,6,0,.000,2,33.333,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110230POR.html,Home,134,6:25,2,66.7,PHO,Devin Booker,JaVale McGee,11:24,Jalen Smith,9:44,Frank Kaminsky,9:44,Chandler Hutchison,6:25,,,,,28:11,Deandre Ayton,25:44,Mikal Bridges,25:31,Chris Paul,25:30,Elfrid Payton,24:53,Jae Crowder,23:43,Abdel Nader,17:38,Landry Shamet,17:00,Cameron Johnson,14:33,105,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Greg Brown III,29,0,2021-2022,0.0,0,3.0,POR,134,CJ McCollum,Norman Powell,12:25,CJ Elleby,8:04,Ben McLemore,6:25,,,,,,,29:47,Nassir Little,27:26,Robert Covington,25:50,Jusuf Nurkić,25:16,Damian Lillard,24:29,Anfernee Simons,24:00,Larry Nance Jr.,21:44,Dennis Smith Jr.,15:15,Cody Zeller,12:54
0,,0,0.000,1,0.50,86,0,4,80.0,2,.500,2.0,50.0,4.0,4,0,.000,1,25.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110250LAC.html,Away,116,8:50,1,20.0,LAC,Reggie Jackson,Amir Coffey,12:00,Jay Scrubb,8:50,Brandon Boston Jr.,8:50,,,,,,,26:41,Paul George,26:35,Ivica Zubac,24:59,Terance Mann,24:39,Luke Kennard,24:03,Eric Bledsoe,22:23,Nicolas Batum,22:11,Justise Winslow,21:25,Isaiah Hartenstein,17:23,116,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Greg Brown III,30,0,2021-2022,0.0,2,5.0,POR,86,CJ McCollum,Ben McLemore,10:53,CJ Elleby,8:50,,,,,,,,,32:25,Nassir Little,31:50,Damian Lillard,27:50,Robert Covington,23:40,Jusuf Nurkić,23:26,Anfernee Simons,20:27,Dennis Smith Jr.,20:24,Larry Nance Jr.,18:21,Cody Zeller,13:03
0,,0,0.000,1,,96,1,2,100.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110270POR.html,Home,116,5:20,0,0.0,MEM,Ja Morant,Tyus Jones,15:10,Sam Merrill,12:00,Xavier Tillman Sr.,6:36,Santi Aldama,5:34,Jarrett Culver,5:34,Killian Tillie,5:34,31:51,De'Anthony Melton,25:15,Desmond Bane,23:11,Kyle Anderson,22:23,Ziaire Williams,18:52,Jaren Jackson Jr.,18:18,Steven Adams,17:47,John Konchar,16:42,Brandon Clarke,15:13,96,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Greg Brown III,20,1,2021-2022,2.0,0,2.0,POR,116,CJ McCollum,CJ Elleby,5:20,,,,,,,,,,,32:25,Damian Lillard,32:14,Anfernee Simons,28:05,Robert Covington,27:28,Nassir Little,26:59,Cody Zeller,24:31,Jusuf Nurkić,23:28,Dennis Smith Jr.,18:58,Larry Nance Jr.,15:12
0,,0,0.000,1,,92,1,0,0.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110290POR.html,Home,111,3:05,1,100.0,LAC,Reggie Jackson,Jay Scrubb,3:19,Justise Winslow,3:19,,,,,,,,,33:49,Paul George,33:37,Luke Kennard,32:38,Terance Mann,29:14,Nicolas Batum,26:18,Ivica Zubac,22:09,Eric Bledsoe,21:37,Isaiah Hartenstein,19:37,Amir Coffey,14:23,92,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Greg Brown III,19,0,2021-2022,1.0,0,1.0,POR,111,Damian Lillard,CJ Elleby,3:05,Dennis Smith Jr.,3:05,,,,,,,,,34:09,Robert Covington,33:09,CJ McCollum,32:23,Nassir Little,24:08,Norman Powell,23:52,Anfernee Simons,23:51,Jusuf Nurkić,22:46,Cody Zeller,20:14,Larry Nance Jr.,16:13
0,,0,0.000,0,,113,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110310CHO.html,Away,125,0:54,0,,CHO,Miles Bridges,,,,,,,,,,,,,34:22,Terry Rozier,33:11,LaMelo Ball,33:10,Kelly Oubre Jr.,31:40,Gordon Hayward,29:18,Mason Plumlee,26:38,P.J. Washington,21:22,Cody Martin,15:29,Ish Smith,14:50,125,0,0,0.0,,0.0,,0.0,,Greg Brown III,12,0,2021-2022,0.0,0,0.0,POR,113,Damian Lillard,CJ Elleby,0:54,Dennis Smith Jr.,0:54,,,,,,,,,37:48,CJ McCollum,37:44,Norman Powell,33:20,Robert Covington,29:09,Jusuf Nurkić,25:43,Anfernee Simons,18:54,Nassir Little,18:27,Cody Zeller,18:15,Larry Nance Jr.,17:58
0,.000,1,33.333,0,,90,0,1,100.0,0,.000,0.0,0.0,2.0,3,2,1.000,2,66.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111060POR.html,Home,105,5:26,0,0.0,LAL,Russell Westbrook,Rajon Rondo,12:35,Sekou Doumbouya,8:03,Jay Huff,8:03,Anthony Davis,7:09,,,,,29:29,Carmelo Anthony,26:38,Wayne Ellington,24:53,Austin Reaves,24:33,Avery Bradley,22:46,Malik Monk,21:53,DeAndre Jordan,20:07,Kent Bazemore,19:07,Dwight Howard,14:44,90,1,2,0.0,0.0,0.0,0.0,2.0,100.0,Greg Brown III,15,0,2021-2022,0.0,0,1.0,POR,105,Robert Covington,Cody Zeller,11:27,Tony Snell,8:03,Ben McLemore,5:26,CJ Elleby,5:26,,,,,32:28,Damian Lillard,30:48,Norman Powell,27:22,CJ McCollum,24:23,Anfernee Simons,23:23,Jusuf Nurkić,21:39,Larry Nance Jr.,16:57,Nassir Little,15:12,Dennis Smith Jr.,12:00
0,,0,0.000,0,,100,1,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111230POR.html,Home,119,3:40,0,,DEN,Jeff Green,Markus Howard,3:25,Vlatko Čančar,3:25,Bol Bol,3:25,Petr Cornelie,3:25,,,,,34:42,Will Barton,34:32,Aaron Gordon,32:17,Monte Morris,30:14,Facundo Campazzo,28:35,JaMychal Green,26:09,Austin Rivers,20:51,Zeke Nnaji,14:58,PJ Dozier,4:02,100,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Greg Brown III,19,1,2021-2022,2.0,0,0.0,POR,119,CJ McCollum,Cody Zeller,9:51,CJ Elleby,3:40,Ben McLemore,3:40,Dennis Smith Jr.,3:40,,,,,34:29,Damian Lillard,31:18,Robert Covington,27:00,Norman Powell,26:17,Jusuf Nurkić,24:10,Nassir Little,23:16,Anfernee Simons,22:53,Larry Nance Jr.,15:22,Tony Snell,10:44
0,,0,0.000,0,,107,0,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111290UTA.html,Away,129,3:36,0,0.0,UTA,Donovan Mitchell,Eric Paschall,2:16,Jared Butler,2:16,Elijah Hughes,2:16,Miye Oni,2:16,,,,,32:26,Bojan Bogdanović,32:26,Rudy Gobert,31:56,Jordan Clarkson,30:15,Joe Ingles,28:47,Mike Conley,25:58,Rudy Gay,22:23,Hassan Whiteside,13:48,Trent Forrest,12:57,129,0,0,0.0,,0.0,,0.0,,Greg Brown III,22,0,2021-2022,0.0,0,1.0,POR,107,CJ McCollum,Dennis Smith Jr.,3:36,Trendon Watford,3:36,CJ Elleby,3:36,Ben McLemore,3:36,,,,,37:42,Damian Lillard,31:09,Anfernee Simons,29:14,Jusuf Nurkić,26:53,Nassir Little,26:39,Robert Covington,19:08,Cody Zeller,17:31,Larry Nance Jr.,17:28,Tony Snell,16:16
0,,0,0.000,0,,92,0,0,0.0,0,.000,0.0,0.0,1.0,1,0,.000,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111300POR.html,Home,110,3:11,1,100.0,DET,Jerami Grant,Josh Jackson,7:31,Rodney McGruder,4:44,Luka Garza,3:16,,,,,,,35:09,Cade Cunningham,33:04,Isaiah Stewart,32:55,Killian Hayes,31:09,Saddiq Bey,26:08,Frank Jackson,23:57,Cory Joseph,20:40,Trey Lyles,11:49,Hamidou Diallo,9:36,92,1,0,0.0,,0.0,,0.0,,Greg Brown III,18,0,2021-2022,0.0,0,1.0,POR,110,CJ McCollum,Trendon Watford,3:11,Keljin Blevins,3:11,CJ Elleby,3:11,,,,,,,36:13,Anfernee Simons,35:37,Jusuf Nurkić,27:01,Tony Snell,26:37,Larry Nance Jr.,25:18,Robert Covington,24:05,Ben McLemore,18:12,Cody Zeller,17:21,Dennis Smith Jr.,16:51
0,,0,,1,,114,1,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112020POR.html,Home,83,5:02,0,,SAS,Dejounte Murray,Devin Vassell,10:16,Keita Bates-Diop,8:46,Drew Eubanks,3:44,Jock Landale,3:44,,,,,34:30,Keldon Johnson,33:42,Derrick White,30:06,Jakob Poeltl,29:39,Doug McDermott,21:38,Tre Jones,18:46,Bryn Forbes,15:18,Lonnie Walker IV,15:13,Thaddeus Young,14:36,114,0,0,0.0,,0.0,,0.0,,Greg Brown III,31,0,2021-2022,1.0,0,0.0,POR,83,CJ McCollum,Cody Zeller,9:54,CJ Elleby,5:02,Keljin Blevins,5:02,Trendon Watford,5:02,,,,,31:33,Norman Powell,28:54,Robert Covington,28:49,Ben McLemore,27:26,Jusuf Nurkić,23:28,Larry Nance Jr.,20:42,Tony Snell,19:38,Dennis Smith Jr.,18:50,Anfernee Simons,10:38
