3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,93,1,2,66.7,0,,0.0,,0.0,0,0,.000,2,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312110GSW.html,Home,95,7:11,1,33.3,DAL,Monta Ellis,,,,,,,,,,,,,35:32,Shawn Marion,35:04,Dirk Nowitzki,34:42,José Calderón,33:56,Samuel Dalembert,23:59,Vince Carter,23:25,DeJuan Blair,23:11,Jae Crowder,18:44,Shane Larkin,11:27,93,0,0,0.0,,0.0,,0.0,,Hilton Armstrong,2,0,2013-2014,1.0,0,3.0,GSW,95,Harrison Barnes,,,,,,,,,,,,,44:21,Stephen Curry,43:56,David Lee,37:32,Klay Thompson,35:08,Andrew Bogut,34:44,Draymond Green,27:43,Marreese Speights,5:01,Toney Douglas,3:57,Kent Bazemore,0:27
0,,0,0.000,0,,116,0,2,66.7,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312130GSW.html,Home,112,4:19,1,33.3,HOU,James Harden,,,,,,,,,,,,,42:16,Terrence Jones,34:59,Chandler Parsons,32:59,Dwight Howard,30:54,Patrick Beverley,30:17,Omri Casspi,20:54,Jeremy Lin,20:37,Francisco García,18:10,Donatas Motiejūnas,8:54,116,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Hilton Armstrong,4,0,2013-2014,0.0,0,3.0,GSW,112,Klay Thompson,,,,,,,,,,,,,45:02,Stephen Curry,39:07,Harrison Barnes,37:36,David Lee,37:01,Andrew Bogut,26:58,Draymond Green,20:54,Marreese Speights,15:35,Toney Douglas,13:21,Kent Bazemore,0:07
0,,0,,0,,93,0,3,60.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312170GSW.html,Home,104,4:49,2,40.0,NOP,Ryan Anderson,Anthony Morrow,15:41,Jeff Withey,6:58,,,,,,,,,29:22,Jrue Holiday,27:28,Austin Rivers,27:02,Al-Farouq Aminu,26:39,Eric Gordon,24:12,Darius Miller,23:22,Jason Smith,22:28,Brian Roberts,20:32,Lou Amundson,16:16,93,0,0,0.0,,0.0,,0.0,,Hilton Armstrong,11,0,2013-2014,0.0,0,5.0,GSW,104,Klay Thompson,Kent Bazemore,6:21,Nemanja Nedović,3:30,,,,,,,,,36:47,David Lee,33:33,Stephen Curry,32:40,Draymond Green,27:11,Harrison Barnes,23:41,Andrew Bogut,20:40,Marreese Speights,18:07,Andre Iguodala,17:23,Toney Douglas,15:18
0,,0,0.000,0,,83,0,0,,0,.000,0.0,0.0,1.0,1,0,.000,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312210GSW.html,Home,102,3:00,0,,LAL,Wesley Johnson,Ryan Kelly,4:24,,,,,,,,,,,38:31,Xavier Henry,35:59,Jodie Meeks,33:26,Nick Young,30:38,Chris Kaman,28:19,Shawne Williams,23:09,Jordan Hill,20:00,Robert Sacre,19:40,Kendall Marshall,5:54,83,0,0,0.0,,0.0,,0.0,,Hilton Armstrong,19,0,2013-2014,0.0,0,0.0,GSW,102,David Lee,Kent Bazemore,11:01,,,,,,,,,,,32:48,Stephen Curry,32:46,Klay Thompson,32:46,Andrew Bogut,27:45,Harrison Barnes,25:46,Andre Iguodala,24:27,Draymond Green,20:55,Toney Douglas,15:17,Marreese Speights,13:29
0,,0,,0,,89,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312230DEN.html,Away,81,0:06,0,,DEN,Ty Lawson,Randy Foye,10:18,,,,,,,,,,,36:38,Wilson Chandler,32:31,Timofey Mozgov,32:05,Andre Miller,29:51,J.J. Hickson,26:22,Darrell Arthur,21:48,Jordan Hamilton,18:56,Nate Robinson,16:43,Anthony Randolph,14:48,81,0,0,0.0,,0.0,,0.0,,Hilton Armstrong,8,0,2013-2014,0.0,0,0.0,GSW,89,David Lee,Kent Bazemore,5:24,Nemanja Nedović,0:07,,,,,,,,,38:28,Klay Thompson,38:00,Stephen Curry,35:14,Andre Iguodala,30:51,Andrew Bogut,30:32,Harrison Barnes,21:38,Draymond Green,17:02,Marreese Speights,13:57,Toney Douglas,8:41
0,,0,,0,,103,0,0,0.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312250GSW.html,Home,105,1:07,1,100.0,LAC,Chris Paul,Antawn Jamison,5:05,,,,,,,,,,,39:58,DeAndre Jordan,38:59,Jamal Crawford,36:23,Blake Griffin,32:30,Jared Dudley,28:39,Matt Barnes,20:52,Darren Collison,18:11,Willie Green,11:37,Ryan Hollins,7:46,103,0,0,0.0,,0.0,,0.0,,Hilton Armstrong,2,0,2013-2014,0.0,0,1.0,GSW,105,Stephen Curry,Kent Bazemore,4:48,,,,,,,,,,,42:29,Klay Thompson,41:49,David Lee,39:05,Andre Iguodala,33:19,Andrew Bogut,27:48,Harrison Barnes,25:08,Marreese Speights,11:08,Draymond Green,7:48,Toney Douglas,5:31
0,,0,0.000,1,0.50,86,1,2,50.0,1,1.000,1.0,100.0,1.0,1,2,.500,4,400.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312270GSW.html,Home,115,7:40,2,50.0,PHO,Goran Dragić,Ish Smith,15:02,Archie Goodwin,14:44,Viacheslav Kravtsov,9:30,,,,,,,30:54,P.J. Tucker,28:13,Gerald Green,27:00,Markieff Morris,22:10,Channing Frye,20:30,Eric Bledsoe,18:34,Miles Plumlee,18:26,Marcus Morris,17:38,Dionte Christmas,17:19,86,2,4,2.0,50.0,0.0,0.0,2.0,50.0,Hilton Armstrong,29,1,2013-2014,2.0,2,4.0,GSW,115,Stephen Curry,Toney Douglas,14:19,Nemanja Nedović,6:11,,,,,,,,,33:33,Harrison Barnes,30:37,David Lee,26:12,Andre Iguodala,25:00,Klay Thompson,24:24,Andrew Bogut,21:37,Draymond Green,18:04,Kent Bazemore,17:13,Marreese Speights,15:10
0,,0,0.000,0,,83,0,2,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201402260CHI.html,Away,103,6:57,0,0.0,CHI,Jimmy Butler,Erik Murphy,4:52,Tornike Shengelia,2:08,,,,,,,,,36:35,Mike Dunleavy,36:14,Joakim Noah,32:35,Taj Gibson,27:26,Kirk Hinrich,24:58,Carlos Boozer,24:35,D.J. Augustin,23:02,Tony Snell,18:18,Nazr Mohammed,9:17,103,0,0,0.0,,0.0,,0.0,,Hilton Armstrong,20,1,2013-2014,1.0,0,2.0,GSW,83,Stephen Curry,Draymond Green,14:44,Marreese Speights,9:08,,,,,,,,,28:19,Steve Blake,26:55,Jordan Crawford,24:48,Harrison Barnes,24:28,Klay Thompson,23:32,Andrew Bogut,23:00,Andre Iguodala,21:05,David Lee,20:38,Jermaine O'Neal,16:26
0,,0,,0,,122,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201404010DAL.html,Away,120,0:00,0,,DAL,Monta Ellis,Samuel Dalembert,7:04,,,,,,,,,,,42:41,Dirk Nowitzki,39:40,José Calderón,36:38,Shawn Marion,35:55,Vince Carter,30:58,Brandan Wright,25:23,Jae Crowder,19:01,Devin Harris,16:22,DeJuan Blair,11:18,120,0,0,0.0,,0.0,,0.0,,Hilton Armstrong,2,0,2013-2014,0.0,0,0.0,GSW,122,Klay Thompson,,,,,,,,,,,,,47:10,Stephen Curry,43:07,Draymond Green,42:05,Andre Iguodala,40:37,Jermaine O'Neal,33:14,Marreese Speights,17:06,Jordan Crawford,15:33,Harrison Barnes,13:05,Steve Blake,13:03
0,,0,0.000,0,0.00,90,0,6,66.7,3,.600,3.0,60.0,5.0,5,1,1.000,1,20.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201404020SAS.html,Away,111,16:26,3,33.3,SAS,Boris Diaw,Tiago Splitter,10:50,Cory Joseph,10:31,,,,,,,,,33:29,Kawhi Leonard,29:25,Tony Parker,28:15,Marco Belinelli,27:45,Danny Green,26:50,Tim Duncan,20:21,Patty Mills,19:45,Manu Ginóbili,19:08,Jeff Ayres,13:41,111,2,7,6.0,85.7,0.0,0.0,1.0,14.3,Hilton Armstrong,21,2,2013-2014,2.0,2,9.0,GSW,90,Harrison Barnes,,,,,,,,,,,,,35:38,Jordan Crawford,34:26,Klay Thompson,32:43,Draymond Green,32:05,Stephen Curry,30:43,Marreese Speights,29:53,Steve Blake,23:42,Jermaine O'Neal,4:24,,
