3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,2,33.333,1,1.00,101,0,2,100.0,3,.500,3.0,75.0,4.0,6,1,.250,4,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201503120LAL.html,Home,94,17:38,0,0.0,NYK,Alexey Shved,Shane Larkin,13:53,,,,,,,,,,,33:24,Andrea Bargnani,32:39,Tim Hardaway Jr.,31:16,Langston Galloway,25:34,Jason Smith,23:49,Cleanthony Early,23:33,Cole Aldrich,19:44,Lou Amundson,19:32,Lance Thomas,16:36,101,1,7,6.0,85.7,0.0,0.0,1.0,14.3,Jabari Brown,7,0,2014-2015,0.0,1,2.0,LAL,94,Wesley Johnson,,,,,,,,,,,,,32:49,Jordan Hill,28:46,Wayne Ellington,28:08,Jordan Clarkson,27:50,Tarik Black,25:04,Ed Davis,22:41,Jeremy Lin,22:24,Carlos Boozer,19:14,Ryan Kelly,15:27
1,.500,2,40.000,0,0.00,91,0,1,100.0,4,.800,3.0,100.0,3.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201503150LAL.html,Home,86,22:20,0,0.0,ATL,Kent Bazemore,,,,,,,,,,,,,37:49,Dennis Schröder,37:31,Al Horford,35:20,Shelvin Mack,35:17,Elton Brand,24:08,John Jenkins,23:45,Pero Antić,23:32,Mike Muscala,12:36,Kyle Korver,10:01,91,2,9,6.0,66.7,3.0,33.3,0.0,0.0,Jabari Brown,5,2,2014-2015,2.0,1,1.0,LAL,86,Jordan Clarkson,,,,,,,,,,,,,30:59,Carlos Boozer,27:08,Wesley Johnson,25:30,Ryan Kelly,24:29,Wayne Ellington,23:59,Ed Davis,23:40,Jordan Hill,22:21,Tarik Black,20:52,Jeremy Lin,18:42
0,.000,1,25.000,1,0.50,105,0,0,,2,.500,2.0,66.7,3.0,4,1,1.000,1,25.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201503160GSW.html,Away,108,20:27,0,,GSW,Klay Thompson,Festus Ezeli,7:34,James Michael McAdoo,5:21,,,,,,,,,34:53,Draymond Green,34:23,Stephen Curry,32:40,Andre Iguodala,30:39,Andrew Bogut,30:32,Harrison Barnes,23:12,Shaun Livingston,17:39,David Lee,12:18,Justin Holiday,10:48,108,0,5,4.0,80.0,0.0,0.0,1.0,20.0,Jabari Brown,3,1,2014-2015,1.0,2,0.0,LAL,105,Wesley Johnson,,,,,,,,,,,,,38:55,Wayne Ellington,29:52,Jordan Hill,29:47,Jordan Clarkson,25:18,Carlos Boozer,23:40,Jeremy Lin,22:50,Tarik Black,18:28,Ed Davis,18:13,Ryan Kelly,12:30
2,1.000,2,50.000,1,0.50,80,0,2,100.0,2,.500,0.0,0.0,2.0,4,1,.500,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201503190LAL.html,Home,73,19:35,0,0.0,UTA,Rudy Gobert,Jack Cooley,4:32,,,,,,,,,,,36:03,Gordon Hayward,34:31,Derrick Favors,32:58,Trey Burke,25:56,Elijah Millsap,22:49,Trevor Booker,22:27,Dante Exum,22:04,Rodney Hood,21:39,Joe Ingles,17:01,80,2,7,0.0,0.0,6.0,85.7,1.0,14.3,Jabari Brown,7,1,2014-2015,1.0,2,2.0,LAL,73,Wesley Johnson,,,,,,,,,,,,,33:00,Jordan Clarkson,30:16,Tarik Black,29:51,Jordan Hill,27:30,Wayne Ellington,24:24,Jeremy Lin,22:28,Carlos Boozer,20:31,Ed Davis,18:08,Ryan Kelly,14:17
1,.500,2,33.333,4,4.00,87,1,0,0.0,2,.333,1.0,25.0,4.0,6,5,.833,6,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201503220LAL.html,Home,101,24:28,1,100.0,PHI,Nerlens Noel,Furkan Aldemir,15:12,JaKarr Sampson,12:41,,,,,,,,,32:48,Luc Mbah a Moute,29:17,Ish Smith,28:50,Robert Covington,25:18,Jerami Grant,21:58,Isaiah Canaan,21:51,Jason Richardson,20:31,Thomas Robinson,16:02,Hollis Thompson,15:32,87,1,10,2.0,20.0,3.0,30.0,5.0,50.0,Jabari Brown,14,0,2014-2015,1.0,1,1.0,LAL,101,Jeremy Lin,,,,,,,,,,,,,28:49,Wesley Johnson,27:52,Tarik Black,25:51,Carlos Boozer,25:33,Jordan Clarkson,23:32,Ryan Kelly,22:18,Ed Davis,22:09,Jordan Hill,20:17,Wayne Ellington,19:11
0,.000,1,16.667,1,,117,0,0,,3,.500,3.0,60.0,5.0,6,1,1.000,1,16.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201503240OKC.html,Away,127,27:18,0,,OKC,Dion Waiters,Steve Novak,3:23,,,,,,,,,,,35:00,Steven Adams,30:22,Russell Westbrook,29:57,Anthony Morrow,29:34,Enes Freedom,27:33,Mitch McGary,25:46,Kyle Singler,25:14,D.J. Augustin,22:13,Jeremy Lamb,10:59,127,1,7,6.0,85.7,0.0,0.0,1.0,14.3,Jabari Brown,10,0,2014-2015,0.0,0,0.0,LAL,117,Jordan Clarkson,,,,,,,,,,,,,36:23,Jeremy Lin,30:28,Wesley Johnson,29:51,Ryan Kelly,29:07,Tarik Black,28:01,Wayne Ellington,23:55,Robert Sacre,18:53,Ed Davis,16:04,,
3,1.000,3,75.000,3,3.00,101,0,4,100.0,3,.750,0.0,0.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201503250MIN.html,Away,99,32:13,0,0.0,MIN,Andrew Wiggins,,,,,,,,,,,,,48:50,Zach LaVine,47:41,Chase Budinger,40:17,Lorenzo Brown,34:55,Gorgui Dieng,32:53,Adreian Payne,26:41,Sean Kilpatrick,24:18,Justin Hamilton,9:25,,,99,1,9,0.0,0.0,9.0,100.0,0.0,0.0,Jabari Brown,2,1,2014-2015,1.0,1,4.0,LAL,101,Wayne Ellington,,,,,,,,,,,,,38:47,Jordan Clarkson,37:52,Ryan Kelly,37:17,Tarik Black,30:07,Jeremy Lin,29:21,Ed Davis,22:20,Wesley Johnson,21:22,Robert Sacre,15:42,,
0,.000,2,40.000,0,0.00,83,0,1,100.0,2,.400,2.0,66.7,3.0,5,3,.750,4,80.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201503270TOR.html,Away,94,16:28,0,0.0,TOR,DeMar DeRozan,Bruno Caboclo,1:25,,,,,,,,,,,40:38,Amir Johnson,31:05,Lou Williams,28:06,Jonas Valančiūnas,27:09,James Johnson,26:11,Greivis Vásquez,25:51,Patrick Patterson,22:51,Terrence Ross,21:49,Tyler Hansbrough,14:55,94,0,7,4.0,57.1,0.0,0.0,3.0,42.9,Jabari Brown,11,0,2014-2015,0.0,3,1.0,LAL,83,Jeremy Lin,,,,,,,,,,,,,35:52,Jordan Clarkson,33:21,Wesley Johnson,31:32,Ryan Kelly,31:22,Wayne Ellington,26:47,Robert Sacre,24:20,Tarik Black,22:38,Ed Davis,17:40,,
1,.200,5,35.714,3,1.50,99,1,4,100.0,4,.286,3.0,33.3,9.0,14,2,1.000,2,14.286,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201503290BRK.html,Away,107,30:53,0,0.0,BRK,Brook Lopez,,,,,,,,,,,,,40:18,Markel Brown,36:08,Joe Johnson,35:36,Deron Williams,33:37,Alan Anderson,28:26,Mason Plumlee,23:09,Earl Clark,19:46,Jarrett Jack,14:23,Bojan Bogdanović,8:37,107,0,11,6.0,54.5,3.0,27.3,2.0,18.2,Jabari Brown,8,4,2014-2015,5.0,2,4.0,LAL,99,Ryan Kelly,,,,,,,,,,,,,35:45,Jordan Clarkson,35:27,Wesley Johnson,35:04,Wayne Ellington,29:40,Jordan Hill,27:06,Tarik Black,26:19,Robert Sacre,19:46,,,,
3,.750,4,40.000,3,3.00,113,0,0,,7,.700,4.0,66.7,6.0,10,5,1.000,5,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201503300PHI.html,Away,111,33:56,0,,PHI,Nerlens Noel,Hollis Thompson,18:25,,,,,,,,,,,36:08,Ish Smith,31:52,Robert Covington,31:47,Isaiah Canaan,27:20,JaKarr Sampson,25:23,Glenn Robinson III,25:12,Henry Sims,24:45,Thomas Robinson,23:51,Furkan Aldemir,20:16,111,2,22,8.0,36.4,9.0,40.9,5.0,22.7,Jabari Brown,2,1,2014-2015,1.0,1,0.0,LAL,113,Wesley Johnson,,,,,,,,,,,,,43:47,Jordan Clarkson,43:37,Ryan Kelly,43:21,Wayne Ellington,42:51,Robert Sacre,21:46,Jordan Hill,21:37,Tarik Black,14:05,,,,
