3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
3,.273,11,64.706,1,,107,0,6,85.7,6,.353,3.0,50.0,6.0,17,2,1.000,2,11.765,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210190ATL.html,Away,117,32:54,1,14.3,ATL,Dejounte Murray,,,,,,,,,,,,,38:14,Trae Young,37:54,John Collins,33:39,De'Andre Hunter,32:08,Clint Capela,26:03,Onyeka Okongwu,21:07,Justin Holiday,18:32,Aaron Holiday,18:02,Jalen Johnson,14:21,117,4,17,6.0,35.3,9.0,52.9,2.0,11.8,Jabari Smith Jr.,10,0,2022-2023,0.0,0,7.0,HOU,107,Kevin Porter Jr.,,,,,,,,,,,,,33:57,Jalen Green,32:13,Eric Gordon,29:18,Bruno Fernando,25:03,KJ Martin,22:42,Alperen Sengun,22:05,Tari Eason,15:06,Garrison Mathews,14:03,Josh Christopher,12:39
2,.250,8,57.143,1,,129,2,0,0.0,3,.214,1.0,16.7,6.0,14,2,1.000,2,14.286,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210210HOU.html,Home,122,34:35,1,100.0,MEM,Desmond Bane,Xavier Tillman Sr.,6:39,,,,,,,,,,,33:15,Steven Adams,33:15,Ja Morant,31:14,Santi Aldama,31:02,John Konchar,30:15,David Roddy,22:32,Tyus Jones,21:53,Jake LaRavia,15:10,Brandon Clarke,14:45,129,5,10,2.0,20.0,6.0,60.0,2.0,20.0,Jabari Smith Jr.,7,0,2022-2023,2.0,0,1.0,HOU,122,Eric Gordon,,,,,,,,,,,,,35:45,Jalen Green,35:10,Kevin Porter Jr.,35:10,Alperen Sengun,27:00,KJ Martin,24:47,Tari Eason,19:31,Garrison Mathews,12:50,Bruno Fernando,11:46,Josh Christopher,3:26
3,.429,7,46.667,1,,105,2,9,81.8,5,.333,2.0,25.0,8.0,15,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210220MIL.html,Away,125,27:36,2,18.2,MIL,Jrue Holiday,Wesley Matthews,12:04,MarJon Beauchamp,2:14,A.J. Green,2:14,Sandro Mamukelashvili,2:14,Thanasis Antetokounmpo,0:52,,,32:09,Brook Lopez,28:47,Grayson Allen,27:52,Giannis Antetokounmpo,27:38,Jevon Carter,25:15,George Hill,23:39,Bobby Portis,22:30,Jordan Nwora,17:41,Serge Ibaka,14:51,125,3,13,4.0,30.8,9.0,69.2,0.0,0.0,Jabari Smith Jr.,20,0,2022-2023,2.0,0,11.0,HOU,105,Kevin Porter Jr.,Trevor Hudgins,3:47,Boban Marjanović,3:47,,,,,,,,,33:44,Jalen Green,31:39,KJ Martin,29:53,Usman Garuba,25:02,Alperen Sengun,22:58,Tari Eason,18:49,Josh Christopher,15:55,Daishen Nix,14:16,Garrison Mathews,12:34
3,.600,5,50.000,2,2.00,108,3,6,66.7,6,.600,3.0,60.0,5.0,10,6,1.000,6,60.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202210240HOU.html,Home,114,33:51,3,33.3,UTA,Jarred Vanderbilt,Rudy Gay,13:03,Walker Kessler,8:28,Nickeil Alexander-Walker,5:13,,,,,,,32:01,Lauri Markkanen,30:54,Jordan Clarkson,28:11,Mike Conley,27:18,Kelly Olynyk,26:44,Malik Beasley,19:49,Talen Horton-Tucker,17:06,Simone Fontecchio,15:44,Collin Sexton,15:29,108,5,21,6.0,28.6,9.0,42.9,6.0,28.6,Jabari Smith Jr.,6,0,2022-2023,3.0,1,9.0,HOU,114,Jalen Green,Boban Marjanović,3:32,,,,,,,,,,,35:45,Kevin Porter Jr.,34:43,KJ Martin,34:16,Eric Gordon,31:01,Daishen Nix,21:35,Tari Eason,18:45,Garrison Mathews,11:32,Usman Garuba,10:37,Josh Christopher,4:23
2,.333,6,60.000,0,0.00,101,0,8,88.9,3,.300,1.0,25.0,4.0,10,2,.500,4,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210260UTA.html,Away,109,32:13,1,11.1,UTA,Lauri Markkanen,Collin Sexton,10:22,Simone Fontecchio,6:01,,,,,,,,,34:00,Malik Beasley,29:39,Kelly Olynyk,29:14,Jordan Clarkson,28:55,Talen Horton-Tucker,28:12,Mike Conley,27:46,Jarred Vanderbilt,19:05,Rudy Gay,15:43,Walker Kessler,11:03,109,4,10,2.0,20.0,6.0,60.0,2.0,20.0,Jabari Smith Jr.,8,1,2022-2023,1.0,2,9.0,HOU,101,Jalen Green,Boban Marjanović,1:49,,,,,,,,,,,36:04,Kevin Porter Jr.,35:23,Eric Gordon,30:02,KJ Martin,24:54,Tari Eason,23:10,Jae'Sean Tate,20:18,Garrison Mathews,16:07,Daishen Nix,11:31,Usman Garuba,8:29
2,.400,5,38.462,1,1.00,111,1,2,100.0,4,.308,2.0,25.0,8.0,13,2,1.000,2,15.385,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210280POR.html,Away,125,32:13,0,0.0,POR,Anfernee Simons,Greg Brown III,0:58,Jabari Walker,0:58,,,,,,,,,37:51,Jerami Grant,35:01,Josh Hart,33:48,Jusuf Nurkić,32:12,Shaedon Sharpe,29:26,Justise Winslow,24:11,Keon Johnson,16:48,Nassir Little,15:09,Drew Eubanks,13:38,125,4,12,4.0,33.3,6.0,50.0,2.0,16.7,Jabari Smith Jr.,14,1,2022-2023,2.0,1,2.0,HOU,111,Kevin Porter Jr.,Usman Garuba,5:05,Josh Christopher,0:58,,,,,,,,,34:32,Eric Gordon,33:16,Jalen Green,31:31,Alperen Sengun,25:31,Jae'Sean Tate,17:47,KJ Martin,16:37,Tari Eason,15:18,Garrison Mathews,13:44,Daishen Nix,13:28
2,.333,6,75.000,0,0.00,109,1,7,100.0,2,.250,0.0,0.0,2.0,8,2,1.000,2,25.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210300PHO.html,Away,124,25:03,0,0.0,PHO,Devin Booker,Damion Lee,11:35,Josh Okogie,1:01,Duane Washington Jr.,1:01,,,,,,,35:23,Mikal Bridges,32:48,Cameron Johnson,31:14,Chris Paul,31:14,Jock Landale,23:26,Bismack Biyombo,21:59,Torrey Craig,18:19,Cameron Payne,16:46,Landry Shamet,15:12,124,3,8,0.0,0.0,6.0,75.0,2.0,25.0,Jabari Smith Jr.,15,0,2022-2023,1.0,2,7.0,HOU,109,Kevin Porter Jr.,Tari Eason,11:50,,,,,,,,,,,34:29,Jalen Green,31:06,Jae'Sean Tate,30:00,Alperen Sengun,29:11,KJ Martin,24:05,Garrison Mathews,16:54,Josh Christopher,12:48,Usman Garuba,12:27,Daishen Nix,12:07
0,.000,3,37.500,1,0.50,93,1,4,80.0,2,.250,2.0,40.0,5.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202210310LAC.html,Away,95,30:19,1,20.0,LAC,Paul George,Brandon Boston Jr.,4:33,,,,,,,,,,,37:58,Marcus Morris,37:08,Luke Kennard,34:13,Ivica Zubac,31:40,Reggie Jackson,30:02,Norman Powell,20:55,Nicolas Batum,15:55,Terance Mann,15:20,Amir Coffey,12:16,95,2,4,4.0,100.0,0.0,0.0,0.0,0.0,Jabari Smith Jr.,2,0,2022-2023,1.0,2,5.0,HOU,93,Jalen Green,Josh Christopher,4:18,,,,,,,,,,,36:10,Kevin Porter Jr.,33:53,Eric Gordon,30:07,Alperen Sengun,29:47,KJ Martin,28:45,Garrison Mathews,15:08,Tari Eason,11:50,Usman Garuba,10:26,Daishen Nix,9:17
0,.000,5,50.000,0,0.00,109,1,3,75.0,1,.100,1.0,20.0,5.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202211020HOU.html,Home,101,26:51,1,25.0,LAC,Paul George,Moses Brown,12:12,Amir Coffey,6:40,,,,,,,,,36:51,Marcus Morris,34:54,Reggie Jackson,33:20,Ivica Zubac,24:45,Norman Powell,24:24,Luke Kennard,23:36,John Wall,14:40,Terance Mann,14:31,Nicolas Batum,14:07,109,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Jabari Smith Jr.,8,0,2022-2023,1.0,2,4.0,HOU,101,Kevin Porter Jr.,,,,,,,,,,,,,38:11,Alperen Sengun,33:28,Eric Gordon,32:49,Jalen Green,30:02,Daishen Nix,20:53,KJ Martin,20:14,Tari Eason,18:09,Usman Garuba,12:25,Garrison Mathews,6:58
1,.250,4,100.000,1,0.33,134,0,1,100.0,1,.250,0.0,,0.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202211070ORL.html,Away,127,21:53,0,0.0,ORL,Paolo Banchero,Caleb Houstan,9:15,,,,,,,,,,,35:29,Jalen Suggs,32:51,Franz Wagner,32:48,Terrence Ross,30:53,Wendell Carter Jr.,27:23,Bol Bol,20:35,Mo Bamba,19:37,Chuma Okeke,16:00,Kevon Harris,15:08,127,4,3,0.0,0.0,3.0,100.0,0.0,0.0,Jabari Smith Jr.,7,0,2022-2023,0.0,3,1.0,HOU,134,Kevin Porter Jr.,,,,,,,,,,,,,37:57,Jalen Green,37:55,Eric Gordon,29:28,Alperen Sengun,29:02,KJ Martin,25:51,Tari Eason,19:43,Usman Garuba,18:57,Daishen Nix,11:06,Garrison Mathews,8:07
