3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,2,2.00,102,0,2,100.0,3,1.000,3.0,100.0,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202310250MIA.html,Home,103,13:11,0,0.0,DET,Cade Cunningham,Marcus Sasser,10:23,,,,,,,,,,,35:46,Isaiah Stewart,34:37,Jalen Duren,31:49,Killian Hayes,30:30,Ausar Thompson,26:53,Alec Burks,24:57,Jaden Ivey,17:08,Marvin Bagley III,16:11,Joe Harris,11:46,102,2,6,6.0,100.0,0.0,0.0,0.0,0.0,Jaime Jaquez Jr.,1,2,2023-2024,2.0,1,2.0,MIA,103,Tyler Herro,,,,,,,,,,,,,34:30,Jimmy Butler,34:28,Bam Adebayo,32:09,Kyle Lowry,31:52,Kevin Love,27:44,Duncan Robinson,22:06,Caleb Martin,19:30,Thomas Bryant,15:50,Dru Smith,8:40
0,.000,1,50.000,2,2.00,111,0,2,100.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310270BOS.html,Away,119,14:19,0,0.0,BOS,Jayson Tatum,,,,,,,,,,,,,41:26,Jrue Holiday,36:27,Derrick White,36:26,Jaylen Brown,33:37,Kristaps Porziņģis,30:14,Al Horford,24:38,Oshae Brissett,14:02,Payton Pritchard,12:58,Sam Hauser,10:12,119,2,0,0.0,,0.0,,0.0,,Jaime Jaquez Jr.,8,0,2023-2024,0.0,1,2.0,MIA,111,Tyler Herro,,,,,,,,,,,,,40:18,Bam Adebayo,35:01,Jimmy Butler,33:41,Kyle Lowry,31:49,Duncan Robinson,24:19,Dru Smith,23:07,Kevin Love,20:32,Thomas Bryant,12:59,Jamal Cain,3:55
1,.500,2,50.000,1,0.33,90,0,3,100.0,3,.750,2.0,100.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310280MIN.html,Away,106,18:14,0,0.0,MIN,Anthony Edwards,Jordan McLaughlin,6:01,Leonard Miller,1:55,Josh Minott,1:55,,,,,,,33:22,Karl-Anthony Towns,31:00,Rudy Gobert,30:48,Mike Conley,28:52,Naz Reid,28:26,Kyle Anderson,22:57,Nickeil Alexander-Walker,22:47,Shake Milton,17:27,Troy Brown Jr.,14:30,106,0,7,4.0,57.1,3.0,42.9,0.0,0.0,Jaime Jaquez Jr.,16,0,2023-2024,0.0,3,3.0,MIA,90,Tyler Herro,Cole Swider,2:02,R.J. Hampton,2:02,,,,,,,,,39:39,Bam Adebayo,32:54,Kyle Lowry,32:22,Duncan Robinson,28:50,Jamal Cain,25:22,Dru Smith,22:23,Nikola Jović,21:06,Thomas Bryant,11:33,Orlando Robinson,3:33
2,.400,5,55.556,3,,114,1,1,50.0,3,.333,1.0,25.0,4.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202310300MIL.html,Away,122,22:42,1,50.0,MIL,Damian Lillard,Cameron Payne,12:58,,,,,,,,,,,35:02,Malik Beasley,31:54,Giannis Antetokounmpo,31:51,Brook Lopez,29:23,Jae Crowder,25:20,Pat Connaughton,22:31,Bobby Portis,18:37,Khris Middleton,17:03,A.J. Green,15:21,122,2,8,2.0,25.0,6.0,75.0,0.0,0.0,Jaime Jaquez Jr.,8,1,2023-2024,2.0,0,2.0,MIA,114,Tyler Herro,,,,,,,,,,,,,42:28,Jimmy Butler,28:43,Kyle Lowry,27:48,Orlando Robinson,26:01,Josh Richardson,23:02,Thomas Bryant,21:59,Duncan Robinson,21:59,Kevin Love,17:55,Nikola Jović,7:23
0,.000,6,66.667,1,0.50,109,1,2,50.0,1,.111,1.0,33.3,3.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311010MIA.html,Home,105,19:08,2,50.0,BRK,Royce O'Neale,Jalen Wilson,5:35,,,,,,,,,,,38:35,Cam Thomas,34:17,Ben Simmons,33:49,Mikal Bridges,30:37,Dorian Finney-Smith,29:50,Lonnie Walker IV,24:45,Armoni Brooks,15:55,Trendon Watford,13:55,Day'Ron Sharpe,12:42,109,4,2,2.0,100.0,0.0,0.0,0.0,0.0,Jaime Jaquez Jr.,4,2,2023-2024,3.0,2,4.0,MIA,105,Tyler Herro,,,,,,,,,,,,,35:43,Jimmy Butler,34:06,Bam Adebayo,33:06,Josh Richardson,30:18,Kyle Lowry,29:39,Haywood Highsmith,21:49,Duncan Robinson,21:17,Thomas Bryant,14:54,,
0,.000,1,20.000,3,,114,0,2,40.0,4,.800,4.0,100.0,4.0,5,1,1.000,1,20.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311030MIA.html,Home,121,21:36,3,60.0,WAS,Kyle Kuzma,Mike Muscala,12:22,Danilo Gallinari,9:23,Ryan Rollins,7:20,Anthony Gill,6:36,Eugene Omoruyi,6:36,,,31:03,Jordan Poole,28:25,Bilal Coulibaly,26:17,Tyus Jones,24:10,Deni Avdija,23:46,Daniel Gafford,19:39,Delon Wright,17:14,Landry Shamet,14:03,Johnny Davis,13:06,114,1,9,8.0,88.9,0.0,0.0,1.0,11.1,Jaime Jaquez Jr.,7,1,2023-2024,1.0,0,5.0,MIA,121,Tyler Herro,,,,,,,,,,,,,36:39,Jimmy Butler,31:23,Bam Adebayo,29:59,Duncan Robinson,29:32,Kyle Lowry,25:33,Josh Richardson,25:32,Haywood Highsmith,21:43,Thomas Bryant,18:01,,
1,.250,4,57.143,1,1.00,107,0,1,50.0,4,.571,3.0,100.0,3.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311060MIA.html,Home,108,18:18,1,50.0,LAL,Austin Reaves,,,,,,,,,,,,,40:08,LeBron James,37:24,Taurean Prince,34:28,Christian Wood,30:24,Cam Reddish,28:43,D'Angelo Russell,28:42,Anthony Davis,24:50,Max Christie,15:21,,,107,1,9,6.0,66.7,3.0,33.3,0.0,0.0,Jaime Jaquez Jr.,1,1,2023-2024,1.0,1,2.0,MIA,108,Bam Adebayo,,,,,,,,,,,,,38:19,Jimmy Butler,36:34,Tyler Herro,34:26,Kyle Lowry,32:41,Duncan Robinson,26:18,Haywood Highsmith,22:25,Josh Richardson,21:16,Thomas Bryant,9:41,,
1,1.000,1,20.000,2,,108,0,3,100.0,4,.800,3.0,75.0,4.0,5,2,.667,3,60.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311080MEM.html,Away,102,21:08,0,0.0,MEM,Desmond Bane,Kenneth Lofton Jr.,7:06,,,,,,,,,,,36:01,Jaren Jackson Jr.,33:02,Marcus Smart,32:06,Bismack Biyombo,29:49,Luke Kennard,27:25,Santi Aldama,26:02,Ziaire Williams,20:50,Jacob Gilyard,14:41,David Roddy,12:55,102,5,11,6.0,54.5,3.0,27.3,2.0,18.2,Jaime Jaquez Jr.,6,2,2023-2024,2.0,0,3.0,MIA,108,Bam Adebayo,,,,,,,,,,,,,36:23,Duncan Robinson,35:06,Kyle Lowry,34:43,Jimmy Butler,34:37,Haywood Highsmith,26:51,Josh Richardson,16:48,Dru Smith,14:35,Thomas Bryant,11:36,Tyler Herro,8:10
2,.286,7,41.176,4,1.33,117,0,2,66.7,8,.471,6.0,60.0,10.0,17,2,1.000,2,11.765,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311110ATL.html,Away,109,38:28,1,33.3,ATL,Trae Young,,,,,,,,,,,,,38:27,Dejounte Murray,35:35,De'Andre Hunter,35:35,Bogdan Bogdanović,28:47,Saddiq Bey,24:25,Onyeka Okongwu,24:04,Clint Capela,23:56,Jalen Johnson,21:42,Wesley Matthews,7:29,109,3,20,12.0,60.0,6.0,30.0,2.0,10.0,Jaime Jaquez Jr.,8,1,2023-2024,1.0,3,3.0,MIA,117,Bam Adebayo,,,,,,,,,,,,,39:21,Haywood Highsmith,33:43,Kyle Lowry,33:26,Duncan Robinson,30:14,Dru Smith,28:01,Josh Richardson,22:45,Kevin Love,13:37,Jamal Cain,0:24,,
1,.500,2,20.000,3,3.00,118,1,5,83.3,4,.400,3.0,37.5,8.0,10,2,1.000,2,20.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311120SAS.html,Away,113,32:16,1,16.7,SAS,Keldon Johnson,,,,,,,,,,,,,36:56,Victor Wembanyama,34:24,Jeremy Sochan,33:55,Zach Collins,33:13,Devin Vassell,33:13,Doug McDermott,21:14,Malaki Branham,20:29,Cedi Osman,20:14,Charles Bassey,6:21,113,1,11,6.0,54.5,3.0,27.3,2.0,18.2,Jaime Jaquez Jr.,5,3,2023-2024,4.0,1,6.0,MIA,118,Duncan Robinson,,,,,,,,,,,,,38:37,Jimmy Butler,36:31,Bam Adebayo,34:17,Dru Smith,26:50,Haywood Highsmith,26:09,Josh Richardson,26:08,Kevin Love,14:10,Thomas Bryant,5:00,,
