3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
2,.667,3,75.000,0,,87,0,2,100.0,2,.500,0.0,0.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110210ATL.html,Home,113,3:32,0,0.0,DAL,Luka Dončić,Sterling Brown,10:44,Trey Burke,9:25,Josh Green,4:11,Frank Ntilikina,4:11,,,,,35:24,Kristaps Porziņģis,28:49,Dorian Finney-Smith,28:47,Tim Hardaway Jr.,27:56,Jalen Brunson,25:40,Dwight Powell,20:13,Maxi Kleber,17:01,Reggie Bullock,15:02,Willie Cauley-Stein,12:37,87,0,6,0.0,0.0,6.0,100.0,0.0,0.0,Jalen Johnson,26,0,2021-2022,0.0,0,2.0,ATL,113,Trae Young,Gorgui Dieng,14:28,Skylar Mays,3:32,Sharife Cooper,3:32,Timothé Luwawu-Cabarrot,3:32,,,,,32:41,John Collins,30:00,De'Andre Hunter,28:43,Bogdan Bogdanović,26:05,Kevin Huerter,21:40,Cam Reddish,21:17,Clint Capela,20:33,Delon Wright,15:19,Solomon Hill,15:06
0,,0,0.000,0,,104,0,1,100.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110250ATL.html,Home,122,3:11,0,0.0,DET,Saddiq Bey,Hamidou Diallo,11:23,Saben Lee,7:23,Rodney McGruder,3:11,Jamorko Pickett,3:11,,,,,33:16,Josh Jackson,32:15,Kelly Olynyk,29:43,Isaiah Stewart,28:56,Killian Hayes,26:33,Trey Lyles,21:26,Cory Joseph,15:36,Frank Jackson,14:23,Luka Garza,12:44,104,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Jalen Johnson,18,0,2021-2022,0.0,0,1.0,ATL,122,Trae Young,Solomon Hill,14:16,Sharife Cooper,3:11,Timothé Luwawu-Cabarrot,3:11,Skylar Mays,3:11,,,,,32:04,Kevin Huerter,27:20,Cam Reddish,27:16,Clint Capela,25:54,Bogdan Bogdanović,25:01,John Collins,23:56,Delon Wright,18:28,Lou Williams,17:16,Gorgui Dieng,15:45
0,,0,0.000,0,,94,0,0,,1,.500,1.0,50.0,2.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202110300PHI.html,Away,122,5:13,0,,PHI,Tobias Harris,Andre Drummond,13:04,Isaiah Joe,4:30,Paul Reed,3:59,Charles Bassey,3:09,,,,,31:18,Joel Embiid,29:43,Seth Curry,28:30,Tyrese Maxey,25:07,Matisse Thybulle,23:03,Danny Green,22:47,Shake Milton,18:54,Furkan Korkmaz,18:02,Georges Niang,17:54,122,0,4,2.0,50.0,0.0,0.0,2.0,50.0,Jalen Johnson,28,0,2021-2022,0.0,0,0.0,ATL,94,Trae Young,Lou Williams,11:04,Skylar Mays,5:13,Timothé Luwawu-Cabarrot,5:13,Delon Wright,5:13,,,,,31:43,John Collins,30:36,Bogdan Bogdanović,29:22,Clint Capela,27:58,De'Andre Hunter,23:00,Gorgui Dieng,20:02,Cam Reddish,19:47,Kevin Huerter,13:25,Danilo Gallinari,12:11
0,,0,0.000,0,,116,0,0,,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111040ATL.html,Home,98,2:51,0,,UTA,Royce O'Neale,Jared Butler,2:07,Malik Fitts,2:07,Elijah Hughes,2:07,Miye Oni,2:07,,,,,34:15,Rudy Gobert,32:40,Jordan Clarkson,31:09,Bojan Bogdanović,30:37,Mike Conley,29:23,Joe Ingles,27:43,Trent Forrest,18:35,Eric Paschall,13:57,Hassan Whiteside,13:13,116,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Jalen Johnson,18,0,2021-2022,0.0,0,0.0,ATL,98,Clint Capela,Gorgui Dieng,8:21,Timothé Luwawu-Cabarrot,2:51,Skylar Mays,2:51,Delon Wright,2:51,,,,,35:54,Trae Young,34:11,De'Andre Hunter,31:20,John Collins,30:30,Bogdan Bogdanović,29:49,Danilo Gallinari,17:17,Kevin Huerter,16:27,Cam Reddish,13:49,Lou Williams,10:58
0,.000,1,50.000,0,,100,0,1,100.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111140ATL.html,Home,120,1:56,0,0.0,MIL,Jrue Holiday,Thanasis Antetokounmpo,4:46,,,,,,,,,,,35:14,Giannis Antetokounmpo,33:44,Pat Connaughton,31:51,Bobby Portis,31:33,Grayson Allen,31:17,Semi Ojeleye,22:25,Jordan Nwora,22:03,Rodney Hood,16:59,Justin Robinson,10:08,100,0,0,0.0,,0.0,,0.0,,Jalen Johnson,20,0,2021-2022,0.0,0,1.0,ATL,120,Kevin Huerter,Gorgui Dieng,3:44,Timothé Luwawu-Cabarrot,2:18,Sharife Cooper,1:56,Skylar Mays,1:56,Solomon Hill,1:15,,,33:21,Trae Young,31:58,Clint Capela,31:41,John Collins,31:07,Bogdan Bogdanović,29:44,Danilo Gallinari,25:36,Cam Reddish,16:47,Lou Williams,14:01,Delon Wright,12:40
0,,0,,0,,111,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111150ATL.html,Home,129,1:03,0,0.0,ORL,Cole Anthony,Mychal Mulder,1:43,,,,,,,,,,,36:26,Franz Wagner,35:24,Wendell Carter Jr.,33:42,Mo Bamba,30:20,Gary Harris,29:35,Terrence Ross,26:10,Chuma Okeke,24:49,R.J. Hampton,14:42,Moritz Wagner,7:09,111,0,0,0.0,,0.0,,0.0,,Jalen Johnson,18,0,2021-2022,0.0,0,1.0,ATL,129,Clint Capela,Solomon Hill,8:52,Timothé Luwawu-Cabarrot,1:03,Skylar Mays,1:03,Sharife Cooper,1:03,,,,,34:19,John Collins,31:12,Trae Young,30:25,Bogdan Bogdanović,29:24,Danilo Gallinari,28:23,Cam Reddish,25:05,Delon Wright,16:32,Kevin Huerter,16:00,Lou Williams,15:36
0,,0,,0,,101,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111220ATL.html,Home,113,1:27,0,,OKC,Darius Bazley,Kenrich Williams,13:50,Isaiah Roby,10:20,Gabriel Deck,1:27,,,,,,,32:31,Jeremiah Robinson-Earl,31:42,Josh Giddey,31:07,Luguentz Dort,30:27,Aleksej Pokusevski,21:58,Aaron Wiggins,17:38,Derrick Favors,17:04,Mike Muscala,16:18,Ty Jerome,15:38,101,0,0,0.0,,0.0,,0.0,,Jalen Johnson,12,0,2021-2022,0.0,0,0.0,ATL,113,John Collins,Sharife Cooper,1:27,Gorgui Dieng,1:27,Timothé Luwawu-Cabarrot,1:27,Skylar Mays,1:27,,,,,34:54,Trae Young,31:55,Kevin Huerter,29:36,Clint Capela,29:35,Bogdan Bogdanović,27:10,Danilo Gallinari,25:01,Cam Reddish,22:59,Lou Williams,16:57,Delon Wright,14:38
0,.000,1,33.333,1,,104,0,1,100.0,1,.333,1.0,50.0,2.0,3,2,.500,4,133.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112220ATL.html,Home,98,10:36,0,0.0,ORL,Franz Wagner,Admiral Schofield,12:45,,,,,,,,,,,36:07,Robin Lopez,31:29,Gary Harris,30:40,Chuma Okeke,30:06,Hassani Gravett,25:07,Aleem Ford,21:31,Tim Frazier,20:23,B.J. Johnson,16:23,Freddie Gillespie,15:29,104,1,4,2.0,50.0,0.0,0.0,2.0,50.0,Jalen Johnson,6,0,2021-2022,0.0,0,1.0,ATL,98,Cam Reddish,,,,,,,,,,,,,42:23,John Collins,40:57,Delon Wright,38:37,Gorgui Dieng,22:46,Lance Stephenson,22:36,Bogdan Bogdanović,21:54,Onyeka Okongwu,18:42,Sharife Cooper,12:29,Skylar Mays,9:00
0,,0,0.000,0,,98,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112230PHI.html,Away,96,4:35,0,,PHI,Tobias Harris,Paul Reed,6:27,,,,,,,,,,,38:07,Seth Curry,37:17,Joel Embiid,35:31,Tyrese Maxey,33:30,Matisse Thybulle,30:44,Furkan Korkmaz,22:01,Isaiah Joe,12:50,Charles Bassey,12:29,Tyler Johnson,11:01,96,1,0,0.0,,0.0,,0.0,,Jalen Johnson,2,0,2021-2022,0.0,0,0.0,ATL,98,Onyeka Okongwu,,,,,,,,,,,,,34:02,Delon Wright,33:35,Skylar Mays,33:28,John Collins,30:42,Bogdan Bogdanović,27:50,Cam Reddish,27:35,Wes Iwundu,23:15,Gorgui Dieng,13:58,Lance Stephenson,11:00
0,.000,1,33.333,0,0.00,87,0,7,100.0,2,.667,2.0,100.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112250NYK.html,Away,101,15:13,0,0.0,NYK,Kemba Walker,Tyler Hall,1:56,Matt Mooney,1:56,,,,,,,,,40:21,Julius Randle,34:19,Evan Fournier,31:10,Mitchell Robinson,30:25,RJ Barrett,25:38,Quentin Grimes,25:29,Taj Gibson,17:35,Alec Burks,17:30,Obi Toppin,13:41,101,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Jalen Johnson,14,0,2021-2022,0.0,2,7.0,ATL,87,Bogdan Bogdanović,Malcolm Hill,1:56,,,,,,,,,,,35:43,Cam Reddish,34:18,Delon Wright,33:57,John Collins,32:47,Clint Capela,27:46,Skylar Mays,22:33,Gorgui Dieng,20:14,Lance Stephenson,13:37,Cat Barber,1:56
