3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,109,1,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311010MIA.html,Away,105,5:35,0,0.0,MIA,Tyler Herro,,,,,,,,,,,,,35:43,Jimmy Butler,34:06,Bam Adebayo,33:06,Josh Richardson,30:18,Kyle Lowry,29:39,Haywood Highsmith,21:49,Duncan Robinson,21:17,Jaime Jaquez Jr.,19:08,Thomas Bryant,14:54,105,0,0,0.0,,0.0,,0.0,,Jalen Wilson,4,0,2023-2024,1.0,0,1.0,BRK,109,Royce O'Neale,,,,,,,,,,,,,38:35,Cam Thomas,34:17,Ben Simmons,33:49,Mikal Bridges,30:37,Dorian Finney-Smith,29:50,Lonnie Walker IV,24:45,Armoni Brooks,15:55,Trendon Watford,13:55,Day'Ron Sharpe,12:42
0,,0,,0,,124,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311040BRK.html,Home,114,1:05,0,,BOS,Jayson Tatum,,,,,,,,,,,,,40:52,Jrue Holiday,40:22,Jaylen Brown,35:22,Al Horford,30:12,Kristaps Porziņģis,30:09,Payton Pritchard,19:11,Sam Hauser,18:32,Luke Kornet,14:48,Oshae Brissett,10:30,124,0,0,0.0,,0.0,,0.0,,Jalen Wilson,10,0,2023-2024,0.0,0,0.0,BRK,114,Mikal Bridges,Armoni Brooks,1:05,,,,,,,,,,,37:47,Cam Thomas,37:22,Royce O'Neale,36:56,Dorian Finney-Smith,36:46,Spencer Dinwiddie,35:17,Lonnie Walker IV,17:17,Day'Ron Sharpe,16:48,Dennis Smith Jr.,14:30,Trendon Watford,5:03
0,,0,0.000,0,,118,0,0,0.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312110SAC.html,Away,131,3:58,1,100.0,SAC,Domantas Sabonis,JaVale McGee,7:38,Kessler Edwards,3:03,Chris Duarte,2:54,Davion Mitchell,2:39,Colby Jones,1:16,Jalen Slawson,1:16,34:16,Keegan Murray,33:47,De'Aaron Fox,32:42,Malik Monk,27:59,Harrison Barnes,26:52,Trey Lyles,23:15,Kevin Huerter,17:04,Keon Ellis,14:38,Sasha Vezenkov,10:39,131,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Jalen Wilson,13,0,2023-2024,0.0,0,1.0,BRK,118,Mikal Bridges,Harry Giles,3:58,Armoni Brooks,3:58,,,,,,,,,36:35,Spencer Dinwiddie,34:01,Cameron Johnson,31:35,Cam Thomas,30:59,Nic Claxton,26:00,Dorian Finney-Smith,24:41,Royce O'Neale,19:08,Day'Ron Sharpe,14:01,Trendon Watford,11:06
1,1.000,1,33.333,2,,101,0,3,75.0,2,.667,1.0,50.0,2.0,3,2,1.000,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312140DEN.html,Away,124,16:42,1,25.0,DEN,Nikola Jokić,DeAndre Jordan,12:20,Zeke Nnaji,5:51,Jalen Pickett,2:13,Hunter Tyson,1:25,,,,,29:49,Justin Holiday,27:18,Peyton Watson,24:08,Christian Braun,24:01,Aaron Gordon,23:52,Michael Porter Jr.,23:25,Reggie Jackson,23:24,Jamal Murray,22:23,Julian Strawther,19:51,124,0,7,2.0,28.6,3.0,42.9,2.0,28.6,Jalen Wilson,23,0,2023-2024,0.0,0,4.0,BRK,101,Cam Thomas,Harry Giles,14:48,Royce O'Neale,14:29,,,,,,,,,27:17,Day'Ron Sharpe,25:45,Mikal Bridges,24:34,Spencer Dinwiddie,24:00,Cameron Johnson,22:16,Trendon Watford,22:16,Nic Claxton,17:08,Dorian Finney-Smith,15:33,Armoni Brooks,15:12
0,,0,0.000,0,0.00,120,0,0,0.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312160GSW.html,Away,124,10:45,1,100.0,GSW,Stephen Curry,,,,,,,,,,,,,35:02,Klay Thompson,33:32,Brandin Podziemski,32:08,Chris Paul,29:53,Kevon Looney,26:38,Andrew Wiggins,26:32,Dario Šarić,20:53,Jonathan Kuminga,20:52,Moses Moody,14:28,124,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Jalen Wilson,4,0,2023-2024,0.0,1,1.0,BRK,120,Spencer Dinwiddie,,,,,,,,,,,,,39:54,Mikal Bridges,39:42,Cam Thomas,36:37,Royce O'Neale,34:02,Nic Claxton,33:06,Cameron Johnson,28:50,Day'Ron Sharpe,8:56,Trendon Watford,8:05,,
1,1.000,1,100.000,0,0.00,108,0,0,,1,1.000,0.0,,0.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312180UTA.html,Away,125,7:37,0,,UTA,Collin Sexton,Taylor Hendricks,6:42,Luka Šamanić,2:02,,,,,,,,,35:04,Walker Kessler,32:08,Talen Horton-Tucker,31:08,Lauri Markkanen,28:57,Simone Fontecchio,24:32,Ochai Agbaji,23:25,John Collins,20:21,Kelly Olynyk,19:47,Kris Dunn,15:54,125,2,5,0.0,0.0,3.0,60.0,2.0,40.0,Jalen Wilson,17,0,2023-2024,0.0,1,0.0,BRK,108,Cam Thomas,Harry Giles,2:51,,,,,,,,,,,36:48,Spencer Dinwiddie,36:22,Mikal Bridges,35:15,Cameron Johnson,26:48,Nic Claxton,26:21,Royce O'Neale,23:14,Dorian Finney-Smith,21:13,Day'Ron Sharpe,16:24,Trendon Watford,7:07
0,.000,1,50.000,2,,121,0,1,100.0,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312200BRK.html,Home,102,5:54,0,0.0,NYK,Julius Randle,DaQuan Jeffries,3:12,Miles McBride,2:29,Ryan Arcidiacono,2:13,,,,,,,34:28,Jalen Brunson,32:14,Josh Hart,30:57,Isaiah Hartenstein,30:01,RJ Barrett,26:51,Immanuel Quickley,23:49,Donte DiVincenzo,22:30,Quentin Grimes,17:59,Taj Gibson,13:17,121,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Jalen Wilson,19,1,2023-2024,1.0,0,1.0,BRK,102,Mikal Bridges,Harry Giles,3:39,,,,,,,,,,,32:49,Cam Thomas,31:59,Spencer Dinwiddie,30:33,Royce O'Neale,27:53,Cameron Johnson,27:48,Nic Claxton,25:42,Dorian Finney-Smith,24:14,Day'Ron Sharpe,18:34,Trendon Watford,10:55
0,,0,0.000,1,,115,0,1,50.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202312230BRK.html,Home,126,5:40,1,50.0,DET,Bojan Bogdanović,Marcus Sasser,6:17,,,,,,,,,,,38:49,Jaden Ivey,35:11,Cade Cunningham,33:24,Isaiah Stewart,32:39,Ausar Thompson,31:02,Kevin Knox,24:00,Alec Burks,16:25,Marvin Bagley III,15:21,Joe Harris,6:52,115,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Jalen Wilson,11,0,2023-2024,0.0,0,2.0,BRK,126,Mikal Bridges,Harry Giles,1:20,Trendon Watford,1:20,,,,,,,,,32:56,Spencer Dinwiddie,30:10,Nic Claxton,29:33,Cam Thomas,28:09,Cameron Johnson,27:36,Dorian Finney-Smith,27:25,Royce O'Neale,18:59,Dennis Smith Jr.,18:49,Day'Ron Sharpe,18:03
0,.000,3,23.077,2,2.00,144,0,3,30.0,5,.385,5.0,50.0,10.0,13,11,1.000,11,84.615,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312270BRK.html,Home,122,29:51,7,70.0,MIL,Khris Middleton,A.J. Green,3:55,Andre Jackson Jr.,1:53,Robin Lopez,1:23,Chris Livingston,1:23,Thanasis Antetokounmpo,1:23,,,31:41,Bobby Portis,30:51,Giannis Antetokounmpo,30:27,Damian Lillard,28:57,Brook Lopez,24:36,Cameron Payne,22:48,Malik Beasley,21:59,MarJon Beauchamp,20:41,Pat Connaughton,18:03,144,4,21,10.0,47.6,0.0,0.0,11.0,52.4,Jalen Wilson,22,0,2023-2024,0.0,1,10.0,BRK,122,Dennis Smith Jr.,Royce O'Neale,10:00,Harry Giles,6:40,,,,,,,,,30:02,Armoni Brooks,28:53,Trendon Watford,27:53,Noah Clowney,24:04,Dariq Whitehead,21:24,Keon Johnson,20:54,Day'Ron Sharpe,16:24,Mikal Bridges,12:00,Cam Thomas,11:55
0,.000,2,25.000,2,,85,0,0,0.0,4,.500,4.0,66.7,6.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202401020NOP.html,Away,112,12:00,4,100.0,NOP,Jordan Hawkins,Naji Marshall,15:44,Cody Zeller,8:18,Kira Lewis Jr.,5:03,Jeremiah Robinson-Earl,4:01,,,,,26:06,Zion Williamson,25:38,Brandon Ingram,24:59,CJ McCollum,24:30,Herbert Jones,24:23,Jose Alvarado,21:58,Larry Nance Jr.,19:54,Jonas Valančiūnas,19:48,Dyson Daniels,19:38,112,0,8,8.0,100.0,0.0,0.0,0.0,0.0,Jalen Wilson,27,1,2023-2024,1.0,0,4.0,BRK,85,Mikal Bridges,Harry Giles,8:18,Armoni Brooks,8:18,Trendon Watford,6:51,,,,,,,29:00,Royce O'Neale,27:54,Cameron Johnson,26:24,Nic Claxton,22:38,Spencer Dinwiddie,21:17,Cam Thomas,20:18,Dorian Finney-Smith,20:06,Dennis Smith Jr.,19:52,Day'Ron Sharpe,17:04
