3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
2,.400,5,62.500,1,0.33,110,0,6,100.0,3,.375,1.0,33.3,3.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201310300PHI.html,Home,114,35:24,0,0.0,MIA,LeBron James,Udonis Haslem,11:32,,,,,,,,,,,36:38,Chris Bosh,34:15,Mario Chalmers,30:35,Ray Allen,27:51,Norris Cole,26:57,Shane Battier,23:41,Rashard Lewis,20:08,Roger Mason,14:38,Chris Andersen,13:45,110,3,8,2.0,25.0,6.0,75.0,0.0,0.0,James Anderson,4,2,2013-2014,2.0,3,6.0,PHI,114,Evan Turner,,,,,,,,,,,,,37:13,Michael Carter-Williams,36:10,Thaddeus Young,34:20,Spencer Hawes,29:23,Tony Wroten,23:23,Lavoy Allen,17:25,Daniel Orton,14:52,Darius Morris,11:50,,
1,.200,5,100.000,6,6.00,109,1,2,100.0,1,.200,0.0,,0.0,5,0,.000,1,20.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311010WAS.html,Away,102,34:21,0,0.0,WAS,Trevor Ariza,Garrett Temple,0:55,,,,,,,,,,,39:14,Marcin Gortat,36:39,Bradley Beal,35:30,John Wall,33:56,Trevor Booker,28:18,Martell Webster,24:10,Al Harrington,15:53,Eric Maynor,14:04,Kevin Séraphin,11:21,102,0,3,0.0,0.0,3.0,100.0,0.0,0.0,James Anderson,7,2,2013-2014,3.0,1,2.0,PHI,109,Evan Turner,,,,,,,,,,,,,34:45,Spencer Hawes,33:07,Michael Carter-Williams,32:15,Thaddeus Young,32:12,Lavoy Allen,19:16,Tony Wroten,19:01,Darius Morris,13:12,Daniel Orton,11:25,Hollis Thompson,10:26
0,.000,1,25.000,2,,104,0,3,100.0,0,.000,0.0,0.0,3.0,4,1,.500,2,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311020PHI.html,Home,107,29:35,0,0.0,CHI,Jimmy Butler,,,,,,,,,,,,,39:01,Luol Deng,36:41,Derrick Rose,32:28,Joakim Noah,32:13,Carlos Boozer,31:57,Taj Gibson,23:55,Kirk Hinrich,19:32,Mike Dunleavy,16:24,Nazr Mohammed,7:49,104,1,1,0.0,0.0,0.0,0.0,1.0,100.0,James Anderson,3,0,2013-2014,0.0,0,3.0,PHI,107,Evan Turner,Brandon Davies,2:20,,,,,,,,,,,38:51,Michael Carter-Williams,37:09,Spencer Hawes,30:23,Thaddeus Young,28:45,Tony Wroten,22:41,Lavoy Allen,17:34,Daniel Orton,16:54,Darius Morris,10:51,Hollis Thompson,4:57
1,.333,3,42.857,1,,110,1,3,60.0,3,.429,2.0,50.0,4.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311040PHI.html,Home,90,25:30,2,40.0,GSW,Andre Iguodala,Jermaine O'Neal,12:06,Nemanja Nedović,11:40,Ognjen Kuzmić,8:56,,,,,,,32:39,Klay Thompson,29:38,Stephen Curry,29:13,David Lee,26:12,Andrew Bogut,22:57,Draymond Green,20:50,Toney Douglas,18:47,Marreese Speights,14:00,Kent Bazemore,13:02,110,1,7,4.0,57.1,3.0,42.9,0.0,0.0,James Anderson,20,0,2013-2014,1.0,0,5.0,PHI,90,Michael Carter-Williams,Brandon Davies,11:32,,,,,,,,,,,34:56,Spencer Hawes,26:22,Evan Turner,25:05,Thaddeus Young,22:34,Tony Wroten,22:19,Darius Morris,19:27,Lavoy Allen,18:28,Daniel Orton,17:04,Hollis Thompson,16:43
2,.500,4,40.000,0,0.00,116,0,4,100.0,5,.500,3.0,50.0,6.0,10,1,1.000,1,10.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311060PHI.html,Home,102,32:41,0,0.0,WAS,Bradley Beal,,,,,,,,,,,,,38:44,Marcin Gortat,38:14,John Wall,35:49,Trevor Ariza,34:52,Nenê,29:19,Martell Webster,25:42,Al Harrington,16:53,Eric Maynor,12:11,Kevin Séraphin,8:16,116,2,13,6.0,46.2,6.0,46.2,1.0,7.7,James Anderson,14,0,2013-2014,0.0,1,4.0,PHI,102,Spencer Hawes,,,,,,,,,,,,,38:35,Evan Turner,38:22,Michael Carter-Williams,36:39,Thaddeus Young,34:05,Tony Wroten,18:01,Lavoy Allen,16:47,Darius Morris,13:44,Daniel Orton,6:33,Hollis Thompson,4:33
1,.333,3,42.857,2,1.00,79,0,4,80.0,5,.714,4.0,100.0,4.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311080PHI.html,Home,94,31:57,1,20.0,CLE,Tristan Thompson,Anthony Bennett,5:54,Sergey Karasev,5:12,Tyler Zeller,4:50,,,,,,,35:20,Kyrie Irving,33:38,Anderson Varejão,32:10,Dion Waiters,32:06,Jarrett Jack,25:09,C.J. Miles,18:15,Andrew Bynum,17:46,Earl Clark,16:25,Alonzo Gee,13:15,79,1,11,8.0,72.7,3.0,27.3,0.0,0.0,James Anderson,15,0,2013-2014,0.0,2,5.0,PHI,94,Evan Turner,,,,,,,,,,,,,36:59,Thaddeus Young,36:12,Michael Carter-Williams,34:18,Spencer Hawes,31:58,Tony Wroten,26:09,Lavoy Allen,20:15,Darius Morris,12:29,Brandon Davies,7:36,Hollis Thompson,2:07
1,.250,4,80.000,3,1.00,125,0,2,100.0,2,.400,1.0,100.0,1.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311090CLE.html,Away,127,44:25,0,0.0,CLE,Tristan Thompson,Matthew Dellavedova,6:07,Tyler Zeller,2:08,,,,,,,,,48:29,Kyrie Irving,48:15,Dion Waiters,44:00,Anderson Varejão,42:46,Jarrett Jack,36:36,Alonzo Gee,20:23,C.J. Miles,18:59,Henry Sims,13:05,Anthony Bennett,9:12,127,2,5,2.0,40.0,3.0,60.0,0.0,0.0,James Anderson,2,2,2013-2014,2.0,3,2.0,PHI,125,Michael Carter-Williams,,,,,,,,,,,,,49:04,Evan Turner,46:38,Thaddeus Young,42:46,Spencer Hawes,42:17,Lavoy Allen,20:01,Darius Morris,17:32,Tony Wroten,16:21,Brandon Davies,10:56,,
1,.500,2,33.333,1,1.00,109,0,1,100.0,3,.500,2.0,50.0,4.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311110PHI.html,Home,85,24:04,0,0.0,SAS,Danny Green,Nando De Colo,9:45,Cory Joseph,7:08,Aron Baynes,3:18,,,,,,,32:04,Tony Parker,28:46,Tiago Splitter,28:14,Boris Diaw,27:30,Jeff Ayres,24:20,Kawhi Leonard,24:14,Marco Belinelli,22:25,Patty Mills,19:14,Manu Ginóbili,13:02,109,1,7,4.0,57.1,3.0,42.9,0.0,0.0,James Anderson,24,0,2013-2014,0.0,1,1.0,PHI,85,Evan Turner,,,,,,,,,,,,,34:16,Spencer Hawes,32:36,Michael Carter-Williams,32:31,Thaddeus Young,29:32,Tony Wroten,21:13,Darius Morris,19:55,Lavoy Allen,19:25,Brandon Davies,14:27,Hollis Thompson,12:01
6,.750,8,50.000,0,,117,0,4,80.0,12,.750,6.0,75.0,8.0,16,6,1.000,6,37.500,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201311130PHI.html,Home,123,44:22,1,20.0,HOU,Jeremy Lin,,,,,,,,,,,,,48:37,Chandler Parsons,42:32,Patrick Beverley,42:21,Dwight Howard,42:05,Terrence Jones,36:43,Omri Casspi,23:47,Francisco García,20:10,Aaron Brooks,4:23,Ömer Aşık,4:22,117,5,36,12.0,33.3,18.0,50.0,6.0,16.7,James Anderson,6,3,2013-2014,3.0,0,5.0,PHI,123,Evan Turner,,,,,,,,,,,,,46:03,Tony Wroten,41:14,Thaddeus Young,40:34,Spencer Hawes,35:48,Darius Morris,19:00,Lavoy Allen,16:46,Brandon Davies,12:49,Hollis Thompson,8:23,Daniel Orton,0:01
0,.000,4,66.667,5,2.50,103,2,4,100.0,1,.167,1.0,50.0,2.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311150ATL.html,Away,113,38:50,0,0.0,ATL,Jeff Teague,Elton Brand,11:46,Mike Scott,4:17,,,,,,,,,34:52,Al Horford,34:41,DeMarre Carroll,34:10,Kyle Korver,33:38,Paul Millsap,29:00,Gustavo Ayón,16:47,Lou Williams,16:01,Cartier Martin,12:31,Dennis Schröder,12:17,113,1,2,2.0,100.0,0.0,0.0,0.0,0.0,James Anderson,10,2,2013-2014,4.0,2,4.0,PHI,103,Tony Wroten,,,,,,,,,,,,,37:34,Evan Turner,36:47,Thaddeus Young,33:00,Spencer Hawes,31:55,Darius Morris,16:40,Lavoy Allen,16:05,Hollis Thompson,14:09,Brandon Davies,10:04,Daniel Orton,4:56
