3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,79,1,3,60.0,4,.800,4.0,80.0,5.0,5,3,.600,5,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201501190GSW.html,Home,122,12:37,2,40.0,DEN,Ty Lawson,J.J. Hickson,14:45,Gary Harris,10:47,Erick Green,6:57,,,,,,,32:02,Wilson Chandler,26:50,Jameer Nelson,24:34,Arron Afflalo,23:37,Jusuf Nurkić,23:31,Randy Foye,20:48,Kenneth Faried,20:08,Alonzo Gee,19:06,Darrell Arthur,16:55,79,2,11,8.0,72.7,0.0,0.0,3.0,27.3,James Michael McAdoo,43,0,2014-2015,1.0,0,5.0,GSW,122,Stephen Curry,Justin Holiday,14:05,Marreese Speights,13:14,Brandon Rush,10:37,,,,,,,25:14,Klay Thompson,23:17,Draymond Green,22:53,Shaun Livingston,22:46,Andrew Bogut,22:09,Harrison Barnes,20:04,David Lee,19:19,Andre Iguodala,17:19,Leandro Barbosa,16:26
0,,0,0.000,0,,101,0,0,,1,.500,1.0,50.0,2.0,2,1,.500,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201501230GSW.html,Home,126,5:35,0,,SAC,DeMarcus Cousins,Jason Thompson,11:29,Ryan Hollins,8:23,Omri Casspi,7:13,,,,,,,35:07,Darren Collison,34:25,Quincy Miller,33:48,Ben McLemore,25:13,Nik Stauskas,22:47,Derrick Williams,22:15,Ramon Sessions,13:35,Ray McCallum,12:58,Rudy Gay,12:47,101,1,3,2.0,66.7,0.0,0.0,1.0,33.3,James Michael McAdoo,25,1,2014-2015,1.0,0,0.0,GSW,126,Klay Thompson,Brandon Rush,15:44,,,,,,,,,,,32:49,Stephen Curry,29:03,Draymond Green,27:10,Justin Holiday,24:47,Andrew Bogut,23:53,Harrison Barnes,22:40,Marreese Speights,20:55,Shaun Livingston,18:57,David Lee,18:27
0,,0,,0,,113,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201501270GSW.html,Home,111,1:19,0,,CHI,Derrick Rose,,,,,,,,,,,,,42:55,Pau Gasol,41:11,Joakim Noah,40:19,Kirk Hinrich,38:08,Nikola Mirotić,30:39,Taj Gibson,23:58,Tony Snell,22:53,Aaron Brooks,13:50,E'Twaun Moore,11:07,113,0,0,0.0,,0.0,,0.0,,James Michael McAdoo,2,0,2014-2015,0.0,0,0.0,GSW,111,Klay Thompson,,,,,,,,,,,,,43:35,Stephen Curry,42:58,Harrison Barnes,39:44,Draymond Green,39:03,David Lee,30:23,Andre Iguodala,27:16,Marreese Speights,21:15,Shaun Livingston,10:02,Justin Holiday,9:25
0,,0,,0,,116,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201502060ATL.html,Away,124,0:01,0,,ATL,Paul Millsap,,,,,,,,,,,,,34:15,Kyle Korver,34:06,DeMarre Carroll,33:24,Jeff Teague,32:18,Al Horford,27:51,Kent Bazemore,26:38,Dennis Schröder,17:34,Mike Scott,16:58,Pero Antić,16:56,124,0,0,0.0,,0.0,,0.0,,James Michael McAdoo,8,0,2014-2015,0.0,0,0.0,GSW,116,Klay Thompson,Leandro Barbosa,11:44,,,,,,,,,,,36:16,Stephen Curry,36:12,Draymond Green,35:26,Andre Iguodala,30:18,Harrison Barnes,30:11,Andrew Bogut,22:07,Marreese Speights,13:24,David Lee,12:33,Shaun Livingston,11:48
0,,0,0.000,1,1.00,103,1,1,20.0,6,.600,6.0,60.0,10.0,10,4,.667,6,60.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201503130DEN.html,Away,114,27:44,4,80.0,DEN,Jameer Nelson,Gary Harris,7:22,Joffrey Lauvergne,3:16,,,,,,,,,38:14,Randy Foye,34:32,Danilo Gallinari,34:26,Kenneth Faried,34:22,Wilson Chandler,31:46,Will Barton,19:44,J.J. Hickson,19:00,Jusuf Nurkić,8:47,Erick Green,8:31,114,5,16,12.0,75.0,0.0,0.0,4.0,25.0,James Michael McAdoo,11,1,2014-2015,2.0,1,5.0,GSW,103,Justin Holiday,,,,,,,,,,,,,35:33,Shaun Livingston,35:31,David Lee,31:06,Leandro Barbosa,25:27,Harrison Barnes,24:11,Brandon Rush,23:18,Draymond Green,20:16,Festus Ezeli,16:54,,
0,,0,,0,,105,1,2,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201503160GSW.html,Home,108,5:21,0,0.0,LAL,Wesley Johnson,Ryan Kelly,12:30,,,,,,,,,,,38:55,Wayne Ellington,29:52,Jordan Hill,29:47,Jordan Clarkson,25:18,Carlos Boozer,23:40,Jeremy Lin,22:50,Jabari Brown,20:27,Tarik Black,18:28,Ed Davis,18:13,105,0,0,0.0,,0.0,,0.0,,James Michael McAdoo,3,0,2014-2015,1.0,0,2.0,GSW,108,Klay Thompson,Festus Ezeli,7:34,,,,,,,,,,,34:53,Draymond Green,34:23,Stephen Curry,32:40,Andre Iguodala,30:39,Andrew Bogut,30:32,Harrison Barnes,23:12,Shaun Livingston,17:39,David Lee,12:18,Justin Holiday,10:48
0,,0,0.000,0,0.00,95,1,2,50.0,0,.000,0.0,0.0,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201503180GSW.html,Home,114,4:37,2,50.0,ATL,DeMarre Carroll,Elton Brand,5:42,Mike Muscala,5:32,Austin Daye,5:32,,,,,,,32:41,Al Horford,31:38,Kent Bazemore,30:36,Paul Millsap,27:26,Jeff Teague,23:20,Dennis Schröder,22:20,Pero Antić,19:43,Shelvin Mack,19:28,John Jenkins,16:02,95,2,0,0.0,,0.0,,0.0,,James Michael McAdoo,19,0,2014-2015,1.0,1,4.0,GSW,114,Stephen Curry,Festus Ezeli,10:19,,,,,,,,,,,29:41,Draymond Green,29:24,Andre Iguodala,29:02,Harrison Barnes,28:25,Leandro Barbosa,27:51,Justin Holiday,24:39,Andrew Bogut,21:34,Shaun Livingston,21:14,Marreese Speights,13:14
0,,0,0.000,0,0.00,96,0,2,50.0,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201503200GSW.html,Home,112,5:05,2,50.0,NOP,Norris Cole,Elliot Williams,12:00,,,,,,,,,,,36:36,Dante Cunningham,30:17,Jeff Withey,29:07,Quincy Pondexter,26:57,Luke Babbitt,24:10,Eric Gordon,23:53,Jimmer Fredette,23:29,Alexis Ajinça,18:53,Tyreke Evans,14:38,96,2,0,0.0,,0.0,,0.0,,James Michael McAdoo,16,1,2014-2015,1.0,1,4.0,GSW,112,Draymond Green,Andrew Bogut,14:43,Festus Ezeli,13:30,Brandon Rush,4:52,,,,,,,27:21,Stephen Curry,27:02,Leandro Barbosa,23:48,Andre Iguodala,23:21,Shaun Livingston,21:52,Justin Holiday,21:23,David Lee,20:26,Harrison Barnes,19:47,Marreese Speights,16:51
0,,0,0.000,0,,107,0,0,0.0,1,.500,1.0,50.0,2.0,2,0,.000,1,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201503270MEM.html,Away,84,2:51,2,100.0,MEM,Jeff Green,Nick Calathes,12:00,Jordan Adams,2:51,JaMychal Green,2:51,Jon Leuer,2:51,,,,,32:28,Mike Conley,32:04,Marc Gasol,29:28,Zach Randolph,26:59,Vince Carter,22:59,Courtney Lee,22:23,Beno Udrih,19:26,Tony Allen,18:51,Kosta Koufos,14:49,84,0,2,2.0,100.0,0.0,0.0,0.0,0.0,James Michael McAdoo,23,1,2014-2015,1.0,0,2.0,GSW,107,Stephen Curry,Festus Ezeli,15:08,Marreese Speights,5:29,Justin Holiday,1:35,,,,,,,34:14,Andrew Bogut,27:23,Klay Thompson,26:44,Andre Iguodala,24:50,Harrison Barnes,23:35,Shaun Livingston,21:28,Draymond Green,20:10,Leandro Barbosa,20:02,David Lee,16:30
0,,0,0.000,0,0.00,108,3,3,75.0,5,.625,5.0,62.5,8.0,8,2,1.000,2,25.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201503280MIL.html,Away,95,22:45,1,25.0,MIL,Giannis Antetokounmpo,Tyler Ennis,18:01,Miles Plumlee,5:03,,,,,,,,,29:59,Khris Middleton,27:24,Jerryd Bayless,26:51,Jared Dudley,24:36,Ersan İlyasova,23:24,Zaza Pachulia,22:50,Michael Carter-Williams,21:31,O.J. Mayo,20:14,John Henson,20:07,95,1,12,10.0,83.3,0.0,0.0,2.0,16.7,James Michael McAdoo,13,0,2014-2015,3.0,2,4.0,GSW,108,Klay Thompson,Justin Holiday,8:29,Festus Ezeli,2:59,,,,,,,,,34:04,Stephen Curry,30:24,Harrison Barnes,26:04,Shaun Livingston,24:34,David Lee,20:41,Marreese Speights,19:58,Andrew Bogut,18:44,Brandon Rush,17:30,Leandro Barbosa,13:48
