3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,50.000,1,,97,0,0,,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801270MIN.html,Away,111,5:13,0,,MIN,Andrew Wiggins,Marcus Georges-Hunt,3:11,Aaron Brooks,0:18,,,,,,,,,37:29,Jimmy Butler,35:13,Karl-Anthony Towns,33:34,Taj Gibson,33:33,Jeff Teague,24:26,Tyus Jones,23:30,Jamal Crawford,20:12,Nemanja Bjelica,14:27,Gorgui Dieng,14:08,111,0,0,0.0,,0.0,,0.0,,James Webb III,14,0,2017-2018,0.0,0,0.0,BRK,97,Spencer Dinwiddie,Tyler Zeller,8:38,,,,,,,,,,,33:23,Nik Stauskas,32:32,Joe Harris,31:04,DeMarre Carroll,29:21,Quincy Acy,24:17,Allen Crabbe,23:55,Jahlil Okafor,23:30,Jarrett Allen,18:07,Isaiah Whitehead,10:00
0,.000,4,100.000,1,,95,0,2,66.7,0,.000,0.0,,0.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201801300NYK.html,Away,111,21:31,1,33.3,NYK,Courtney Lee,Kyle O'Quinn,11:28,Lance Thomas,5:45,Willy Hernangómez,1:22,Ron Baker,0:38,,,,,31:16,Enes Freedom,30:28,Kristaps Porziņģis,30:12,Frank Ntilikina,25:54,Tim Hardaway Jr.,25:14,Michael Beasley,22:30,Jarrett Jack,19:54,Doug McDermott,18:40,Trey Burke,16:39,111,4,0,0.0,,0.0,,0.0,,James Webb III,16,1,2017-2018,1.0,0,3.0,BRK,95,Nik Stauskas,Isaiah Whitehead,9:49,,,,,,,,,,,25:17,Spencer Dinwiddie,25:13,Jahlil Okafor,24:48,Allen Crabbe,24:24,DeMarre Carroll,23:59,Joe Harris,23:16,Quincy Acy,21:50,D'Angelo Russell,20:02,Jarrett Allen,19:51
0,.000,2,100.000,0,,108,0,0,,0,.000,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201801310BRK.html,Home,116,11:10,0,,PHI,Ben Simmons,Timothé Luwawu-Cabarrot,11:28,,,,,,,,,,,37:54,Joel Embiid,35:45,Dario Šarić,33:03,Robert Covington,31:55,JJ Redick,26:23,T.J. McConnell,20:07,Justin Anderson,17:31,Trevor Booker,14:18,Amir Johnson,11:36,108,1,0,0.0,,0.0,,0.0,,James Webb III,8,0,2017-2018,0.0,0,0.0,BRK,116,DeMarre Carroll,Tyler Zeller,7:29,,,,,,,,,,,35:49,Spencer Dinwiddie,33:55,Allen Crabbe,29:25,Quincy Acy,28:51,Jarrett Allen,26:23,Nik Stauskas,18:05,Joe Harris,18:03,D'Angelo Russell,16:30,Jahlil Okafor,14:20
1,1.000,1,100.000,1,,102,0,2,66.7,1,1.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201802020BRK.html,Home,99,12:21,1,33.3,LAL,Brandon Ingram,Alex Caruso,11:12,,,,,,,,,,,36:48,Josh Hart,34:48,Julius Randle,32:06,Brook Lopez,27:34,Jordan Clarkson,26:03,Kentavious Caldwell-Pope,22:40,Kyle Kuzma,20:17,Larry Nance Jr.,15:54,Corey Brewer,12:38,102,2,3,0.0,0.0,3.0,100.0,0.0,0.0,James Webb III,3,0,2017-2018,0.0,0,3.0,BRK,99,DeMarre Carroll,,,,,,,,,,,,,34:53,Spencer Dinwiddie,32:09,Allen Crabbe,30:24,Joe Harris,24:42,Quincy Acy,24:35,Jarrett Allen,24:15,D'Angelo Russell,23:41,Caris LeVert,17:36,Jahlil Okafor,15:24
0,.000,2,50.000,0,0.00,109,0,2,40.0,1,.250,1.0,50.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201802040BRK.html,Home,94,14:55,3,60.0,MIL,Eric Bledsoe,Sean Kilpatrick,8:27,Jason Terry,1:36,Rashad Vaughn,1:36,,,,,,,32:08,Khris Middleton,31:16,Tony Snell,31:14,John Henson,30:21,Giannis Antetokounmpo,27:48,Sterling Brown,26:12,Thon Maker,17:39,Jabari Parker,17:27,Matthew Dellavedova,14:16,109,0,2,2.0,100.0,0.0,0.0,0.0,0.0,James Webb III,15,0,2017-2018,0.0,1,5.0,BRK,94,DeMarre Carroll,Nik Stauskas,9:27,,,,,,,,,,,32:02,Spencer Dinwiddie,28:43,Allen Crabbe,28:31,Jarrett Allen,27:16,Joe Harris,25:58,Caris LeVert,23:11,Quincy Acy,21:04,D'Angelo Russell,18:20,Jahlil Okafor,10:33
2,.667,3,75.000,0,0.00,123,0,4,66.7,2,.500,0.0,0.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201802060BRK.html,Home,113,18:17,2,33.3,HOU,Luc Mbah a Moute,,,,,,,,,,,,,37:25,James Harden,34:23,Chris Paul,33:47,P.J. Tucker,33:47,Clint Capela,31:38,Eric Gordon,28:07,Gerald Green,17:51,Nenê,14:30,Ryan Anderson,8:32,123,1,6,0.0,0.0,6.0,100.0,0.0,0.0,James Webb III,10,0,2017-2018,0.0,1,6.0,BRK,113,Allen Crabbe,Isaiah Whitehead,5:40,Rashad Vaughn,4:12,,,,,,,,,30:58,DeMarre Carroll,29:43,Joe Harris,28:03,Spencer Dinwiddie,25:09,Jahlil Okafor,24:41,Jarrett Allen,23:19,D'Angelo Russell,19:25,Nik Stauskas,18:22,Caris LeVert,12:11
1,.500,2,100.000,0,0.00,106,0,4,100.0,1,.500,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201802070DET.html,Away,115,14:45,0,0.0,DET,Stanley Johnson,,,,,,,,,,,,,38:30,Andre Drummond,35:38,Reggie Bullock,34:24,Blake Griffin,33:36,Ish Smith,29:37,Anthony Tolliver,26:46,Luke Kennard,23:06,Langston Galloway,18:23,,,115,1,3,0.0,0.0,3.0,100.0,0.0,0.0,James Webb III,9,0,2017-2018,0.0,1,4.0,BRK,106,Allen Crabbe,Timofey Mozgov,7:03,,,,,,,,,,,36:11,Spencer Dinwiddie,35:51,Joe Harris,35:41,DeMarre Carroll,33:16,Jarrett Allen,32:10,D'Angelo Russell,17:00,Nik Stauskas,11:38,Jahlil Okafor,8:47,Isaiah Whitehead,7:39
0,.000,1,100.000,1,,138,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201802100BRK.html,Home,128,6:58,0,,NOP,Anthony Davis,,,,,,,,,,,,,49:46,Nikola Mirotić,49:00,Jrue Holiday,48:53,E'Twaun Moore,43:57,Rajon Rondo,41:37,Darius Miller,23:37,Ian Clark,18:01,Cheick Diallo,12:24,DeAndre Liggins,2:45,138,1,0,0.0,,0.0,,0.0,,James Webb III,10,0,2017-2018,0.0,0,0.0,BRK,128,Allen Crabbe,Jahlil Okafor,5:08,,,,,,,,,,,44:24,Spencer Dinwiddie,42:56,Quincy Acy,39:36,DeMarre Carroll,36:23,Joe Harris,34:17,D'Angelo Russell,31:35,Dante Cunningham,19:39,Jarrett Allen,17:12,Nik Stauskas,11:52
0,.000,1,100.000,0,,114,0,1,100.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201802120BRK.html,Home,101,2:46,0,0.0,LAC,DeAndre Jordan,Sam Dekker,4:34,Sindarius Thornwell,0:32,Tyrone Wallace,0:12,,,,,,,35:44,Austin Rivers,35:13,Danilo Gallinari,34:52,Tobias Harris,33:06,Lou Williams,29:57,Avery Bradley,27:47,Miloš Teodosić,15:37,Montrezl Harrell,12:10,Wesley Johnson,10:16,114,0,0,0.0,,0.0,,0.0,,James Webb III,13,0,2017-2018,0.0,0,1.0,BRK,101,Spencer Dinwiddie,Nik Stauskas,5:20,Isaiah Whitehead,2:46,,,,,,,,,36:09,DeMarre Carroll,35:15,Allen Crabbe,32:31,Quincy Acy,31:22,Joe Harris,26:23,D'Angelo Russell,24:55,Jarrett Allen,17:34,Jahlil Okafor,12:50,Dante Cunningham,12:09
0,.000,2,66.667,0,0.00,97,0,1,50.0,1,.333,1.0,100.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201804110BOS.html,Away,110,12:00,1,50.0,BOS,Abdel Nader,,,,,,,,,,,,,38:35,Jabari Bird,28:38,Guerschon Yabusele,28:28,Semi Ojeleye,28:28,Shane Larkin,25:37,Jonathan Gibson,24:31,Kadeem Allen,24:28,Greg Monroe,20:47,Aron Baynes,20:28,110,0,2,2.0,100.0,0.0,0.0,0.0,0.0,James Webb III,13,0,2017-2018,0.0,1,2.0,BRK,97,Nik Stauskas,Timofey Mozgov,9:21,,,,,,,,,,,34:49,Caris LeVert,29:01,Allen Crabbe,25:50,Milton Doyle,25:05,Quincy Acy,23:34,D'Angelo Russell,22:49,Dante Cunningham,20:12,Jarrett Allen,19:20,Rondae Hollis-Jefferson,17:59
