3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,1.000,1,7.692,0,0.00,99,0,5,83.3,7,.538,6.0,50.0,12.0,13,4,.500,8,61.538,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202012220BRK.html,Away,125,24:17,1,16.7,BRK,Kyrie Irving,Taurean Prince,16:06,Reggie Perry,7:46,Bruce Brown,7:31,Timothé Luwawu-Cabarrot,6:36,Rodions Kurucs,6:36,Tyler Johnson,5:59,25:18,Kevin Durant,24:56,Caris LeVert,24:49,Joe Harris,20:46,Spencer Dinwiddie,19:57,Landry Shamet,19:43,Jarrett Allen,19:37,Jeff Green,17:17,DeAndre Jordan,17:03,125,2,19,12.0,63.2,3.0,15.8,4.0,21.1,James Wiseman,26,2,2020-2021,2.0,1,6.0,GSW,99,Andrew Wiggins,Kent Bazemore,11:35,Kevon Looney,11:17,Mychal Mulder,6:36,,,,,,,31:14,Stephen Curry,30:19,Kelly Oubre Jr.,25:39,Brad Wanamaker,21:40,Eric Paschall,21:33,Jordan Poole,17:55,Juan Toscano-Anderson,13:15,Marquese Chriss,12:26,Damion Lee,12:14
3,.750,4,36.364,0,0.00,99,3,5,62.5,5,.455,2.0,28.6,7.0,11,5,.833,6,54.545,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202012250MIL.html,Away,138,25:03,3,37.5,MIL,Giannis Antetokounmpo,Bryn Forbes,13:21,Jordan Nwora,9:46,Thanasis Antetokounmpo,9:46,Torrey Craig,9:46,Sam Merrill,7:37,,,26:42,Bobby Portis,25:53,Khris Middleton,25:47,Jrue Holiday,25:22,Donte DiVincenzo,19:59,Brook Lopez,19:43,Pat Connaughton,18:53,D.J. Wilson,13:56,D.J. Augustin,13:27,138,4,18,4.0,22.2,9.0,50.0,5.0,27.8,James Wiseman,39,0,2020-2021,3.0,2,8.0,GSW,99,Stephen Curry,Juan Toscano-Anderson,12:33,Kevon Looney,11:01,Kent Bazemore,3:56,,,,,,,28:58,Eric Paschall,24:59,Andrew Wiggins,24:54,Kelly Oubre Jr.,19:46,Jordan Poole,19:02,Brad Wanamaker,19:02,Damion Lee,18:54,Mychal Mulder,17:34,Marquese Chriss,14:17
1,1.000,1,12.500,0,0.00,129,1,3,100.0,3,.375,2.0,28.6,7.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202012270CHI.html,Away,128,22:37,0,0.0,CHI,Coby White,,,,,,,,,,,,,35:38,Zach LaVine,34:48,Wendell Carter Jr.,31:28,Lauri Markkanen,29:15,Patrick Williams,26:21,Tomáš Satoranský,22:50,Otto Porter Jr.,20:45,Garrett Temple,19:28,Chandler Hutchison,19:27,128,4,7,4.0,57.1,3.0,42.9,0.0,0.0,James Wiseman,1,1,2020-2021,2.0,1,3.0,GSW,129,Stephen Curry,Mychal Mulder,10:34,,,,,,,,,,,36:26,Andrew Wiggins,36:26,Kelly Oubre Jr.,30:18,Damion Lee,20:37,Juan Toscano-Anderson,19:12,Eric Paschall,19:07,Kevon Looney,16:53,Brad Wanamaker,14:24,Jordan Poole,13:25
0,.000,2,22.222,1,0.50,116,2,5,83.3,3,.333,3.0,42.9,7.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202012290DET.html,Away,106,21:44,1,16.7,DET,Jerami Grant,Svi Mykhailiuk,11:55,Sekou Doumbouya,10:04,,,,,,,,,37:02,Josh Jackson,29:27,Delon Wright,28:01,Derrick Rose,26:26,Mason Plumlee,24:49,Isaiah Stewart,23:11,Blake Griffin,16:59,Killian Hayes,16:57,Saddiq Bey,15:09,106,6,6,6.0,100.0,0.0,0.0,0.0,0.0,James Wiseman,10,0,2020-2021,2.0,2,6.0,GSW,116,Andrew Wiggins,Jordan Poole,9:34,,,,,,,,,,,38:04,Stephen Curry,34:50,Kelly Oubre Jr.,29:01,Juan Toscano-Anderson,23:55,Kevon Looney,21:49,Damion Lee,18:58,Brad Wanamaker,17:37,Eric Paschall,13:29,Mychal Mulder,10:59
0,.000,2,25.000,0,0.00,123,2,5,100.0,2,.250,2.0,33.3,6.0,8,4,1.000,4,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101010GSW.html,Home,98,19:00,0,0.0,POR,Robert Covington,Rodney Hood,5:22,Keljin Blevins,3:59,CJ Elleby,3:59,,,,,,,36:29,Damian Lillard,35:23,CJ McCollum,33:34,Derrick Jones Jr.,32:47,Carmelo Anthony,23:50,Anfernee Simons,22:07,Jusuf Nurkić,17:35,Harry Giles,13:49,Enes Freedom,11:06,123,4,8,4.0,50.0,0.0,0.0,4.0,50.0,James Wiseman,25,0,2020-2021,2.0,1,5.0,GSW,98,Stephen Curry,Kevon Looney,12:05,Mychal Mulder,10:29,Jordan Poole,3:21,,,,,,,33:38,Andrew Wiggins,32:34,Kelly Oubre Jr.,28:07,Draymond Green,17:38,Juan Toscano-Anderson,17:16,Kent Bazemore,17:15,Eric Paschall,16:55,Damion Lee,16:13,Brad Wanamaker,15:29
0,.000,1,11.111,1,0.33,122,2,9,81.8,6,.667,6.0,75.0,8.0,9,0,.000,2,22.222,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101030GSW.html,Home,137,21:37,2,18.2,POR,Damian Lillard,,,,,,,,,,,,,39:08,CJ McCollum,37:58,Gary Trent Jr.,31:33,Robert Covington,27:13,Carmelo Anthony,27:11,Enes Freedom,24:14,Jusuf Nurkić,23:20,Derrick Jones Jr.,16:54,Anfernee Simons,12:27,122,4,12,12.0,100.0,0.0,0.0,0.0,0.0,James Wiseman,15,0,2020-2021,2.0,3,11.0,GSW,137,Stephen Curry,Juan Toscano-Anderson,3:27,Mychal Mulder,0:10,,,,,,,,,36:27,Andrew Wiggins,35:19,Kelly Oubre Jr.,32:57,Draymond Green,27:50,Kent Bazemore,20:26,Kevon Looney,17:20,Damion Lee,17:03,Eric Paschall,16:32,Brad Wanamaker,10:50
0,.000,1,11.111,1,1.00,106,2,4,80.0,5,.556,5.0,62.5,8.0,9,0,.000,1,11.111,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101040GSW.html,Home,137,17:26,1,20.0,SAC,De'Aaron Fox,Hassan Whiteside,11:46,Justin James,7:47,Chimezie Metu,4:45,Robert Woodard II,4:45,Jahmi'us Ramsey,4:45,,,30:48,Buddy Hield,29:59,Harrison Barnes,29:52,Marvin Bagley III,24:05,Cory Joseph,22:03,Richaun Holmes,18:45,Glenn Robinson III,18:44,Kyle Guy,16:00,Nemanja Bjelica,15:55,106,2,10,10.0,100.0,0.0,0.0,0.0,0.0,James Wiseman,31,0,2020-2021,2.0,1,5.0,GSW,137,Stephen Curry,Kevon Looney,12:23,Jordan Poole,7:47,Nico Mannion,7:47,,,,,,,30:34,Andrew Wiggins,28:05,Kelly Oubre Jr.,25:31,Eric Paschall,21:49,Draymond Green,21:14,Damion Lee,19:54,Brad Wanamaker,17:26,Kent Bazemore,15:31,Mychal Mulder,14:29
0,,0,0.000,0,0.00,108,1,3,75.0,5,.500,5.0,50.0,10.0,10,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101060GSW.html,Home,101,18:01,1,25.0,LAC,Paul George,Reggie Jackson,8:13,Mfiondu Kabengele,0:31,Terance Mann,0:24,,,,,,,38:32,Kawhi Leonard,34:31,Serge Ibaka,34:31,Patrick Beverley,30:15,Nicolas Batum,26:18,Lou Williams,19:55,Luke Kennard,18:39,Marcus Morris,18:11,Ivica Zubac,10:00,108,3,10,10.0,100.0,0.0,0.0,0.0,0.0,James Wiseman,7,1,2020-2021,2.0,3,4.0,GSW,101,Stephen Curry,Mychal Mulder,8:13,,,,,,,,,,,34:59,Andrew Wiggins,33:55,Draymond Green,31:17,Kelly Oubre Jr.,24:40,Damion Lee,22:17,Eric Paschall,20:07,Kent Bazemore,19:02,Brad Wanamaker,15:15,Kevon Looney,12:14
1,.500,2,28.571,0,0.00,105,2,4,66.7,3,.429,2.0,40.0,5.0,7,2,.500,4,57.143,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101080GSW.html,Home,115,15:18,2,33.3,LAC,Paul George,Reggie Jackson,6:20,Terance Mann,0:43,Amir Coffey,0:43,Mfiondu Kabengele,0:43,Daniel Oturu,0:43,,,39:08,Kawhi Leonard,34:11,Serge Ibaka,30:20,Nicolas Batum,30:17,Patrick Beverley,27:59,Luke Kennard,17:47,Marcus Morris,17:43,Ivica Zubac,16:56,Lou Williams,16:23,105,0,9,4.0,44.4,3.0,33.3,2.0,22.2,James Wiseman,10,0,2020-2021,2.0,1,6.0,GSW,115,Stephen Curry,Kevon Looney,11:55,,,,,,,,,,,36:15,Draymond Green,30:37,Andrew Wiggins,28:02,Damion Lee,21:52,Kelly Oubre Jr.,21:23,Eric Paschall,20:01,Kent Bazemore,19:48,Mychal Mulder,18:31,Brad Wanamaker,16:14
0,.000,1,14.286,0,,105,0,7,100.0,5,.714,5.0,83.3,6.0,7,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101100GSW.html,Home,106,16:32,0,0.0,TOR,Pascal Siakam,Yuta Watanabe,8:59,,,,,,,,,,,40:27,Fred VanVleet,39:17,OG Anunoby,37:16,Kyle Lowry,33:31,Chris Boucher,23:49,Norman Powell,22:27,Malachi Flynn,12:34,Terence Davis,12:18,Stanley Johnson,9:22,105,2,10,10.0,100.0,0.0,0.0,0.0,0.0,James Wiseman,1,0,2020-2021,0.0,0,7.0,GSW,106,Stephen Curry,Mychal Mulder,11:00,,,,,,,,,,,38:12,Andrew Wiggins,34:20,Draymond Green,29:22,Kelly Oubre Jr.,29:01,Kent Bazemore,20:44,Eric Paschall,18:38,Damion Lee,15:28,Kevon Looney,14:11,Brad Wanamaker,12:32
