3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,20.000,0,,120,0,3,75.0,0,.000,0.0,0.0,4.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202310250IND.html,Home,143,5:41,1,25.0,WAS,Tyus Jones,Mike Muscala,8:10,Eugene Omoruyi,7:46,Ryan Rollins,6:00,Jared Butler,3:23,Patrick Baldwin Jr.,3:23,,,28:20,Jordan Poole,26:19,Delon Wright,25:19,Kyle Kuzma,24:52,Corey Kispert,24:27,Bilal Coulibaly,23:08,Daniel Gafford,21:03,Deni Avdija,20:40,Danilo Gallinari,17:10,120,1,0,0.0,,0.0,,0.0,,Jarace Walker,23,1,2023-2024,1.0,0,4.0,IND,143,Bruce Brown,Isaiah Jackson,11:15,T.J. McConnell,6:00,Jordan Nwora,5:41,Ben Sheppard,5:41,,,,,27:12,Tyrese Haliburton,26:54,Bennedict Mathurin,25:50,Buddy Hield,25:06,Myles Turner,23:20,Aaron Nesmith,23:05,Andrew Nembhard,21:36,Obi Toppin,19:14,Jalen Smith,13:25
0,.000,1,16.667,3,,104,1,2,100.0,4,.667,4.0,80.0,5.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311010BOS.html,Away,155,12:00,0,0.0,BOS,Kristaps Porziņģis,Svi Mykhailiuk,11:03,Dalano Banton,8:16,Lamar Stevens,6:56,Luke Kornet,6:01,,,,,27:08,Derrick White,26:50,Jayson Tatum,26:34,Payton Pritchard,26:15,Jaylen Brown,25:28,Jrue Holiday,25:26,Oshae Brissett,19:31,Sam Hauser,19:29,Al Horford,11:03,155,1,8,8.0,100.0,0.0,0.0,0.0,0.0,Jarace Walker,51,0,2023-2024,1.0,0,2.0,IND,104,T.J. McConnell,Bennedict Mathurin,15:17,Ben Sheppard,14:42,,,,,,,,,27:58,Obi Toppin,24:55,Buddy Hield,23:40,Myles Turner,21:44,Jordan Nwora,21:29,Bruce Brown,20:52,Andrew Nembhard,20:02,Isaiah Jackson,18:45,Aaron Nesmith,18:36
0,,0,0.000,2,,111,0,1,100.0,0,.000,0.0,0.0,1.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202311060IND.html,Home,152,8:49,0,0.0,SAS,Malaki Branham,Julian Champagnie,16:35,Devonte' Graham,12:00,Sandro Mamukelashvili,8:49,Dominick Barlow,7:35,Blake Wesley,7:35,,,28:27,Keldon Johnson,23:06,Victor Wembanyama,21:17,Jeremy Sochan,20:39,Zach Collins,19:40,Doug McDermott,19:32,Tre Jones,18:47,Cedi Osman,18:40,Charles Bassey,17:18,111,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Jarace Walker,41,0,2023-2024,0.0,0,1.0,IND,152,Obi Toppin,Ben Sheppard,12:00,Jalen Smith,11:51,Jordan Nwora,8:49,T.J. McConnell,8:49,,,,,27:20,Tyrese Haliburton,27:09,Bruce Brown,23:44,Bennedict Mathurin,21:54,Buddy Hield,21:06,Myles Turner,20:55,Aaron Nesmith,16:13,Andrew Nembhard,16:07,Isaiah Jackson,15:13
0,.000,3,50.000,1,1.00,128,1,1,100.0,3,.500,3.0,100.0,3.0,6,1,1.000,1,16.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311190IND.html,Home,116,14:00,0,0.0,ORL,Paolo Banchero,Jonathan Isaac,13:35,Caleb Houstan,8:26,Chuma Okeke,7:45,Jett Howard,6:43,Admiral Schofield,5:05,,,26:40,Cole Anthony,24:53,Anthony Black,24:16,Goga Bitadze,22:23,Franz Wagner,22:21,Gary Harris,21:59,Moritz Wagner,20:32,Joe Ingles,17:47,Jalen Suggs,17:35,128,2,7,6.0,85.7,0.0,0.0,1.0,14.3,Jarace Walker,12,1,2023-2024,2.0,1,1.0,IND,116,Tyrese Haliburton,Aaron Nesmith,14:51,Jalen Smith,13:26,Isaiah Jackson,12:00,,,,,,,25:16,Bennedict Mathurin,25:00,Jordan Nwora,23:11,Myles Turner,22:34,Bruce Brown,21:53,T.J. McConnell,20:35,Ben Sheppard,16:10,Obi Toppin,16:05,Buddy Hield,14:59
0,,0,,0,,132,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202311300MIA.html,Away,142,0:08,0,,MIA,Jimmy Butler,Orlando Robinson,7:08,Thomas Bryant,5:41,,,,,,,,,37:59,Jaime Jaquez Jr.,33:04,Josh Richardson,31:43,Duncan Robinson,29:20,Kyle Lowry,25:28,Caleb Martin,25:03,Kevin Love,17:27,Haywood Highsmith,14:39,Bam Adebayo,12:28,142,0,0,0.0,,0.0,,0.0,,Jarace Walker,10,0,2023-2024,0.0,0,0.0,IND,132,Tyrese Haliburton,Ben Sheppard,0:08,,,,,,,,,,,39:44,Obi Toppin,33:15,Bruce Brown,32:17,Buddy Hield,30:53,Myles Turner,29:04,Bennedict Mathurin,23:42,Aaron Nesmith,22:34,Andrew Nembhard,22:24,Isaiah Jackson,5:51
0,,0,,0,,109,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312090LAL.html,Away,123,1:10,0,,LAL,Anthony Davis,Jaxson Hayes,7:23,Jalen Hood-Schifino,0:46,Maxwell Lewis,0:46,,,,,,,40:37,LeBron James,34:52,Cam Reddish,33:19,D'Angelo Russell,31:53,Austin Reaves,27:33,Max Christie,19:29,Taurean Prince,18:59,Jarred Vanderbilt,15:46,Rui Hachimura,8:37,123,0,0,0.0,,0.0,,0.0,,Jarace Walker,14,0,2023-2024,0.0,0,0.0,IND,109,Tyrese Haliburton,Oscar Tshiebwe,1:10,Kendall Brown,1:10,Ben Sheppard,1:10,Isaiah Wong,1:10,,,,,35:16,Buddy Hield,32:21,Bennedict Mathurin,30:09,Obi Toppin,29:09,Aaron Nesmith,26:29,Myles Turner,25:13,Bruce Brown,19:25,Isaiah Jackson,18:38,T.J. McConnell,17:30
1,.500,2,66.667,2,2.00,126,1,0,,1,.333,0.0,0.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312130MIL.html,Away,140,6:05,0,,MIL,Giannis Antetokounmpo,Thanasis Antetokounmpo,1:20,A.J. Green,1:20,Robin Lopez,1:20,,,,,,,37:13,Malik Beasley,35:40,Damian Lillard,35:39,Brook Lopez,33:09,Khris Middleton,29:04,Bobby Portis,22:58,MarJon Beauchamp,14:56,Cameron Payne,13:43,Andre Jackson Jr.,13:37,140,4,3,0.0,0.0,3.0,100.0,0.0,0.0,Jarace Walker,14,0,2023-2024,1.0,1,0.0,IND,126,Myles Turner,Ben Sheppard,5:54,Jordan Nwora,5:54,Oscar Tshiebwe,5:54,,,,,,,32:36,Tyrese Haliburton,30:38,Bruce Brown,27:09,Buddy Hield,26:40,Aaron Nesmith,25:28,Bennedict Mathurin,24:45,Obi Toppin,19:34,T.J. McConnell,16:14,Isaiah Jackson,13:09
1,.500,2,50.000,0,,123,0,2,100.0,2,.500,1.0,50.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312150WAS.html,Away,137,13:21,0,0.0,WAS,Jordan Poole,Patrick Baldwin Jr.,2:59,Jared Butler,2:59,Anthony Gill,2:59,,,,,,,32:13,Bilal Coulibaly,30:02,Kyle Kuzma,29:35,Tyus Jones,28:52,Corey Kispert,28:28,Daniel Gafford,28:24,Deni Avdija,24:42,Mike Muscala,18:40,Danilo Gallinari,10:05,137,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Jarace Walker,14,0,2023-2024,0.0,0,2.0,IND,123,Tyrese Haliburton,Ben Sheppard,8:38,Jordan Nwora,4:11,Oscar Tshiebwe,4:11,,,,,,,27:43,Buddy Hield,27:24,Obi Toppin,26:23,Aaron Nesmith,23:59,Bruce Brown,22:59,Bennedict Mathurin,21:49,Isaiah Jackson,19:53,Myles Turner,19:50,T.J. McConnell,19:39
1,.500,2,66.667,3,3.00,109,0,2,100.0,2,.667,1.0,100.0,1.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202312160MIN.html,Away,127,24:12,0,0.0,MIN,Karl-Anthony Towns,Shake Milton,5:22,Jordan McLaughlin,3:26,Wendell Moore Jr.,3:26,,,,,,,34:57,Anthony Edwards,33:38,Naz Reid,27:05,Nickeil Alexander-Walker,25:38,Rudy Gobert,25:10,Mike Conley,24:11,Kyle Anderson,23:13,Jaden McDaniels,17:44,Troy Brown Jr.,16:10,127,2,5,2.0,40.0,3.0,60.0,0.0,0.0,Jarace Walker,18,2,2023-2024,2.0,1,2.0,IND,109,Bruce Brown,Jordan Nwora,10:17,Oscar Tshiebwe,7:20,James Johnson,3:12,,,,,,,27:03,Aaron Nesmith,26:14,T.J. McConnell,25:40,Bennedict Mathurin,23:23,Myles Turner,21:06,Isaiah Jackson,19:34,Buddy Hield,18:12,Ben Sheppard,16:58,Obi Toppin,16:49
0,,0,,0,,126,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202312300IND.html,Home,140,1:05,0,,NYK,Jalen Brunson,Ryan Arcidiacono,1:05,Dmytro Skapintsev,1:05,Jacob Toppin,1:05,,,,,,,40:46,Julius Randle,39:23,Josh Hart,37:38,Donte DiVincenzo,35:59,Isaiah Hartenstein,32:50,Miles McBride,17:35,Evan Fournier,17:24,Taj Gibson,14:05,Charlie Brown Jr.,1:05,126,0,0,0.0,,0.0,,0.0,,Jarace Walker,14,0,2023-2024,0.0,0,0.0,IND,140,Tyrese Haliburton,Isaiah Jackson,9:11,Jordan Nwora,1:05,Ben Sheppard,1:05,,,,,,,35:43,Andrew Nembhard,33:29,Myles Turner,30:55,Aaron Nesmith,30:37,Bennedict Mathurin,25:32,Jalen Smith,20:46,Obi Toppin,19:56,Buddy Hield,18:19,T.J. McConnell,12:17
