3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,107,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201311070DEN.html,Away,109,3:49,0,,DEN,Ty Lawson,Jordan Hamilton,15:38,Darrell Arthur,5:18,,,,,,,,,39:02,Kenneth Faried,26:17,Evan Fournier,24:17,Randy Foye,24:12,JaVale McGee,23:40,J.J. Hickson,22:14,Andre Miller,20:41,Nate Robinson,20:37,Timofey Mozgov,18:04,109,0,0,0.0,,0.0,,0.0,,Jared Cunningham,2,0,2013-2014,0.0,0,0.0,ATL,107,Al Horford,,,,,,,,,,,,,35:07,Paul Millsap,34:28,Jeff Teague,34:23,Kyle Korver,34:21,DeMarre Carroll,29:41,Cartier Martin,23:06,Pero Antić,20:12,Shelvin Mack,18:40,Mike Scott,6:13
0,,0,,1,1.00,89,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201312060ATL.html,Home,108,2:51,0,,CLE,Tristan Thompson,Anthony Bennett,9:13,Tyler Zeller,7:15,Earl Clark,6:25,Sergey Karasev,2:51,,,,,34:56,Dion Waiters,34:42,Jarrett Jack,28:56,Andrew Bynum,26:37,Matthew Dellavedova,25:37,Anderson Varejão,20:41,Kyrie Irving,20:28,C.J. Miles,11:46,Alonzo Gee,10:33,89,0,0,0.0,,0.0,,0.0,,Jared Cunningham,19,0,2013-2014,0.0,1,0.0,ATL,108,Kyle Korver,Cartier Martin,11:04,Mike Scott,2:51,,,,,,,,,31:59,Al Horford,31:14,Paul Millsap,27:18,DeMarre Carroll,27:03,Lou Williams,26:45,Jeff Teague,24:59,Gustavo Ayón,20:27,Shelvin Mack,19:25,Elton Brand,14:04
0,,0,,0,,106,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201312140NYK.html,Away,111,1:42,0,0.0,NYK,Carmelo Anthony,Cole Aldrich,1:44,Toure' Murry,1:44,,,,,,,,,38:01,Andrea Bargnani,36:27,Iman Shumpert,33:25,Pablo Prigioni,31:01,Tim Hardaway Jr.,27:05,J.R. Smith,24:20,Amar'e Stoudemire,19:16,Beno Udrih,18:02,Metta World Peace,8:55,111,0,0,0.0,,0.0,,0.0,,Jared Cunningham,5,0,2013-2014,0.0,0,1.0,ATL,106,Paul Millsap,Elton Brand,4:37,John Jenkins,1:44,,,,,,,,,34:06,Al Horford,33:55,Kyle Korver,32:54,DeMarre Carroll,31:28,Lou Williams,28:38,Jeff Teague,27:29,Shelvin Mack,20:04,Mike Scott,13:11,Pero Antić,10:12
0,.000,1,50.000,1,1.00,112,0,0,,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201401250MIL.html,Away,87,8:33,0,,MIL,Brandon Knight,Luke Ridnour,14:58,Miroslav Raduljica,10:57,,,,,,,,,35:54,Khris Middleton,31:25,John Henson,27:46,Giannis Antetokounmpo,25:21,O.J. Mayo,20:52,Ersan İlyasova,20:42,Larry Sanders,20:41,Nate Wolters,16:21,Caron Butler,15:03,87,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Jared Cunningham,25,0,2013-2014,0.0,1,0.0,ATL,112,Paul Millsap,James Nunnally,12:00,,,,,,,,,,,28:54,Gustavo Ayón,28:15,Mike Scott,26:43,Kyle Korver,25:55,Lou Williams,24:14,DeMarre Carroll,24:13,Shelvin Mack,23:50,Elton Brand,19:45,Dennis Schröder,17:38
0,,0,,1,,125,0,0,,0,,0.0,,0.0,0,0,.000,2,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201401310PHI.html,Away,99,4:58,0,,PHI,Michael Carter-Williams,Dewayne Dedmon,15:48,,,,,,,,,,,32:42,Thaddeus Young,30:23,James Anderson,28:36,Evan Turner,26:00,Hollis Thompson,24:31,Elliot Williams,24:17,Lavoy Allen,21:18,Tony Wroten,18:42,Spencer Hawes,17:43,99,1,0,0.0,,0.0,,0.0,,Jared Cunningham,26,0,2013-2014,0.0,0,0.0,ATL,125,Paul Millsap,Shelvin Mack,12:02,James Nunnally,12:00,,,,,,,,,26:55,Kyle Korver,26:48,DeMarre Carroll,26:45,Jeff Teague,23:48,Mike Scott,23:39,Gustavo Ayón,22:48,Elton Brand,22:38,Lou Williams,20:45,Dennis Schröder,16:54
0,,0,0.000,0,,102,0,0,0.0,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201403310NOP.html,Away,97,4:13,1,100.0,NOP,Anthony Davis,Alexis Ajinça,8:20,Luke Babbitt,4:32,,,,,,,,,37:41,Darius Miller,28:50,Anthony Morrow,28:15,Jeff Withey,28:06,Tyreke Evans,25:35,Austin Rivers,23:50,Brian Roberts,21:53,Al-Farouq Aminu,19:09,Greg Stiemsma,13:49,97,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Jared Cunningham,5,0,2013-2014,0.0,0,1.0,SAC,102,Ray McCallum,,,,,,,,,,,,,43:56,Rudy Gay,39:48,Ben McLemore,38:22,DeMarcus Cousins,37:26,Reggie Evans,23:08,Quincy Acy,18:00,Travis Outlaw,16:57,Jason Thompson,9:12,Derrick Williams,8:58
0,,0,,0,,102,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201404020SAC.html,Home,107,1:57,0,,LAL,Jodie Meeks,,,,,,,,,,,,,36:10,Kendall Marshall,32:31,Kent Bazemore,30:52,Nick Young,29:57,Jordan Hill,28:46,Ryan Kelly,28:02,Wesley Johnson,27:54,Robert Sacre,19:14,MarShon Brooks,6:34,102,0,0,0.0,,0.0,,0.0,,Jared Cunningham,5,0,2013-2014,0.0,0,0.0,SAC,107,Ray McCallum,,,,,,,,,,,,,46:03,Ben McLemore,45:07,Rudy Gay,42:42,Travis Outlaw,32:07,Jason Thompson,23:28,DeMarcus Cousins,21:27,Reggie Evans,17:06,Derrick Williams,10:03,,
0,.000,3,60.000,1,,69,0,0,,1,.200,1.0,50.0,2.0,5,4,1.000,4,80.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201404040GSW.html,Away,102,13:04,0,,GSW,Harrison Barnes,Hilton Armstrong,8:12,,,,,,,,,,,37:32,Draymond Green,31:15,Stephen Curry,28:33,Marreese Speights,26:41,Steve Blake,24:34,Klay Thompson,23:32,Jermaine O'Neal,22:56,Jordan Crawford,19:27,Andre Iguodala,17:18,102,2,6,2.0,33.3,0.0,0.0,4.0,66.7,Jared Cunningham,33,1,2013-2014,1.0,0,0.0,SAC,69,Ray McCallum,,,,,,,,,,,,,43:28,Ben McLemore,40:34,Rudy Gay,28:10,Travis Outlaw,26:53,DeMarcus Cousins,26:38,Derrick Williams,23:16,Jason Thompson,19:32,Reggie Evans,14:23,Quincy Acy,4:02
0,.000,1,100.000,0,,93,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201404060SAC.html,Home,91,0:25,0,,DAL,Monta Ellis,Brandan Wright,6:05,Wayne Ellington,0:03,,,,,,,,,39:07,Dirk Nowitzki,34:03,Shawn Marion,33:54,José Calderón,31:03,Vince Carter,24:40,Samuel Dalembert,24:23,DeJuan Blair,17:19,Devin Harris,16:57,Jae Crowder,12:26,93,2,0,0.0,,0.0,,0.0,,Jared Cunningham,2,0,2013-2014,0.0,0,0.0,SAC,91,Ray McCallum,,,,,,,,,,,,,47:41,Rudy Gay,44:09,DeMarcus Cousins,37:38,Ben McLemore,27:45,Jason Thompson,27:18,Travis Outlaw,23:32,Reggie Evans,18:07,Derrick Williams,13:25,,
0,,0,0.000,1,,107,0,1,100.0,1,.500,1.0,50.0,2.0,2,6,1.000,6,300.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201404080SAC.html,Home,92,6:23,0,0.0,OKC,Kevin Durant,Kendrick Perkins,14:29,Perry Jones,6:10,Andre Roberson,4:57,Hasheem Thabeet,2:44,,,,,31:10,Serge Ibaka,27:40,Steven Adams,27:18,Caron Butler,26:27,Reggie Jackson,24:57,Derek Fisher,23:55,Nick Collison,18:00,Jeremy Lamb,16:50,Thabo Sefolosha,15:23,107,2,8,2.0,25.0,0.0,0.0,6.0,75.0,Jared Cunningham,15,1,2013-2014,1.0,0,1.0,SAC,92,Ray McCallum,,,,,,,,,,,,,45:25,Ben McLemore,39:07,Travis Outlaw,36:40,Jason Thompson,35:34,DeMarcus Cousins,34:53,Derrick Williams,20:28,Quincy Acy,17:02,Aaron Gray,4:28,,
0,.000,1,16.667,1,,99,0,2,100.0,1,.167,1.0,20.0,5.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201404090POR.html,Away,100,11:33,0,0.0,POR,Wesley Matthews,,,,,,,,,,,,,37:37,Damian Lillard,37:06,LaMarcus Aldridge,37:05,Robin Lopez,36:48,Nicolas Batum,36:37,Dorell Wright,15:46,Thomas Robinson,13:46,Will Barton,13:13,Earl Watson,12:02,100,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Jared Cunningham,1,1,2013-2014,1.0,0,2.0,SAC,99,Ray McCallum,,,,,,,,,,,,,42:48,DeMarcus Cousins,37:03,Ben McLemore,32:08,Derrick Williams,29:06,Travis Outlaw,28:52,Jason Thompson,26:44,Reggie Evans,22:51,Quincy Acy,8:55,,
1,1.000,1,50.000,2,,101,0,0,,1,.500,0.0,0.0,1.0,2,3,.750,4,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201404120LAC.html,Away,117,14:10,0,,LAC,Blake Griffin,Jared Dudley,5:22,Ryan Hollins,1:04,Reggie Bullock,0:31,,,,,,,36:29,Chris Paul,35:50,DeAndre Jordan,34:09,JJ Redick,32:02,Matt Barnes,29:43,Darren Collison,22:30,Jamal Crawford,19:13,Glen Davis,17:21,Hedo Türkoğlu,5:46,117,3,6,0.0,0.0,3.0,50.0,3.0,50.0,Jared Cunningham,16,0,2013-2014,0.0,0,0.0,SAC,101,DeMarcus Cousins,,,,,,,,,,,,,42:59,Ray McCallum,40:23,Rudy Gay,34:26,Reggie Evans,34:21,Ben McLemore,32:21,Travis Outlaw,23:04,Jason Thompson,13:18,Derrick Williams,4:42,Quincy Acy,0:16
0,,0,,0,,104,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201404160SAC.html,Home,99,6:29,0,0.0,PHO,Archie Goodwin,Shavlik Randolph,15:34,Miles Plumlee,12:33,Dionte Christmas,7:29,,,,,,,31:19,Marcus Morris,31:19,Markieff Morris,27:54,Ish Smith,27:00,Channing Frye,20:30,Eric Bledsoe,16:42,Gerald Green,16:41,P.J. Tucker,16:41,Alex Len,16:18,104,2,0,0.0,,0.0,,0.0,,Jared Cunningham,5,0,2013-2014,0.0,0,1.0,SAC,99,Ben McLemore,,,,,,,,,,,,,42:20,Ray McCallum,31:18,Derrick Williams,30:34,Aaron Gray,26:02,Quincy Acy,24:42,Travis Outlaw,24:37,Jason Thompson,21:09,Isaiah Thomas,16:42,Rudy Gay,16:07
0,,0,0.000,1,,98,0,1,100.0,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411020LAC.html,Home,92,10:34,0,0.0,SAC,Darren Collison,Reggie Evans,6:21,Derrick Williams,3:47,,,,,,,,,39:19,Rudy Gay,38:45,Jason Thompson,37:14,DeMarcus Cousins,34:24,Nik Stauskas,20:40,Ben McLemore,20:12,Omri Casspi,16:07,Carl Landry,13:56,Ramon Sessions,9:15,98,2,0,0.0,,0.0,,0.0,,Jared Cunningham,6,0,2014-2015,0.0,0,1.0,LAC,92,Blake Griffin,,,,,,,,,,,,,38:08,Chris Paul,37:26,JJ Redick,32:32,Matt Barnes,31:03,DeAndre Jordan,25:26,Spencer Hawes,22:34,Jordan Farmar,17:55,Chris Douglas-Roberts,14:30,Hedo Türkoğlu,9:52
0,.000,1,33.333,1,,104,0,0,,2,.667,2.0,100.0,2.0,3,1,.500,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201411050GSW.html,Away,121,9:35,0,,GSW,Draymond Green,David Lee,6:45,Brandon Rush,4:58,,,,,,,,,35:40,Andrew Bogut,34:12,Stephen Curry,33:49,Klay Thompson,30:17,Harrison Barnes,27:23,Andre Iguodala,20:34,Shaun Livingston,18:48,Leandro Barbosa,17:43,Festus Ezeli,9:51,121,2,5,4.0,80.0,0.0,0.0,1.0,20.0,Jared Cunningham,17,0,2014-2015,0.0,0,0.0,LAC,104,DeAndre Jordan,Chris Douglas-Roberts,4:23,Hedo Türkoğlu,3:57,,,,,,,,,35:41,Blake Griffin,31:18,Chris Paul,31:04,Jamal Crawford,24:39,JJ Redick,23:29,Spencer Hawes,23:08,Matt Barnes,20:46,Jordan Farmar,19:54,Reggie Bullock,12:07
