3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,100.000,0,,95,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201910230PHO.html,Home,124,1:59,0,,SAC,Buddy Hield,Dewayne Dedmon,14:13,Yogi Ferrell,3:59,Wenyen Gabriel,1:59,Caleb Swanigan,1:59,,,,,31:10,Harrison Barnes,30:10,Marvin Bagley III,27:42,De'Aaron Fox,26:33,Bogdan Bogdanović,22:04,Trevor Ariza,21:13,Cory Joseph,20:53,Nemanja Bjelica,20:40,Richaun Holmes,17:25,95,0,0,0.0,,0.0,,0.0,,Jared Harper,29,0,2019-2020,0.0,0,0.0,PHO,124,Deandre Ayton,Aron Baynes,9:47,Elie Okobo,1:59,Cheick Diallo,1:59,,,,,,,33:24,Devin Booker,32:18,Kelly Oubre Jr.,30:04,Ricky Rubio,29:41,Mikal Bridges,23:12,Dario Šarić,21:16,Frank Kaminsky,19:24,Jevon Carter,18:19,Tyler Johnson,16:38
0,.000,1,100.000,0,,108,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202002020MIL.html,Away,129,2:21,0,,MIL,Khris Middleton,Robin Lopez,12:34,Sterling Brown,10:18,,,,,,,,,32:54,Brook Lopez,32:53,Eric Bledsoe,31:36,Giannis Antetokounmpo,30:34,Donte DiVincenzo,22:09,Pat Connaughton,19:46,Kyle Korver,18:55,Ersan İlyasova,14:20,Wesley Matthews,13:59,129,0,0,0.0,,0.0,,0.0,,Jared Harper,21,0,2019-2020,0.0,0,0.0,PHO,108,Kelly Oubre Jr.,Tariq Owens,7:03,,,,,,,,,,,36:19,Devin Booker,33:47,Mikal Bridges,30:49,Deandre Ayton,29:45,Jevon Carter,27:22,Elie Okobo,26:13,Cheick Diallo,25:55,Jalen Lecque,10:44,Tyler Johnson,9:42
0,,0,0.000,0,,97,0,0,,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202002030BRK.html,Away,119,3:33,0,,BRK,Caris LeVert,Rodions Kurucs,3:11,Džanan Musa,3:11,Chris Chiozza,3:11,,,,,,,32:01,Spencer Dinwiddie,30:44,Taurean Prince,29:50,Joe Harris,27:37,Timothé Luwawu-Cabarrot,24:48,Jarrett Allen,23:12,Garrett Temple,22:28,DeAndre Jordan,21:37,Wilson Chandler,18:10,119,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Jared Harper,22,0,2019-2020,0.0,0,0.0,PHO,97,Kelly Oubre Jr.,Tariq Owens,3:33,,,,,,,,,,,38:22,Mikal Bridges,36:12,Deandre Ayton,34:17,Devin Booker,31:37,Elie Okobo,27:36,Jevon Carter,23:46,Ricky Rubio,18:43,Cheick Diallo,13:43,Jalen Lecque,8:38
0,,0,0.000,0,,110,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202012270NYK.html,Home,130,1:52,0,,MIL,Khris Middleton,Jordan Nwora,7:27,Sam Merrill,7:27,D.J. Wilson,6:54,Thanasis Antetokounmpo,4:59,Torrey Craig,2:44,,,32:46,Giannis Antetokounmpo,31:59,Jrue Holiday,27:55,Bobby Portis,26:07,Donte DiVincenzo,23:30,Brook Lopez,20:51,Bryn Forbes,17:39,Pat Connaughton,15:57,D.J. Augustin,13:45,110,0,0,0.0,,0.0,,0.0,,Jared Harper,20,0,2020-2021,0.0,0,0.0,NYK,130,RJ Barrett,Theo Pinson,1:52,Ignas Brazdeikis,1:16,,,,,,,,,38:15,Julius Randle,37:07,Mitchell Robinson,34:40,Elfrid Payton,29:18,Kevin Knox,26:15,Alec Burks,20:30,Frank Ntilikina,18:42,Reggie Bullock,16:53,Nerlens Noel,13:20
0,,0,,0,0.00,83,0,0,,0,,0.0,,0.0,0,2,1.000,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202012310TOR.html,Away,100,3:24,0,,TOR,Kyle Lowry,Yuta Watanabe,9:27,DeAndre' Bembry,2:48,Malachi Flynn,2:48,Paul Watson,2:48,,,,,36:49,Fred VanVleet,35:32,OG Anunoby,34:59,Norman Powell,34:09,Chris Boucher,24:23,Terence Davis,16:15,Aron Baynes,14:54,Stanley Johnson,12:35,Alex Len,12:33,100,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Jared Harper,17,0,2020-2021,0.0,2,0.0,NYK,83,Reggie Bullock,Ignas Brazdeikis,0:45,,,,,,,,,,,38:05,Julius Randle,37:39,RJ Barrett,36:56,Kevin Knox,31:30,Mitchell Robinson,25:13,Elfrid Payton,23:21,Austin Rivers,21:15,Nerlens Noel,18:28,Theo Pinson,3:24
0,,0,,0,,113,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202103230NYK.html,Home,131,1:53,0,,WAS,Rui Hachimura,Alex Len,11:32,Robin Lopez,7:07,Cassius Winston,5:03,Anthony Gill,4:53,,,,,34:10,Bradley Beal,32:22,Russell Westbrook,28:44,Moritz Wagner,23:28,Deni Avdija,21:47,Garrison Mathews,21:04,Raul Neto,18:36,Isaac Bonga,15:46,Troy Brown Jr.,15:28,113,0,0,0.0,,0.0,,0.0,,Jared Harper,18,0,2020-2021,0.0,0,0.0,NYK,131,RJ Barrett,Obi Toppin,8:20,Kevin Knox,1:53,,,,,,,,,39:08,Julius Randle,37:47,Reggie Bullock,30:50,Mitchell Robinson,30:42,Alec Burks,29:09,Elfrid Payton,20:49,Nerlens Noel,17:18,Immanuel Quickley,12:03,Frank Ntilikina,10:08
0,,0,0.000,0,,125,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202104030DET.html,Away,81,1:59,0,,DET,Jerami Grant,Saben Lee,12:31,Wayne Ellington,11:42,Dennis Smith Jr.,11:34,Tyler Cook,5:03,Deividas Sirvydis,2:44,,,32:01,Isaiah Stewart,26:43,Hamidou Diallo,24:29,Josh Jackson,23:02,Mason Plumlee,21:17,Killian Hayes,19:55,Saddiq Bey,17:23,Cory Joseph,16:58,Frank Jackson,14:38,81,0,0,0.0,,0.0,,0.0,,Jared Harper,44,0,2020-2021,0.0,0,0.0,NYK,125,Julius Randle,Alec Burks,15:12,Kevin Knox,5:03,Frank Ntilikina,2:44,Norvel Pelle,2:44,Theo Pinson,2:44,,,30:10,Reggie Bullock,27:45,RJ Barrett,27:45,Elfrid Payton,24:42,Nerlens Noel,24:17,Taj Gibson,20:59,Derrick Rose,20:34,Immanuel Quickley,17:31,Obi Toppin,15:51
0,.000,1,100.000,0,,94,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202104280NYK.html,Home,113,1:02,0,,CHI,Nikola Vučević,Denzel Valentine,1:33,Cristiano Felício,1:33,Javonte Green,1:33,Adam Mokoka,1:33,,,,,37:07,Coby White,35:05,Garrett Temple,34:50,Thaddeus Young,28:40,Lauri Markkanen,25:28,Tomáš Satoranský,22:59,Patrick Williams,22:51,Daniel Theis,20:54,Ryan Arcidiacono,5:54,94,0,0,0.0,,0.0,,0.0,,Jared Harper,19,0,2020-2021,0.0,0,0.0,NYK,113,RJ Barrett,Kevin Knox,1:02,Frank Ntilikina,1:02,Norvel Pelle,1:02,Theo Pinson,1:02,,,,,41:33,Julius Randle,36:11,Reggie Bullock,36:00,Nerlens Noel,29:28,Derrick Rose,25:00,Elfrid Payton,21:58,Taj Gibson,17:30,Immanuel Quickley,16:23,Obi Toppin,10:47
0,,0,0.000,0,,122,0,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202105020HOU.html,Away,97,2:23,0,0.0,HOU,Kevin Porter Jr.,,,,,,,,,,,,,36:35,Kelly Olynyk,35:58,Christian Wood,35:13,KJ Martin,31:44,Jae'Sean Tate,29:29,Avery Bradley,20:29,DaQuan Jeffries,19:23,Armoni Brooks,17:46,Anthony Lamb,13:23,97,1,0,0.0,,0.0,,0.0,,Jared Harper,25,0,2020-2021,0.0,0,1.0,NYK,122,RJ Barrett,Kevin Knox,4:49,Norvel Pelle,4:49,Frank Ntilikina,3:18,Theo Pinson,1:05,,,,,40:00,Taj Gibson,31:51,Derrick Rose,31:01,Julius Randle,30:19,Reggie Bullock,26:17,Immanuel Quickley,22:31,Obi Toppin,16:36,Elfrid Payton,13:41,Nerlens Noel,11:20
0,,0,,1,,97,0,0,,0,,0.0,,0.0,0,1,.500,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202105050DEN.html,Away,113,2:23,0,,DEN,Facundo Campazzo,Vlatko Čančar,4:40,Bol Bol,4:40,Markus Howard,4:02,,,,,,,32:32,Nikola Jokić,29:07,Austin Rivers,28:24,Shaquille Harrison,26:49,Michael Porter Jr.,25:26,Paul Millsap,24:17,Aaron Gordon,22:07,JaMychal Green,20:07,JaVale McGee,17:48,113,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Jared Harper,16,0,2020-2021,0.0,0,0.0,NYK,97,Nerlens Noel,Taj Gibson,11:29,Kevin Knox,4:40,Frank Ntilikina,4:40,Norvel Pelle,4:30,Theo Pinson,1:04,,,29:40,Julius Randle,29:38,RJ Barrett,27:57,Derrick Rose,26:48,Immanuel Quickley,24:25,Reggie Bullock,24:01,Obi Toppin,16:40,Elfrid Payton,16:32,Alec Burks,15:32
