3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,33.333,0,,116,0,1,100.0,1,.333,1.0,50.0,2.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202301100PHI.html,Away,147,12:00,0,0.0,PHI,Tobias Harris,Danuel House Jr.,11:23,Georges Niang,11:10,Paul Reed,10:25,Matisse Thybulle,9:37,Jaden Springer,8:43,,,26:42,James Harden,26:02,Joel Embiid,23:56,Shake Milton,23:48,Tyrese Maxey,23:15,P.J. Tucker,21:25,De'Anthony Melton,17:55,Montrezl Harrell,13:39,Furkan Korkmaz,12:00,147,3,2,2.0,100.0,0.0,0.0,0.0,0.0,Jared Rhoden,31,0,2022-2023,0.0,0,1.0,DET,116,Saddiq Bey,,,,,,,,,,,,,34:03,Kevin Knox,32:32,Hamidou Diallo,25:26,Killian Hayes,25:10,Jaden Ivey,24:03,Rodney McGruder,23:43,Cory Joseph,21:53,Nerlens Noel,20:39,Alec Burks,20:31
0,.000,1,25.000,0,,90,0,1,33.3,1,.250,1.0,33.3,3.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202303040CLE.html,Away,114,9:03,2,66.7,CLE,Evan Mobley,Dean Wade,13:42,Danny Green,8:28,Raul Neto,8:28,Sam Merrill,4:17,,,,,29:36,Jarrett Allen,25:47,Donovan Mitchell,24:27,Darius Garland,23:48,Lamar Stevens,22:04,Caris LeVert,21:35,Ricky Rubio,19:50,Isaac Okoro,19:23,Cedi Osman,18:35,114,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Jared Rhoden,24,0,2022-2023,0.0,0,3.0,DET,90,Marvin Bagley III,Eugene Omoruyi,12:00,Buddy Boeheim,5:53,,,,,,,,,34:05,Jaden Ivey,30:22,Hamidou Diallo,26:35,Isaiah Livers,24:35,James Wiseman,23:49,Cory Joseph,23:40,Killian Hayes,17:36,R.J. Hampton,16:54,Rodney McGruder,15:28
0,,0,0.000,0,,110,0,1,25.0,2,1.000,2.0,100.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202303060DET.html,Home,104,6:13,3,75.0,POR,Cam Reddish,,,,,,,,,,,,,40:18,Jerami Grant,40:15,Damian Lillard,38:04,Matisse Thybulle,37:29,Trendon Watford,28:47,Shaedon Sharpe,20:41,Drew Eubanks,19:13,Nassir Little,15:13,,,110,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Jared Rhoden,6,0,2022-2023,0.0,0,4.0,DET,104,Isaiah Livers,,,,,,,,,,,,,38:57,Marvin Bagley III,36:17,Cory Joseph,31:36,Jaden Ivey,30:58,Hamidou Diallo,27:06,James Wiseman,23:44,Alec Burks,22:39,R.J. Hampton,19:40,Eugene Omoruyi,2:50
0,,0,,0,,119,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202303070DET.html,Home,117,5:27,0,,WAS,Bradley Beal,Taj Gibson,4:23,,,,,,,,,,,37:54,Kyle Kuzma,34:41,Delon Wright,32:08,Corey Kispert,32:07,Kristaps Porziņģis,31:40,Daniel Gafford,24:38,Deni Avdija,20:45,Jordan Goodwin,16:27,Kendrick Nunn,5:17,119,0,0,0.0,,0.0,,0.0,,Jared Rhoden,2,0,2022-2023,0.0,0,0.0,DET,117,Isaiah Livers,,,,,,,,,,,,,37:20,James Wiseman,34:16,Jaden Ivey,31:54,Cory Joseph,30:57,Rodney McGruder,30:02,Marvin Bagley III,29:29,Eugene Omoruyi,22:54,R.J. Hampton,17:41,,
0,,0,,0,,97,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202303130DET.html,Home,117,0:52,0,,IND,Andrew Nembhard,James Johnson,4:22,,,,,,,,,,,35:59,Jordan Nwora,31:16,Aaron Nesmith,30:34,Oshae Brissett,27:53,Isaiah Jackson,27:09,Chris Duarte,24:09,Buddy Hield,22:20,Jalen Smith,20:51,George Hill,15:27,97,0,0,0.0,,0.0,,0.0,,Jared Rhoden,20,0,2022-2023,0.0,0,0.0,DET,117,Cory Joseph,,,,,,,,,,,,,32:17,Eugene Omoruyi,31:56,Rodney McGruder,31:30,Killian Hayes,28:46,James Wiseman,24:28,R.J. Hampton,24:09,Jalen Duren,23:32,Buddy Boeheim,22:34,Isaiah Livers,19:53
1,.333,3,60.000,0,,97,0,3,75.0,2,.400,1.0,50.0,2.0,5,2,1.000,2,40.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202303140WAS.html,Away,117,17:19,1,25.0,WAS,Corey Kispert,Taj Gibson,4:48,Anthony Gill,3:15,Jay Huff,3:15,,,,,,,33:32,Bradley Beal,32:59,Kristaps Porziņģis,30:42,Deni Avdija,28:15,Monte Morris,27:52,Daniel Gafford,22:21,Delon Wright,21:53,Johnny Davis,18:32,Jordan Goodwin,12:36,117,1,7,2.0,28.6,3.0,42.9,2.0,28.6,Jared Rhoden,20,1,2022-2023,1.0,0,4.0,DET,97,Rodney McGruder,,,,,,,,,,,,,38:23,Killian Hayes,35:25,James Wiseman,30:54,Cory Joseph,30:18,R.J. Hampton,27:19,Buddy Boeheim,22:41,Eugene Omoruyi,20:07,Jalen Duren,17:34,,
0,.000,2,100.000,2,,107,0,1,50.0,0,.000,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202303210ATL.html,Away,129,14:49,1,50.0,ATL,Trae Young,AJ Griffin,17:52,Vit Krejci,2:52,Bruno Fernando,2:52,Trent Forrest,2:15,,,,,30:19,De'Andre Hunter,28:14,Bogdan Bogdanović,27:16,John Collins,26:41,Clint Capela,25:17,Saddiq Bey,19:51,Onyeka Okongwu,19:51,Garrison Mathews,18:22,Aaron Holiday,18:18,129,2,0,0.0,,0.0,,0.0,,Jared Rhoden,22,1,2022-2023,1.0,0,2.0,DET,107,Marvin Bagley III,,,,,,,,,,,,,41:19,Killian Hayes,33:36,Jaden Ivey,30:19,Rodney McGruder,27:28,Cory Joseph,25:04,Eugene Omoruyi,24:17,R.J. Hampton,20:47,James Wiseman,19:07,Buddy Boeheim,3:14
0,.000,1,100.000,0,0.00,97,0,1,50.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202303240TOR.html,Away,118,8:16,1,50.0,TOR,Pascal Siakam,,,,,,,,,,,,,38:07,Fred VanVleet,29:16,Chris Boucher,29:04,Jeff Dowtin,28:54,Jakob Poeltl,28:12,OG Anunoby,24:57,Will Barton,24:16,Christian Koloko,19:48,Malachi Flynn,17:26,118,2,0,0.0,,0.0,,0.0,,Jared Rhoden,21,0,2022-2023,0.0,1,2.0,DET,97,Jaden Ivey,,,,,,,,,,,,,41:14,Eugene Omoruyi,32:54,Isaiah Livers,30:09,Marvin Bagley III,29:57,Killian Hayes,28:03,Jalen Duren,24:33,James Wiseman,23:27,R.J. Hampton,21:27,,
1,.500,2,66.667,1,,115,0,3,100.0,2,.667,1.0,100.0,1.0,3,2,1.000,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202303310HOU.html,Away,121,15:44,0,0.0,HOU,Kevin Porter Jr.,Usman Garuba,5:00,,,,,,,,,,,37:51,Jabari Smith Jr.,36:47,Jalen Green,36:37,KJ Martin,35:22,Alperen Sengun,34:54,Tari Eason,24:01,Josh Christopher,15:23,Boban Marjanović,7:55,Daishen Nix,6:09,121,2,7,2.0,28.6,3.0,42.9,2.0,28.6,Jared Rhoden,6,0,2022-2023,0.0,0,3.0,DET,115,Jaden Ivey,,,,,,,,,,,,,34:58,Marvin Bagley III,34:27,Isaiah Livers,28:44,Killian Hayes,28:10,Cory Joseph,25:02,Jalen Duren,24:30,James Wiseman,23:30,Eugene Omoruyi,17:11,R.J. Hampton,7:43
0,,0,0.000,0,0.00,102,0,2,100.0,1,1.000,1.0,100.0,1.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202304020ORL.html,Away,128,16:37,0,0.0,ORL,Franz Wagner,Chuma Okeke,11:26,Caleb Houstan,5:39,Admiral Schofield,3:15,Jay Scrubb,2:32,Michael Carter-Williams,1:47,,,31:20,Paolo Banchero,29:18,Cole Anthony,27:44,Jalen Suggs,25:31,Markelle Fultz,24:09,Wendell Carter Jr.,23:19,Gary Harris,18:32,Goga Bitadze,17:51,Moritz Wagner,17:37,128,1,4,2.0,50.0,0.0,0.0,2.0,50.0,Jared Rhoden,26,0,2022-2023,0.0,1,2.0,DET,102,Killian Hayes,Buddy Boeheim,5:13,,,,,,,,,,,33:47,Jaden Ivey,30:51,Isaiah Livers,30:37,Eugene Omoruyi,27:39,James Wiseman,22:32,Jalen Duren,21:56,R.J. Hampton,21:25,Cory Joseph,20:45,Marvin Bagley III,8:38
