3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,88,0,0,,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201512180DAL.html,Away,97,3:28,0,,DAL,Chandler Parsons,Dwight Powell,9:27,Jeremy Evans,1:20,John Jenkins,1:12,,,,,,,31:30,Deron Williams,30:51,Wesley Matthews,29:08,Zaza Pachulia,28:45,Dirk Nowitzki,28:16,Raymond Felton,27:46,J.J. Barea,22:21,JaVale McGee,17:43,Charlie Villanueva,11:41,97,0,0,0.0,,0.0,,0.0,,Jarell Martin,9,0,2015-2016,0.0,0,0.0,MEM,88,Mike Conley,Russ Smith,1:12,,,,,,,,,,,34:56,Jeff Green,34:37,Marc Gasol,33:35,Matt Barnes,31:32,Courtney Lee,28:47,Zach Randolph,26:20,Mario Chalmers,25:09,JaMychal Green,12:32,James Ennis III,7:52
0,,0,0.000,0,,96,0,0,,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201512270MEM.html,Home,112,5:49,0,,LAL,Lou Williams,Anthony Brown,7:18,Marcelo Huertas,7:18,Ryan Kelly,6:51,Robert Sacre,6:51,,,,,30:14,Jordan Clarkson,26:40,Roy Hibbert,25:48,Larry Nance Jr.,24:38,D'Angelo Russell,24:30,Kobe Bryant,24:00,Julius Randle,23:22,Nick Young,17:09,Brandon Bass,15:21,96,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Jarell Martin,16,0,2015-2016,0.0,0,0.0,MEM,112,Mario Chalmers,Vince Carter,13:40,Russ Smith,6:51,,,,,,,,,28:51,JaMychal Green,27:22,Jeff Green,24:31,Mike Conley,24:18,Courtney Lee,24:00,Marc Gasol,23:17,Matt Barnes,21:44,Zach Randolph,20:29,Tony Allen,19:08
0,,0,,0,,119,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201602240MEM.html,Home,128,2:56,0,,LAL,Jordan Clarkson,Tarik Black,9:38,,,,,,,,,,,40:31,Julius Randle,33:20,D'Angelo Russell,32:52,Kobe Bryant,28:57,Lou Williams,22:37,Brandon Bass,22:22,Nick Young,19:03,Roy Hibbert,16:00,Larry Nance Jr.,14:40,119,0,0,0.0,,0.0,,0.0,,Jarell Martin,9,0,2015-2016,0.0,0,0.0,MEM,128,Matt Barnes,Chris Andersen,8:08,James Ennis III,1:03,,,,,,,,,37:07,Mike Conley,29:24,Zach Randolph,29:02,JaMychal Green,25:17,Lance Stephenson,23:17,P.J. Hairston,22:30,Brandan Wright,21:58,Vince Carter,20:56,Mario Chalmers,18:22
0,,0,0.000,0,,103,0,3,75.0,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201602290DEN.html,Away,96,11:39,1,25.0,DEN,Will Barton,,,,,,,,,,,,,34:02,Gary Harris,34:00,Emmanuel Mudiay,32:56,JaKarr Sampson,29:36,Kenneth Faried,28:24,Darrell Arthur,27:10,Joffrey Lauvergne,19:18,Nikola Jokić,19:06,D.J. Augustin,15:28,96,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Jarell Martin,7,0,2015-2016,0.0,0,4.0,MEM,103,Matt Barnes,,,,,,,,,,,,,37:48,Zach Randolph,32:53,P.J. Hairston,31:33,Mike Conley,28:37,Mario Chalmers,23:24,Chris Andersen,22:01,Lance Stephenson,20:39,Vince Carter,19:19,JaMychal Green,12:07
0,,0,0.000,0,0.00,98,1,4,50.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201603020MEM.html,Home,104,10:02,4,50.0,SAC,Rajon Rondo,James Anderson,5:00,,,,,,,,,,,41:22,DeMarcus Cousins,33:32,Darren Collison,28:13,Quincy Acy,26:04,Omri Casspi,25:49,Marco Belinelli,25:21,Willie Cauley-Stein,19:31,Ben McLemore,18:36,Kosta Koufos,16:32,98,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Jarell Martin,6,0,2015-2016,1.0,1,8.0,MEM,104,Zach Randolph,Ryan Hollins,1:53,,,,,,,,,,,34:52,Mike Conley,33:34,Chris Andersen,27:16,Matt Barnes,27:10,Mario Chalmers,26:47,P.J. Hairston,22:55,JaMychal Green,21:16,Vince Carter,18:32,Lance Stephenson,15:43
0,,0,,0,,88,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201603040MEM.html,Home,94,3:11,0,,UTA,Gordon Hayward,Chris Johnson,9:08,Joe Ingles,6:23,,,,,,,,,37:55,Rudy Gobert,37:41,Shelvin Mack,29:02,Rodney Hood,28:51,Derrick Favors,28:31,Trey Burke,20:09,Trey Lyles,15:32,Trevor Booker,14:07,Raul Neto,12:41,88,0,0,0.0,,0.0,,0.0,,Jarell Martin,6,0,2015-2016,0.0,0,0.0,MEM,94,Zach Randolph,Ryan Hollins,10:58,,,,,,,,,,,34:50,Mario Chalmers,30:23,Mike Conley,28:17,Chris Andersen,26:33,Lance Stephenson,24:36,Matt Barnes,23:49,Vince Carter,20:35,JaMychal Green,19:45,P.J. Hairston,17:03
0,,0,0.000,0,0.00,109,0,2,100.0,0,.000,0.0,0.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201603060MEM.html,Home,100,6:32,0,0.0,PHO,Devin Booker,Phil Pressey,4:41,,,,,,,,,,,42:49,Ronnie Price,35:48,Alex Len,34:15,Tyson Chandler,32:31,P.J. Tucker,30:47,Archie Goodwin,20:31,Mirza Teletović,20:02,Jon Leuer,11:40,John Jenkins,6:56,109,2,0,0.0,,0.0,,0.0,,Jarell Martin,9,0,2015-2016,0.0,1,2.0,MEM,100,Matt Barnes,Chris Andersen,8:40,,,,,,,,,,,33:05,Zach Randolph,31:13,Mike Conley,29:49,Mario Chalmers,28:32,Lance Stephenson,23:55,JaMychal Green,23:53,Vince Carter,23:03,P.J. Hairston,19:03,Ryan Hollins,12:16
0,,0,0.000,2,1.00,106,0,1,33.3,1,.250,1.0,25.0,4.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201603070CLE.html,Away,103,18:30,2,66.7,CLE,LeBron James,Channing Frye,4:56,,,,,,,,,,,37:38,Kyrie Irving,37:24,J.R. Smith,34:34,Kevin Love,32:59,Tristan Thompson,26:55,Matthew Dellavedova,26:10,Iman Shumpert,21:34,Timofey Mozgov,10:44,Richard Jefferson,7:07,103,4,2,2.0,100.0,0.0,0.0,0.0,0.0,Jarell Martin,3,0,2015-2016,0.0,2,3.0,MEM,106,Mario Chalmers,,,,,,,,,,,,,40:36,JaMychal Green,36:32,P.J. Hairston,35:23,Tony Allen,33:43,Lance Stephenson,27:33,Vince Carter,25:47,Ryan Hollins,21:55,,,,
0,,0,0.000,1,1.00,96,1,2,33.3,7,.700,7.0,70.0,10.0,10,2,.667,3,30.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201603090BOS.html,Away,116,23:02,4,66.7,BOS,Avery Bradley,R.J. Hunter,1:51,Jordan Mickey,1:51,Terry Rozier,1:51,James Young,1:51,,,,,36:29,Evan Turner,29:59,Isaiah Thomas,28:31,Marcus Smart,28:11,Tyler Zeller,25:31,Jonas Jerebko,23:18,Jae Crowder,21:41,Jared Sullinger,21:13,Amir Johnson,17:43,116,5,16,14.0,87.5,0.0,0.0,2.0,12.5,Jarell Martin,20,0,2015-2016,1.0,1,6.0,MEM,96,JaMychal Green,,,,,,,,,,,,,36:55,Matt Barnes,33:46,Vince Carter,27:20,Tony Allen,26:37,Ryan Hollins,24:34,P.J. Hairston,24:33,Mario Chalmers,21:49,Lance Stephenson,21:23,,
0,,0,0.000,2,,114,1,2,100.0,3,.333,3.0,33.3,9.0,9,0,.000,2,22.222,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201603110MEM.html,Home,121,21:16,0,0.0,NOP,Anthony Davis,,,,,,,,,,,,,46:30,Dante Cunningham,45:59,Toney Douglas,41:44,Jrue Holiday,40:31,Ryan Anderson,36:36,Alonzo Gee,25:23,Ömer Aşık,12:52,Luke Babbitt,10:39,Orlando Johnson,4:47,114,1,6,6.0,100.0,0.0,0.0,0.0,0.0,Jarell Martin,7,2,2015-2016,3.0,0,2.0,MEM,121,Matt Barnes,,,,,,,,,,,,,43:36,Briante Weber,39:42,JaMychal Green,38:03,Lance Stephenson,37:48,Tony Allen,36:31,P.J. Hairston,24:02,Ryan Hollins,12:34,Vince Carter,11:27,,
