3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,1,,86,1,3,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201910250LAL.html,Away,95,4:39,0,0.0,LAL,Anthony Davis,JaVale McGee,11:42,Jared Dudley,5:20,Zach Norvell,2:31,Kostas Antetokounmpo,0:28,,,,,32:20,LeBron James,30:34,Danny Green,28:20,Avery Bradley,25:50,Troy Daniels,21:22,Quinn Cook,21:12,Kentavious Caldwell-Pope,20:44,Alex Caruso,20:27,Dwight Howard,19:10,95,0,0,0.0,,0.0,,0.0,,Jarrell Brantley,9,0,2019-2020,1.0,0,3.0,UTA,86,Donovan Mitchell,Tony Bradley,5:28,Stanton Kidd,4:39,Nigel Williams-Goss,0:28,,,,,,,33:58,Rudy Gobert,32:24,Mike Conley,31:15,Joe Ingles,28:23,Royce O'Neale,26:41,Jeff Green,23:23,Georges Niang,23:02,Emmanuel Mudiay,15:32,Ed Davis,10:08
0,,0,,0,0.00,121,1,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201912040UTA.html,Home,96,3:51,0,0.0,LAL,Rajon Rondo,Troy Daniels,12:37,Jared Dudley,4:44,Quinn Cook,4:44,,,,,,,32:00,Kyle Kuzma,30:59,LeBron James,29:28,Anthony Davis,26:02,Kentavious Caldwell-Pope,24:32,Alex Caruso,21:04,Danny Green,20:47,Dwight Howard,19:16,JaVale McGee,13:45,121,1,0,0.0,,0.0,,0.0,,Jarrell Brantley,25,0,2019-2020,1.0,1,1.0,UTA,96,Bojan Bogdanović,Emmanuel Mudiay,10:10,Tony Bradley,7:15,Nigel Williams-Goss,3:51,,,,,,,35:17,Donovan Mitchell,33:04,Joe Ingles,27:38,Rudy Gobert,27:01,Jeff Green,23:04,Royce O'Neale,22:54,Georges Niang,19:50,Ed Davis,13:15,Dante Exum,12:49
0,,0,,0,,107,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202002010POR.html,Away,124,2:39,0,0.0,POR,Damian Lillard,Wenyen Gabriel,2:39,,,,,,,,,,,36:19,Hassan Whiteside,34:47,CJ McCollum,34:00,Carmelo Anthony,32:01,Trevor Ariza,26:17,Gary Trent Jr.,24:22,Anfernee Simons,23:40,Caleb Swanigan,12:58,Nassir Little,12:56,124,0,0,0.0,,0.0,,0.0,,Jarrell Brantley,17,0,2019-2020,0.0,0,1.0,UTA,107,Donovan Mitchell,Juwan Morgan,2:39,Rayjon Tucker,2:39,Emmanuel Mudiay,2:39,,,,,,,32:24,Rudy Gobert,32:04,Mike Conley,30:01,Bojan Bogdanović,28:57,Joe Ingles,28:02,Royce O'Neale,23:28,Jordan Clarkson,22:41,Georges Niang,18:30,Ed Davis,13:17
0,,0,,0,0.00,126,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202003020CLE.html,Away,113,0:41,0,,CLE,Kevin Porter Jr.,,,,,,,,,,,,,40:54,Cedi Osman,39:29,Collin Sexton,39:28,Larry Nance Jr.,39:25,Kevin Love,31:53,Matthew Dellavedova,29:05,Ante Žižić,17:18,Dean Wade,1:14,Matt Mooney,1:14,113,0,0,0.0,,0.0,,0.0,,Jarrell Brantley,13,0,2019-2020,0.0,1,0.0,UTA,126,Donovan Mitchell,Miye Oni,0:41,,,,,,,,,,,34:15,Rudy Gobert,33:42,Bojan Bogdanović,33:31,Mike Conley,30:00,Royce O'Neale,28:44,Joe Ingles,28:33,Jordan Clarkson,24:52,Tony Bradley,14:18,Georges Niang,10:43
0,,0,,0,,112,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202003040NYK.html,Away,104,1:35,0,,NYK,Julius Randle,Taj Gibson,13:48,,,,,,,,,,,32:11,Bobby Portis,30:15,RJ Barrett,29:40,Elfrid Payton,28:13,Wayne Ellington,25:04,Maurice Harkless,20:48,Reggie Bullock,20:19,Kevin Knox,19:55,Frank Ntilikina,19:47,104,1,0,0.0,,0.0,,0.0,,Jarrell Brantley,8,0,2019-2020,0.0,0,0.0,UTA,112,Rudy Gobert,Emmanuel Mudiay,3:57,Miye Oni,1:35,,,,,,,,,34:24,Donovan Mitchell,33:47,Bojan Bogdanović,33:14,Joe Ingles,29:40,Royce O'Neale,28:59,Mike Conley,26:50,Jordan Clarkson,20:39,Tony Bradley,13:36,Georges Niang,11:44
0,.000,1,100.000,0,,117,1,0,0.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101120CLE.html,Away,87,5:39,1,100.0,CLE,Cedi Osman,Thon Maker,9:01,,,,,,,,,,,37:42,Isaac Okoro,35:33,Damyean Dotson,30:50,Larry Nance Jr.,29:54,Yogi Ferrell,23:42,Lamar Stevens,23:01,JaVale McGee,20:57,Dean Wade,19:17,Marques Bolden,10:03,87,2,0,0.0,,0.0,,0.0,,Jarrell Brantley,30,0,2020-2021,1.0,0,1.0,UTA,117,Donovan Mitchell,Udoka Azubuike,5:39,Shaquille Harrison,5:39,Elijah Hughes,4:53,,,,,,,30:06,Royce O'Neale,29:34,Jordan Clarkson,28:08,Bojan Bogdanović,27:49,Mike Conley,27:00,Rudy Gobert,25:21,Miye Oni,17:54,Derrick Favors,17:00,Georges Niang,15:18
0,,0,,0,,102,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101190UTA.html,Home,118,1:49,0,,NOP,Zion Williamson,Kira Lewis Jr.,3:39,Willy Hernangómez,2:57,Naji Marshall,2:57,Sindarius Thornwell,2:57,,,,,35:22,Brandon Ingram,35:19,Nickeil Alexander-Walker,30:39,Josh Hart,25:06,Eric Bledsoe,24:06,Steven Adams,23:40,Lonzo Ball,23:01,JJ Redick,15:16,Jaxson Hayes,15:01,102,0,0,0.0,,0.0,,0.0,,Jarrell Brantley,16,0,2020-2021,0.0,0,0.0,UTA,118,Royce O'Neale,Miye Oni,2:00,Shaquille Harrison,1:49,Udoka Azubuike,1:49,,,,,,,35:19,Donovan Mitchell,33:24,Rudy Gobert,29:50,Jordan Clarkson,29:26,Bojan Bogdanović,28:41,Mike Conley,28:13,Joe Ingles,18:38,Derrick Favors,16:21,Georges Niang,12:41
0,,0,,0,,104,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101270UTA.html,Home,116,1:34,0,,DAL,Tim Hardaway Jr.,Wes Iwundu,4:27,Willie Cauley-Stein,3:03,Nate Hinton,1:34,Tyrell Terry,1:34,Josh Green,1:34,Boban Marjanović,1:34,34:05,Luka Dončić,33:51,Kristaps Porziņģis,31:47,Dorian Finney-Smith,24:11,Josh Richardson,23:45,James Johnson,22:15,Jalen Brunson,22:03,Trey Burke,21:07,Dwight Powell,13:10,104,0,0,0.0,,0.0,,0.0,,Jarrell Brantley,12,0,2020-2021,0.0,0,0.0,UTA,116,Rudy Gobert,Udoka Azubuike,1:34,Shaquille Harrison,1:34,,,,,,,,,37:29,Bojan Bogdanović,35:50,Royce O'Neale,34:59,Jordan Clarkson,32:54,Joe Ingles,30:20,Mike Conley,29:38,Georges Niang,13:06,Juwan Morgan,10:31,Miye Oni,10:31
1,1.000,1,50.000,0,,101,0,1,100.0,1,.500,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202101290UTA.html,Home,120,2:43,0,0.0,DAL,Luka Dončić,Willie Cauley-Stein,9:11,Josh Green,8:31,Wes Iwundu,3:36,Boban Marjanović,3:36,Tyrell Terry,3:36,,,32:15,Tim Hardaway Jr.,26:24,Jalen Brunson,26:15,Josh Richardson,25:03,Kristaps Porziņģis,24:36,Dorian Finney-Smith,22:33,James Johnson,21:57,Trey Burke,18:20,Dwight Powell,14:07,101,1,3,0.0,0.0,3.0,100.0,0.0,0.0,Jarrell Brantley,19,0,2020-2021,0.0,0,1.0,UTA,120,Royce O'Neale,Udoka Azubuike,2:43,Shaquille Harrison,1:41,,,,,,,,,36:31,Mike Conley,32:33,Bojan Bogdanović,32:06,Jordan Clarkson,30:29,Joe Ingles,27:32,Rudy Gobert,25:26,Juwan Morgan,20:53,Georges Niang,16:39,Miye Oni,10:44
0,.000,1,50.000,0,,117,0,1,100.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202101310DEN.html,Away,128,3:05,0,0.0,DEN,Will Barton,R.J. Hampton,6:00,Bol Bol,1:39,Vlatko Čančar,1:39,Markus Howard,1:39,Zeke Nnaji,1:39,,,37:28,Nikola Jokić,37:20,Jamal Murray,33:55,Monte Morris,25:42,JaMychal Green,23:44,Paul Millsap,21:49,Michael Porter Jr.,19:30,Facundo Campazzo,19:11,Gary Harris,8:45,128,0,0,0.0,,0.0,,0.0,,Jarrell Brantley,11,0,2020-2021,0.0,0,1.0,UTA,117,Bojan Bogdanović,Shaquille Harrison,3:05,Miye Oni,3:05,Juwan Morgan,3:05,,,,,,,32:35,Donovan Mitchell,31:06,Mike Conley,27:49,Royce O'Neale,26:07,Rudy Gobert,25:30,Joe Ingles,25:21,Jordan Clarkson,25:19,Derrick Favors,19:25,Georges Niang,14:28
