3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,0.00,108,0,1,50.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201402230LAL.html,Away,102,10:37,1,50.0,LAL,Jordan Hill,Wesley Johnson,18:26,,,,,,,,,,,29:34,Kent Bazemore,29:21,Pau Gasol,29:13,Jodie Meeks,29:04,Jordan Farmar,24:39,Kendall Marshall,22:41,Nick Young,19:33,Chris Kaman,18:47,MarShon Brooks,18:42,102,5,0,0.0,,0.0,,0.0,,Jason Collins,6,1,2013-2014,1.0,2,2.0,BRK,108,Deron Williams,,,,,,,,,,,,,39:22,Andrei Kirilenko,35:28,Joe Johnson,35:14,Paul Pierce,33:26,Alan Anderson,21:30,Andray Blatche,19:57,Mason Plumlee,17:26,Mirza Teletović,14:34,Marquis Teague,12:26
0,,0,0.000,0,,80,0,0,,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201402260POR.html,Away,124,7:02,0,,POR,Nicolas Batum,Allen Crabbe,7:09,Earl Watson,6:40,,,,,,,,,29:00,Damian Lillard,28:54,Will Barton,28:25,Wesley Matthews,27:40,Mo Williams,26:59,Robin Lopez,26:18,Dorell Wright,24:54,Victor Claver,21:42,CJ McCollum,12:19,124,0,0,0.0,,0.0,,0.0,,Jason Collins,44,0,2013-2014,0.0,0,0.0,BRK,80,Marcus Thornton,Mason Plumlee,13:20,Shaun Livingston,12:18,Andrei Kirilenko,11:59,,,,,,,27:00,Joe Johnson,26:26,Deron Williams,24:29,Paul Pierce,24:29,Mirza Teletović,23:31,Alan Anderson,23:31,Marquis Teague,18:17,Kevin Garnett,13:53,Andray Blatche,13:45
0,,0,0.000,0,0.00,112,0,0,,1,1.000,1.0,100.0,1.0,1,1,.500,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201402270DEN.html,Away,89,8:02,0,,DEN,Evan Fournier,,,,,,,,,,,,,44:08,Aaron Brooks,35:58,Randy Foye,33:09,Kenneth Faried,26:19,Anthony Randolph,25:26,J.J. Hickson,21:36,Quincy Miller,21:25,Timofey Mozgov,20:32,Jan Veselý,11:27,89,4,3,2.0,66.7,0.0,0.0,1.0,33.3,Jason Collins,23,0,2013-2014,0.0,1,0.0,BRK,112,Shaun Livingston,Alan Anderson,12:00,Kevin Garnett,11:58,Andrei Kirilenko,9:36,,,,,,,27:26,Joe Johnson,26:31,Deron Williams,26:20,Mirza Teletović,26:07,Paul Pierce,21:53,Mason Plumlee,20:46,Andray Blatche,17:39,Marcus Thornton,17:19,Marquis Teague,14:23
0,,0,0.000,1,1.00,107,0,1,50.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201403010MIL.html,Away,98,7:49,1,50.0,MIL,Khris Middleton,Zaza Pachulia,14:53,,,,,,,,,,,36:09,Brandon Knight,31:33,Giannis Antetokounmpo,27:30,John Henson,26:20,O.J. Mayo,23:08,Ramon Sessions,22:47,Ersan İlyasova,22:17,Nate Wolters,19:14,Jeff Adrien,16:09,98,1,0,0.0,,0.0,,0.0,,Jason Collins,9,2,2013-2014,2.0,1,2.0,BRK,107,Deron Williams,Alan Anderson,7:24,,,,,,,,,,,37:24,Shaun Livingston,32:26,Andray Blatche,29:41,Paul Pierce,27:45,Joe Johnson,26:31,Andrei Kirilenko,26:10,Marcus Thornton,23:47,Mirza Teletović,10:33,Mason Plumlee,10:30
0,,0,0.000,0,,80,0,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201403030BRK.html,Home,96,2:41,0,0.0,CHI,Jimmy Butler,Jimmer Fredette,2:57,,,,,,,,,,,43:16,Joakim Noah,34:39,Mike Dunleavy,32:56,Kirk Hinrich,31:48,Carlos Boozer,29:50,D.J. Augustin,26:32,Taj Gibson,21:54,Nazr Mohammed,9:37,Tony Snell,6:31,80,1,0,0.0,,0.0,,0.0,,Jason Collins,16,1,2013-2014,1.0,0,1.0,BRK,96,Deron Williams,Alan Anderson,2:57,,,,,,,,,,,36:25,Joe Johnson,32:54,Paul Pierce,30:57,Andray Blatche,28:29,Andrei Kirilenko,24:33,Shaun Livingston,24:03,Mason Plumlee,22:28,Marcus Thornton,20:27,Mirza Teletović,14:06
0,,0,,1,1.00,94,0,0,0.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201403050BRK.html,Home,103,17:13,1,100.0,MEM,Nick Calathes,James Johnson,13:31,Ed Davis,12:54,Beno Udrih,10:06,,,,,,,30:01,Marc Gasol,27:36,Jon Leuer,26:18,Courtney Lee,25:59,Tony Allen,21:00,Mike Conley,20:42,Kosta Koufos,19:13,Tayshaun Prince,17:22,Mike Miller,15:18,94,2,0,0.0,,0.0,,0.0,,Jason Collins,9,1,2013-2014,1.0,1,1.0,BRK,103,Joe Johnson,Alan Anderson,10:03,Marquis Teague,7:00,,,,,,,,,33:36,Deron Williams,32:49,Marcus Thornton,26:23,Paul Pierce,25:35,Shaun Livingston,22:30,Mirza Teletović,17:02,Andrei Kirilenko,17:02,Andray Blatche,16:02,Mason Plumlee,14:45
0,,0,0.000,0,,89,0,0,,1,.500,1.0,50.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201403090BRK.html,Home,104,20:08,0,,SAC,Isaiah Thomas,Quincy Acy,5:12,Orlando Johnson,2:22,,,,,,,,,36:18,Rudy Gay,32:17,DeMarcus Cousins,31:36,Ben McLemore,29:42,Ray McCallum,29:34,Jason Thompson,23:52,Derrick Williams,19:11,Reggie Evans,16:59,Travis Outlaw,12:57,89,2,2,2.0,100.0,0.0,0.0,0.0,0.0,Jason Collins,15,1,2013-2014,1.0,0,0.0,BRK,104,Deron Williams,Jorge Gutiérrez,4:48,Marquis Teague,2:23,Paul Pierce,1:13,,,,,,,32:18,Marcus Thornton,27:32,Joe Johnson,27:25,Andray Blatche,26:08,Shaun Livingston,25:30,Alan Anderson,24:04,Andrei Kirilenko,18:22,Mirza Teletović,18:01,Mason Plumlee,12:08
0,,0,,0,0.00,97,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201403100BRK.html,Home,101,4:01,0,,TOR,Kyle Lowry,Chuck Hayes,7:08,,,,,,,,,,,37:46,Amir Johnson,36:05,DeMar DeRozan,35:20,Terrence Ross,32:30,Tyler Hansbrough,22:36,Jonas Valančiūnas,22:05,John Salmons,21:10,Greivis Vásquez,18:05,Steve Novak,7:15,97,3,0,0.0,,0.0,,0.0,,Jason Collins,4,0,2013-2014,0.0,1,0.0,BRK,101,Deron Williams,,,,,,,,,,,,,35:44,Joe Johnson,33:02,Shaun Livingston,32:49,Paul Pierce,29:38,Andray Blatche,28:49,Mason Plumlee,26:10,Alan Anderson,24:18,Marcus Thornton,18:07,Mirza Teletović,7:22
0,,0,,0,,95,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201403170BRK.html,Home,108,2:58,0,,PHO,Gerald Green,Archie Goodwin,11:53,Alex Len,7:46,Dionte Christmas,3:13,Shavlik Randolph,2:58,,,,,30:43,P.J. Tucker,29:28,Markieff Morris,26:12,Goran Dragić,25:01,Eric Bledsoe,23:13,Ish Smith,22:17,Marcus Morris,19:32,Channing Frye,19:23,Miles Plumlee,18:21,95,2,0,0.0,,0.0,,0.0,,Jason Collins,13,0,2013-2014,0.0,0,0.0,BRK,108,Deron Williams,Jorge Gutiérrez,7:45,Marquis Teague,2:58,,,,,,,,,33:11,Shaun Livingston,31:50,Joe Johnson,29:29,Paul Pierce,27:44,Mason Plumlee,27:17,Andray Blatche,20:43,Marcus Thornton,20:16,Alan Anderson,18:31,Andrei Kirilenko,17:18
0,,0,,0,,99,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201403190BRK.html,Home,104,3:30,0,0.0,CHA,Al Jefferson,Bismack Biyombo,10:58,,,,,,,,,,,37:02,Kemba Walker,33:52,Josh McRoberts,30:57,Gerald Henderson,28:14,Gary Neal,26:39,Chris Douglas-Roberts,22:16,Michael Kidd-Gilchrist,18:51,Cody Zeller,17:03,Luke Ridnour,14:08,99,0,0,0.0,,0.0,,0.0,,Jason Collins,5,0,2013-2014,0.0,0,1.0,BRK,104,Deron Williams,Andrei Kirilenko,11:51,,,,,,,,,,,36:40,Joe Johnson,33:27,Shaun Livingston,31:44,Paul Pierce,27:54,Andray Blatche,25:37,Marcus Thornton,20:31,Mason Plumlee,18:53,Alan Anderson,15:17,Mirza Teletović,14:36
