3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,0.000,0,,97,0,0,0.0,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202401170TOR.html,Home,121,2:21,1,100.0,MIA,Bam Adebayo,Thomas Bryant,4:26,Cole Swider,2:21,Orlando Robinson,2:21,,,,,,,35:49,Tyler Herro,32:23,Jimmy Butler,30:48,Kyle Lowry,29:00,Caleb Martin,25:37,Josh Richardson,23:23,Duncan Robinson,21:19,Nikola Jović,21:01,Haywood Highsmith,11:32,97,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Javon Freeman-Liberty,24,0,2023-2024,0.0,0,1.0,TOR,121,RJ Barrett,Garrett Temple,2:21,Jalen McDaniels,1:48,,,,,,,,,36:20,Scottie Barnes,33:57,Gary Trent Jr.,30:52,Immanuel Quickley,30:18,Thaddeus Young,28:02,Dennis Schröder,26:43,Jontay Porter,18:10,Chris Boucher,17:35,Gradey Dick,11:33
0,,0,,0,,127,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202401260TOR.html,Home,107,1:33,0,,LAC,James Harden,Brandon Boston Jr.,1:33,Bones Hyland,1:33,,,,,,,,,34:58,Kawhi Leonard,30:30,Terance Mann,28:38,Paul George,28:19,Russell Westbrook,25:58,Norman Powell,25:46,Mason Plumlee,25:13,Amir Coffey,19:16,Daniel Theis,18:16,127,0,0,0.0,,0.0,,0.0,,Javon Freeman-Liberty,20,0,2023-2024,0.0,0,0.0,TOR,107,RJ Barrett,Jontay Porter,4:24,Kira Lewis Jr.,1:33,Jalen McDaniels,1:33,Garrett Temple,1:33,,,,,36:00,Scottie Barnes,34:45,Bruce Brown,31:35,Gary Trent Jr.,28:59,Dennis Schröder,28:14,Thaddeus Young,23:58,Gradey Dick,21:08,Chris Boucher,16:46,Jordan Nwora,7:59
0,,0,,0,,120,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403010TOR.html,Home,105,1:00,0,,GSW,Moses Moody,Kevon Looney,9:49,Dario Šarić,5:43,Jerome Robinson,1:00,,,,,,,31:34,Stephen Curry,30:06,Klay Thompson,29:42,Draymond Green,27:48,Jonathan Kuminga,27:16,Chris Paul,24:18,Lester Quiñones,22:35,Trayce Jackson-Davis,16:04,Gary Payton II,14:04,120,0,0,0.0,,0.0,,0.0,,Javon Freeman-Liberty,15,0,2023-2024,0.0,0,0.0,TOR,105,Immanuel Quickley,D.J. Carton,6:29,Chris Boucher,4:59,Jalen McDaniels,1:00,Jordan Nwora,1:00,,,,,36:04,RJ Barrett,31:16,Gary Trent Jr.,30:08,Kelly Olynyk,28:25,Gradey Dick,26:41,Jakob Poeltl,24:50,Bruce Brown,22:57,Scottie Barnes,15:40,Ochai Agbaji,9:30
1,.333,3,42.857,1,,139,0,3,100.0,4,.571,3.0,75.0,4.0,7,4,.800,5,71.429,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403050TOR.html,Home,98,17:38,0,0.0,NOP,Trey Murphy III,Jordan Hawkins,9:48,Matt Ryan,7:28,Jeremiah Robinson-Earl,7:28,Cody Zeller,4:11,Izaiah Brockington,3:23,,,29:15,Zion Williamson,25:59,Herbert Jones,25:19,Brandon Ingram,25:06,Jose Alvarado,23:31,CJ McCollum,22:30,Naji Marshall,20:25,Jonas Valančiūnas,20:03,Larry Nance Jr.,15:34,139,0,13,6.0,46.2,3.0,23.1,4.0,30.8,Javon Freeman-Liberty,41,0,2023-2024,0.0,0,3.0,TOR,98,Immanuel Quickley,Jahmi'us Ramsey,5:15,Mouhamadou Gueye,3:23,,,,,,,,,33:11,RJ Barrett,31:59,Gary Trent Jr.,29:04,Kelly Olynyk,28:13,Gradey Dick,27:04,Jordan Nwora,19:48,Jontay Porter,16:24,Ochai Agbaji,15:31,D.J. Carton,12:30
1,.500,2,50.000,2,,113,1,3,100.0,1,.250,0.0,0.0,2.0,4,2,1.000,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403070PHO.html,Away,120,18:00,0,0.0,PHO,Grayson Allen,,,,,,,,,,,,,38:49,Kevin Durant,34:52,Bradley Beal,33:25,Royce O'Neale,31:37,Jusuf Nurkić,26:01,Eric Gordon,22:54,Drew Eubanks,20:45,Bol Bol,16:23,Saben Lee,15:14,120,1,5,0.0,0.0,3.0,60.0,2.0,40.0,Javon Freeman-Liberty,7,0,2023-2024,1.0,0,3.0,TOR,113,Immanuel Quickley,,,,,,,,,,,,,39:31,RJ Barrett,37:10,Gary Trent Jr.,35:55,Gradey Dick,30:37,Kelly Olynyk,27:56,Chris Boucher,23:42,Ochai Agbaji,23:40,Jordan Nwora,3:29,,
0,.000,1,33.333,2,0.67,118,0,3,75.0,2,.667,2.0,100.0,2.0,3,2,1.000,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403090POR.html,Away,128,18:05,1,25.0,POR,Anfernee Simons,,,,,,,,,,,,,42:05,Dalano Banton,42:03,Deandre Ayton,39:57,Matisse Thybulle,32:29,Toumani Camara,31:52,Scoot Henderson,26:20,Kris Murray,24:35,Duop Reath,13:03,Rayan Rupert,12:35,128,3,6,4.0,66.7,0.0,0.0,2.0,33.3,Javon Freeman-Liberty,10,0,2023-2024,0.0,3,4.0,TOR,118,Immanuel Quickley,,,,,,,,,,,,,43:36,Gary Trent Jr.,41:47,Gradey Dick,39:04,Kelly Olynyk,32:27,Chris Boucher,31:15,Jalen McDaniels,24:37,Ochai Agbaji,21:47,Jordan Nwora,12:20,Jontay Porter,0:00
0,.000,2,100.000,2,,119,1,1,100.0,0,.000,0.0,,0.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403110DEN.html,Away,125,12:22,0,0.0,DEN,Jamal Murray,Justin Holiday,8:25,,,,,,,,,,,39:06,Nikola Jokić,38:06,Michael Porter Jr.,32:52,Kentavious Caldwell-Pope,32:28,Aaron Gordon,30:41,Christian Braun,19:15,Peyton Watson,15:23,Reggie Jackson,14:32,Zeke Nnaji,9:12,125,1,0,0.0,,0.0,,0.0,,Javon Freeman-Liberty,6,0,2023-2024,1.0,0,1.0,TOR,119,RJ Barrett,,,,,,,,,,,,,37:58,Bruce Brown,37:37,Gradey Dick,36:25,Kelly Olynyk,28:43,Ochai Agbaji,28:38,Jontay Porter,21:58,Jalen McDaniels,19:29,Jordan Nwora,16:50,,
0,.000,1,100.000,0,,96,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403170ORL.html,Away,111,2:44,0,,ORL,Paolo Banchero,Joe Ingles,13:18,Anthony Black,2:44,Goga Bitadze,2:44,Jett Howard,2:44,Chuma Okeke,2:44,Admiral Schofield,2:44,35:33,Franz Wagner,30:30,Wendell Carter Jr.,27:28,Gary Harris,26:38,Cole Anthony,25:09,Jalen Suggs,20:01,Moritz Wagner,17:48,Caleb Houstan,15:09,Markelle Fultz,14:46,111,1,0,0.0,,0.0,,0.0,,Javon Freeman-Liberty,15,0,2023-2024,0.0,0,0.0,TOR,96,Immanuel Quickley,Jalen McDaniels,2:44,,,,,,,,,,,31:26,Ochai Agbaji,31:13,Gary Trent Jr.,30:50,Gradey Dick,26:41,Kelly Olynyk,25:34,Jordan Nwora,25:00,Bruce Brown,22:43,Jontay Porter,22:26,Jahmi'us Ramsey,18:39
0,.000,1,25.000,1,,123,0,3,75.0,1,.250,1.0,33.3,3.0,4,2,1.000,2,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403200TOR.html,Home,89,20:59,1,25.0,SAC,Keegan Murray,Kessler Edwards,12:00,Jalen Slawson,8:23,Colby Jones,7:52,JaVale McGee,4:24,,,,,30:42,De'Aaron Fox,28:26,Domantas Sabonis,27:34,Keon Ellis,25:19,Davion Mitchell,21:22,Malik Monk,19:42,Chris Duarte,19:12,Harrison Barnes,19:02,Alex Len,16:02,123,3,4,2.0,50.0,0.0,0.0,2.0,50.0,Javon Freeman-Liberty,34,1,2023-2024,1.0,0,4.0,TOR,89,Gary Trent Jr.,Jontay Porter,2:43,,,,,,,,,,,32:21,Gradey Dick,32:10,Ochai Agbaji,29:58,Kelly Olynyk,29:36,Bruce Brown,25:46,Jahmi'us Ramsey,22:11,Jordan Nwora,17:25,Jalen McDaniels,13:28,Mouhamadou Gueye,13:23
0,.000,3,30.000,3,1.50,123,0,4,100.0,4,.400,4.0,57.1,7.0,10,2,1.000,2,20.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202403220TOR.html,Home,103,29:15,0,0.0,OKC,Shai Gilgeous-Alexander,Aaron Wiggins,12:17,Lindy Waters III,4:51,Mike Muscala,3:14,,,,,,,33:21,Jalen Williams,27:06,Chet Holmgren,26:36,Gordon Hayward,23:50,Cason Wallace,23:39,Kenrich Williams,23:07,Luguentz Dort,22:44,Josh Giddey,21:57,Isaiah Joe,17:18,123,1,10,8.0,80.0,0.0,0.0,2.0,20.0,Javon Freeman-Liberty,20,0,2023-2024,0.0,2,4.0,TOR,103,Gradey Dick,Mouhamadou Gueye,3:14,,,,,,,,,,,32:41,Ochai Agbaji,31:45,Bruce Brown,28:06,Kelly Olynyk,27:23,Jordan Nwora,21:21,Jontay Porter,20:37,Jahmi'us Ramsey,19:16,Garrett Temple,18:02,Jalen McDaniels,8:20
