3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,.000,1,100.000,1,,90,0,1,50.0,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111060POR.html,Away,105,8:03,1,50.0,POR,Robert Covington,Cody Zeller,11:27,Tony Snell,8:03,Ben McLemore,5:26,Greg Brown III,5:26,CJ Elleby,5:26,,,32:28,Damian Lillard,30:48,Norman Powell,27:22,CJ McCollum,24:23,Anfernee Simons,23:23,Jusuf Nurkić,21:39,Larry Nance Jr.,16:57,Nassir Little,15:12,Dennis Smith Jr.,12:00,105,0,0,0.0,,0.0,,0.0,,Jay Huff,15,0,2021-2022,0.0,0,2.0,LAL,90,Russell Westbrook,Rajon Rondo,12:35,Sekou Doumbouya,8:03,Anthony Davis,7:09,,,,,,,29:29,Carmelo Anthony,26:38,Wayne Ellington,24:53,Austin Reaves,24:33,Avery Bradley,22:46,Malik Monk,21:53,DeAndre Jordan,20:07,Kent Bazemore,19:07,Dwight Howard,14:44
0,,0,,0,,92,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112170MIN.html,Away,110,5:13,0,,MIN,Karl-Anthony Towns,Jake Layman,7:34,Nathan Knight,4:06,Leandro Bolmaro,4:06,Jordan McLaughlin,4:06,,,,,32:11,Malik Beasley,32:01,Patrick Beverley,31:36,Jarred Vanderbilt,31:04,D'Angelo Russell,27:22,Jaden McDaniels,21:40,Jaylen Nowell,19:02,Josh Okogie,13:28,Naz Reid,11:43,110,1,0,0.0,,0.0,,0.0,,Jay Huff,18,1,2021-2022,1.0,0,0.0,LAL,92,LeBron James,DeAndre Jordan,9:32,,,,,,,,,,,35:30,Wayne Ellington,29:41,Russell Westbrook,28:32,Carmelo Anthony,28:10,Kent Bazemore,24:04,Rajon Rondo,22:24,Isaiah Thomas,21:37,Anthony Davis,20:05,Chaundee Brown Jr.,15:10
0,.000,1,50.000,0,,108,1,1,100.0,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112210LAL.html,Home,90,3:09,0,0.0,PHO,Mikal Bridges,Jalen Smith,3:09,Ish Wainright,3:09,,,,,,,,,34:08,Devin Booker,31:35,Chris Paul,28:44,Deandre Ayton,26:54,Jae Crowder,26:36,Cameron Johnson,25:50,Cameron Payne,22:33,Landry Shamet,21:44,JaVale McGee,15:38,108,0,0,0.0,,0.0,,0.0,,Jay Huff,18,0,2021-2022,1.0,0,1.0,LAL,90,Russell Westbrook,Mason Jones,3:09,Jemerrio Jones,3:09,,,,,,,,,36:32,LeBron James,34:00,Talen Horton-Tucker,31:23,Wayne Ellington,27:45,Isaiah Thomas,25:33,Rajon Rondo,23:26,Trevor Ariza,20:50,Carmelo Anthony,15:47,DeAndre Jordan,15:17
0,,0,,0,0.00,138,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112230LAL.html,Home,110,3:50,0,0.0,SAS,Keldon Johnson,Tre Jones,13:06,Drew Eubanks,2:42,,,,,,,,,33:03,Dejounte Murray,32:21,Derrick White,29:43,Keita Bates-Diop,26:45,Lonnie Walker IV,24:38,Doug McDermott,22:17,Jakob Poeltl,20:59,Devin Vassell,19:04,Jock Landale,15:22,138,0,0,0.0,,0.0,,0.0,,Jay Huff,28,0,2021-2022,0.0,1,1.0,LAL,110,Talen Horton-Tucker,DeAndre Jordan,6:33,Mason Jones,5:40,,,,,,,,,37:42,Russell Westbrook,35:07,LeBron James,34:40,Wayne Ellington,28:55,Dwight Howard,21:48,Isaiah Thomas,21:25,Carmelo Anthony,21:01,Rajon Rondo,11:45,Jemerrio Jones,11:34
0,,0,,0,0.00,97,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202303140WAS.html,Home,117,3:15,0,,DET,Rodney McGruder,,,,,,,,,,,,,38:23,Killian Hayes,35:25,James Wiseman,30:54,Cory Joseph,30:18,R.J. Hampton,27:19,Buddy Boeheim,22:41,Eugene Omoruyi,20:07,Jalen Duren,17:34,Jared Rhoden,17:19,97,1,0,0.0,,0.0,,0.0,,Jay Huff,20,0,2022-2023,0.0,2,0.0,WAS,117,Corey Kispert,Taj Gibson,4:48,Anthony Gill,3:15,,,,,,,,,33:32,Bradley Beal,32:59,Kristaps Porziņģis,30:42,Deni Avdija,28:15,Monte Morris,27:52,Daniel Gafford,22:21,Delon Wright,21:53,Johnny Davis,18:32,Jordan Goodwin,12:36
0,,0,0.000,0,,132,0,3,100.0,1,1.000,1.0,100.0,1.0,1,3,1.000,3,300.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202303180WAS.html,Home,118,5:30,0,0.0,SAC,Keegan Murray,Matthew Dellavedova,4:13,PJ Dozier,4:13,Keon Ellis,4:13,Alex Len,4:13,,,,,35:07,Domantas Sabonis,33:14,Terence Davis,29:27,Harrison Barnes,27:21,De'Aaron Fox,26:21,Malik Monk,23:23,Kessler Edwards,18:57,Davion Mitchell,18:45,Chimezie Metu,10:33,132,0,5,2.0,40.0,0.0,0.0,3.0,60.0,Jay Huff,14,0,2022-2023,0.0,0,3.0,WAS,118,Bradley Beal,Johnny Davis,12:52,Jordan Goodwin,5:30,Kendrick Nunn,5:30,Xavier Cooks,5:30,,,,,32:09,Kyle Kuzma,31:33,Corey Kispert,30:18,Deni Avdija,28:13,Monte Morris,20:24,Delon Wright,20:01,Taj Gibson,14:56,Daniel Gafford,13:53,Anthony Gill,13:41
0,.000,1,100.000,1,,118,0,1,100.0,0,.000,0.0,,0.0,1,2,1.000,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202303220WAS.html,Home,104,3:39,0,0.0,DEN,Nikola Jokić,Thomas Bryant,2:44,Vlatko Čančar,2:44,Ish Smith,2:44,Peyton Watson,2:44,,,,,33:36,Jamal Murray,33:08,Michael Porter Jr.,30:44,Aaron Gordon,30:44,Kentavious Caldwell-Pope,29:27,Bruce Brown,29:07,Christian Braun,16:06,Jeff Green,14:32,Zeke Nnaji,11:40,118,0,2,0.0,0.0,0.0,0.0,2.0,100.0,Jay Huff,14,0,2022-2023,0.0,0,1.0,WAS,104,Deni Avdija,Anthony Gill,10:16,Kendrick Nunn,8:21,Quenton Jackson,3:39,Xavier Cooks,3:39,,,,,31:41,Corey Kispert,30:34,Daniel Gafford,28:33,Monte Morris,23:48,Johnny Davis,23:21,Kristaps Porziņģis,22:14,Delon Wright,20:33,Jordan Goodwin,18:16,Taj Gibson,11:26
0,,0,,2,,109,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202304020NYK.html,Away,118,2:44,0,,NYK,Quentin Grimes,,,,,,,,,,,,,41:18,Jalen Brunson,39:12,Immanuel Quickley,37:05,Obi Toppin,33:00,Mitchell Robinson,25:55,Josh Hart,25:46,Isaiah Hartenstein,22:05,Miles McBride,8:57,Evan Fournier,6:42,118,0,0,0.0,,0.0,,0.0,,Jay Huff,9,0,2022-2023,0.0,0,0.0,WAS,109,Deni Avdija,Anthony Gill,3:31,Xavier Cooks,3:31,,,,,,,,,34:25,Corey Kispert,34:04,Delon Wright,31:37,Johnny Davis,30:13,Daniel Gafford,27:56,Jordan Goodwin,24:32,Quenton Jackson,17:54,Taj Gibson,16:33,Kendrick Nunn,13:00
3,.500,6,60.000,2,,140,0,7,77.8,5,.500,2.0,50.0,4.0,10,4,.800,5,50.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202304040WAS.html,Home,128,26:51,2,22.2,MIL,Giannis Antetokounmpo,Pat Connaughton,5:40,Thanasis Antetokounmpo,1:47,,,,,,,,,32:48,Bobby Portis,31:06,Brook Lopez,30:19,Jrue Holiday,30:05,Wesley Matthews,29:35,Joe Ingles,27:37,Jae Crowder,23:32,Goran Dragić,14:12,MarJon Beauchamp,13:17,140,5,17,4.0,23.5,9.0,52.9,4.0,23.5,Jay Huff,12,2,2022-2023,2.0,0,9.0,WAS,128,Johnny Davis,,,,,,,,,,,,,36:30,Corey Kispert,34:02,Jordan Goodwin,28:11,Xavier Cooks,26:24,Quenton Jackson,22:48,Kendrick Nunn,22:29,Anthony Gill,21:36,Daniel Gafford,21:09,,
2,.667,3,50.000,3,3.00,116,3,2,50.0,5,.833,3.0,100.0,3.0,6,2,1.000,2,33.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202304050ATL.html,Away,134,29:34,2,50.0,ATL,Trae Young,Bruno Fernando,3:01,Trent Forrest,3:01,Vit Krejci,3:01,Tyrese Martin,2:27,Garrison Mathews,2:27,,,38:32,Dejounte Murray,30:15,John Collins,25:35,Saddiq Bey,25:15,Onyeka Okongwu,23:51,Jalen Johnson,23:23,AJ Griffin,22:38,Aaron Holiday,21:28,Clint Capela,15:06,134,4,14,6.0,42.9,6.0,42.9,2.0,14.3,Jay Huff,18,1,2022-2023,4.0,1,4.0,WAS,116,Johnny Davis,,,,,,,,,,,,,35:36,Jordan Goodwin,29:29,Corey Kispert,28:03,Quenton Jackson,27:57,Kendrick Nunn,26:06,Daniel Gafford,22:47,Anthony Gill,19:52,Xavier Cooks,17:13,Isaiah Todd,3:23
