3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,113,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911100POR.html,Home,124,0:25,0,0.0,ATL,Trae Young,Bruno Fernando,3:07,,,,,,,,,,,42:58,DeAndre' Bembry,40:01,De'Andre Hunter,38:58,Jabari Parker,36:52,Kevin Huerter,30:55,Damian Jones,24:05,Tyrone Wallace,16:52,Cam Reddish,15:53,Alex Len,15:16,113,0,0,0.0,,0.0,,0.0,,Jaylen Hoard,11,0,2019-2020,0.0,0,1.0,POR,124,Damian Lillard,Nassir Little,6:36,Moses Brown,0:25,,,,,,,,,44:15,CJ McCollum,41:35,Hassan Whiteside,35:25,Kent Bazemore,33:35,Anfernee Simons,24:10,Mario Hezonja,23:37,Anthony Tolliver,22:01,Skal Labissière,17:05,Gary Trent Jr.,15:46
0,,0,0.000,0,,117,0,1,100.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911250CHI.html,Away,94,4:09,0,0.0,CHI,Wendell Carter Jr.,Kris Dunn,10:52,Ryan Arcidiacono,8:31,Chandler Hutchison,7:49,,,,,,,31:22,Zach LaVine,29:56,Coby White,28:16,Tomáš Satoranský,27:09,Lauri Markkanen,27:09,Shaquille Harrison,23:26,Denzel Valentine,15:54,Daniel Gafford,15:32,Thaddeus Young,14:04,94,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Jaylen Hoard,23,1,2019-2020,1.0,0,1.0,POR,117,CJ McCollum,Mario Hezonja,6:33,Moses Brown,4:09,,,,,,,,,32:17,Carmelo Anthony,30:38,Rodney Hood,30:07,Damian Lillard,27:15,Kent Bazemore,23:14,Hassan Whiteside,22:55,Skal Labissière,20:52,Anfernee Simons,20:43,Nassir Little,17:08
0,,0,0.000,1,,119,0,1,50.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201911270POR.html,Home,136,6:07,1,50.0,OKC,Shai Gilgeous-Alexander,Deonte Burton,14:56,Devon Hall,7:33,Mike Muscala,4:25,Justin Patton,3:08,,,,,29:40,Danilo Gallinari,27:00,Terrance Ferguson,25:13,Chris Paul,25:09,Steven Adams,24:40,Dennis Schröder,24:13,Darius Bazley,21:00,Abdel Nader,17:16,Nerlens Noel,15:47,119,1,0,0.0,,0.0,,0.0,,Jaylen Hoard,17,0,2019-2020,0.0,0,2.0,POR,136,Damian Lillard,Anthony Tolliver,9:15,Mario Hezonja,7:33,Moses Brown,6:07,,,,,,,29:38,Carmelo Anthony,28:32,CJ McCollum,28:16,Anfernee Simons,26:37,Rodney Hood,25:18,Hassan Whiteside,22:27,Kent Bazemore,20:31,Skal Labissière,19:26,Nassir Little,10:13
0,,0,,1,,108,0,1,100.0,0,,0.0,,0.0,0,1,.500,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201912080POR.html,Home,96,1:28,0,0.0,OKC,Shai Gilgeous-Alexander,Mike Muscala,0:40,Devon Hall,0:40,,,,,,,,,38:16,Dennis Schröder,34:12,Danilo Gallinari,32:18,Chris Paul,31:14,Steven Adams,28:00,Nerlens Noel,20:00,Luguentz Dort,19:51,Abdel Nader,19:26,Darius Bazley,15:23,108,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Jaylen Hoard,12,0,2019-2020,0.0,0,1.0,POR,96,Damian Lillard,,,,,,,,,,,,,38:34,CJ McCollum,37:36,Kent Bazemore,36:05,Carmelo Anthony,35:27,Hassan Whiteside,31:56,Anfernee Simons,22:47,Skal Labissière,16:02,Nassir Little,12:14,Mario Hezonja,7:51
0,,0,0.000,0,,87,0,0,0.0,2,.500,2.0,50.0,4.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201912100POR.html,Home,115,5:46,2,100.0,NYK,Mitchell Robinson,Allonzo Trier,14:22,Dennis Smith Jr.,13:36,Elfrid Payton,12:32,Ignas Brazdeikis,5:25,,,,,27:19,Julius Randle,25:41,Marcus Morris,24:53,Damyean Dotson,23:06,Kevin Knox,20:18,Bobby Portis,19:43,RJ Barrett,18:52,Frank Ntilikina,17:53,Taj Gibson,16:20,87,0,4,4.0,100.0,0.0,0.0,0.0,0.0,Jaylen Hoard,28,0,2019-2020,0.0,0,2.0,POR,115,CJ McCollum,Gary Trent Jr.,10:19,Anthony Tolliver,6:29,,,,,,,,,31:25,Damian Lillard,28:59,Anfernee Simons,28:43,Hassan Whiteside,25:38,Carmelo Anthony,24:52,Mario Hezonja,23:09,Kent Bazemore,21:49,Skal Labissière,21:25,Nassir Little,11:26
0,,0,,0,,122,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202001030WAS.html,Away,103,1:37,0,,WAS,Gary Payton II,Isaac Bonga,9:24,Isaiah Thomas,1:28,,,,,,,,,34:46,Ish Smith,33:17,Jordan McRae,33:04,Troy Brown Jr.,30:58,Ian Mahinmi,26:13,Garrison Mathews,24:43,Anžejs Pasečņiks,17:35,Johnathan Williams,16:10,Admiral Schofield,12:22,103,0,0,0.0,,0.0,,0.0,,Jaylen Hoard,19,0,2019-2020,0.0,0,0.0,POR,122,CJ McCollum,Nassir Little,0:52,,,,,,,,,,,35:36,Kent Bazemore,34:44,Damian Lillard,34:16,Hassan Whiteside,33:06,Carmelo Anthony,30:36,Gary Trent Jr.,20:05,Mario Hezonja,17:41,Anfernee Simons,16:33,Anthony Tolliver,14:54
0,,0,,0,0.00,111,0,0,0.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001050MIA.html,Away,122,1:38,1,100.0,MIA,Derrick Jones Jr.,,,,,,,,,,,,,36:15,Bam Adebayo,35:33,Duncan Robinson,35:31,Goran Dragić,29:49,Tyler Herro,28:21,Kendrick Nunn,27:31,Meyers Leonard,23:28,James Johnson,21:54,Chris Silva,1:38,122,0,0,0.0,,0.0,,0.0,,Jaylen Hoard,11,0,2019-2020,0.0,1,1.0,POR,111,Damian Lillard,,,,,,,,,,,,,41:39,Carmelo Anthony,37:20,Kent Bazemore,35:22,Anfernee Simons,34:23,Hassan Whiteside,32:07,Mario Hezonja,19:36,Gary Trent Jr.,17:07,Anthony Tolliver,16:45,Nassir Little,4:03
0,.000,1,14.286,0,0.00,102,0,3,75.0,3,.429,3.0,50.0,6.0,7,2,.667,3,42.857,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001090MIN.html,Away,116,16:44,1,25.0,MIN,Jarrett Culver,Treveon Graham,14:38,Noah Vonleh,12:39,Jordan Bell,4:53,,,,,,,30:02,Andrew Wiggins,25:38,Josh Okogie,25:16,Jeff Teague,24:32,Robert Covington,24:25,Keita Bates-Diop,24:01,Shabazz Napier,20:26,Gorgui Dieng,16:59,Naz Reid,16:31,116,0,8,6.0,75.0,0.0,0.0,2.0,25.0,Jaylen Hoard,14,2,2019-2020,2.0,1,4.0,POR,102,Damian Lillard,Mario Hezonja,9:52,,,,,,,,,,,29:37,Kent Bazemore,29:31,Hassan Whiteside,27:58,Gary Trent Jr.,24:50,CJ McCollum,24:31,Carmelo Anthony,23:57,Anthony Tolliver,21:01,Anfernee Simons,19:59,Nassir Little,12:00
0,.000,1,14.286,0,0.00,122,0,3,60.0,2,.286,2.0,33.3,6.0,7,2,.667,3,42.857,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001110POR.html,Home,101,16:42,2,40.0,MIL,Giannis Antetokounmpo,Sterling Brown,12:32,Ersan İlyasova,11:45,D.J. Wilson,5:15,Thanasis Antetokounmpo,5:15,,,,,28:30,Khris Middleton,28:07,Eric Bledsoe,27:14,Brook Lopez,26:26,Donte DiVincenzo,23:41,Wesley Matthews,20:05,Pat Connaughton,18:48,George Hill,17:44,Robin Lopez,14:38,122,1,6,4.0,66.7,0.0,0.0,2.0,33.3,Jaylen Hoard,21,1,2019-2020,1.0,2,5.0,POR,101,Damian Lillard,,,,,,,,,,,,,35:01,CJ McCollum,34:18,Carmelo Anthony,32:52,Kent Bazemore,29:00,Anthony Tolliver,27:39,Anfernee Simons,22:37,Gary Trent Jr.,17:27,Nassir Little,13:31,Mario Hezonja,10:53
0,,0,0.000,0,,112,0,0,0.0,1,.500,1.0,50.0,2.0,2,1,1.000,1,50.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202001130POR.html,Home,115,9:03,1,100.0,CHO,Terry Rozier,Malik Monk,7:45,,,,,,,,,,,38:38,Devonte' Graham,36:09,P.J. Washington,32:37,Nicolas Batum,30:34,Cody Zeller,22:54,Dwayne Bacon,21:46,Miles Bridges,18:23,Willy Hernangómez,16:29,Marvin Williams,14:45,112,2,3,2.0,66.7,0.0,0.0,1.0,33.3,Jaylen Hoard,3,0,2019-2020,0.0,0,1.0,POR,115,CJ McCollum,,,,,,,,,,,,,36:36,Carmelo Anthony,36:36,Damian Lillard,35:36,Kent Bazemore,30:05,Hassan Whiteside,24:14,Gary Trent Jr.,21:37,Anthony Tolliver,21:20,Anfernee Simons,20:06,Nassir Little,4:47
0,.000,1,16.667,1,,106,0,2,40.0,3,.500,3.0,60.0,5.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202001180OKC.html,Away,119,19:49,3,60.0,OKC,Shai Gilgeous-Alexander,Mike Muscala,4:42,Kevin Hervey,0:27,,,,,,,,,34:34,Hamidou Diallo,32:53,Darius Bazley,31:14,Dennis Schröder,29:05,Chris Paul,27:30,Steven Adams,24:08,Luguentz Dort,19:31,Nerlens Noel,19:10,Deonte Burton,16:46,119,5,6,6.0,100.0,0.0,0.0,0.0,0.0,Jaylen Hoard,13,1,2019-2020,1.0,0,5.0,POR,106,Gary Trent Jr.,,,,,,,,,,,,,36:03,Damian Lillard,35:56,Anfernee Simons,35:15,Carmelo Anthony,32:19,Hassan Whiteside,31:40,Mario Hezonja,28:32,Nassir Little,20:26,,,,
0,,0,0.000,1,,124,0,5,71.4,1,1.000,1.0,100.0,1.0,1,0,.000,2,200.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202001200POR.html,Home,129,10:02,2,28.6,GSW,Eric Paschall,,,,,,,,,,,,,42:13,D'Angelo Russell,39:54,Alec Burks,39:16,Damion Lee,39:13,Willie Cauley-Stein,32:23,Jordan Poole,29:37,Omari Spellman,21:35,Marquese Chriss,20:49,,,124,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Jaylen Hoard,5,0,2019-2020,0.0,0,7.0,POR,129,Anfernee Simons,,,,,,,,,,,,,46:23,Damian Lillard,45:08,Hassan Whiteside,43:31,Carmelo Anthony,42:44,Gary Trent Jr.,41:04,Mario Hezonja,19:23,Nassir Little,14:30,Moses Brown,2:15,,
0,,0,0.000,0,,117,0,1,50.0,2,.667,2.0,66.7,3.0,3,2,1.000,2,66.667,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202002110NOP.html,Away,138,9:30,1,50.0,NOP,Lonzo Ball,Jaxson Hayes,11:00,Nickeil Alexander-Walker,2:29,,,,,,,,,33:36,Jrue Holiday,29:04,Nicolò Melli,27:59,Zion Williamson,27:52,Josh Hart,26:05,Frank Jackson,22:42,Derrick Favors,21:27,JJ Redick,20:50,E'Twaun Moore,16:56,138,2,6,4.0,66.7,0.0,0.0,2.0,33.3,Jaylen Hoard,21,0,2019-2020,0.0,0,2.0,POR,117,CJ McCollum,Moses Brown,9:30,,,,,,,,,,,29:46,Damian Lillard,29:04,Trevor Ariza,27:11,Gary Trent Jr.,27:07,Hassan Whiteside,27:05,Carmelo Anthony,26:08,Caleb Swanigan,22:30,Anfernee Simons,18:33,Wenyen Gabriel,13:36
0,.000,1,10.000,0,0.00,132,1,2,33.3,4,.400,4.0,44.4,9.0,10,2,1.000,2,20.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104050OKC.html,Home,108,22:08,4,66.7,DET,Killian Hayes,Frank Jackson,17:38,Saben Lee,16:25,Deividas Sirvydis,4:41,,,,,,,25:06,Tyler Cook,23:59,Hamidou Diallo,23:33,Jerami Grant,23:15,Sekou Doumbouya,23:04,Saddiq Bey,21:56,Isaiah Stewart,21:43,Josh Jackson,19:46,Cory Joseph,18:54,132,1,10,8.0,80.0,0.0,0.0,2.0,20.0,Jaylen Hoard,24,1,2020-2021,2.0,3,6.0,OKC,108,Aleksej Pokusevski,,,,,,,,,,,,,31:30,Ty Jerome,27:41,Théo Maledon,26:16,Svi Mykhailiuk,26:11,Moses Brown,25:59,Justin Robinson,23:56,Tony Bradley,22:01,Kenrich Williams,21:38,Darius Miller,12:40
0,.000,1,16.667,1,1.00,113,0,1,100.0,4,.667,4.0,80.0,5.0,6,5,1.000,5,83.333,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202104070OKC.html,Home,102,24:20,0,0.0,CHO,Terry Rozier,,,,,,,,,,,,,39:44,Miles Bridges,36:28,Jalen McDaniels,31:51,P.J. Washington,31:26,Cody Zeller,28:06,Devonte' Graham,26:58,Brad Wanamaker,22:57,Cody Martin,15:46,Caleb Martin,6:42,113,2,13,8.0,61.5,0.0,0.0,5.0,38.5,Jaylen Hoard,11,0,2020-2021,0.0,1,1.0,OKC,102,Théo Maledon,,,,,,,,,,,,,36:24,Kenrich Williams,34:22,Aleksej Pokusevski,33:27,Svi Mykhailiuk,31:03,Moses Brown,27:03,Tony Bradley,20:36,Ty Jerome,19:57,Justin Robinson,12:46,,
