3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,92,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111030GSW.html,Home,114,1:51,0,0.0,CHO,Miles Bridges,Jalen McDaniels,2:23,James Bouknight,1:51,Nick Richards,1:51,,,,,,,37:35,Gordon Hayward,37:23,Terry Rozier,34:47,LaMelo Ball,33:33,Cody Martin,25:19,Mason Plumlee,20:04,P.J. Washington,17:22,Ish Smith,14:27,Kelly Oubre Jr.,13:25,92,0,0,0.0,,0.0,,0.0,,Jeff Dowtin,22,0,2021-2022,0.0,0,1.0,GSW,114,Stephen Curry,Nemanja Bjelica,12:33,Otto Porter Jr.,11:20,Jonathan Kuminga,1:51,Moses Moody,1:51,,,,,35:25,Draymond Green,34:48,Jordan Poole,32:26,Andrew Wiggins,28:45,Gary Payton II,17:26,Andre Iguodala,17:24,Damion Lee,15:43,Kevon Looney,14:37,Juan Toscano-Anderson,13:57
0,,0,0.000,0,,113,0,1,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111080GSW.html,Home,127,3:52,0,0.0,ATL,Trae Young,Solomon Hill,13:02,Timothé Luwawu-Cabarrot,5:00,Gorgui Dieng,5:00,,,,,,,32:06,Bogdan Bogdanović,31:24,John Collins,30:48,Kevin Huerter,25:04,Clint Capela,23:20,De'Andre Hunter,22:41,Danilo Gallinari,22:13,Delon Wright,15:54,Cam Reddish,13:28,113,1,0,0.0,,0.0,,0.0,,Jeff Dowtin,14,0,2021-2022,0.0,0,1.0,GSW,127,Stephen Curry,Nemanja Bjelica,13:06,Jonathan Kuminga,6:51,Moses Moody,2:57,,,,,,,35:02,Jordan Poole,31:38,Draymond Green,29:51,Andrew Wiggins,26:01,Gary Payton II,21:16,Andre Iguodala,19:46,Damion Lee,17:45,Kevon Looney,17:22,Juan Toscano-Anderson,14:33
0,,0,0.000,0,,95,0,0,,2,.667,2.0,66.7,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202112060GSW.html,Home,126,4:30,0,,ORL,Franz Wagner,Mychal Mulder,14:16,Ignas Brazdeikis,5:23,,,,,,,,,30:30,Wendell Carter Jr.,29:32,Gary Harris,27:40,Cole Anthony,27:27,Chuma Okeke,25:21,R.J. Hampton,23:29,Terrence Ross,21:19,Mo Bamba,17:57,Moritz Wagner,17:06,95,0,4,4.0,100.0,0.0,0.0,0.0,0.0,Jeff Dowtin,31,0,2021-2022,0.0,0,0.0,GSW,126,Jordan Poole,Jonathan Kuminga,12:00,Nemanja Bjelica,11:06,Moses Moody,4:30,,,,,,,32:20,Stephen Curry,30:58,Andrew Wiggins,29:57,Draymond Green,28:30,Damion Lee,23:25,Otto Porter Jr.,19:40,Gary Payton II,17:31,Juan Toscano-Anderson,12:58,Kevon Looney,12:35
0,.000,1,50.000,3,3.00,100,1,4,80.0,1,.500,1.0,100.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112180TOR.html,Away,119,17:31,1,20.0,TOR,Fred VanVleet,Justin Champagnie,13:58,Isaac Bonga,5:06,,,,,,,,,33:07,Scottie Barnes,32:47,Gary Trent Jr.,28:45,OG Anunoby,27:59,Chris Boucher,23:23,Precious Achiuwa,22:31,Yuta Watanabe,21:09,Svi Mykhailiuk,16:33,Malachi Flynn,14:42,119,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Jeff Dowtin,19,0,2021-2022,1.0,1,5.0,GSW,100,Jonathan Kuminga,,,,,,,,,,,,,36:07,Damion Lee,34:42,Juan Toscano-Anderson,31:14,Chris Chiozza,26:16,Nemanja Bjelica,25:07,Moses Moody,25:05,Kevon Looney,23:49,Gary Payton II,20:09,,
0,.000,1,100.000,0,,121,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202201070BRK.html,Away,109,2:58,0,,BRK,Kevin Durant,DeAndre' Bembry,7:36,Day'Ron Sharpe,6:58,Jevon Carter,6:58,Kessler Edwards,6:58,,,,,36:57,James Harden,35:32,Patty Mills,32:03,Cam Thomas,28:23,Nic Claxton,25:25,David Duke Jr.,20:31,James Johnson,12:33,Bruce Brown,10:43,LaMarcus Aldridge,9:23,109,0,0,0.0,,0.0,,0.0,,Jeff Dowtin,12,0,2021-2022,0.0,0,0.0,MIL,121,Bobby Portis,Thanasis Antetokounmpo,8:06,Javonte Smart,3:52,Luke Kornet,3:00,,,,,,,32:02,Jordan Nwora,30:50,Khris Middleton,30:02,Wesley Matthews,29:40,Giannis Antetokounmpo,26:47,Rodney Hood,26:17,Langston Galloway,20:23,Sandro Mamukelashvili,15:10,Semi Ojeleye,10:53
0,.000,3,37.500,3,,102,0,1,33.3,2,.250,2.0,40.0,5.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202203230OKC.html,Away,118,30:04,2,66.7,OKC,Isaiah Roby,,,,,,,,,,,,,33:11,Théo Maledon,32:06,Darius Bazley,29:25,Aleksej Pokusevski,29:13,Tre Mann,28:31,Vit Krejci,27:19,Aaron Wiggins,21:32,Lindy Waters III,19:29,Olivier Sarr,19:13,118,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Jeff Dowtin,16,1,2021-2022,1.0,0,3.0,ORL,102,Chuma Okeke,,,,,,,,,,,,,34:38,Cole Anthony,30:12,R.J. Hampton,29:44,Moritz Wagner,25:34,Admiral Schofield,22:53,Ignas Brazdeikis,22:50,Mo Bamba,22:26,Franz Wagner,21:39,,
0,.000,1,20.000,2,,114,0,0,0.0,1,.200,1.0,25.0,4.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202203260ORL.html,Home,110,19:32,2,100.0,SAC,Davion Mitchell,,,,,,,,,,,,,45:04,Harrison Barnes,39:51,Trey Lyles,36:11,Justin Holiday,34:23,Donte DiVincenzo,31:46,Damian Jones,24:41,Alex Len,22:13,Chimezie Metu,16:37,Jeremy Lamb,14:14,114,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Jeff Dowtin,4,2,2021-2022,2.0,0,2.0,ORL,110,Franz Wagner,,,,,,,,,,,,,34:11,Chuma Okeke,34:11,Mo Bamba,33:30,R.J. Hampton,33:28,Cole Anthony,33:18,Markelle Fultz,19:42,Robin Lopez,19:30,Moritz Wagner,18:49,Terrence Ross,18:49
1,.500,2,50.000,2,0.67,101,0,3,50.0,2,.500,1.0,50.0,2.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202203280CLE.html,Away,107,17:42,3,50.0,CLE,Darius Garland,Moses Brown,6:36,,,,,,,,,,,40:10,Isaac Okoro,36:23,Caris LeVert,32:51,Kevin Love,32:25,Lauri Markkanen,29:08,Lamar Stevens,23:42,Dylan Windler,16:16,Evan Mobley,13:02,Brandon Goodwin,9:27,107,1,5,2.0,40.0,3.0,60.0,0.0,0.0,Jeff Dowtin,6,0,2021-2022,0.0,3,6.0,ORL,101,Franz Wagner,R.J. Hampton,12:53,,,,,,,,,,,27:41,Wendell Carter Jr.,26:41,Chuma Okeke,25:26,Cole Anthony,24:01,Ignas Brazdeikis,22:45,Mo Bamba,22:34,Moritz Wagner,21:19,Admiral Schofield,20:19,Markelle Fultz,18:39
0,.000,1,50.000,0,0.00,110,0,0,,0,.000,0.0,0.0,1.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202203300WAS.html,Away,127,10:01,0,,WAS,Corey Kispert,Raul Neto,1:26,,,,,,,,,,,35:44,Kentavious Caldwell-Pope,32:52,Kristaps Porziņģis,28:56,Rui Hachimura,28:52,Tomáš Satoranský,26:58,Deni Avdija,25:58,Ish Smith,21:02,Anthony Gill,19:08,Daniel Gafford,19:04,127,1,2,0.0,0.0,0.0,0.0,2.0,100.0,Jeff Dowtin,17,2,2021-2022,2.0,1,0.0,ORL,110,Franz Wagner,Robin Lopez,11:43,Terrence Ross,10:31,,,,,,,,,30:48,Chuma Okeke,30:29,R.J. Hampton,27:18,Cole Anthony,25:19,Mo Bamba,21:35,Markelle Fultz,21:15,Ignas Brazdeikis,18:47,Moritz Wagner,17:31,Admiral Schofield,14:42
0,,0,0.000,1,,109,0,1,100.0,2,1.000,2.0,100.0,2.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202210310TOR.html,Home,139,5:22,0,0.0,ATL,Trae Young,Aaron Holiday,9:13,Vit Krejci,6:20,Frank Kaminsky,6:20,Tyrese Martin,6:20,Trent Forrest,6:20,,,32:27,Dejounte Murray,30:31,John Collins,29:37,Clint Capela,25:25,Justin Holiday,23:44,De'Andre Hunter,22:20,Onyeka Okongwu,16:15,AJ Griffin,14:28,Jalen Johnson,10:40,109,0,4,4.0,100.0,0.0,0.0,0.0,0.0,Jeff Dowtin,30,0,2022-2023,0.0,0,1.0,TOR,139,Gary Trent Jr.,Dalano Banton,5:22,Justin Champagnie,5:22,Juancho Hernangómez,5:12,Ron Harper Jr.,3:09,,,,,36:49,Pascal Siakam,35:09,Scottie Barnes,33:23,OG Anunoby,31:36,Christian Koloko,21:27,Chris Boucher,20:54,Precious Achiuwa,17:45,Malachi Flynn,9:23,Khem Birch,9:07
