3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,134,0,1,100.0,0,,0.0,,0.0,0,1,.500,2,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110200NYK.html,Home,138,6:58,0,0.0,BOS,Jaylen Brown,,,,,,,,,,,,,45:58,Marcus Smart,45:55,Robert Williams,44:49,Jayson Tatum,44:37,Dennis Schröder,32:00,Grant Williams,31:29,Romeo Langford,22:36,Aaron Nesmith,11:19,Payton Pritchard,11:17,134,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Jericho Sims,4,0,2021-2022,0.0,0,1.0,NYK,138,RJ Barrett,Quentin Grimes,0:00,,,,,,,,,,,47:03,Julius Randle,46:00,Evan Fournier,44:26,Kemba Walker,35:32,Mitchell Robinson,34:28,Obi Toppin,28:23,Derrick Rose,22:28,Alec Burks,16:17,Immanuel Quickley,8:25
0,,0,0.000,0,,121,0,4,100.0,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202110220ORL.html,Away,96,9:45,0,0.0,ORL,Mo Bamba,Ignas Brazdeikis,8:17,,,,,,,,,,,33:52,Franz Wagner,33:48,Jalen Suggs,31:43,Cole Anthony,31:36,Wendell Carter Jr.,30:08,Terrence Ross,24:05,R.J. Hampton,19:57,Moritz Wagner,13:24,Robin Lopez,13:10,96,1,2,2.0,100.0,0.0,0.0,0.0,0.0,Jericho Sims,25,1,2021-2022,1.0,0,4.0,NYK,121,Julius Randle,Quentin Grimes,4:34,Kevin Knox,4:28,Miles McBride,2:40,Wayne Selden,0:58,,,,,30:07,Mitchell Robinson,28:13,Evan Fournier,27:04,RJ Barrett,25:21,Derrick Rose,23:34,Obi Toppin,23:21,Kemba Walker,21:46,Immanuel Quickley,19:58,Alec Burks,18:11
0,,0,,0,0.00,113,0,1,100.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111010NYK.html,Home,104,5:25,0,0.0,TOR,Gary Trent Jr.,Justin Champagnie,6:48,,,,,,,,,,,42:56,OG Anunoby,41:01,Fred VanVleet,37:09,Svi Mykhailiuk,34:48,Khem Birch,31:12,Precious Achiuwa,16:48,Malachi Flynn,10:56,Chris Boucher,9:51,Dalano Banton,8:31,113,1,0,0.0,,0.0,,0.0,,Jericho Sims,9,0,2021-2022,0.0,1,1.0,NYK,104,RJ Barrett,Taj Gibson,10:04,,,,,,,,,,,38:45,Julius Randle,36:48,Kemba Walker,28:24,Mitchell Robinson,27:39,Evan Fournier,25:10,Derrick Rose,19:36,Immanuel Quickley,19:20,Alec Burks,16:01,Obi Toppin,12:48
0,,0,,0,,113,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111050MIL.html,Away,98,2:22,0,,MIL,Grayson Allen,Rodney Hood,16:35,Justin Robinson,4:00,,,,,,,,,31:10,Giannis Antetokounmpo,30:30,Pat Connaughton,27:38,George Hill,25:01,Bobby Portis,24:21,Jordan Nwora,23:32,Jrue Holiday,20:19,Semi Ojeleye,18:49,Thanasis Antetokounmpo,18:02,98,0,0,0.0,,0.0,,0.0,,Jericho Sims,15,0,2021-2022,0.0,0,0.0,NYK,113,RJ Barrett,Alec Burks,12:46,Kevin Knox,1:23,Quentin Grimes,1:23,Miles McBride,0:27,,,,,39:23,Julius Randle,33:17,Derrick Rose,30:25,Evan Fournier,24:44,Nerlens Noel,24:29,Mitchell Robinson,21:09,Immanuel Quickley,18:15,Kemba Walker,15:13,Obi Toppin,14:43
0,,0,,0,,126,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111070NYK.html,Home,109,0:52,0,,CLE,Evan Mobley,Denzel Valentine,1:08,Tacko Fall,1:08,,,,,,,,,35:36,Darius Garland,35:17,Jarrett Allen,34:27,Ricky Rubio,31:20,Cedi Osman,31:03,Dean Wade,26:32,Dylan Windler,16:41,Lamar Stevens,14:17,Collin Sexton,12:31,126,0,0,0.0,,0.0,,0.0,,Jericho Sims,17,0,2021-2022,0.0,0,0.0,NYK,109,Julius Randle,Obi Toppin,11:05,Miles McBride,1:08,Kevin Knox,1:02,,,,,,,36:55,Nerlens Noel,30:02,RJ Barrett,29:52,Evan Fournier,29:07,Derrick Rose,28:58,Alec Burks,21:57,Immanuel Quickley,20:06,Mitchell Robinson,16:56,Quentin Grimes,12:00
0,,0,,0,,103,1,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111210CHI.html,Away,109,3:35,0,,CHI,DeMar DeRozan,Alize Johnson,4:06,,,,,,,,,,,37:41,Zach LaVine,36:10,Lonzo Ball,35:34,Alex Caruso,30:02,Derrick Jones Jr.,21:31,Coby White,20:59,Ayo Dosunmu,19:53,Tony Bradley,18:09,Javonte Green,15:55,109,0,0,0.0,,0.0,,0.0,,Jericho Sims,6,0,2021-2022,1.0,0,0.0,NYK,103,Julius Randle,Quentin Grimes,0:26,,,,,,,,,,,38:33,RJ Barrett,33:03,Derrick Rose,30:02,Alec Burks,29:04,Nerlens Noel,26:13,Immanuel Quickley,25:07,Evan Fournier,22:53,Kemba Walker,17:58,Obi Toppin,13:06
0,,0,,0,,118,0,1,50.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202111260NYK.html,Home,97,3:36,1,50.0,PHO,Mikal Bridges,Jalen Smith,2:00,Ish Wainright,2:00,,,,,,,,,38:35,Devin Booker,35:27,Deandre Ayton,32:08,Chris Paul,30:14,Cameron Johnson,27:33,Jae Crowder,20:27,Landry Shamet,19:58,Cameron Payne,17:46,JaVale McGee,13:52,118,1,0,0.0,,0.0,,0.0,,Jericho Sims,21,0,2021-2022,0.0,0,2.0,NYK,97,Julius Randle,Obi Toppin,13:46,Kevin Knox,7:39,Miles McBride,4:04,,,,,,,31:37,RJ Barrett,31:27,Evan Fournier,25:43,Kemba Walker,23:01,Alec Burks,22:57,Mitchell Robinson,21:09,Immanuel Quickley,19:40,Nerlens Noel,18:20,Quentin Grimes,17:01
0,,0,0.000,0,0.00,99,2,5,83.3,2,1.000,2.0,100.0,2.0,2,2,1.000,2,100.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/202111270ATL.html,Away,90,21:20,1,16.7,ATL,John Collins,Delon Wright,8:49,Cam Reddish,7:06,,,,,,,,,39:30,Trae Young,39:11,Kevin Huerter,38:00,Clint Capela,35:07,Danilo Gallinari,21:23,Lou Williams,15:40,Timothé Luwawu-Cabarrot,12:54,Solomon Hill,12:06,Bogdan Bogdanović,10:14,90,1,6,4.0,66.7,0.0,0.0,2.0,33.3,Jericho Sims,9,1,2021-2022,3.0,1,6.0,NYK,99,Alec Burks,,,,,,,,,,,,,39:08,Julius Randle,31:43,RJ Barrett,30:47,Immanuel Quickley,30:33,Evan Fournier,28:41,Mitchell Robinson,26:40,Obi Toppin,16:17,Quentin Grimes,14:51,,
0,,0,,1,,102,1,0,0.0,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112080IND.html,Away,122,3:55,1,100.0,IND,Domantas Sabonis,Torrey Craig,4:24,Goga Bitadze,3:55,Isaiah Jackson,2:30,Duane Washington Jr.,2:30,,,,,33:12,Malcolm Brogdon,32:51,Myles Turner,32:27,Chris Duarte,30:11,Caris LeVert,27:31,Oshae Brissett,20:26,Brad Wanamaker,18:07,Kelan Martin,17:15,Jeremy Lamb,14:41,122,0,0,0.0,,0.0,,0.0,,Jericho Sims,20,0,2021-2022,1.0,0,1.0,NYK,102,RJ Barrett,Miles McBride,3:55,Quentin Grimes,3:55,Kevin Knox,3:55,,,,,,,34:48,Julius Randle,31:28,Alec Burks,29:45,Immanuel Quickley,25:38,Derrick Rose,23:37,Evan Fournier,22:22,Obi Toppin,19:30,Mitchell Robinson,19:24,Taj Gibson,17:48
0,,0,0.000,0,,124,0,2,33.3,3,1.000,3.0,100.0,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202112230NYK.html,Home,117,22:07,4,66.7,WAS,Spencer Dinwiddie,Anthony Gill,0:37,,,,,,,,,,,35:57,Kyle Kuzma,32:33,Corey Kispert,32:30,Deni Avdija,28:47,Aaron Holiday,28:24,Daniel Gafford,25:44,Montrezl Harrell,22:06,Raul Neto,19:21,Dāvis Bertāns,14:01,124,1,6,6.0,100.0,0.0,0.0,0.0,0.0,Jericho Sims,7,0,2021-2022,0.0,0,6.0,NYK,117,Kemba Walker,,,,,,,,,,,,,43:00,Evan Fournier,38:14,Alec Burks,36:25,Julius Randle,35:27,Mitchell Robinson,24:59,Damyean Dotson,16:21,Obi Toppin,13:00,Taj Gibson,7:06,Danuel House Jr.,3:21
0,,0,,0,,75,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/202201080BOS.html,Away,99,1:30,0,,BOS,Jaylen Brown,Aaron Nesmith,5:31,Romeo Langford,1:30,Bruno Fernando,1:30,Sam Hauser,1:30,Juancho Hernangómez,1:30,,,34:48,Robert Williams,33:42,Josh Richardson,29:30,Jayson Tatum,29:26,Marcus Smart,25:03,Grant Williams,21:42,Dennis Schröder,21:27,Al Horford,20:03,Enes Freedom,12:48,99,0,0,0.0,,0.0,,0.0,,Jericho Sims,24,0,2021-2022,0.0,0,0.0,NYK,75,RJ Barrett,Kevin Knox,1:30,,,,,,,,,,,42:35,Julius Randle,37:26,Immanuel Quickley,36:54,Alec Burks,33:51,Mitchell Robinson,28:16,Quentin Grimes,27:48,Taj Gibson,18:14,Obi Toppin,9:04,Miles McBride,2:52
