3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
0,,0,,0,,87,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201810160BOS.html,Away,105,1:27,0,,BOS,Al Horford,Daniel Theis,4:08,Semi Ojeleye,1:27,Guerschon Yabusele,1:27,Brad Wanamaker,0:49,,,,,29:57,Kyrie Irving,29:00,Jayson Tatum,28:56,Jaylen Brown,28:23,Terry Rozier,26:31,Marcus Smart,25:01,Gordon Hayward,24:37,Marcus Morris,20:30,Aron Baynes,19:14,105,0,0,0.0,,0.0,,0.0,,Jonah Bolden,18,0,2018-2019,0.0,0,0.0,PHI,87,Ben Simmons,Furkan Korkmaz,1:27,,,,,,,,,,,42:45,Joel Embiid,36:49,Robert Covington,34:12,JJ Redick,29:46,Markelle Fultz,24:20,Dario Šarić,22:55,T.J. McConnell,22:26,Landry Shamet,12:42,Amir Johnson,11:11
0,.000,1,100.000,0,,108,0,0,,0,.000,0.0,,0.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201810180PHI.html,Home,127,2:49,0,,CHI,Bobby Portis,Chandler Hutchison,2:49,Tyler Ulis,0:49,,,,,,,,,33:06,Zach LaVine,32:42,Antonio Blakeney,30:27,Ryan Arcidiacono,28:16,Justin Holiday,27:23,Jabari Parker,25:12,Cameron Payne,21:34,Wendell Carter Jr.,19:59,Robin Lopez,17:43,108,1,0,0.0,,0.0,,0.0,,Jonah Bolden,19,0,2018-2019,0.0,0,0.0,PHI,127,Ben Simmons,T.J. McConnell,4:51,,,,,,,,,,,33:42,Joel Embiid,32:51,Markelle Fultz,32:08,Landry Shamet,29:11,Robert Covington,29:08,Dario Šarić,28:20,JJ Redick,24:06,Amir Johnson,15:09,Furkan Korkmaz,7:45
0,.000,3,60.000,0,0.00,92,1,1,100.0,2,.400,2.0,100.0,2.0,5,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201810290PHI.html,Home,113,6:48,0,0.0,ATL,Kent Bazemore,Miles Plumlee,9:46,Jeremy Lin,9:19,Tyler Dorsey,5:42,Jaylen Adams,5:06,,,,,32:33,Trae Young,29:13,Taurean Prince,25:34,DeAndre' Bembry,24:18,Omari Spellman,23:15,Dewayne Dedmon,23:06,Vince Carter,20:17,Kevin Huerter,17:21,Alex Len,14:30,92,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Jonah Bolden,21,0,2018-2019,1.0,1,1.0,PHI,113,Robert Covington,T.J. McConnell,6:02,Furkan Korkmaz,4:35,,,,,,,,,31:05,Joel Embiid,29:35,Ben Simmons,26:54,Dario Šarić,26:08,Markelle Fultz,25:26,JJ Redick,25:16,Landry Shamet,24:42,Mike Muscala,18:52,Amir Johnson,14:37
0,,0,,1,,112,0,1,100.0,0,,0.0,,0.0,0,1,.500,2,,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201810300TOR.html,Away,129,3:49,0,0.0,TOR,Kyle Lowry,Malachi Richardson,3:43,Lorenzo Brown,3:33,,,,,,,,,37:27,Danny Green,34:58,Kawhi Leonard,33:50,Pascal Siakam,33:24,Serge Ibaka,30:23,C.J. Miles,17:39,Jonas Valančiūnas,17:08,Delon Wright,13:58,Norman Powell,13:57,129,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Jonah Bolden,17,0,2018-2019,0.0,0,1.0,PHI,112,Robert Covington,T.J. McConnell,7:48,,,,,,,,,,,36:56,Ben Simmons,34:09,Joel Embiid,32:32,Dario Šarić,31:37,JJ Redick,29:53,Markelle Fultz,18:49,Landry Shamet,16:25,Mike Muscala,16:03,Amir Johnson,11:59
1,.333,3,75.000,1,1.00,132,0,4,100.0,2,.500,1.0,100.0,1.0,4,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201811090PHI.html,Home,133,10:57,0,0.0,CHO,Kemba Walker,Marvin Williams,14:35,Tony Parker,13:47,Bismack Biyombo,4:54,,,,,,,40:16,Miles Bridges,28:25,Malik Monk,27:28,Michael Kidd-Gilchrist,26:48,Cody Zeller,24:44,Jeremy Lamb,24:23,Dwayne Bacon,22:34,Willy Hernangómez,20:22,Nicolas Batum,16:44,132,4,5,2.0,40.0,3.0,60.0,0.0,0.0,Jonah Bolden,1,0,2018-2019,0.0,1,4.0,PHI,133,Ben Simmons,T.J. McConnell,3:45,,,,,,,,,,,41:03,Dario Šarić,40:15,Joel Embiid,39:03,JJ Redick,36:41,Robert Covington,30:02,Markelle Fultz,23:18,Landry Shamet,18:31,Wilson Chandler,15:44,Amir Johnson,5:41
0,,0,0.000,0,,106,0,3,100.0,0,.000,0.0,0.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201811100MEM.html,Away,112,14:33,0,0.0,MEM,Mike Conley,Ivan Rabb,4:42,,,,,,,,,,,42:04,Marc Gasol,41:02,Garrett Temple,36:38,Kyle Anderson,32:56,Shelvin Mack,32:45,Jaren Jackson Jr.,30:35,MarShon Brooks,18:44,Wayne Selden,17:04,Dillon Brooks,8:30,112,0,0,0.0,,0.0,,0.0,,Jonah Bolden,6,3,2018-2019,3.0,0,3.0,PHI,106,Landry Shamet,,,,,,,,,,,,,42:30,Joel Embiid,39:22,Ben Simmons,38:27,JJ Redick,34:28,T.J. McConnell,34:24,Markelle Fultz,24:45,Furkan Korkmaz,22:53,Amir Johnson,13:38,,
0,,0,,0,0.00,117,0,0,,0,,0.0,,0.0,0,0,,0,,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201812070DET.html,Away,111,1:58,0,,DET,Blake Griffin,Jon Leuer,10:11,,,,,,,,,,,37:45,Reggie Jackson,34:12,Andre Drummond,33:43,Bruce Brown,31:41,Langston Galloway,30:43,Luke Kennard,18:15,Glenn Robinson III,15:34,Zaza Pachulia,14:17,José Calderón,13:38,111,1,0,0.0,,0.0,,0.0,,Jonah Bolden,6,0,2018-2019,0.0,1,0.0,PHI,117,Ben Simmons,,,,,,,,,,,,,40:29,Jimmy Butler,38:59,Wilson Chandler,37:03,JJ Redick,34:29,Mike Muscala,29:46,T.J. McConnell,21:03,Amir Johnson,16:16,Landry Shamet,15:43,Furkan Korkmaz,4:14
0,,0,0.000,0,,128,0,1,33.3,1,1.000,1.0,100.0,1.0,1,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201812160CLE.html,Away,105,2:38,2,66.7,CLE,Cedi Osman,Jaron Blossomgame,9:19,Channing Frye,5:23,,,,,,,,,35:23,Collin Sexton,30:30,Jordan Clarkson,27:37,Rodney Hood,27:01,Alec Burks,26:05,Larry Nance Jr.,25:37,Matthew Dellavedova,21:31,Ante Žižić,17:00,David Nwaba,14:34,105,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Jonah Bolden,23,0,2018-2019,0.0,0,3.0,PHI,128,Ben Simmons,Shake Milton,6:23,Amir Johnson,2:38,,,,,,,,,31:58,Wilson Chandler,29:23,Joel Embiid,28:41,JJ Redick,27:40,Jimmy Butler,25:01,Mike Muscala,24:22,T.J. McConnell,24:20,Furkan Korkmaz,21:45,Landry Shamet,15:11
0,.000,2,100.000,0,,96,2,0,,0,.000,0.0,,0.0,2,0,.000,2,100.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201812170SAS.html,Away,123,9:06,0,,SAS,Rudy Gay,Dante Cunningham,13:27,Quincy Pondexter,8:05,Drew Eubanks,6:44,,,,,,,29:36,DeMar DeRozan,29:29,LaMarcus Aldridge,27:05,Dāvis Bertāns,24:31,Bryn Forbes,23:03,Patty Mills,21:11,Jakob Poeltl,20:55,Marco Belinelli,18:34,Derrick White,17:20,123,1,0,0.0,,0.0,,0.0,,Jonah Bolden,27,0,2018-2019,2.0,0,0.0,PHI,96,Jimmy Butler,Shake Milton,8:05,Amir Johnson,8:05,,,,,,,,,30:22,Ben Simmons,29:26,Joel Embiid,29:02,T.J. McConnell,25:44,Wilson Chandler,24:17,JJ Redick,22:43,Mike Muscala,18:20,Furkan Korkmaz,17:38,Landry Shamet,17:12
0,.000,1,33.333,1,0.33,101,4,8,88.9,1,.333,1.0,50.0,2.0,3,2,1.000,2,66.667,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201812220PHI.html,Home,126,25:19,1,11.1,TOR,Pascal Siakam,Lorenzo Brown,6:09,Chris Boucher,5:47,Malachi Richardson,4:14,,,,,,,37:16,Kyle Lowry,30:57,Fred VanVleet,27:54,OG Anunoby,26:29,Norman Powell,25:14,Danny Green,24:37,Greg Monroe,21:53,Delon Wright,17:12,C.J. Miles,12:18,101,3,4,2.0,50.0,0.0,0.0,2.0,50.0,Jonah Bolden,25,0,2018-2019,4.0,3,9.0,PHI,126,Ben Simmons,Amir Johnson,4:14,Demetrius Jackson,4:14,,,,,,,,,33:30,Joel Embiid,30:38,Jimmy Butler,28:37,T.J. McConnell,28:28,JJ Redick,27:40,Furkan Korkmaz,19:23,Mike Muscala,17:37,Landry Shamet,16:06,Shake Milton,4:14
